Date,TIGER 농산물선물Enhanced(H)
2015-02-09,7135.0
2015-02-10,7225.0
2015-02-11,7145.0
2015-02-12,7115.0
2015-02-13,7125.0
2015-02-16,7250.0
2015-02-17,7215.0
2015-02-23,7125.0
2015-02-24,7060.0
2015-02-25,7055.0
2015-02-26,7020.0
2015-02-27,7075.0
2015-03-02,7120.0
2015-03-03,7055.0
2015-03-04,7080.0
2015-03-05,7015.0
2015-03-06,6950.0
2015-03-09,6945.0
2015-03-10,6965.0
2015-03-11,6975.0
2015-03-12,6975.0
2015-03-13,6975.0
2015-03-16,6860.0
2015-03-17,6865.0
2015-03-18,6795.0
2015-03-19,6920.0
2015-03-20,6845.0
2015-03-23,6925.0
2015-03-24,7035.0
2015-03-25,7010.0
2015-03-26,7030.0
2015-03-27,6950.0
2015-03-30,6950.0
2015-03-31,7010.0
2015-04-01,6890.0
2015-04-02,6920.0
2015-04-03,7000.0
2015-04-06,7030.0
2015-04-07,6995.0
2015-04-08,6960.0
2015-04-09,6900.0
2015-04-10,6865.0
2015-04-13,6845.0
2015-04-14,6760.0
2015-04-15,6775.0
2015-04-16,6785.0
2015-04-17,6780.0
2015-04-20,6815.0
2015-04-21,6795.0
2015-04-22,6765.0
2015-04-23,6770.0
2015-04-24,6795.0
2015-04-27,6725.0
2015-04-28,6645.0
2015-04-29,6650.0
2015-04-30,6740.0
2015-05-04,6635.0
2015-05-06,6635.0
2015-05-07,6680.0
2015-05-08,6635.0
2015-05-11,6690.0
2015-05-12,6650.0
2015-05-13,6650.0
2015-05-14,6630.0
2015-05-15,6780.0
2015-05-18,6755.0
2015-05-19,6780.0
2015-05-20,6685.0
2015-05-21,6675.0
2015-05-22,6735.0
2015-05-26,6680.0
2015-05-27,6550.0
2015-05-28,6450.0
2015-05-29,6510.0
2015-06-01,6430.0
2015-06-02,6550.0
2015-06-03,6660.0
2015-06-04,6640.0
2015-06-05,6655.0
2015-06-08,6665.0
2015-06-09,6750.0
2015-06-10,6750.0
2015-06-11,6635.0
2015-06-12,6540.0
2015-06-15,6500.0
2015-06-16,6460.0
2015-06-17,6530.0
2015-06-18,6545.0
2015-06-19,6515.0
2015-06-22,6495.0
2015-06-23,6630.0
2015-06-24,6670.0
2015-06-25,6700.0
2015-06-26,6835.0
2015-06-29,7010.0
2015-06-30,7060.0
2015-07-01,7340.0
2015-07-02,7310.0
2015-07-03,7310.0
2015-07-06,7170.0
2015-07-07,7160.0
2015-07-08,7090.0
2015-07-09,7150.0
2015-07-10,7195.0
2015-07-13,7260.0
2015-07-14,7305.0
2015-07-15,7175.0
2015-07-16,7185.0
2015-07-17,7105.0
2015-07-20,6950.0
2015-07-21,6840.0
2015-07-22,6875.0
2015-07-23,6810.0
2015-07-24,6720.0
2015-07-27,6570.0
2015-07-28,6575.0
2015-07-29,6585.0
2015-07-30,6535.0
2015-07-31,6590.0
2015-08-03,6475.0
2015-08-04,6505.0
2015-08-05,6505.0
2015-08-06,6500.0
2015-08-07,6485.0
2015-08-10,6620.0
2015-08-11,6605.0
2015-08-12,6530.0
2015-08-13,6380.0
2015-08-17,6430.0
2015-08-18,6390.0
2015-08-19,6330.0
2015-08-20,6360.0
2015-08-21,6350.0
2015-08-24,6140.0
2015-08-25,6245.0
2015-08-26,6260.0
2015-08-27,6215.0
2015-08-28,6275.0
2015-08-31,6295.0
2015-09-01,6280.0
2015-09-02,6240.0
2015-09-03,6195.0
2015-09-04,6140.0
2015-09-07,6165.0
2015-09-08,6190.0
2015-09-09,6255.0
2015-09-10,6265.0
2015-09-11,6280.0
2015-09-14,6300.0
2015-09-15,6420.0
2015-09-16,6390.0
2015-09-17,6380.0
2015-09-18,6340.0
2015-09-21,6270.0
2015-09-22,6295.0
2015-09-23,6225.0
2015-09-24,6260.0
2015-09-25,6260.0
2015-09-30,6370.0
2015-10-01,6405.0
2015-10-02,6460.0
2015-10-05,6485.0
2015-10-06,6490.0
2015-10-07,6570.0
2015-10-08,6535.0
2015-10-12,6525.0
2015-10-13,6520.0
2015-10-14,6605.0
2015-10-15,6570.0
2015-10-16,6520.0
2015-10-19,6455.0
2015-10-20,6400.0
2015-10-21,6460.0
2015-10-22,6480.0
2015-10-23,6480.0
2015-10-26,6480.0
2015-10-27,6490.0
2015-10-28,6485.0
2015-10-29,6470.0
2015-10-30,6490.0
2015-11-02,6480.0
2015-11-03,6470.0
2015-11-04,6475.0
2015-11-05,6500.0
2015-11-06,6475.0
2015-11-09,6410.0
2015-11-10,6335.0
2015-11-11,6320.0
2015-11-12,6340.0
2015-11-13,6320.0
2015-11-16,6270.0
2015-11-17,6330.0
2015-11-18,6290.0
2015-11-19,6260.0
2015-11-20,6325.0
2015-11-23,6290.0
2015-11-24,6375.0
2015-11-25,6340.0
2015-11-26,6375.0
2015-11-27,6370.0
2015-11-30,6365.0
2015-12-01,6400.0
2015-12-02,6410.0
2015-12-03,6380.0
2015-12-04,6410.0
2015-12-07,6465.0
2015-12-08,6375.0
2015-12-09,6375.0
2015-12-10,6365.0
2015-12-11,6345.0
2015-12-14,6325.0
2015-12-15,6375.0
2015-12-16,6380.0
2015-12-17,6295.0
2015-12-18,6340.0
2015-12-21,6350.0
2015-12-22,6360.0
2015-12-23,6330.0
2015-12-24,6325.0
2015-12-28,6305.0
2015-12-29,6245.0
2015-12-30,6305.0
2016-01-04,6260.0
2016-01-05,6180.0
2016-01-06,6155.0
2016-01-07,6125.0
2016-01-08,6220.0
2016-01-11,6215.0
2016-01-12,6150.0
2016-01-13,6180.0
2016-01-14,6190.0
2016-01-15,6205.0
2016-01-18,6230.0
2016-01-19,6240.0
2016-01-20,6270.0
2016-01-21,6200.0
2016-01-22,6250.0
2016-01-25,6275.0
2016-01-26,6215.0
2016-01-27,6230.0
2016-01-28,6225.0
2016-01-29,6180.0
2016-02-01,6220.0
2016-02-02,6200.0
2016-02-03,6190.0
2016-02-04,6230.0
2016-02-05,6185.0
2016-02-11,6125.0
2016-02-12,6140.0
2016-02-15,6160.0
2016-02-16,6140.0
2016-02-17,6125.0
2016-02-18,6150.0
2016-02-19,6130.0
2016-02-22,6145.0
2016-02-23,6140.0
2016-02-24,6130.0
2016-02-25,6110.0
2016-02-26,6090.0
2016-02-29,6065.0
2016-03-02,6035.0
2016-03-03,6055.0
2016-03-04,6120.0
2016-03-07,6150.0
2016-03-08,6140.0
2016-03-09,6165.0
2016-03-10,6150.0
2016-03-11,6240.0
2016-03-14,6250.0
2016-03-15,6240.0
2016-03-16,6240.0
2016-03-17,6235.0
2016-03-18,6290.0
2016-03-21,6260.0
2016-03-22,6335.0
2016-03-23,6320.0
2016-03-24,6310.0
2016-03-25,6290.0
2016-03-28,6280.0
2016-03-29,6295.0
2016-03-30,6315.0
2016-03-31,6290.0
2016-04-01,6205.0
2016-04-04,6185.0
2016-04-05,6170.0
2016-04-06,6175.0
2016-04-07,6190.0
2016-04-08,6150.0
2016-04-11,6185.0
2016-04-12,6135.0
2016-04-14,6290.0
2016-04-15,6260.0
2016-04-18,6365.0
2016-04-19,6400.0
2016-04-20,6500.0
2016-04-21,6730.0
2016-04-22,6595.0
2016-04-25,6410.0
2016-04-26,6480.0
2016-04-27,6565.0
2016-04-28,6540.0
2016-04-29,6570.0
2016-05-02,6630.0
2016-05-03,6655.0
2016-05-04,6520.0
2016-05-09,6525.0
2016-05-10,6450.0
2016-05-11,6555.0
2016-05-12,6575.0
2016-05-13,6600.0
2016-05-16,6645.0
2016-05-17,6645.0
2016-05-18,6730.0
2016-05-19,6680.0
2016-05-20,6670.0
2016-05-23,6660.0
2016-05-24,6625.0
2016-05-25,6645.0
2016-05-26,6705.0
2016-05-27,6770.0
2016-05-30,6825.0
2016-05-31,6795.0
2016-06-01,6710.0
2016-06-02,6810.0
2016-06-03,6930.0
2016-06-07,7100.0
2016-06-08,7155.0
2016-06-09,7285.0
2016-06-10,7220.0
2016-06-13,7270.0
2016-06-14,7235.0
2016-06-15,7200.0
2016-06-16,7110.0
2016-06-17,7150.0
2016-06-20,7195.0
2016-06-21,7155.0
2016-06-22,6950.0
2016-06-23,6890.0
2016-06-24,6700.0
2016-06-27,6835.0
2016-06-28,6840.0
2016-06-29,6830.0
2016-06-30,6820.0
2016-07-01,6785.0
2016-07-04,6815.0
2016-07-05,6800.0
2016-07-06,6580.0
2016-07-07,6485.0
2016-07-08,6410.0
2016-07-11,6560.0
2016-07-12,6525.0
2016-07-13,6600.0
2016-07-14,6655.0
2016-07-15,6570.0
2016-07-18,6480.0
2016-07-19,6470.0
2016-07-20,6375.0
2016-07-21,6295.0
2016-07-22,6275.0
2016-07-25,6300.0
