Date,KINDEX 레버리지
2014-12-22,4030.0
2014-12-23,4020.0
2014-12-24,4060.0
2014-12-26,4050.0
2014-12-29,4040.0
2014-12-30,3960.0
2015-01-02,3970.0
2015-01-05,3970.0
2015-01-06,3810.0
2015-01-07,3830.0
2015-01-08,3910.0
2015-01-09,4010.0
2015-01-12,4000.0
2015-01-13,4015.0
2015-01-14,4010.0
2015-01-15,4010.0
2015-01-16,3915.0
2015-01-19,3960.0
2015-01-20,4035.0
2015-01-21,4050.0
2015-01-22,4080.0
2015-01-23,4105.0
2015-01-26,4120.0
2015-01-27,4180.0
2015-01-28,4165.0
2015-01-29,4145.0
2015-01-30,4145.0
2015-02-02,4130.0
2015-02-03,4125.0
2015-02-04,4180.0
2015-02-05,4110.0
2015-02-06,4110.0
2015-02-09,4105.0
2015-02-10,4070.0
2015-02-11,4080.0
2015-02-12,4035.0
2015-02-13,4095.0
2015-02-16,4110.0
2015-02-17,4130.0
2015-02-23,4150.0
2015-02-24,4160.0
2015-02-25,4195.0
2015-02-26,4190.0
2015-02-27,4165.0
2015-03-02,4215.0
2015-03-03,4245.0
2015-03-04,4240.0
2015-03-05,4245.0
2015-03-06,4285.0
2015-03-09,4200.0
2015-03-10,4175.0
2015-03-11,4170.0
2015-03-12,4155.0
2015-03-13,4190.0
2015-03-16,4195.0
2015-03-17,4360.0
2015-03-18,4395.0
2015-03-19,4415.0
2015-03-20,4400.0
2015-03-23,4405.0
2015-03-24,4415.0
2015-03-25,4415.0
2015-03-26,4335.0
2015-03-27,4315.0
2015-03-30,4330.0
2015-03-31,4340.0
2015-04-01,4265.0
2015-04-02,4265.0
2015-04-03,4330.0
2015-04-06,4330.0
2015-04-07,4320.0
2015-04-08,4375.0
2015-04-09,4375.0
2015-04-10,4485.0
2015-04-13,4540.0
2015-04-14,4595.0
2015-04-15,4630.0
2015-04-16,4705.0
2015-04-17,4710.0
2015-04-20,4710.0
2015-04-21,4700.0
2015-04-22,4730.0
2015-04-23,4855.0
2015-04-24,4825.0
2015-04-27,4795.0
2015-04-28,4760.0
2015-04-29,4725.0
2015-04-30,4660.0
2015-05-04,4705.0
2015-05-06,4560.0
2015-05-07,4530.0
2015-05-08,4475.0
2015-05-11,4495.0
2015-05-12,4485.0
2015-05-13,4535.0
2015-05-14,4540.0
2015-05-15,4465.0
2015-05-18,4475.0
2015-05-19,4520.0
2015-05-20,4595.0
2015-05-21,4505.0
2015-05-22,4605.0
2015-05-26,4585.0
2015-05-27,4415.0
2015-05-28,4410.0
2015-05-29,4440.0
2015-06-01,4380.0
2015-06-02,4315.0
2015-06-03,4225.0
2015-06-04,4240.0
2015-06-05,4225.0
2015-06-08,4215.0
2015-06-09,4200.0
2015-06-10,4150.0
2015-06-11,4180.0
2015-06-12,4115.0
2015-06-15,4090.0
2015-06-16,4005.0
2015-06-17,4020.0
2015-06-18,4040.0
2015-06-19,4075.0
2015-06-22,4095.0
2015-06-23,4200.0
2015-06-24,4195.0
2015-06-25,4195.0
2015-06-26,4200.0
2015-06-29,4065.0
2015-06-30,4105.0
2015-07-01,4210.0
2015-07-02,4225.0
