Date,TIGER 은행
2014-12-22,7470.0
2014-12-23,7480.0
2014-12-24,7480.0
2014-12-26,7595.0
2014-12-29,7500.0
2014-12-30,7305.0
2015-01-02,7215.0
2015-01-05,7150.0
2015-01-06,7070.0
2015-01-07,6990.0
2015-01-08,7200.0
2015-01-09,7310.0
2015-01-12,7150.0
2015-01-13,7160.0
2015-01-14,7160.0
2015-01-15,7145.0
2015-01-16,7050.0
2015-01-19,7150.0
2015-01-20,7180.0
2015-01-21,7155.0
2015-01-22,7235.0
2015-01-23,7325.0
2015-01-26,7375.0
2015-01-27,7360.0
2015-01-28,7175.0
2015-01-29,7205.0
2015-01-30,7150.0
2015-02-02,7185.0
2015-02-03,7265.0
2015-02-04,7280.0
2015-02-05,6975.0
2015-02-06,7035.0
2015-02-09,6940.0
2015-02-10,6945.0
2015-02-11,7040.0
2015-02-12,6980.0
2015-02-13,7070.0
2015-02-16,7115.0
2015-02-17,7190.0
2015-02-23,7265.0
2015-02-24,7290.0
2015-02-25,7315.0
2015-02-26,7315.0
2015-02-27,7300.0
2015-03-02,7125.0
2015-03-03,7195.0
2015-03-04,7145.0
2015-03-05,7095.0
2015-03-06,6995.0
2015-03-09,6965.0
2015-03-10,6980.0
2015-03-11,6880.0
2015-03-12,7095.0
2015-03-13,7025.0
2015-03-16,7085.0
2015-03-17,7255.0
2015-03-18,7295.0
2015-03-19,7350.0
2015-03-20,7370.0
2015-03-23,7360.0
2015-03-24,7150.0
2015-03-25,7000.0
2015-03-26,7135.0
2015-03-27,7095.0
2015-03-30,7085.0
2015-03-31,7200.0
2015-04-01,7085.0
2015-04-02,7080.0
2015-04-03,7120.0
2015-04-06,7010.0
2015-04-07,6935.0
2015-04-08,6910.0
2015-04-09,6795.0
2015-04-10,6960.0
2015-04-13,7075.0
2015-04-14,7530.0
2015-04-15,7395.0
2015-04-16,7520.0
2015-04-17,7510.0
2015-04-20,7540.0
2015-04-21,7470.0
2015-04-22,7385.0
2015-04-23,7720.0
2015-04-24,7830.0
2015-04-27,7750.0
2015-04-28,7700.0
2015-04-29,7585.0
2015-04-30,7505.0
2015-05-04,7690.0
2015-05-06,7660.0
2015-05-07,7535.0
2015-05-08,7480.0
2015-05-11,7460.0
2015-05-12,7535.0
2015-05-13,7570.0
2015-05-14,7545.0
2015-05-15,7465.0
2015-05-18,7335.0
2015-05-19,7380.0
2015-05-20,7405.0
2015-05-21,7290.0
2015-05-22,7430.0
2015-05-26,7315.0
2015-05-27,7115.0
2015-05-28,7225.0
2015-05-29,7305.0
2015-06-01,7155.0
2015-06-02,7130.0
2015-06-03,7205.0
2015-06-04,7045.0
2015-06-05,6920.0
2015-06-08,6985.0
2015-06-09,6985.0
2015-06-10,7135.0
2015-06-11,7105.0
2015-06-12,7010.0
2015-06-15,6920.0
2015-06-16,6785.0
2015-06-17,6785.0
2015-06-18,6740.0
2015-06-19,6700.0
2015-06-22,6730.0
2015-06-23,6880.0
2015-06-24,6930.0
2015-06-25,6920.0
2015-06-26,6970.0
2015-06-29,6900.0
2015-06-30,6930.0
2015-07-01,6910.0
2015-07-02,6835.0
2015-07-03,6840.0
