Date,TIGER 미국S&P500선물(H)
2015-02-10,23255.0
2015-02-11,23470.0
2015-02-12,23510.0
2015-02-13,23730.0
2015-02-16,23795.0
2015-02-17,23755.0
2015-02-23,24010.0
2015-02-24,24025.0
2015-02-25,24080.0
2015-02-26,24040.0
2015-02-27,24015.0
2015-03-02,24000.0
2015-03-03,24095.0
2015-03-04,23975.0
2015-03-05,23910.0
2015-03-06,23910.0
2015-03-09,23615.0
2015-03-10,23630.0
2015-03-11,23380.0
2015-03-12,23345.0
2015-03-13,23610.0
2015-03-16,23440.0
2015-03-17,23665.0
2015-03-18,23715.0
2015-03-19,24030.0
2015-03-20,23905.0
2015-03-23,24110.0
2015-03-24,24000.0
2015-03-25,23855.0
2015-03-26,23530.0
2015-03-27,23545.0
2015-03-30,23595.0
2015-03-31,23740.0
2015-04-01,23465.0
2015-04-02,23515.0
2015-04-03,23610.0
2015-04-06,23450.0
2015-04-07,23720.0
2015-04-08,23680.0
2015-04-09,23775.0
2015-04-10,23880.0
2015-04-13,23955.0
2015-04-14,23910.0
2015-04-15,23890.0
2015-04-16,24045.0
2015-04-17,24005.0
2015-04-20,23835.0
2015-04-21,23985.0
2015-04-22,23955.0
2015-04-23,24015.0
2015-04-24,24115.0
2015-04-27,24185.0
2015-04-28,24085.0
2015-04-29,24125.0
2015-04-30,23995.0
2015-05-04,24045.0
2015-05-06,23955.0
2015-05-07,23800.0
2015-05-08,23895.0
2015-05-11,24195.0
2015-05-12,24105.0
2015-05-13,24095.0
2015-05-14,24040.0
2015-05-15,24275.0
2015-05-18,24280.0
2015-05-19,24385.0
2015-05-20,24380.0
2015-05-21,24295.0
2015-05-22,24425.0
2015-05-26,24355.0
2015-05-27,24125.0
2015-05-28,24330.0
2015-05-29,24360.0
2015-06-01,24225.0
2015-06-02,24215.0
2015-06-03,24180.0
2015-06-04,24270.0
2015-06-05,24065.0
2015-06-08,24015.0
2015-06-09,23895.0
2015-06-10,23940.0
2015-06-11,24170.0
2015-06-12,24135.0
2015-06-15,23990.0
2015-06-16,23920.0
2015-06-17,24090.0
2015-06-18,24010.0
2015-06-19,24345.0
2015-06-22,24300.0
2015-06-23,24410.0
2015-06-24,24405.0
2015-06-25,24270.0
2015-06-26,24140.0
2015-06-29,23825.0
2015-06-30,23685.0
2015-07-01,23800.0
2015-07-02,23865.0
2015-07-03,23910.0
2015-07-06,23560.0
2015-07-07,23945.0
2015-07-08,23765.0
2015-07-09,23730.0
2015-07-10,23780.0
2015-07-13,23830.0
2015-07-14,24155.0
2015-07-15,24250.0
2015-07-16,24270.0
2015-07-17,24410.0
2015-07-20,24450.0
2015-07-21,24535.0
2015-07-22,24300.0
2015-07-23,24375.0
2015-07-24,24270.0
2015-07-27,24025.0
2015-07-28,23970.0
2015-07-29,24120.0
2015-07-30,24290.0
2015-07-31,24330.0
2015-08-03,24260.0
2015-08-04,24215.0
2015-08-05,24145.0
2015-08-06,24235.0
2015-08-07,24085.0
2015-08-10,24020.0
2015-08-11,24135.0
2015-08-12,23885.0
2015-08-13,24195.0
2015-08-17,24175.0
2015-08-18,24310.0
2015-08-19,24200.0
2015-08-20,23985.0
2015-08-21,23355.0
2015-08-24,22285.0
2015-08-25,21910.0
2015-08-26,22010.0
2015-08-27,22395.0
2015-08-28,22905.0
2015-08-31,22780.0
2015-09-01,22300.0
2015-09-02,22315.0
2015-09-03,22495.0
2015-09-04,22330.0
2015-09-07,22380.0
2015-09-08,22410.0
2015-09-09,22960.0
2015-09-10,22585.0
2015-09-11,22560.0
2015-09-14,22650.0
2015-09-15,22605.0
2015-09-16,22850.0
2015-09-17,23060.0
2015-09-18,22975.0
2015-09-21,22625.0
2015-09-22,22770.0
2015-09-23,22270.0
2015-09-24,22290.0
2015-09-25,22410.0
2015-09-30,22005.0
2015-10-01,22395.0
2015-10-02,22285.0
2015-10-05,22595.0
2015-10-06,22820.0
2015-10-07,22925.0
2015-10-08,22935.0
2015-10-12,23315.0
2015-10-13,23315.0
2015-10-14,23140.0
2015-10-15,23145.0
2015-10-16,23415.0
2015-10-19,23400.0
2015-10-20,23440.0
2015-10-21,23525.0
2015-10-22,23355.0
2015-10-23,23820.0
2015-10-26,23820.0
2015-10-27,23825.0
2015-10-28,23930.0
2015-10-29,24080.0
2015-10-30,24265.0
2015-11-02,23930.0
2015-11-03,24285.0
2015-11-04,24355.0
2015-11-05,24310.0
2015-11-06,24275.0
2015-11-09,24310.0
2015-11-10,24075.0
2015-11-11,24120.0
2015-11-12,24075.0
2015-11-13,23695.0
2015-11-16,23335.0
2015-11-17,23800.0
2015-11-18,23765.0
2015-11-19,24140.0
2015-11-20,24120.0
2015-11-23,24240.0
2015-11-24,24175.0
2015-11-25,24185.0
2015-11-26,24250.0
2015-11-27,24250.0
2015-11-30,24185.0
2015-12-01,24240.0
2015-12-02,24365.0
2015-12-03,24185.0
2015-12-04,23865.0
2015-12-07,24220.0
2015-12-08,24040.0
2015-12-09,23965.0
2015-12-10,23795.0
2015-12-11,23865.0
2015-12-14,23465.0
2015-12-15,23440.0
2015-12-16,23765.0
2015-12-17,23985.0
2015-12-18,23575.0
2015-12-21,23370.0
2015-12-22,23550.0
2015-12-23,23670.0
2015-12-24,23860.0
2015-12-28,23905.0
2015-12-29,23895.0
2015-12-30,24105.0
2016-01-04,23520.0
2016-01-05,23460.0
2016-01-06,23275.0
2016-01-07,22855.0
2016-01-08,22770.0
2016-01-11,22255.0
2016-01-12,22215.0
2016-01-13,22690.0
2016-01-14,22040.0
2016-01-15,22230.0
2016-01-18,21910.0
2016-01-19,22120.0
