Date,KBSTAR 200
2014-12-22,25000.0
2014-12-23,25010.0
2014-12-24,25090.0
2014-12-26,25115.0
2014-12-29,24990.0
2014-12-30,24820.0
2015-01-02,24780.0
2015-01-05,24785.0
2015-01-06,24330.0
2015-01-07,24360.0
2015-01-08,24685.0
2015-01-09,24945.0
2015-01-12,24900.0
2015-01-13,25000.0
2015-01-14,24895.0
2015-01-15,24960.0
2015-01-16,24635.0
2015-01-19,24875.0
2015-01-20,25090.0
2015-01-21,25180.0
2015-01-22,25210.0
2015-01-23,25385.0
2015-01-26,25365.0
2015-01-27,25550.0
2015-01-28,25580.0
2015-01-29,25455.0
2015-01-30,25430.0
2015-02-02,25390.0
2015-02-03,25380.0
2015-02-04,25560.0
2015-02-05,25285.0
2015-02-06,25335.0
2015-02-09,25320.0
2015-02-10,25205.0
2015-02-11,25220.0
2015-02-12,25140.0
2015-02-13,25320.0
2015-02-16,25370.0
2015-02-17,25400.0
2015-02-23,25515.0
2015-02-24,25520.0
2015-02-25,25610.0
2015-02-26,25600.0
2015-02-27,25555.0
2015-03-02,25690.0
2015-03-03,25790.0
2015-03-04,25750.0
2015-03-05,25770.0
2015-03-06,25945.0
2015-03-09,25675.0
2015-03-10,25530.0
2015-03-11,25575.0
2015-03-12,25300.0
2015-03-13,25610.0
2015-03-16,25645.0
2015-03-17,26175.0
2015-03-18,26195.0
2015-03-19,26300.0
2015-03-20,26210.0
2015-03-23,26245.0
2015-03-24,26260.0
2015-03-25,26260.0
2015-03-26,26005.0
2015-03-27,25985.0
2015-03-30,26010.0
2015-03-31,26130.0
2015-04-01,25840.0
2015-04-02,25890.0
2015-04-03,26070.0
2015-04-06,26070.0
2015-04-07,26005.0
2015-04-08,26185.0
2015-04-09,26180.0
2015-04-10,26545.0
2015-04-13,26695.0
2015-04-14,26875.0
2015-04-15,26970.0
2015-04-16,27165.0
2015-04-17,27210.0
2015-04-20,27150.0
2015-04-21,27140.0
2015-04-22,27250.0
2015-04-23,27645.0
2015-04-24,27480.0
2015-04-27,27385.0
2015-04-28,27275.0
2015-04-29,26845.0
2015-04-30,26715.0
2015-05-04,26810.0
2015-05-06,26380.0
2015-05-07,26245.0
2015-05-08,26115.0
2015-05-11,26205.0
2015-05-12,26155.0
2015-05-13,26340.0
2015-05-14,26385.0
2015-05-15,26120.0
2015-05-18,26190.0
2015-05-19,26290.0
2015-05-20,26520.0
2015-05-21,26255.0
2015-05-22,26570.0
2015-05-26,26550.0
2015-05-27,26000.0
2015-05-28,25960.0
2015-05-29,26120.0
2015-06-01,25900.0
2015-06-02,25640.0
2015-06-03,25390.0
2015-06-04,25525.0
2015-06-05,25490.0
2015-06-08,25390.0
2015-06-09,25385.0
2015-06-10,25245.0
2015-06-11,25315.0
2015-06-12,25110.0
2015-06-15,25070.0
2015-06-16,24810.0
2015-06-17,24840.0
2015-06-18,24925.0
2015-06-19,25015.0
2015-06-22,25110.0
2015-06-23,25425.0
2015-06-24,25460.0
2015-06-25,25395.0
2015-06-26,25465.0
2015-06-29,25090.0
2015-06-30,25320.0
2015-07-01,25530.0
2015-07-02,25595.0
