Date,KODEX MSCI Korea
2014-12-22,10875.0
2014-12-23,10930.0
2014-12-24,10875.0
2014-12-26,10895.0
2014-12-29,10895.0
2014-12-30,10820.0
2015-01-02,10820.0
2015-01-05,10760.0
2015-01-06,10635.0
2015-01-07,10635.0
2015-01-08,10765.0
2015-01-09,10890.0
2015-01-12,10855.0
2015-01-13,10870.0
2015-01-14,10870.0
2015-01-15,10870.0
2015-01-16,10725.0
2015-01-19,10780.0
2015-01-20,10885.0
2015-01-21,10900.0
2015-01-22,10980.0
2015-01-23,11000.0
2015-01-26,10975.0
2015-01-27,11080.0
2015-01-28,11080.0
2015-01-29,11080.0
2015-01-30,11000.0
2015-02-02,11000.0
2015-02-03,11000.0
2015-02-04,11090.0
2015-02-05,11010.0
2015-02-06,11010.0
2015-02-09,11010.0
2015-02-10,10945.0
2015-02-11,10960.0
2015-02-12,10875.0
2015-02-13,10965.0
2015-02-16,10970.0
2015-02-17,10990.0
2015-02-23,10990.0
2015-02-24,11035.0
2015-02-25,11115.0
2015-02-26,11115.0
2015-02-27,11115.0
2015-03-02,11175.0
2015-03-03,11250.0
2015-03-04,11200.0
2015-03-05,11200.0
2015-03-06,11275.0
2015-03-09,11205.0
2015-03-10,11170.0
2015-03-11,11115.0
2015-03-12,11135.0
2015-03-13,11140.0
2015-03-16,11160.0
2015-03-17,11445.0
2015-03-18,11445.0
2015-03-19,11445.0
2015-03-20,11425.0
2015-03-23,11425.0
2015-03-24,11445.0
2015-03-25,11435.0
2015-03-26,11310.0
2015-03-27,11275.0
2015-03-30,11275.0
2015-03-31,11320.0
2015-04-01,11255.0
2015-04-02,11280.0
2015-04-03,11280.0
2015-04-06,11340.0
2015-04-07,11340.0
2015-04-08,11365.0
2015-04-09,11405.0
2015-04-10,11570.0
2015-04-13,11600.0
2015-04-14,11675.0
2015-04-15,11675.0
2015-04-16,11730.0
2015-04-17,11810.0
2015-04-20,11810.0
2015-04-21,11745.0
2015-04-22,11845.0
2015-04-23,11860.0
2015-04-24,11860.0
2015-04-27,11845.0
2015-04-28,11775.0
2015-04-29,11615.0
2015-04-30,11565.0
2015-05-04,11635.0
2015-05-06,11445.0
2015-05-07,11410.0
2015-05-08,11345.0
2015-05-11,11355.0
2015-05-12,11320.0
2015-05-13,11380.0
2015-05-14,11420.0
2015-05-15,11310.0
2015-05-18,11300.0
2015-05-19,11390.0
2015-05-20,11480.0
2015-05-21,11355.0
2015-05-22,11465.0
2015-05-26,11480.0
2015-05-27,11230.0
2015-05-28,11250.0
2015-05-29,11245.0
2015-06-01,11140.0
2015-06-02,11045.0
2015-06-03,10940.0
2015-06-04,10970.0
2015-06-05,10970.0
2015-06-08,10970.0
2015-06-09,10905.0
2015-06-10,10915.0
2015-06-11,10855.0
2015-06-12,10825.0
2015-06-15,10700.0
2015-06-16,10695.0
2015-06-17,10695.0
2015-06-18,10695.0
2015-06-19,10695.0
2015-06-22,10795.0
2015-06-23,10860.0
2015-06-24,10945.0
2015-06-25,10905.0
2015-06-26,10850.0
2015-06-29,10780.0
2015-06-30,10765.0
2015-07-01,10765.0
2015-07-02,10910.0
2015-07-03,10920.0
2015-07-06,10565.0
2015-07-07,10565.0
2015-07-08,10510.0
2015-07-09,10510.0
2015-07-10,10510.0
2015-07-13,10550.0
2015-07-14,10550.0
2015-07-15,10550.0
2015-07-16,10660.0
2015-07-17,10650.0
2015-07-20,10615.0
2015-07-21,10615.0
2015-07-22,10575.0
2015-07-23,10575.0
2015-07-24,10485.0
2015-07-27,10435.0
2015-07-28,10465.0
2015-07-29,10500.0
2015-07-30,10465.0
2015-07-31,10405.0
2015-08-03,10305.0
2015-08-04,10330.0
2015-08-05,10330.0
2015-08-06,10330.0
2015-08-07,10180.0
2015-08-10,13215.0
2015-08-11,10155.0
2015-08-12,10040.0
2015-08-13,10115.0
2015-08-17,10045.0
2015-08-18,10050.0
2015-08-19,9970.0
2015-08-20,9900.0
2015-08-21,9685.0
2015-08-24,9455.0
2015-08-25,9540.0
2015-08-26,9545.0
2015-08-27,9695.0
2015-08-28,9900.0
2015-08-31,9910.0
2015-09-01,9815.0
2015-09-02,9860.0
2015-09-03,9860.0
2015-09-04,9800.0
2015-09-07,9765.0
2015-09-08,9765.0
2015-09-09,9995.0
2015-09-10,10005.0
2015-09-11,10005.0
2015-09-14,9985.0
2015-09-15,9985.0
2015-09-16,10175.0
2015-09-17,10220.0
2015-09-18,10235.0
2015-09-21,10105.0
2015-09-22,10160.0
2015-09-23,10060.0
2015-09-24,9990.0
2015-09-25,10010.0
2015-09-30,10065.0
2015-10-01,10210.0
2015-10-02,10180.0
2015-10-05,10180.0
2015-10-06,10230.0
2015-10-07,10425.0
2015-10-08,10475.0
2015-10-12,10575.0
2015-10-13,10575.0
2015-10-14,10575.0
2015-10-15,10630.0
2015-10-16,10605.0
2015-10-19,10605.0
2015-10-20,10665.0
2015-10-21,10705.0
2015-10-22,10705.0
2015-10-23,10785.0
2015-10-26,10785.0
2015-10-27,10760.0
2015-10-28,10755.0
2015-10-29,10765.0
2015-10-30,10875.0
2015-11-02,10875.0
2015-11-03,10955.0
2015-11-04,11025.0
2015-11-05,10985.0
2015-11-06,10980.0
2015-11-09,10790.0
2015-11-10,10780.0
2015-11-11,10780.0
2015-11-12,10755.0
2015-11-13,10655.0
2015-11-16,10435.0
2015-11-17,10530.0
2015-11-18,10530.0
2015-11-19,10620.0
2015-11-20,10655.0
2015-11-23,10715.0
2015-11-24,10810.0
2015-11-25,10790.0
2015-11-26,10860.0
2015-11-27,10825.0
2015-11-30,10715.0
2015-12-01,10805.0
2015-12-02,10795.0
2015-12-03,10690.0
2015-12-04,10580.0
2015-12-07,10585.0
2015-12-08,10460.0
2015-12-09,10460.0
2015-12-10,10460.0
2015-12-11,10460.0
2015-12-14,10385.0
2015-12-15,10385.0
2015-12-16,10590.0
2015-12-17,10590.0
2015-12-18,10620.0
2015-12-21,10620.0
2015-12-22,10645.0
2015-12-23,10680.0
2015-12-24,10690.0
2015-12-28,10580.0
2015-12-29,10610.0
2015-12-30,10660.0
2016-01-04,10415.0
2016-01-05,10450.0
2016-01-06,10385.0
2016-01-07,10280.0
2016-01-08,10280.0
2016-01-11,10220.0
2016-01-12,10200.0
2016-01-13,10355.0
2016-01-14,10235.0
2016-01-15,10120.0
2016-01-18,10135.0
2016-01-19,10200.0
2016-01-20,9975.0
2016-01-21,9930.0
2016-01-22,10145.0
2016-01-25,10175.0
2016-01-26,10065.0
2016-01-27,10105.0
2016-01-28,10190.0
2016-01-29,10185.0
2016-02-01,10330.0
2016-02-02,10165.0
2016-02-03,10130.0
2016-02-04,10215.0
2016-02-05,10270.0
2016-02-11,9965.0
2016-02-12,9955.0
2016-02-15,10030.0
2016-02-16,10175.0
2016-02-17,10205.0
2016-02-18,10305.0
2016-02-19,10335.0
2016-02-22,10305.0
2016-02-23,10375.0
2016-02-24,10340.0
2016-02-25,10340.0
2016-02-26,10340.0
2016-02-29,10340.0
2016-03-02,10525.0
2016-03-03,10550.0
2016-03-04,10550.0
2016-03-07,10570.0
2016-03-08,10520.0
2016-03-09,10520.0
2016-03-10,10650.0
2016-03-11,10650.0
2016-03-14,10670.0
2016-03-15,10650.0
2016-03-16,10660.0
2016-03-17,10790.0
2016-03-18,10790.0
2016-03-21,10790.0
2016-03-22,10790.0
2016-03-23,10790.0
2016-03-24,10790.0
2016-03-25,10790.0
2016-03-28,10740.0
2016-03-29,10785.0
2016-03-30,10890.0
2016-03-31,10880.0
2016-04-01,10725.0
2016-04-04,10745.0
2016-04-05,10665.0
2016-04-06,10635.0
2016-04-07,10685.0
2016-04-08,10675.0
2016-04-11,10705.0
2016-04-12,10765.0
2016-04-14,10965.0
2016-04-15,10955.0
2016-04-18,10950.0
2016-04-19,10940.0
2016-04-20,10930.0
2016-04-21,10995.0
2016-04-22,10970.0
2016-04-25,10925.0
2016-04-26,10945.0
2016-04-27,10935.0
2016-04-28,10720.0
2016-04-29,10625.0
2016-05-02,10545.0
2016-05-03,10570.0
2016-05-04,10525.0
2016-05-09,10515.0
2016-05-10,10585.0
2016-05-11,10545.0
2016-05-12,10535.0
2016-05-13,10425.0
2016-05-16,10395.0
2016-05-17,10395.0
2016-05-18,10315.0
2016-05-19,10315.0
2016-05-20,10315.0
2016-05-23,10350.0
2016-05-24,10320.0
2016-05-25,10415.0
2016-05-26,10455.0
2016-05-27,10495.0
2016-05-30,10500.0
2016-05-31,10585.0
2016-06-01,10610.0
2016-06-02,10635.0
2016-06-03,10605.0
2016-06-07,10670.0
2016-06-08,10750.0
2016-06-09,10815.0
2016-06-10,10815.0
2016-06-13,10520.0
2016-06-14,10560.0
2016-06-15,10575.0
2016-06-16,10505.0
2016-06-17,10505.0
2016-06-20,10675.0
2016-06-21,10670.0
2016-06-22,10675.0
2016-06-23,10675.0
2016-06-24,10400.0
2016-06-27,10395.0
2016-06-28,10395.0
2016-06-29,10580.0
2016-06-30,10660.0
2016-07-01,10670.0
2016-07-04,10765.0
2016-07-05,10745.0
2016-07-06,10545.0
2016-07-07,10615.0
2016-07-08,10620.0
2016-07-11,10730.0
2016-07-12,10770.0
2016-07-13,10815.0
2016-07-14,10860.0
2016-07-15,10920.0
2016-07-18,10985.0
2016-07-19,10955.0
2016-07-20,10945.0
2016-07-21,10940.0
2016-07-22,10890.0
2016-07-25,10920.0
2016-07-26,10990.0
2016-07-27,10980.0
2016-07-28,10980.0
2016-07-29,11030.0
2016-08-01,11090.0
2016-08-02,11025.0
2016-08-03,10860.0
2016-08-04,10890.0
2016-08-05,10990.0
2016-08-08,11055.0
2016-08-09,11155.0
2016-08-10,11155.0
2016-08-11,11150.0
2016-08-12,11185.0
2016-08-16,11200.0
2016-08-17,11190.0
2016-08-18,11265.0
2016-08-19,11355.0
2016-08-22,11295.0
2016-08-23,11330.0
2016-08-24,11290.0
2016-08-25,11235.0
2016-08-26,11235.0
2016-08-29,11225.0
2016-08-30,11270.0
2016-08-31,11240.0
2016-09-01,11170.0
2016-09-02,11195.0
2016-09-05,11275.0
2016-09-06,11410.0
2016-09-07,11445.0
2016-09-08,11375.0
2016-09-09,11290.0
2016-09-12,11035.0
2016-09-13,11035.0
2016-09-19,11120.0
2016-09-20,11150.0
2016-09-21,11240.0
2016-09-22,11355.0
2016-09-23,11320.0
2016-09-26,11270.0
2016-09-27,11300.0
2016-09-28,11255.0
2016-09-29,11350.0
2016-09-30,11345.0
2016-10-04,11345.0
2016-10-05,11345.0
2016-10-06,11465.0
2016-10-07,11465.0
2016-10-10,11385.0
2016-10-11,11225.0
2016-10-12,11230.0
2016-10-13,11235.0
2016-10-14,11190.0
2016-10-17,11255.0
2016-10-18,11315.0
2016-10-19,11350.0
2016-10-20,11355.0
2016-10-21,11310.0
2016-10-24,11390.0
2016-10-25,11335.0
2016-10-26,11235.0
2016-10-27,11295.0
2016-10-28,11255.0
2016-10-31,11290.0
2016-11-01,11275.0
2016-11-02,11130.0
2016-11-03,11120.0
2016-11-04,11130.0
2016-11-07,11245.0
2016-11-08,11220.0
2016-11-09,10990.0
2016-11-10,11220.0
2016-11-11,11095.0
2016-11-14,10995.0
2016-11-15,10940.0
2016-11-16,10995.0
2016-11-17,10960.0
2016-11-18,10960.0
2016-11-21,10960.0
2016-11-22,11060.0
2016-11-23,11160.0
2016-11-24,11080.0
2016-11-25,11110.0
2016-11-28,11185.0
2016-11-29,11115.0
2016-11-30,11260.0
2016-12-01,11260.0
2016-12-02,11220.0
2016-12-05,11150.0
2016-12-06,11270.0
2016-12-07,11290.0
2016-12-08,11450.0
2016-12-09,11485.0
2016-12-12,11485.0
2016-12-13,11485.0
2016-12-14,11540.0
2016-12-15,11475.0
2016-12-16,11515.0
2016-12-19,11575.0
2016-12-20,11575.0
2016-12-21,11605.0
2016-12-22,11615.0
2016-12-23,11580.0
2016-12-26,11525.0
2016-12-27,11540.0
2016-12-28,11650.0
2016-12-29,11700.0
2017-01-02,11705.0
2017-01-03,11795.0
2017-01-04,11805.0
2017-01-05,11800.0
2017-01-06,11820.0
2017-01-09,11900.0
2017-01-10,11835.0
2017-01-11,12075.0
2017-01-12,12085.0
2017-01-13,12075.0
2017-01-16,12005.0
2017-01-17,12020.0
2017-01-18,11930.0
2017-01-19,12100.0
2017-01-20,12050.0
2017-01-23,11985.0
2017-01-24,12025.0
2017-01-25,12090.0
2017-01-26,12250.0
2017-01-31,12180.0
2017-02-01,12200.0
2017-02-02,12155.0
2017-02-03,12170.0
2017-02-06,12190.0
2017-02-07,12150.0
2017-02-08,12085.0
2017-02-09,12070.0
2017-02-10,12120.0
2017-02-13,12055.0
2017-02-14,12060.0
2017-02-15,12055.0
2017-02-16,12070.0
2017-02-17,12065.0
2017-02-20,12080.0
2017-02-21,12265.0
2017-02-22,12250.0
2017-02-23,12305.0
2017-02-24,12135.0
2017-02-27,12070.0
2017-02-28,12175.0
2017-03-02,12225.0
2017-03-03,12150.0
2017-03-06,12155.0
2017-03-07,12200.0
2017-03-08,12220.0
2017-03-09,12220.0
2017-03-10,12225.0
2017-03-13,12425.0
2017-03-14,12485.0
2017-03-15,12475.0
2017-03-16,12575.0
2017-03-17,12660.0
2017-03-20,12605.0
2017-03-21,12770.0
2017-03-22,12655.0
2017-03-23,12720.0
2017-03-24,12700.0
2017-03-27,12620.0
2017-03-28,12615.0
2017-03-29,12640.0
2017-03-30,12695.0
2017-03-31,12660.0
2017-04-03,12695.0
2017-04-04,12655.0
2017-04-05,12595.0
2017-04-06,12515.0
2017-04-07,12535.0
2017-04-10,12420.0
2017-04-11,12425.0
2017-04-12,12435.0
2017-04-13,12485.0
2017-04-14,12485.0
2017-04-17,12485.0
2017-04-18,12475.0
2017-04-19,12475.0
2017-04-20,12475.0
2017-04-21,12625.0
2017-04-24,12710.0
2017-04-25,12820.0
2017-04-26,12905.0
2017-04-27,12760.0
2017-04-28,12865.0
2017-05-02,12895.0
2017-05-04,13015.0
2017-05-08,13375.0
2017-05-10,13235.0
2017-05-11,13365.0
2017-05-12,13390.0
2017-05-15,13355.0
2017-05-16,13405.0
2017-05-17,13335.0
2017-05-18,13330.0
2017-05-19,13335.0
2017-05-22,13375.0
2017-05-23,13585.0
2017-05-24,13445.0
2017-05-25,13590.0
2017-05-26,13735.0
2017-05-29,13755.0
2017-05-30,13600.0
2017-05-31,13590.0
2017-06-01,13575.0
2017-06-02,13750.0
2017-06-05,13735.0
2017-06-07,13755.0
2017-06-08,13655.0
2017-06-09,13825.0
2017-06-12,13675.0
2017-06-13,13790.0
2017-06-14,13870.0
2017-06-15,13630.0
2017-06-16,13690.0
