Date,KOSEF 국고채10년레버리지
2014-12-19,114785.0
2014-12-22,115955.0
2014-12-23,115850.0
2014-12-24,115955.0
2014-12-26,116495.0
2014-12-29,113830.0
2014-12-30,114060.0
2015-01-02,113250.0
2015-01-05,113615.0
2015-01-06,115045.0
2015-01-07,115040.0
2015-01-08,114800.0
2015-01-09,115290.0
2015-01-12,116830.0
2015-01-13,117260.0
2015-01-14,118560.0
2015-01-15,116800.0
2015-01-16,119350.0
2015-01-19,118330.0
2015-01-20,118500.0
2015-01-21,118490.0
2015-01-22,118040.0
2015-01-23,119260.0
2015-01-26,120025.0
2015-01-27,119915.0
2015-01-28,120630.0
2015-01-29,121290.0
2015-01-30,121130.0
2015-02-02,121025.0
2015-02-03,121745.0
2015-02-04,120550.0
2015-02-05,120365.0
2015-02-06,120200.0
2015-02-09,119785.0
2015-02-10,118855.0
2015-02-11,119115.0
2015-02-12,118180.0
2015-02-13,118160.0
2015-02-16,116690.0
2015-02-17,118485.0
2015-02-23,117735.0
2015-02-24,117570.0
2015-02-25,118580.0
2015-02-26,118795.0
2015-02-27,119085.0
2015-03-02,119455.0
2015-03-03,119135.0
2015-03-04,119035.0
2015-03-05,119100.0
2015-03-06,119820.0
2015-03-09,118740.0
2015-03-10,118830.0
2015-03-11,119800.0
2015-03-12,119865.0
2015-03-13,119290.0
2015-03-16,119625.0
2015-03-17,119985.0
2015-03-18,120500.0
2015-03-19,121945.0
2015-03-20,122050.0
2015-03-23,122490.0
2015-03-24,122345.0
2015-03-25,122760.0
2015-03-26,122750.0
2015-03-27,122460.0
2015-03-30,122890.0
2015-03-31,123140.0
2015-04-01,123360.0
2015-04-02,123735.0
2015-04-03,124110.0
2015-04-06,124885.0
2015-04-07,124325.0
2015-04-08,123670.0
2015-04-09,124720.0
2015-04-10,125190.0
2015-04-13,124450.0
2015-04-14,123880.0
2015-04-15,123965.0
2015-04-16,123090.0
2015-04-17,124240.0
2015-04-20,123565.0
2015-04-21,122900.0
2015-04-22,122870.0
2015-04-23,121105.0
2015-04-24,120630.0
2015-04-27,120780.0
2015-04-28,119055.0
2015-04-29,118625.0
2015-04-30,118415.0
2015-05-04,117080.0
2015-05-06,115685.0
2015-05-07,115625.0
2015-05-08,117570.0
2015-05-11,117865.0
2015-05-12,115345.0
2015-05-13,115750.0
2015-05-14,116540.0
2015-05-15,116185.0
2015-05-18,116625.0
2015-05-19,115755.0
2015-05-20,116920.0
2015-05-21,116750.0
2015-05-22,117080.0
2015-05-26,117115.0
2015-05-27,117950.0
2015-05-28,118540.0
2015-05-29,120160.0
2015-06-01,119915.0
2015-06-02,120485.0
2015-06-03,118405.0
2015-06-04,117240.0
2015-06-05,117555.0
2015-06-08,117125.0
2015-06-09,118135.0
2015-06-10,117535.0
2015-06-11,116640.0
2015-06-12,117770.0
2015-06-15,117465.0
2015-06-16,116970.0
2015-06-17,116195.0
2015-06-18,117075.0
2015-06-19,118320.0
2015-06-22,117320.0
2015-06-23,117625.0
2015-06-24,117830.0
2015-06-25,117780.0
2015-06-26,117680.0
2015-06-29,118290.0
2015-06-30,118420.0
2015-07-01,118180.0
2015-07-02,117145.0
2015-07-03,116925.0
2015-07-06,117940.0
2015-07-07,117775.0
2015-07-08,117840.0
2015-07-09,117795.0
2015-07-10,117120.0
2015-07-13,117135.0
2015-07-14,117340.0
2015-07-15,117410.0
2015-07-16,117900.0
2015-07-17,118040.0
2015-07-20,118190.0
2015-07-21,118355.0
2015-07-22,118885.0
2015-07-23,120375.0
2015-07-24,121020.0
2015-07-27,120640.0
2015-07-28,119520.0
2015-07-29,120065.0
2015-07-30,120035.0
2015-07-31,119210.0
2015-08-03,119765.0
2015-08-04,119810.0
2015-08-05,119010.0
2015-08-06,119070.0
2015-08-07,119250.0
2015-08-10,120305.0
2015-08-11,121000.0
2015-08-12,122360.0
2015-08-13,121500.0
2015-08-17,122020.0
2015-08-18,122445.0
2015-08-19,121625.0
2015-08-20,122185.0
2015-08-21,122730.0
2015-08-24,123520.0
2015-08-25,123405.0
2015-08-26,122870.0
2015-08-27,122305.0
2015-08-28,122000.0
2015-08-31,122170.0
2015-09-01,121315.0
2015-09-02,122735.0
2015-09-03,122530.0
2015-09-04,122840.0
2015-09-07,123215.0
2015-09-08,122890.0
2015-09-09,122835.0
2015-09-10,123425.0
2015-09-11,123225.0
2015-09-14,122660.0
2015-09-15,122635.0
2015-09-16,122590.0
2015-09-17,122725.0
2015-09-18,124100.0
2015-09-21,124850.0
2015-09-22,124780.0
2015-09-23,125190.0
2015-09-24,124885.0
2015-09-25,125240.0
2015-09-30,126855.0
2015-10-01,125845.0
2015-10-02,126130.0
2015-10-05,127120.0
2015-10-06,126915.0
2015-10-07,126505.0
2015-10-08,126310.0
2015-10-12,125225.0
2015-10-13,125615.0
2015-10-14,125580.0
2015-10-15,126835.0
2015-10-16,126875.0
2015-10-19,126380.0
2015-10-20,126430.0
2015-10-21,125555.0
2015-10-22,125830.0
2015-10-23,126055.0
2015-10-26,126025.0
2015-10-27,126895.0
2015-10-28,127585.0
2015-10-29,127235.0
2015-10-30,125990.0
2015-11-02,125965.0
2015-11-03,125210.0
2015-11-04,124745.0
2015-11-05,125100.0
2015-11-06,124505.0
2015-11-09,122700.0
2015-11-10,122815.0
2015-11-11,121735.0
2015-11-12,122120.0
2015-11-13,121525.0
2015-11-16,122810.0
2015-11-17,122410.0
2015-11-18,122495.0
2015-11-19,123035.0
2015-11-20,123580.0
2015-11-23,122765.0
2015-11-24,122880.0
2015-11-25,123265.0
2015-11-26,123560.0
2015-11-27,123360.0
2015-11-30,123325.0
2015-12-01,123115.0
2015-12-02,123340.0
2015-12-03,123295.0
2015-12-04,122050.0
2015-12-07,122555.0
2015-12-08,123675.0
2015-12-09,123930.0
2015-12-10,124320.0
2015-12-11,124095.0
2015-12-14,124450.0
2015-12-15,124245.0
2015-12-16,124245.0
2015-12-17,125485.0
2015-12-18,126460.0
2015-12-21,127025.0
2015-12-22,126315.0
2015-12-23,126335.0
2015-12-24,126865.0
2015-12-28,126915.0
2015-12-29,124440.0
2015-12-30,124195.0
2016-01-04,125025.0
2016-01-05,124730.0
2016-01-06,124895.0
2016-01-07,125430.0
2016-01-08,124765.0
2016-01-11,125205.0
2016-01-12,124780.0
2016-01-13,125225.0
2016-01-14,125300.0
2016-01-15,125515.0
2016-01-18,125000.0
2016-01-19,124530.0
2016-01-20,125600.0
2016-01-21,125970.0
2016-01-22,125065.0
2016-01-25,125370.0
2016-01-26,125820.0
2016-01-27,125755.0
2016-01-28,125625.0
2016-01-29,126305.0
2016-02-01,127600.0
2016-02-02,127460.0
2016-02-03,128700.0
2016-02-04,128600.0
2016-02-05,128365.0
2016-02-11,130900.0
2016-02-12,130050.0
2016-02-15,129710.0
2016-02-16,130820.0
2016-02-17,130500.0
2016-02-18,130210.0
2016-02-19,130175.0
2016-02-22,129870.0
2016-02-23,129900.0
2016-02-24,129895.0
2016-02-25,130200.0
2016-02-26,130800.0
2016-02-29,130730.0
2016-03-02,129845.0
2016-03-03,129230.0
