Date,TIGER 단기통안채
2015-02-10,100365.0
2015-02-11,100360.0
2015-02-12,100370.0
2015-02-13,100380.0
2015-02-16,100410.0
2015-02-17,100415.0
2015-02-23,100420.0
2015-02-24,100425.0
2015-02-25,100430.0
2015-02-26,100445.0
2015-02-27,100455.0
2015-03-02,100460.0
2015-03-03,100465.0
2015-03-04,100475.0
2015-03-05,100490.0
2015-03-06,100510.0
2015-03-09,100510.0
2015-03-10,100515.0
2015-03-11,100535.0
2015-03-12,100545.0
2015-03-13,100560.0
2015-03-16,100565.0
2015-03-17,100570.0
2015-03-18,100580.0
2015-03-19,100600.0
2015-03-20,100600.0
2015-03-23,100605.0
2015-03-24,100610.0
2015-03-25,100615.0
2015-03-26,100625.0
2015-03-27,100625.0
2015-03-30,100635.0
2015-03-31,100645.0
2015-04-01,100650.0
2015-04-02,100665.0
2015-04-03,100675.0
2015-04-06,100675.0
2015-04-07,100680.0
2015-04-08,100685.0
2015-04-09,100695.0
2015-04-10,100710.0
2015-04-13,100710.0
2015-04-14,100710.0
2015-04-15,100715.0
2015-04-16,100735.0
2015-04-17,100740.0
2015-04-20,100745.0
2015-04-21,100745.0
2015-04-22,100755.0
2015-04-23,100760.0
2015-04-24,100770.0
2015-04-27,100760.0
2015-04-28,100770.0
2015-04-29,100785.0
2015-04-30,100795.0
2015-05-04,100800.0
2015-05-06,100805.0
2015-05-07,100820.0
2015-05-08,100820.0
2015-05-11,100825.0
2015-05-12,100835.0
2015-05-13,100830.0
2015-05-14,100850.0
2015-05-15,100855.0
2015-05-18,100855.0
2015-05-19,100865.0
2015-05-20,100865.0
2015-05-21,100885.0
2015-05-22,100890.0
2015-05-26,100890.0
2015-05-27,100900.0
2015-05-28,100910.0
2015-05-29,100915.0
2015-06-01,100925.0
2015-06-02,100930.0
2015-06-03,100935.0
2015-06-04,100950.0
2015-06-05,100955.0
2015-06-08,100960.0
2015-06-09,100965.0
2015-06-10,100970.0
2015-06-11,100985.0
2015-06-12,100990.0
2015-06-15,131255.0
2015-06-16,101000.0
2015-06-17,101005.0
2015-06-18,101020.0
2015-06-19,101025.0
2015-06-22,101030.0
2015-06-23,101030.0
2015-06-24,101030.0
2015-06-25,101040.0
2015-06-26,101045.0
2015-06-29,101050.0
2015-06-30,101055.0
2015-07-01,101060.0
2015-07-02,101070.0
2015-07-03,101080.0
2015-07-06,101080.0
2015-07-07,101085.0
2015-07-08,101090.0
2015-07-09,101105.0
2015-07-10,101110.0
2015-07-13,101120.0
2015-07-14,101115.0
2015-07-15,101125.0
2015-07-16,101140.0
2015-07-17,101145.0
2015-07-20,101145.0
2015-07-21,101145.0
2015-07-22,101150.0
2015-07-23,101160.0
2015-07-24,101170.0
2015-07-27,101175.0
2015-07-28,101180.0
2015-07-29,101180.0
2015-07-30,101190.0
2015-07-31,101195.0
2015-08-03,101195.0
2015-08-04,101200.0
2015-08-05,101210.0
2015-08-06,101220.0
2015-08-07,101225.0
2015-08-10,101225.0
2015-08-11,101230.0
2015-08-12,101250.0
2015-08-13,101250.0
2015-08-17,101255.0
2015-08-18,101260.0
2015-08-19,101260.0
2015-08-20,101275.0
2015-08-21,101275.0
2015-08-24,101280.0
2015-08-25,101285.0
2015-08-26,101285.0
2015-08-27,101305.0
2015-08-28,101305.0
2015-08-31,101305.0
2015-09-01,101305.0
2015-09-02,101320.0
2015-09-03,101330.0
2015-09-04,101340.0
2015-09-07,101340.0
2015-09-08,101340.0
2015-09-09,101350.0
2015-09-10,101365.0
2015-09-11,101360.0
2015-09-14,101365.0
2015-09-15,101370.0
2015-09-16,101380.0
2015-09-17,101390.0
2015-09-18,101390.0
2015-09-21,101390.0
2015-09-22,101395.0
2015-09-23,101400.0
2015-09-24,101420.0
2015-09-25,101425.0
2015-09-30,101435.0
2015-10-01,101445.0
2015-10-02,101445.0
2015-10-05,101450.0
2015-10-06,101455.0
2015-10-07,101470.0
2015-10-08,101470.0
2015-10-12,101475.0
2015-10-13,101480.0
2015-10-14,101480.0
2015-10-15,101495.0
2015-10-16,101505.0
2015-10-19,101505.0
2015-10-20,101510.0
2015-10-21,101515.0
2015-10-22,101525.0
2015-10-23,101525.0
2015-10-26,101530.0
2015-10-27,101525.0
