Date,KOSEF 200 선물
2014-12-22,10400.0
2014-12-23,10390.0
2014-12-24,10425.0
2014-12-26,10425.0
2014-12-29,10400.0
2014-12-30,10265.0
2015-01-02,10300.0
2015-01-05,10295.0
2015-01-06,10075.0
2015-01-07,10115.0
2015-01-08,10235.0
2015-01-09,10365.0
2015-01-12,10340.0
2015-01-13,10380.0
2015-01-14,10350.0
2015-01-15,10365.0
2015-01-16,10200.0
2015-01-19,10330.0
2015-01-20,10425.0
2015-01-21,10440.0
2015-01-22,10480.0
2015-01-23,10560.0
2015-01-26,10540.0
2015-01-27,10610.0
2015-01-28,10625.0
2015-01-29,10565.0
2015-01-30,10600.0
2015-02-02,10525.0
2015-02-03,10575.0
2015-02-04,10635.0
2015-02-05,10510.0
2015-02-06,10500.0
2015-02-09,10545.0
2015-02-10,10460.0
2015-02-11,10455.0
2015-02-12,10470.0
2015-02-13,10505.0
2015-02-16,10535.0
2015-02-17,10555.0
2015-02-23,10610.0
2015-02-24,10600.0
2015-02-25,10630.0
2015-02-26,10630.0
2015-02-27,10620.0
2015-03-02,10625.0
2015-03-03,10725.0
2015-03-04,10695.0
2015-03-05,10675.0
2015-03-06,10760.0
2015-03-09,10655.0
2015-03-10,10605.0
2015-03-11,10605.0
2015-03-12,10575.0
2015-03-13,10635.0
2015-03-16,10605.0
2015-03-17,10900.0
2015-03-18,10920.0
2015-03-19,10930.0
2015-03-20,10920.0
2015-03-23,10925.0
2015-03-24,10940.0
2015-03-25,10910.0
2015-03-26,10855.0
2015-03-27,10805.0
2015-03-30,10830.0
2015-03-31,10840.0
2015-04-01,10740.0
2015-04-02,10745.0
2015-04-03,10820.0
2015-04-06,10850.0
2015-04-07,10865.0
2015-04-08,10880.0
2015-04-09,10895.0
2015-04-10,11040.0
2015-04-13,11090.0
2015-04-14,11180.0
2015-04-15,11225.0
2015-04-16,11305.0
2015-04-17,11320.0
2015-04-20,11310.0
2015-04-21,11300.0
2015-04-22,11345.0
2015-04-23,11500.0
2015-04-24,11445.0
2015-04-27,11410.0
2015-04-28,11370.0
2015-04-29,11305.0
2015-04-30,11245.0
2015-05-04,11300.0
2015-05-06,11130.0
2015-05-07,11065.0
2015-05-08,11030.0
2015-05-11,11025.0
2015-05-12,11020.0
2015-05-13,11100.0
2015-05-14,11120.0
2015-05-15,11010.0
2015-05-18,11030.0
