Date,TIGER 200 에너지화학
2014-12-22,8230.0
2014-12-23,8200.0
2014-12-24,8200.0
2014-12-26,8260.0
2014-12-29,8230.0
2014-12-30,8145.0
2015-01-02,8045.0
2015-01-05,7930.0
2015-01-06,7730.0
2015-01-07,7725.0
2015-01-08,7785.0
2015-01-09,8050.0
2015-01-12,8045.0
2015-01-13,8050.0
2015-01-14,8025.0
2015-01-15,8055.0
2015-01-16,7955.0
2015-01-19,8250.0
2015-01-20,8325.0
2015-01-21,8250.0
2015-01-22,8435.0
2015-01-23,8485.0
2015-01-26,8410.0
2015-01-27,8695.0
2015-01-28,8760.0
2015-01-29,8675.0
2015-01-30,8770.0
2015-02-02,8900.0
2015-02-03,8975.0
2015-02-04,9095.0
2015-02-05,8870.0
2015-02-06,9035.0
2015-02-09,9130.0
2015-02-10,9185.0
2015-02-11,9125.0
2015-02-12,8980.0
2015-02-13,9210.0
2015-02-16,9085.0
2015-02-17,9185.0
2015-02-23,9245.0
2015-02-24,9240.0
2015-02-25,9480.0
2015-02-26,9610.0
2015-02-27,9570.0
2015-03-02,9695.0
2015-03-03,9650.0
2015-03-04,9455.0
2015-03-05,9525.0
2015-03-06,9660.0
2015-03-09,9635.0
2015-03-10,9585.0
2015-03-11,9420.0
2015-03-12,9370.0
2015-03-13,9340.0
2015-03-16,9055.0
2015-03-17,9280.0
2015-03-18,9175.0
2015-03-19,9385.0
2015-03-20,9465.0
2015-03-23,9365.0
2015-03-24,9440.0
2015-03-25,9295.0
2015-03-26,9350.0
2015-03-27,9405.0
2015-03-30,9355.0
2015-03-31,9485.0
2015-04-01,9475.0
2015-04-02,9700.0
2015-04-03,9700.0
2015-04-06,9620.0
2015-04-07,9765.0
2015-04-08,10135.0
2015-04-09,10315.0
2015-04-10,10385.0
2015-04-13,10695.0
2015-04-14,10635.0
2015-04-15,10810.0
2015-04-16,10665.0
2015-04-17,10600.0
2015-04-20,11065.0
2015-04-21,11055.0
2015-04-22,11160.0
2015-04-23,11370.0
2015-04-24,11205.0
2015-04-27,11070.0
2015-04-28,11185.0
2015-04-29,11110.0
2015-04-30,11020.0
2015-05-04,11125.0
2015-05-06,11110.0
2015-05-07,10915.0
2015-05-08,10835.0
2015-05-11,10910.0
2015-05-12,10970.0
2015-05-13,11110.0
2015-05-14,10800.0
2015-05-15,10635.0
2015-05-18,10575.0
2015-05-19,10770.0
2015-05-20,10530.0
2015-05-21,10595.0
2015-05-22,10950.0
2015-05-26,10940.0
2015-05-27,10640.0
2015-05-28,10630.0
2015-05-29,10520.0
2015-06-01,10740.0
2015-06-02,10670.0
2015-06-03,10885.0
2015-06-04,10810.0
2015-06-05,10695.0
2015-06-08,10905.0
2015-06-09,11095.0
2015-06-10,11115.0
2015-06-11,11070.0
2015-06-12,10925.0
2015-06-15,10950.0
2015-06-16,11000.0
2015-06-17,11270.0
2015-06-18,11505.0
2015-06-19,11585.0
2015-06-22,11370.0
2015-06-23,11400.0
2015-06-24,11400.0
2015-06-25,11575.0
2015-06-26,11530.0
2015-06-29,11075.0
2015-06-30,11305.0
2015-07-01,11470.0
2015-07-02,11540.0
2015-07-03,11520.0
2015-07-06,11125.0
2015-07-07,11005.0
2015-07-08,10380.0
2015-07-09,10620.0
2015-07-10,10930.0
2015-07-13,10980.0
2015-07-14,10955.0
2015-07-15,11175.0
2015-07-16,11155.0
2015-07-17,11225.0
2015-07-20,11185.0
2015-07-21,11390.0
2015-07-22,11285.0
2015-07-23,10985.0
2015-07-24,10795.0
2015-07-27,10610.0
2015-07-28,10430.0
2015-07-29,10360.0
2015-07-30,10505.0
2015-07-31,10510.0
2015-08-03,9810.0
2015-08-04,10015.0
2015-08-05,10225.0
2015-08-06,10270.0
2015-08-07,10190.0
2015-08-10,9700.0
2015-08-11,9750.0
2015-08-12,9540.0
2015-08-13,9915.0
2015-08-17,10050.0
2015-08-18,9865.0
2015-08-19,9720.0
2015-08-20,9555.0
2015-08-21,9430.0
2015-08-24,9240.0
2015-08-25,9330.0
2015-08-26,9620.0
2015-08-27,9670.0
2015-08-28,10025.0
2015-08-31,9920.0
2015-09-01,9900.0
2015-09-02,9750.0
2015-09-03,9665.0
2015-09-04,9500.0
2015-09-07,9450.0
2015-09-08,9235.0
2015-09-09,9805.0
2015-09-10,9790.0
2015-09-11,9900.0
2015-09-14,9935.0
2015-09-15,9965.0
2015-09-16,10365.0
2015-09-17,10430.0
2015-09-18,10465.0
2015-09-21,10200.0
2015-09-22,10330.0
2015-09-23,10265.0
2015-09-24,10265.0
2015-09-25,10265.0
2015-09-30,10515.0
2015-10-01,10715.0
2015-10-02,10555.0
2015-10-05,10870.0
2015-10-06,10985.0
2015-10-07,11055.0
2015-10-08,10980.0
2015-10-12,11100.0
2015-10-13,10960.0
2015-10-14,10650.0
2015-10-15,11050.0
2015-10-16,11020.0
2015-10-19,10995.0
2015-10-20,10965.0
2015-10-21,11090.0
2015-10-22,10875.0
2015-10-23,11235.0
2015-10-26,11200.0
2015-10-27,11230.0
2015-10-28,11375.0
2015-10-29,11400.0
2015-10-30,11030.0
2015-11-02,11120.0
2015-11-03,11175.0
2015-11-04,11365.0
2015-11-05,11195.0
2015-11-06,11140.0
2015-11-09,10825.0
2015-11-10,10670.0
2015-11-11,10580.0
2015-11-12,10610.0
2015-11-13,10605.0
2015-11-16,10670.0
2015-11-17,11075.0
2015-11-18,11030.0
2015-11-19,11400.0
2015-11-20,11445.0
2015-11-23,11480.0
2015-11-24,11750.0
2015-11-25,11645.0
2015-11-26,11695.0
2015-11-27,11695.0
2015-11-30,11475.0
2015-12-01,11640.0
2015-12-02,11590.0
2015-12-03,11525.0
2015-12-04,11440.0
2015-12-07,11435.0
2015-12-08,11320.0
2015-12-09,11410.0
2015-12-10,11250.0
2015-12-11,11395.0
2015-12-14,11205.0
2015-12-15,11055.0
2015-12-16,11530.0
2015-12-17,11730.0
2015-12-18,11735.0
2015-12-21,11810.0
2015-12-22,11865.0
2015-12-23,12010.0
2015-12-24,11975.0
2015-12-28,11765.0
2015-12-29,11925.0
2015-12-30,11855.0
2016-01-04,11905.0
2016-01-05,11915.0
2016-01-06,11890.0
2016-01-07,11580.0
2016-01-08,11910.0
2016-01-11,11770.0
2016-01-12,11860.0
2016-01-13,12030.0
2016-01-14,11845.0
2016-01-15,11510.0
2016-01-18,11540.0
2016-01-19,11380.0
2016-01-20,11010.0
2016-01-21,11300.0
2016-01-22,11390.0
2016-01-25,11585.0
2016-01-26,11250.0
2016-01-27,11340.0
2016-01-28,11330.0
2016-01-29,11440.0
2016-02-01,11525.0
2016-02-02,11410.0
2016-02-03,11335.0
2016-02-04,12045.0
2016-02-05,11905.0
2016-02-11,11385.0
2016-02-12,11090.0
2016-02-15,11205.0
2016-02-16,11605.0
2016-02-17,11530.0
2016-02-18,11800.0
2016-02-19,12040.0
2016-02-22,12095.0
2016-02-23,12215.0
2016-02-24,12160.0
2016-02-25,12125.0
2016-02-26,12020.0
2016-02-29,12140.0
2016-03-02,12560.0
2016-03-03,12505.0
2016-03-04,12325.0
2016-03-07,12520.0
2016-03-08,12450.0
2016-03-09,12305.0
2016-03-10,12570.0
2016-03-11,12525.0
2016-03-14,12600.0
2016-03-15,12570.0
2016-03-16,12450.0
2016-03-17,12870.0
2016-03-18,12890.0
2016-03-21,12895.0
2016-03-22,12800.0
2016-03-23,12815.0
2016-03-24,12910.0
2016-03-25,13105.0
2016-03-28,13050.0
2016-03-29,13240.0
2016-03-30,13520.0
2016-03-31,13490.0
2016-04-01,13160.0
2016-04-04,13235.0
2016-04-05,13030.0
2016-04-06,13170.0
2016-04-07,13245.0
2016-04-08,13225.0
2016-04-11,13180.0
2016-04-12,13300.0
2016-04-14,13705.0
2016-04-15,13385.0
2016-04-18,13275.0
2016-04-19,13205.0
2016-04-20,13100.0
2016-04-21,13130.0
2016-04-22,12910.0
2016-04-25,13030.0
2016-04-26,12725.0
2016-04-27,12795.0
2016-04-28,12500.0
2016-04-29,12285.0
2016-05-02,12345.0
2016-05-03,12330.0
2016-05-04,12035.0
2016-05-09,11715.0
2016-05-10,11920.0
2016-05-11,12195.0
2016-05-12,12205.0
2016-05-13,11990.0
2016-05-16,11945.0
2016-05-17,12075.0
2016-05-18,11880.0
2016-05-19,11685.0
2016-05-20,11765.0
2016-05-23,11840.0
2016-05-24,11600.0
2016-05-25,11725.0
2016-05-26,11765.0
2016-05-27,12075.0
2016-05-30,11945.0
2016-05-31,11985.0
2016-06-01,11780.0
2016-06-02,11735.0
2016-06-03,11610.0
2016-06-07,11825.0
2016-06-08,11920.0
2016-06-09,11880.0
2016-06-10,11890.0
2016-06-13,11670.0
2016-06-14,11490.0
2016-06-15,11390.0
2016-06-16,11375.0
2016-06-17,11305.0
2016-06-20,11470.0
2016-06-21,11255.0
2016-06-22,11425.0
2016-06-23,11325.0
2016-06-24,10820.0
2016-06-27,10785.0
2016-06-28,10800.0
2016-06-29,11170.0
2016-06-30,11130.0
2016-07-01,11180.0
2016-07-04,11470.0
2016-07-05,11360.0
2016-07-06,11030.0
2016-07-07,11090.0
2016-07-08,10955.0
2016-07-11,11255.0
2016-07-12,11190.0
2016-07-13,11435.0
2016-07-14,11570.0
2016-07-15,11530.0
2016-07-18,11570.0
2016-07-19,11560.0
2016-07-20,11535.0
2016-07-21,11405.0
2016-07-22,11415.0
2016-07-25,11425.0
2016-07-26,11470.0
2016-07-27,11385.0
2016-07-28,11305.0
2016-07-29,11430.0
2016-08-01,11670.0
2016-08-02,11540.0
2016-08-03,11380.0
2016-08-04,11495.0
2016-08-05,11580.0
2016-08-08,11555.0
2016-08-09,11780.0
2016-08-10,11840.0
2016-08-11,11760.0
2016-08-12,11855.0
2016-08-16,11880.0
2016-08-17,11930.0
2016-08-18,11735.0
2016-08-19,11720.0
2016-08-22,11705.0
2016-08-23,11560.0
2016-08-24,11640.0
2016-08-25,11500.0
2016-08-26,11525.0
2016-08-29,11290.0
2016-08-30,11350.0
2016-08-31,11410.0
2016-09-01,11360.0
2016-09-02,11360.0
2016-09-05,11570.0
2016-09-06,11300.0
2016-09-07,11440.0
2016-09-08,11300.0
2016-09-09,11370.0
2016-09-12,11205.0
2016-09-13,11130.0
2016-09-19,11095.0
2016-09-20,11115.0
2016-09-21,11260.0
2016-09-22,11240.0
2016-09-23,11325.0
2016-09-26,11420.0
2016-09-27,11485.0
2016-09-28,11375.0
2016-09-29,11645.0
2016-09-30,11575.0
2016-10-04,11600.0
2016-10-05,11515.0
2016-10-06,11465.0
2016-10-07,11425.0
2016-10-10,11570.0
2016-10-11,11665.0
2016-10-12,11675.0
2016-10-13,11455.0
2016-10-14,11460.0
2016-10-17,11670.0
2016-10-18,11875.0
2016-10-19,11875.0
2016-10-20,12035.0
2016-10-21,11945.0
2016-10-24,11970.0
2016-10-25,11870.0
2016-10-26,11665.0
2016-10-27,11700.0
2016-10-28,11610.0
2016-10-31,11525.0
2016-11-01,11610.0
2016-11-02,11500.0
2016-11-03,11635.0
2016-11-04,11615.0
2016-11-07,11830.0
2016-11-08,11870.0
2016-11-09,11515.0
2016-11-10,11780.0
2016-11-11,11660.0
2016-11-14,11820.0
2016-11-15,11900.0
2016-11-16,11925.0
2016-11-17,11900.0
2016-11-18,11655.0
2016-11-21,11725.0
2016-11-22,11840.0
2016-11-23,11920.0
