Date,TIGER 로우볼
2014-12-22,12055.0
2014-12-23,12115.0
2014-12-24,12115.0
2014-12-26,12140.0
2014-12-29,12105.0
2014-12-30,12020.0
2015-01-02,12020.0
2015-01-05,11905.0
2015-01-06,11815.0
2015-01-07,11725.0
2015-01-08,11885.0
2015-01-09,11990.0
2015-01-12,11960.0
2015-01-13,11925.0
2015-01-14,11925.0
2015-01-15,11925.0
2015-01-16,11795.0
2015-01-19,11825.0
2015-01-20,11850.0
2015-01-21,11855.0
2015-01-22,11845.0
2015-01-23,11870.0
2015-01-26,11875.0
2015-01-27,11930.0
2015-01-28,11915.0
2015-01-29,11980.0
2015-01-30,11980.0
2015-02-02,11970.0
2015-02-03,11980.0
2015-02-04,12065.0
2015-02-05,11980.0
2015-02-06,11995.0
2015-02-09,11975.0
2015-02-10,11965.0
2015-02-11,12020.0
2015-02-12,12005.0
2015-02-13,12030.0
2015-02-16,12080.0
2015-02-17,12085.0
2015-02-23,12180.0
2015-02-24,12210.0
2015-02-25,12225.0
2015-02-26,12150.0
2015-02-27,12135.0
2015-03-02,12000.0
2015-03-03,12080.0
2015-03-04,12030.0
2015-03-05,12080.0
2015-03-06,12065.0
2015-03-09,11955.0
2015-03-10,11890.0
2015-03-11,11760.0
2015-03-12,11790.0
2015-03-13,11935.0
2015-03-16,11950.0
2015-03-17,12100.0
2015-03-18,12130.0
2015-03-19,12160.0
2015-03-20,12150.0
2015-03-23,12115.0
2015-03-24,12125.0
2015-03-25,12185.0
2015-03-26,12200.0
2015-03-27,12175.0
2015-03-30,12200.0
2015-03-31,12310.0
2015-04-01,12245.0
2015-04-02,12285.0
2015-04-03,12365.0
2015-04-06,12335.0
2015-04-07,12380.0
2015-04-08,12325.0
2015-04-09,12285.0
2015-04-10,12465.0
2015-04-13,12460.0
2015-04-14,12620.0
2015-04-15,12645.0
2015-04-16,12800.0
2015-04-17,12915.0
2015-04-20,12930.0
2015-04-21,12915.0
2015-04-22,12850.0
2015-04-23,13055.0
2015-04-24,13150.0
2015-04-27,13135.0
2015-04-28,13025.0
2015-04-29,12920.0
2015-04-30,12880.0
2015-05-04,13030.0
2015-05-06,12885.0
2015-05-07,12740.0
2015-05-08,12730.0
2015-05-11,12870.0
2015-05-12,12945.0
2015-05-13,13110.0
2015-05-14,13165.0
2015-05-15,13155.0
2015-05-18,13240.0
2015-05-19,13230.0
2015-05-20,13260.0
2015-05-21,13220.0
2015-05-22,13365.0
2015-05-26,13370.0
2015-05-27,13130.0
2015-05-28,13085.0
2015-05-29,13105.0
2015-06-01,12960.0
2015-06-02,12755.0
2015-06-03,12745.0
2015-06-04,12725.0
