Date,KINDEX 삼성그룹동일가중
2015-02-10,10520.0
2015-02-11,10635.0
2015-02-12,10525.0
2015-02-13,10585.0
2015-02-16,10680.0
2015-02-17,10650.0
2015-02-23,10720.0
2015-02-24,10800.0
2015-02-25,10925.0
2015-02-26,10975.0
2015-02-27,10945.0
2015-03-02,11035.0
2015-03-03,11025.0
2015-03-04,11025.0
2015-03-05,11045.0
2015-03-06,11100.0
2015-03-09,11050.0
2015-03-10,10965.0
2015-03-11,10810.0
2015-03-12,10785.0
2015-03-13,10780.0
2015-03-16,10655.0
2015-03-17,10865.0
2015-03-18,10865.0
2015-03-19,10920.0
2015-03-20,10935.0
2015-03-23,11055.0
2015-03-24,11080.0
2015-03-25,11150.0
2015-03-26,11015.0
2015-03-27,11050.0
2015-03-30,11145.0
2015-03-31,11115.0
2015-04-01,10985.0
2015-04-02,11000.0
2015-04-03,11145.0
2015-04-06,11245.0
2015-04-07,11290.0
2015-04-08,11275.0
2015-04-09,11270.0
2015-04-10,11340.0
2015-04-13,11650.0
2015-04-14,11800.0
2015-04-15,11900.0
2015-04-16,12025.0
2015-04-17,11935.0
2015-04-20,11910.0
2015-04-21,11800.0
2015-04-22,11800.0
2015-04-23,12020.0
2015-04-24,11765.0
2015-04-27,11730.0
2015-04-28,11640.0
2015-04-29,11420.0
2015-04-30,11300.0
2015-05-04,11375.0
2015-05-06,11220.0
2015-05-07,11160.0
2015-05-08,11090.0
2015-05-11,11160.0
2015-05-12,11060.0
2015-05-13,11175.0
2015-05-14,11340.0
2015-05-15,11255.0
2015-05-18,11230.0
2015-05-19,11280.0
2015-05-20,11295.0
2015-05-21,11130.0
2015-05-22,11390.0
2015-05-26,11670.0
2015-05-27,11580.0
2015-05-28,11475.0
2015-05-29,11510.0
2015-06-01,11435.0
2015-06-02,11460.0
2015-06-03,11350.0
2015-06-04,11315.0
2015-06-05,11370.0
2015-06-08,11345.0
2015-06-09,11195.0
2015-06-10,11230.0
2015-06-11,11140.0
2015-06-12,11070.0
2015-06-15,10935.0
2015-06-16,10685.0
2015-06-17,10760.0
2015-06-18,10725.0
2015-06-19,10710.0
2015-06-22,10755.0
2015-06-23,11015.0
2015-06-24,10965.0
2015-06-25,10905.0
2015-06-26,10895.0
2015-06-29,10555.0
2015-06-30,10650.0
2015-07-01,11010.0
