Date,TIGER 금속선물(H)
2014-12-22,6065.0
2014-12-23,6060.0
2014-12-24,6015.0
2014-12-26,6020.0
2014-12-29,6020.0
2014-12-30,6015.0
2015-01-02,5990.0
2015-01-05,5940.0
2015-01-06,5880.0
2015-01-07,5850.0
2015-01-08,5835.0
2015-01-09,5885.0
2015-01-12,5800.0
2015-01-13,5800.0
2015-01-14,5700.0
2015-01-15,5510.0
2015-01-16,5555.0
2015-01-19,5710.0
2015-01-20,5680.0
2015-01-21,5670.0
2015-01-22,5705.0
2015-01-23,5695.0
2015-01-26,5525.0
2015-01-27,5620.0
2015-01-28,5550.0
2015-01-29,5550.0
2015-01-30,5520.0
2015-02-02,5615.0
2015-02-03,5635.0
2015-02-04,5720.0
2015-02-05,5720.0
2015-02-06,5700.0
2015-02-09,5695.0
2015-02-10,5690.0
2015-02-11,5615.0
2015-02-12,5590.0
2015-02-13,5680.0
2015-02-16,5675.0
2015-02-17,5670.0
2015-02-23,5575.0
2015-02-24,5565.0
2015-02-25,5610.0
2015-02-26,5610.0
2015-02-27,5640.0
2015-03-02,5665.0
2015-03-03,5685.0
2015-03-04,5610.0
2015-03-05,5650.0
2015-03-06,5610.0
2015-03-09,5590.0
2015-03-10,5650.0
2015-03-11,5580.0
2015-03-12,5505.0
2015-03-13,5555.0
2015-03-16,5555.0
2015-03-17,5610.0
2015-03-18,5600.0
2015-03-19,5505.0
2015-03-20,5575.0
2015-03-23,5715.0
2015-03-24,5790.0
2015-03-25,5725.0
2015-03-26,5730.0
2015-03-27,5730.0
2015-03-30,5695.0
2015-03-31,5720.0
2015-04-01,5675.0
2015-04-02,5675.0
2015-04-03,5615.0
2015-04-06,5665.0
2015-04-07,5645.0
2015-04-08,5670.0
2015-04-09,5630.0
2015-04-10,5595.0
2015-04-13,5645.0
2015-04-14,5570.0
2015-04-15,5600.0
2015-04-16,5650.0
2015-04-17,5695.0
2015-04-20,5695.0
2015-04-21,5670.0
2015-04-22,5655.0
2015-04-23,5620.0
2015-04-24,5605.0
2015-04-27,5670.0
2015-04-28,5715.0
2015-04-29,5795.0
2015-04-30,5835.0
2015-05-04,6025.0
2015-05-06,6120.0
2015-05-07,6025.0
2015-05-08,5980.0
2015-05-11,5995.0
2015-05-12,5960.0
2015-05-13,5990.0
2015-05-14,5975.0
2015-05-15,5965.0
2015-05-18,5960.0
2015-05-19,5895.0
2015-05-20,5740.0
2015-05-21,5740.0
2015-05-22,5730.0
2015-05-26,5665.0
2015-05-27,5625.0
2015-05-28,5600.0
2015-05-29,5650.0
2015-06-01,5555.0
2015-06-02,5545.0
2015-06-03,5595.0
2015-06-04,5575.0
2015-06-05,5515.0
2015-06-08,5540.0
2015-06-09,5565.0
2015-06-10,5560.0
2015-06-11,5600.0
2015-06-12,5525.0
2015-06-15,5505.0
2015-06-16,5430.0
2015-06-17,5370.0
2015-06-18,5360.0
2015-06-19,5370.0
2015-06-22,5310.0
2015-06-23,5305.0
2015-06-24,5390.0
2015-06-25,5365.0
2015-06-26,5385.0
2015-06-29,5355.0
2015-06-30,5335.0
2015-07-01,5315.0
2015-07-02,5330.0
2015-07-03,5330.0
2015-07-06,5330.0
2015-07-07,5215.0
2015-07-08,5015.0
2015-07-09,5075.0
2015-07-10,5235.0
2015-07-13,5180.0
2015-07-14,5180.0
2015-07-15,5205.0
2015-07-16,5160.0
2015-07-17,5200.0
2015-07-20,5110.0
2015-07-21,5100.0
2015-07-22,5095.0
2015-07-23,5035.0
2015-07-24,4920.0
2015-07-27,4960.0
2015-07-28,4930.0
2015-07-29,4955.0
2015-07-30,4980.0
2015-07-31,4950.0
2015-08-03,4905.0
2015-08-04,4890.0
2015-08-05,4895.0
2015-08-06,4850.0
2015-08-07,4850.0
2015-08-10,4840.0
2015-08-11,4900.0
2015-08-12,4810.0
2015-08-13,4825.0
2015-08-17,4820.0
2015-08-18,4770.0
2015-08-19,4720.0
2015-08-20,4705.0
2015-08-21,4785.0
2015-08-24,4720.0
2015-08-25,4555.0
2015-08-26,4660.0
2015-08-27,4615.0
2015-08-28,4725.0
2015-08-31,4775.0
2015-09-01,4805.0
2015-09-02,4770.0
2015-09-03,4770.0
2015-09-04,4850.0
2015-09-07,4775.0
2015-09-08,4805.0
2015-09-09,4950.0
2015-09-10,4960.0
2015-09-11,4935.0
2015-09-14,4970.0
2015-09-15,4895.0
2015-09-16,4910.0
2015-09-17,4950.0
2015-09-18,4905.0
2015-09-21,4825.0
2015-09-22,4825.0
2015-09-23,4750.0
2015-09-24,4715.0
2015-09-25,4735.0
2015-09-30,4675.0
2015-10-01,4790.0
2015-10-02,4735.0
2015-10-05,4670.0
2015-10-06,4735.0
2015-10-07,4750.0
2015-10-08,4770.0
2015-10-12,4840.0
2015-10-13,4875.0
2015-10-14,4835.0
2015-10-15,4810.0
2015-10-16,4795.0
2015-10-19,4825.0
2015-10-20,4750.0
2015-10-21,4735.0
2015-10-22,4695.0
2015-10-23,4695.0
2015-10-26,4670.0
2015-10-27,4665.0
2015-10-28,4645.0
2015-10-29,4685.0
2015-10-30,4615.0
2015-11-02,4560.0
2015-11-03,4640.0
2015-11-04,4640.0
2015-11-05,4645.0
2015-11-06,4595.0
