Date,KINDEX 중국본토CSI300
2014-12-19,17935.0
2014-12-22,18260.0
2014-12-23,18035.0
2014-12-24,17050.0
2014-12-26,18060.0
2014-12-29,18260.0
2014-12-30,18205.0
2015-01-02,18915.0
2015-01-05,19490.0
2015-01-06,19275.0
2015-01-07,19100.0
2015-01-08,18900.0
2015-01-09,19165.0
2015-01-12,18265.0
2015-01-13,18340.0
2015-01-14,18195.0
2015-01-15,18395.0
2015-01-16,18820.0
2015-01-19,17235.0
2015-01-20,17570.0
2015-01-21,18270.0
2015-01-22,18370.0
2015-01-23,18540.0
2015-01-26,18545.0
2015-01-27,18500.0
2015-01-28,18520.0
2015-01-29,18110.0
2015-01-30,18010.0
2015-02-02,17665.0
2015-02-03,17820.0
2015-02-04,18000.0
2015-02-05,17930.0
2015-02-06,17595.0
2015-02-09,17715.0
2015-02-10,17660.0
2015-02-11,18055.0
2015-02-12,18300.0
2015-02-13,18395.0
2015-02-16,18310.0
2015-02-17,18540.0
2015-02-23,18650.0
2015-02-24,18790.0
2015-02-25,18490.0
2015-02-26,18525.0
2015-02-27,18790.0
2015-03-02,18835.0
2015-03-03,18550.0
2015-03-04,18500.0
2015-03-05,18350.0
2015-03-06,18325.0
2015-03-09,18500.0
2015-03-10,18825.0
2015-03-11,18750.0
2015-03-12,19205.0
2015-03-13,19430.0
2015-03-16,19870.0
2015-03-17,20340.0
2015-03-18,20680.0
2015-03-19,20525.0
2015-03-20,21120.0
2015-03-23,21180.0
2015-03-24,21170.0
2015-03-25,20730.0
2015-03-26,20900.0
2015-03-27,20935.0
2015-03-30,21345.0
2015-03-31,22050.0
2015-04-01,21765.0
2015-04-02,21590.0
2015-04-03,21905.0
2015-04-06,22010.0
2015-04-07,22255.0
2015-04-08,22360.0
2015-04-09,21990.0
2015-04-10,22410.0
2015-04-13,22955.0
2015-04-14,22950.0
2015-04-15,23250.0
2015-04-16,23500.0
2015-04-17,23840.0
2015-04-20,23530.0
2015-04-21,23800.0
2015-04-22,24375.0
2015-04-23,24710.0
2015-04-24,24070.0
2015-04-27,24650.0
2015-04-28,24570.0
2015-04-29,24510.0
2015-04-30,24495.0
2015-05-04,24655.0
2015-05-06,24090.0
2015-05-07,23395.0
2015-05-08,23260.0
2015-05-11,24240.0
2015-05-12,24720.0
2015-05-13,24870.0
2015-05-14,24465.0
2015-05-15,24120.0
2015-05-18,24045.0
2015-05-19,24635.0
2015-05-20,25450.0
2015-05-21,25250.0
2015-05-22,25865.0
2015-05-26,27430.0
2015-05-27,27535.0
2015-05-28,27065.0
2015-05-29,26490.0
2015-06-01,27045.0
2015-06-02,27250.0
2015-06-03,27080.0
2015-06-04,26710.0
2015-06-05,27600.0
2015-06-08,28100.0
2015-06-09,28320.0
2015-06-10,28450.0
2015-06-11,28175.0
2015-06-12,28430.0
2015-06-15,28250.0
2015-06-16,27580.0
2015-06-17,27370.0
2015-06-18,26900.0
2015-06-19,25750.0
2015-06-22,24980.0
2015-06-23,25160.0
2015-06-24,25770.0
2015-06-25,26285.0
2015-06-26,23965.0
2015-06-29,22745.0
2015-06-30,23700.0
2015-07-01,24035.0
2015-07-02,22600.0
2015-07-03,21800.0
2015-07-06,21375.0
2015-07-07,21040.0
2015-07-08,19950.0
2015-07-09,20500.0
2015-07-10,21970.0
2015-07-13,22700.0
2015-07-14,22315.0
2015-07-15,21300.0
2015-07-16,21880.0
2015-07-17,22780.0
2015-07-20,22820.0
2015-07-21,23230.0
2015-07-22,22510.0
2015-07-23,23270.0
2015-07-24,23370.0
2015-07-27,22585.0
2015-07-28,21060.0
2015-07-29,21205.0
