Date,KOSEF 국고채3년
2014-01-13,107030.0
2014-01-14,107050.0
2014-01-15,107005.0
2014-01-16,107060.0
2014-01-17,107070.0
2014-01-20,107050.0
2014-01-21,107025.0
2014-01-22,107000.0
2014-01-23,107095.0
2014-01-24,107200.0
2014-01-27,107170.0
2014-01-28,107225.0
2014-01-29,107185.0
2014-02-03,107245.0
2014-02-04,107330.0
2014-02-05,107350.0
2014-02-06,107340.0
2014-02-07,107380.0
2014-02-10,107435.0
2014-02-11,107475.0
2014-02-12,107400.0
2014-02-13,107525.0
2014-02-14,107540.0
2014-02-17,107530.0
2014-02-18,107490.0
2014-02-19,107535.0
2014-02-20,107560.0
2014-02-21,107505.0
2014-02-24,107540.0
2014-02-25,107560.0
2014-02-26,107580.0
2014-02-27,107650.0
2014-02-28,107655.0
2014-03-03,107535.0
2014-03-04,107470.0
2014-03-05,107505.0
2014-03-06,107025.0
2014-03-07,106990.0
2014-03-10,107060.0
2014-03-11,107095.0
2014-03-12,107080.0
2014-03-13,107110.0
2014-03-14,107235.0
2014-03-17,107270.0
2014-03-18,107265.0
2014-03-19,107235.0
2014-03-20,107265.0
2014-03-21,107120.0
2014-03-24,107195.0
2014-03-25,107190.0
2014-03-26,107205.0
2014-03-27,107250.0
2014-03-28,107230.0
2014-03-31,107300.0
2014-04-01,107220.0
2014-04-02,107205.0
2014-04-03,107215.0
2014-04-04,107290.0
2014-04-07,107350.0
2014-04-08,107350.0
2014-04-09,107400.0
2014-04-10,107445.0
2014-04-11,107450.0
2014-04-14,107390.0
2014-04-15,107395.0
2014-04-16,107390.0
2014-04-17,107455.0
2014-04-18,107375.0
2014-04-21,107440.0
2014-04-22,107465.0
2014-04-23,107470.0
2014-04-24,107485.0
2014-04-25,107500.0
2014-04-28,107475.0
2014-04-29,107575.0
2014-04-30,107610.0
2014-05-02,107655.0
2014-05-07,107710.0
2014-05-08,107745.0
2014-05-09,107750.0
2014-05-12,107780.0
2014-05-13,107795.0
2014-05-14,107785.0
2014-05-15,107920.0
2014-05-16,107900.0
2014-05-19,107890.0
2014-05-20,107880.0
2014-05-21,107870.0
2014-05-22,107885.0
2014-05-23,107940.0
2014-05-26,107985.0
2014-05-27,107995.0
2014-05-28,108025.0
2014-05-29,108105.0
2014-05-30,108100.0
2014-06-02,108070.0
2014-06-03,108095.0
2014-06-05,107085.0
2014-06-09,107145.0
2014-06-10,107180.0
2014-06-11,107190.0
2014-06-12,107345.0
2014-06-13,107455.0
2014-06-16,107505.0
2014-06-17,107490.0
2014-06-18,107485.0
2014-06-19,107555.0
2014-06-20,107735.0
2014-06-23,107710.0
2014-06-24,107710.0
2014-06-25,107680.0
2014-06-26,107690.0
2014-06-27,107770.0
2014-06-30,107815.0
2014-07-01,107775.0
2014-07-02,107980.0
2014-07-03,108105.0
2014-07-04,108075.0
2014-07-07,108085.0
2014-07-08,107990.0
2014-07-09,108030.0
2014-07-10,108195.0
2014-07-11,108240.0
2014-07-14,108190.0
2014-07-15,108235.0
2014-07-16,108285.0
2014-07-17,108490.0
2014-07-18,108485.0
2014-07-21,108485.0
2014-07-22,108500.0
2014-07-23,108605.0
2014-07-24,108575.0
2014-07-25,108570.0
2014-07-28,108555.0
2014-07-29,108510.0
2014-07-30,108545.0
2014-07-31,108535.0
2014-08-01,108480.0
2014-08-04,108470.0
2014-08-05,108575.0
2014-08-06,108545.0
2014-08-07,108615.0
2014-08-08,108690.0
2014-08-11,108680.0
2014-08-12,108660.0
2014-08-13,108665.0
2014-08-14,108695.0
2014-08-18,108610.0
2014-08-19,108475.0
2014-08-20,108530.0
2014-08-21,108510.0
2014-08-22,108550.0
2014-08-25,108565.0
2014-08-26,108675.0
2014-08-27,108745.0
2014-08-28,108775.0
2014-08-29,108800.0
2014-09-01,108800.0
2014-09-02,108825.0
2014-09-03,108760.0
2014-09-04,108260.0
2014-09-05,108360.0
2014-09-11,108415.0
2014-09-12,108580.0
2014-09-15,108655.0
2014-09-16,108800.0
2014-09-17,108770.0
2014-09-18,108795.0
2014-09-19,108790.0
2014-09-22,108860.0
2014-09-23,108915.0
2014-09-24,108965.0
2014-09-25,109000.0
2014-09-26,109020.0
2014-09-29,109060.0
2014-09-30,109160.0
2014-10-01,109380.0
2014-10-02,109350.0
2014-10-06,109375.0
2014-10-07,109305.0
2014-10-08,109310.0
2014-10-10,109410.0
2014-10-13,109370.0
2014-10-14,109360.0
2014-10-15,109300.0
2014-10-16,109495.0
2014-10-17,109490.0
2014-10-20,109505.0
2014-10-21,109530.0
2014-10-22,109580.0
2014-10-23,109660.0
2014-10-24,109725.0
2014-10-27,109710.0
2014-10-28,109705.0
2014-10-29,109690.0
2014-10-30,109820.0
2014-10-31,110000.0
2014-11-03,109985.0
2014-11-04,110130.0
2014-11-05,110140.0
2014-11-06,110165.0
2014-11-07,110160.0
2014-11-10,110070.0
2014-11-11,109945.0
2014-11-12,109830.0
2014-11-13,109750.0
2014-11-14,109850.0
2014-11-17,109875.0
2014-11-18,109940.0
2014-11-19,109960.0
2014-11-20,110045.0
2014-11-21,110060.0
2014-11-24,110160.0
2014-11-25,110235.0
2014-11-26,110230.0
2014-11-27,110285.0
2014-11-28,110345.0
2014-12-01,110350.0
2014-12-02,110345.0
2014-12-03,110205.0
2014-12-04,110055.0
2014-12-05,110055.0
2014-12-08,109005.0
2014-12-09,109055.0
