Date,TIGER 방송통신
2014-12-22,9215.0
2014-12-23,9385.0
2014-12-24,9200.0
2014-12-26,9185.0
2014-12-29,9130.0
2014-12-30,9130.0
2015-01-02,9310.0
2015-01-05,9445.0
2015-01-06,9350.0
2015-01-07,9260.0
2015-01-08,9145.0
2015-01-09,9185.0
2015-01-12,9215.0
2015-01-13,9170.0
2015-01-14,9150.0
2015-01-15,9235.0
2015-01-16,9150.0
2015-01-19,9200.0
2015-01-20,9220.0
2015-01-21,9255.0
2015-01-22,9255.0
2015-01-23,9420.0
2015-01-26,9440.0
2015-01-27,9440.0
2015-01-28,9440.0
2015-01-29,9430.0
2015-01-30,9515.0
2015-02-02,9345.0
2015-02-03,9340.0
2015-02-04,9355.0
2015-02-05,9385.0
2015-02-06,9385.0
2015-02-09,9260.0
2015-02-10,9250.0
2015-02-11,9465.0
2015-02-12,9565.0
2015-02-13,9575.0
2015-02-16,9625.0
2015-02-17,9625.0
2015-02-23,9695.0
2015-02-24,9660.0
2015-02-25,9655.0
2015-02-26,9605.0
2015-02-27,9720.0
2015-03-02,9685.0
2015-03-03,9570.0
2015-03-04,9620.0
2015-03-05,9600.0
2015-03-06,9585.0
2015-03-09,9505.0
2015-03-10,9420.0
2015-03-11,9325.0
2015-03-12,9360.0
2015-03-13,9545.0
2015-03-16,9510.0
2015-03-17,9535.0
2015-03-18,9610.0
2015-03-19,9705.0
2015-03-20,9615.0
2015-03-23,9535.0
2015-03-24,9600.0
2015-03-25,9605.0
2015-03-26,9655.0
2015-03-27,9730.0
2015-03-30,9695.0
2015-03-31,9715.0
2015-04-01,9695.0
2015-04-02,9735.0
2015-04-03,9740.0
2015-04-06,9710.0
2015-04-07,9740.0
2015-04-08,9600.0
2015-04-09,9540.0
2015-04-10,9580.0
2015-04-13,9550.0
2015-04-14,9715.0
2015-04-15,9605.0
2015-04-16,9625.0
2015-04-17,9745.0
2015-04-20,9805.0
2015-04-21,9745.0
2015-04-22,9705.0
2015-04-23,9750.0
2015-04-24,9945.0
2015-04-27,10020.0
2015-04-28,10035.0
2015-04-29,9895.0
2015-04-30,9990.0
2015-05-04,9895.0
2015-05-06,9675.0
2015-05-07,9490.0
2015-05-08,9420.0
2015-05-11,9555.0
2015-05-12,9680.0
2015-05-13,9750.0
2015-05-14,9725.0
2015-05-15,9695.0
2015-05-18,9675.0
2015-05-19,9615.0
2015-05-20,9560.0
2015-05-21,9740.0
2015-05-22,9830.0
2015-05-26,9785.0
2015-05-27,9660.0
2015-05-28,9635.0
2015-05-29,9395.0
2015-06-01,9430.0
2015-06-02,9345.0
2015-06-03,9300.0
2015-06-04,9275.0
2015-06-05,9385.0
2015-06-08,9410.0
