Date,KODEX 국채선물10년인버스
2014-12-19,49000.0
2014-12-22,48735.0
2014-12-23,48690.0
2014-12-24,48775.0
2014-12-26,48690.0
2014-12-29,48540.0
2014-12-30,48510.0
2015-01-02,48680.0
2015-01-05,48670.0
2015-01-06,48275.0
2015-01-07,48280.0
2015-01-08,48375.0
2015-01-09,48235.0
2015-01-12,47960.0
2015-01-13,47855.0
2015-01-14,47600.0
2015-01-15,47920.0
2015-01-16,47435.0
2015-01-19,47665.0
2015-01-20,47610.0
2015-01-21,47595.0
2015-01-22,47795.0
2015-01-23,47470.0
2015-01-26,47360.0
2015-01-27,47375.0
2015-01-28,47205.0
2015-01-29,47055.0
2015-01-30,47145.0
2015-02-02,47130.0
2015-02-03,47010.0
2015-02-04,47170.0
2015-02-05,47275.0
2015-02-06,47290.0
2015-02-09,47350.0
2015-02-10,47620.0
2015-02-11,47560.0
2015-02-12,47690.0
2015-02-13,47750.0
2015-02-16,48065.0
2015-02-17,47680.0
2015-02-23,47895.0
2015-02-24,47850.0
2015-02-25,47680.0
2015-02-26,47665.0
2015-02-27,47585.0
2015-03-02,47420.0
2015-03-03,47650.0
2015-03-04,47640.0
2015-03-05,47580.0
2015-03-06,47465.0
2015-03-09,47705.0
2015-03-10,47665.0
2015-03-11,47450.0
2015-03-12,47495.0
2015-03-13,47645.0
2015-03-16,47550.0
2015-03-17,47455.0
2015-03-18,47275.0
2015-03-19,47095.0
2015-03-20,47050.0
2015-03-23,46995.0
2015-03-24,47050.0
2015-03-25,46925.0
2015-03-26,46850.0
2015-03-27,47010.0
2015-03-30,46930.0
2015-03-31,46860.0
2015-04-01,46830.0
2015-04-02,46750.0
2015-04-03,46680.0
2015-04-06,46460.0
2015-04-07,46685.0
2015-04-08,46740.0
2015-04-09,46560.0
2015-04-10,46560.0
2015-04-13,46680.0
2015-04-14,46790.0
2015-04-15,46770.0
2015-04-16,46905.0
2015-04-17,46685.0
2015-04-20,46835.0
2015-04-21,46935.0
2015-04-22,46960.0
2015-04-23,47290.0
2015-04-24,47345.0
2015-04-27,47395.0
2015-04-28,47700.0
2015-04-29,47875.0
2015-04-30,47845.0
2015-05-04,48155.0
2015-05-06,48425.0
2015-05-07,48500.0
2015-05-08,48010.0
2015-05-11,48005.0
2015-05-12,48605.0
2015-05-13,48425.0
2015-05-14,48310.0
2015-05-15,48415.0
2015-05-18,48270.0
2015-05-19,48465.0
2015-05-20,48215.0
2015-05-21,48250.0
2015-05-22,48235.0
2015-05-26,48200.0
2015-05-27,48010.0
2015-05-28,47910.0
2015-05-29,47495.0
2015-06-01,47620.0
2015-06-02,47485.0
2015-06-03,47895.0
2015-06-04,48185.0
2015-06-05,48100.0
2015-06-08,48210.0
2015-06-09,48055.0
2015-06-10,48130.0
2015-06-11,48365.0
2015-06-12,48095.0
2015-06-15,48190.0
2015-06-16,48280.0
2015-06-17,48440.0
2015-06-18,48270.0
2015-06-19,48040.0
2015-06-22,48250.0
2015-06-23,48105.0
2015-06-24,48170.0
2015-06-25,48100.0
2015-06-26,48180.0
2015-06-29,48035.0
2015-06-30,48020.0
2015-07-01,48090.0
2015-07-02,48390.0
2015-07-03,48330.0
2015-07-06,48080.0
2015-07-07,48210.0
2015-07-08,48155.0
2015-07-09,48170.0
2015-07-10,48275.0
2015-07-13,48290.0
2015-07-14,48300.0
2015-07-15,48250.0
2015-07-16,48190.0
2015-07-17,48135.0
2015-07-20,48115.0
2015-07-21,48045.0
2015-07-22,47980.0
2015-07-23,47690.0
2015-07-24,47550.0
2015-07-27,47630.0
2015-07-28,47835.0
2015-07-29,47710.0
2015-07-30,47815.0
2015-07-31,47915.0
2015-08-03,47875.0
2015-08-04,47820.0
2015-08-05,48000.0
2015-08-06,47950.0
2015-08-07,47950.0
2015-08-10,47705.0
2015-08-11,47555.0
2015-08-12,47325.0
2015-08-13,47460.0
2015-08-17,47415.0
