Date,ARIRANG 코스피50
2014-12-22,16170.0
2014-12-23,16110.0
2014-12-24,16160.0
2014-12-26,16150.0
2014-12-29,16100.0
2014-12-30,16030.0
2015-01-02,16005.0
2015-01-05,15965.0
2015-01-06,15670.0
2015-01-07,15730.0
2015-01-08,15980.0
2015-01-09,16135.0
2015-01-12,16065.0
2015-01-13,16125.0
2015-01-14,16110.0
2015-01-15,16060.0
2015-01-16,15810.0
2015-01-19,15985.0
2015-01-20,16155.0
2015-01-21,16280.0
2015-01-22,16260.0
2015-01-23,16395.0
2015-01-26,16375.0
2015-01-27,16510.0
2015-01-28,16485.0
2015-01-29,16360.0
2015-01-30,16290.0
2015-02-02,16330.0
2015-02-03,16310.0
2015-02-04,16355.0
2015-02-05,16195.0
2015-02-06,16235.0
2015-02-09,16205.0
2015-02-10,16140.0
2015-02-11,16120.0
2015-02-12,16085.0
2015-02-13,16210.0
2015-02-16,16215.0
2015-02-17,16250.0
2015-02-23,16255.0
2015-02-24,16280.0
2015-02-25,16395.0
2015-02-26,16385.0
2015-02-27,16305.0
2015-03-02,16455.0
2015-03-03,16515.0
2015-03-04,16520.0
2015-03-05,16495.0
2015-03-06,16620.0
2015-03-09,16395.0
2015-03-10,16335.0
2015-03-11,16420.0
2015-03-12,16290.0
2015-03-13,16405.0
2015-03-16,16430.0
2015-03-17,16810.0
2015-03-18,16785.0
2015-03-19,16805.0
2015-03-20,16755.0
2015-03-23,16760.0
2015-03-24,16755.0
2015-03-25,16715.0
2015-03-26,16490.0
2015-03-27,16445.0
2015-03-30,16450.0
2015-03-31,16475.0
2015-04-01,16330.0
2015-04-02,16310.0
2015-04-03,16400.0
2015-04-06,16410.0
2015-04-07,16395.0
2015-04-08,16515.0
2015-04-09,16505.0
2015-04-10,16720.0
2015-04-13,16760.0
2015-04-14,16920.0
2015-04-15,16890.0
2015-04-16,17065.0
2015-04-17,17020.0
2015-04-20,16965.0
2015-04-21,17025.0
2015-04-22,17045.0
2015-04-23,17320.0
2015-04-24,17255.0
2015-04-27,17145.0
2015-04-28,17015.0
2015-04-29,16800.0
2015-04-30,16705.0
2015-05-04,16800.0
2015-05-06,16600.0
2015-05-07,16510.0
2015-05-08,16400.0
2015-05-11,16310.0
2015-05-12,16320.0
2015-05-13,16415.0
2015-05-14,16445.0
2015-05-15,16255.0
2015-05-18,16260.0
2015-05-19,16335.0
2015-05-20,16475.0
2015-05-21,16265.0
2015-05-22,16500.0
2015-05-26,16515.0
2015-05-27,16185.0
2015-05-28,16180.0
2015-05-29,16185.0
2015-06-01,16085.0
2015-06-02,15945.0
2015-06-03,15790.0
2015-06-04,15925.0
2015-06-05,15910.0
2015-06-08,15810.0
2015-06-09,15710.0
2015-06-10,15640.0
2015-06-11,15655.0
2015-06-12,15605.0
2015-06-15,15555.0
2015-06-16,15450.0
2015-06-17,15475.0
2015-06-18,15430.0
2015-06-19,15420.0
2015-06-22,15595.0
2015-06-23,15745.0
2015-06-24,15805.0
2015-06-25,15580.0
2015-06-26,15625.0
2015-06-29,15515.0
2015-06-30,15525.0
2015-07-01,15765.0
2015-07-02,15750.0
2015-07-03,15575.0
2015-07-06,15165.0
2015-07-07,15210.0
2015-07-08,15030.0
2015-07-09,15145.0
2015-07-10,15120.0
2015-07-13,15330.0
2015-07-14,15115.0
2015-07-15,15150.0
2015-07-16,15330.0
2015-07-17,15245.0
2015-07-20,15125.0
2015-07-21,15215.0
2015-07-22,15070.0
2015-07-23,15050.0
2015-07-24,14905.0
2015-07-27,14995.0
2015-07-28,15025.0
2015-07-29,15130.0
2015-07-30,14970.0
2015-07-31,15045.0
2015-08-03,14805.0
2015-08-04,14905.0
2015-08-05,14875.0
2015-08-06,14535.0
2015-08-07,14535.0
2015-08-10,14490.0
2015-08-11,14475.0
2015-08-12,14510.0
2015-08-13,14455.0
2015-08-17,14380.0
2015-08-18,14380.0
2015-08-19,14410.0
2015-08-20,14270.0
2015-08-21,13985.0
2015-08-24,13710.0
2015-08-25,13735.0
2015-08-26,13885.0
2015-08-27,13970.0
2015-08-28,14120.0
2015-08-31,14120.0
2015-09-01,14175.0
2015-09-02,14025.0
2015-09-03,14185.0
2015-09-04,14090.0
2015-09-07,14055.0
2015-09-08,14160.0
2015-09-09,14465.0
2015-09-10,14640.0
2015-09-11,14380.0
2015-09-14,14415.0
2015-09-15,14400.0
2015-09-16,14745.0
2015-09-17,14745.0
2015-09-18,14830.0
2015-09-21,14535.0
2015-09-22,14710.0
2015-09-23,14475.0
2015-09-24,14475.0
2015-09-25,14440.0
2015-09-30,14635.0
2015-10-01,14785.0
2015-10-02,14640.0
2015-10-05,14720.0
2015-10-06,14880.0
2015-10-07,15145.0
2015-10-08,15335.0
2015-10-12,15330.0
2015-10-13,15325.0
2015-10-14,15280.0
2015-10-15,15525.0
2015-10-16,15435.0
2015-10-19,15445.0
2015-10-20,15500.0
2015-10-21,15555.0
2015-10-22,15480.0
2015-10-23,15675.0
2015-10-26,15720.0
2015-10-27,15710.0
2015-10-28,15680.0
2015-10-29,15655.0
2015-10-30,15715.0
2015-11-02,15830.0
2015-11-03,15895.0
2015-11-04,15875.0
2015-11-05,15840.0
2015-11-06,15735.0
2015-11-09,15710.0
2015-11-10,15525.0
2015-11-11,15510.0
2015-11-12,15510.0
2015-11-13,15305.0
2015-11-16,15085.0
2015-11-17,15195.0
2015-11-18,15265.0
2015-11-19,15455.0
2015-11-20,15430.0
2015-11-23,15470.0
2015-11-24,15585.0
2015-11-25,15535.0
2015-11-26,15735.0
2015-11-27,15700.0
2015-11-30,15385.0
2015-12-01,15695.0
2015-12-02,15535.0
2015-12-03,15415.0
2015-12-04,15260.0
2015-12-07,15180.0
2015-12-08,15130.0
2015-12-09,15140.0
2015-12-10,15245.0
2015-12-11,15240.0
2015-12-14,15120.0
2015-12-15,15160.0
2015-12-16,15460.0
2015-12-17,15465.0
