Date,KODEX 레버리지
2014-12-22,10565.0
2014-12-23,10550.0
2014-12-24,10615.0
2014-12-26,10620.0
2014-12-29,10555.0
2014-12-30,10290.0
2015-01-02,10390.0
2015-01-05,10355.0
2015-01-06,9980.0
2015-01-07,10000.0
2015-01-08,10265.0
2015-01-09,10495.0
2015-01-12,10445.0
2015-01-13,10540.0
2015-01-14,10450.0
2015-01-15,10510.0
2015-01-16,10210.0
2015-01-19,10420.0
2015-01-20,10595.0
2015-01-21,10650.0
2015-01-22,10700.0
2015-01-23,10830.0
2015-01-26,10825.0
2015-01-27,10985.0
2015-01-28,11000.0
2015-01-29,10900.0
2015-01-30,10860.0
2015-02-02,10835.0
2015-02-03,10820.0
2015-02-04,10965.0
2015-02-05,10745.0
2015-02-06,10785.0
2015-02-09,10745.0
2015-02-10,10650.0
2015-02-11,10685.0
2015-02-12,10590.0
2015-02-13,10765.0
2015-02-16,10800.0
2015-02-17,10840.0
2015-02-23,10895.0
2015-02-24,10915.0
2015-02-25,11010.0
2015-02-26,11010.0
2015-02-27,10915.0
2015-03-02,11045.0
2015-03-03,11130.0
2015-03-04,11110.0
2015-03-05,11145.0
2015-03-06,11255.0
2015-03-09,11025.0
2015-03-10,10940.0
2015-03-11,10935.0
2015-03-12,10900.0
2015-03-13,10995.0
2015-03-16,11015.0
2015-03-17,11475.0
2015-03-18,11490.0
2015-03-19,11560.0
2015-03-20,11500.0
2015-03-23,11510.0
2015-03-24,11535.0
2015-03-25,11550.0
2015-03-26,11325.0
2015-03-27,11265.0
2015-03-30,11320.0
2015-03-31,11320.0
2015-04-01,11155.0
2015-04-02,11180.0
2015-04-03,11345.0
2015-04-06,11340.0
2015-04-07,11290.0
2015-04-08,11460.0
2015-04-09,11435.0
2015-04-10,11730.0
2015-04-13,11885.0
2015-04-14,12010.0
2015-04-15,12095.0
2015-04-16,12275.0
2015-04-17,12285.0
2015-04-20,12260.0
2015-04-21,12245.0
2015-04-22,12340.0
2015-04-23,12710.0
2015-04-24,12550.0
2015-04-27,12490.0
2015-04-28,12390.0
2015-04-29,12290.0
2015-04-30,12175.0
2015-05-04,12270.0
2015-05-06,11905.0
2015-05-07,11775.0
2015-05-08,11690.0
2015-05-11,11720.0
2015-05-12,11700.0
2015-05-13,11850.0
2015-05-14,11880.0
2015-05-15,11645.0
2015-05-18,11705.0
2015-05-19,11800.0
2015-05-20,12020.0
2015-05-21,11740.0
2015-05-22,12045.0
2015-05-26,11995.0
2015-05-27,11500.0
2015-05-28,11500.0
2015-05-29,11590.0
2015-06-01,11415.0
2015-06-02,11190.0
2015-06-03,10980.0
2015-06-04,11070.0
2015-06-05,11030.0
2015-06-08,10990.0
2015-06-09,10950.0
2015-06-10,10825.0
2015-06-11,10885.0
2015-06-12,10720.0
2015-06-15,10670.0
2015-06-16,10445.0
2015-06-17,10480.0
2015-06-18,10550.0
2015-06-19,10615.0
2015-06-22,10720.0
2015-06-23,10990.0
2015-06-24,10990.0
2015-06-25,10980.0
2015-06-26,10980.0
2015-06-29,10680.0
2015-06-30,10750.0
2015-07-01,11025.0
2015-07-02,11050.0
