Date,TIGER 200 중공업
2014-12-22,3770.0
2014-12-23,3725.0
2014-12-24,3725.0
2014-12-26,3700.0
2014-12-29,3700.0
2014-12-30,3710.0
2015-01-02,3695.0
2015-01-05,3615.0
2015-01-06,3520.0
2015-01-07,3500.0
2015-01-08,3495.0
2015-01-09,3550.0
2015-01-12,3530.0
2015-01-13,3440.0
2015-01-14,3375.0
2015-01-15,3350.0
2015-01-16,3300.0
2015-01-19,3435.0
2015-01-20,3450.0
2015-01-21,3380.0
2015-01-22,3440.0
2015-01-23,3425.0
2015-01-26,3440.0
2015-01-27,3505.0
2015-01-28,3645.0
2015-01-29,3640.0
2015-01-30,3610.0
2015-02-02,3650.0
2015-02-03,3715.0
2015-02-04,3745.0
2015-02-05,3675.0
2015-02-06,3720.0
2015-02-09,3750.0
2015-02-10,3665.0
2015-02-11,3710.0
2015-02-12,3700.0
2015-02-13,3705.0
2015-02-16,3670.0
2015-02-17,3680.0
2015-02-23,3655.0
2015-02-24,3610.0
2015-02-25,3660.0
2015-02-26,3785.0
2015-02-27,3775.0
2015-03-02,3845.0
2015-03-03,3810.0
2015-03-04,3805.0
2015-03-05,3800.0
2015-03-06,3800.0
2015-03-09,3735.0
2015-03-10,3745.0
2015-03-11,3670.0
2015-03-12,3655.0
2015-03-13,3660.0
2015-03-16,3575.0
2015-03-17,3690.0
2015-03-18,3685.0
2015-03-19,3740.0
2015-03-20,3760.0
2015-03-23,3775.0
2015-03-24,3740.0
2015-03-25,3715.0
2015-03-26,3700.0
2015-03-27,3690.0
2015-03-30,3680.0
2015-03-31,3720.0
2015-04-01,3695.0
2015-04-02,3655.0
2015-04-03,3730.0
2015-04-06,3750.0
2015-04-07,3800.0
2015-04-08,3850.0
2015-04-09,3885.0
2015-04-10,3920.0
2015-04-13,4010.0
2015-04-14,3990.0
2015-04-15,4000.0
2015-04-16,3995.0
2015-04-17,3970.0
2015-04-20,4000.0
2015-04-21,4025.0
2015-04-22,3990.0
2015-04-23,4035.0
2015-04-24,4010.0
2015-04-27,4055.0
2015-04-28,4155.0
2015-04-29,4020.0
2015-04-30,3955.0
2015-05-04,3970.0
2015-05-06,3920.0
2015-05-07,3875.0
2015-05-08,3880.0
2015-05-11,3920.0
2015-05-12,3885.0
2015-05-13,3910.0
2015-05-14,3915.0
2015-05-15,3890.0
2015-05-18,3850.0
2015-05-19,3905.0
2015-05-20,3875.0
2015-05-21,3835.0
2015-05-22,3950.0
2015-05-26,3900.0
2015-05-27,3810.0
2015-05-28,3845.0
2015-05-29,3790.0
2015-06-01,3820.0
2015-06-02,3700.0
2015-06-03,3685.0
2015-06-04,3690.0
2015-06-05,3675.0
2015-06-08,3690.0
2015-06-09,3725.0
2015-06-10,3660.0
2015-06-11,3620.0
2015-06-12,3575.0
2015-06-15,3545.0
2015-06-16,3460.0
2015-06-17,3500.0
2015-06-18,3500.0
2015-06-19,3525.0
2015-06-22,3560.0
2015-06-23,3615.0
2015-06-24,3605.0
2015-06-25,3605.0
2015-06-26,3625.0
2015-06-29,3495.0
2015-06-30,3550.0
2015-07-01,3680.0
2015-07-02,3640.0
2015-07-03,3630.0
2015-07-06,3550.0
2015-07-07,3535.0
2015-07-08,3535.0
2015-07-09,3515.0
2015-07-10,3550.0
2015-07-13,3510.0
2015-07-14,3525.0
2015-07-15,3335.0
2015-07-16,3325.0
2015-07-17,3145.0
2015-07-20,3030.0
2015-07-21,3160.0
2015-07-22,3095.0
2015-07-23,3035.0
2015-07-24,2925.0
2015-07-27,2960.0
2015-07-28,2960.0
2015-07-29,2935.0
2015-07-30,2925.0
2015-07-31,2915.0
2015-08-03,2870.0
2015-08-04,2890.0
2015-08-05,2885.0
2015-08-06,2860.0
2015-08-07,2850.0
2015-08-10,2740.0
2015-08-11,2745.0
2015-08-12,2690.0
2015-08-13,2750.0
2015-08-17,2740.0
2015-08-18,2685.0
2015-08-19,2575.0
2015-08-20,2490.0
2015-08-21,2400.0
2015-08-24,2365.0
2015-08-25,2460.0
2015-08-26,2545.0
2015-08-27,2510.0
2015-08-28,2570.0
2015-08-31,2600.0
2015-09-01,2585.0
2015-09-02,2585.0
2015-09-03,2550.0
2015-09-04,2525.0
2015-09-07,2565.0
2015-09-08,2565.0
2015-09-09,2670.0
2015-09-10,2810.0
2015-09-11,2820.0
2015-09-14,2750.0
2015-09-15,2770.0
2015-09-16,2895.0
2015-09-17,2900.0
2015-09-18,2900.0
2015-09-21,2835.0
2015-09-22,2860.0
2015-09-23,2760.0
2015-09-24,2715.0
2015-09-25,2730.0
2015-09-30,2675.0
2015-10-01,2695.0
2015-10-02,2635.0
2015-10-05,2625.0
2015-10-06,2640.0
2015-10-07,2645.0
2015-10-08,2755.0
2015-10-12,2900.0
2015-10-13,2925.0
2015-10-14,2805.0
2015-10-15,2895.0
2015-10-16,2835.0
2015-10-19,2880.0
2015-10-20,2820.0
2015-10-21,2825.0
2015-10-22,2760.0
2015-10-23,2760.0
2015-10-26,2760.0
2015-10-27,2835.0
2015-10-28,2780.0
2015-10-29,2800.0
2015-10-30,2755.0
2015-11-02,2715.0
2015-11-03,2820.0
2015-11-04,2845.0
2015-11-05,2800.0
2015-11-06,2755.0
2015-11-09,2680.0
2015-11-10,2680.0
2015-11-11,2710.0
2015-11-12,2700.0
2015-11-13,2675.0
2015-11-16,2605.0
2015-11-17,2670.0
2015-11-18,2625.0
2015-11-19,2665.0
2015-11-20,2705.0
2015-11-23,2710.0
2015-11-24,2675.0
2015-11-25,2670.0
2015-11-26,2730.0
2015-11-27,2735.0
2015-11-30,2695.0
