Date,KODEX 국고채3년
2014-12-22,54885.0
2014-12-23,54890.0
2014-12-24,54945.0
2014-12-26,54975.0
2014-12-29,55005.0
2014-12-30,55050.0
2015-01-02,55030.0
2015-01-05,55025.0
2015-01-06,55100.0
2015-01-07,55150.0
2015-01-08,55100.0
2015-01-09,55150.0
2015-01-12,55260.0
2015-01-13,55250.0
2015-01-14,55320.0
2015-01-15,55190.0
2015-01-16,55355.0
2015-01-19,55295.0
2015-01-20,55330.0
2015-01-21,55240.0
2015-01-22,55170.0
2015-01-23,55300.0
2015-01-26,55325.0
2015-01-27,55325.0
2015-01-28,55360.0
2015-01-29,55390.0
2015-01-30,55420.0
2015-02-02,55445.0
2015-02-03,55495.0
2015-02-04,55455.0
2015-02-05,55480.0
2015-02-06,55455.0
2015-02-09,55445.0
2015-02-10,55315.0
2015-02-11,55335.0
2015-02-12,55300.0
2015-02-13,55320.0
2015-02-16,55290.0
2015-02-17,55305.0
2015-02-23,55360.0
2015-02-24,55360.0
2015-02-25,55380.0
2015-02-26,55390.0
2015-02-27,55400.0
2015-03-02,55460.0
2015-03-03,55470.0
2015-03-04,55470.0
2015-03-05,55475.0
2015-03-06,55545.0
2015-03-09,55555.0
2015-03-10,55545.0
2015-03-11,55385.0
2015-03-12,55400.0
2015-03-13,55425.0
2015-03-16,55455.0
2015-03-17,55445.0
2015-03-18,55455.0
2015-03-19,55525.0
2015-03-20,55545.0
2015-03-23,55600.0
2015-03-24,55595.0
2015-03-25,55625.0
2015-03-26,55630.0
2015-03-27,55610.0
2015-03-30,55615.0
2015-03-31,55750.0
2015-04-01,55745.0
2015-04-02,55740.0
2015-04-03,55730.0
2015-04-06,55720.0
2015-04-07,55790.0
2015-04-08,55745.0
2015-04-09,55795.0
2015-04-10,55790.0
2015-04-13,55760.0
2015-04-14,55745.0
2015-04-15,55750.0
2015-04-16,55770.0
2015-04-17,55825.0
2015-04-20,55825.0
2015-04-21,55800.0
2015-04-22,55805.0
2015-04-23,55740.0
2015-04-24,55705.0
2015-04-27,55685.0
2015-04-28,55535.0
2015-04-29,55520.0
2015-04-30,55575.0
2015-05-04,55495.0
2015-05-06,55370.0
2015-05-07,55360.0
2015-05-08,55465.0
2015-05-11,55590.0
2015-05-12,55400.0
2015-05-13,55475.0
2015-05-14,55515.0
2015-05-15,55490.0
2015-05-18,55520.0
2015-05-19,55485.0
2015-05-20,55540.0
2015-05-21,55525.0
2015-05-22,55570.0
2015-05-26,55600.0
2015-05-27,55670.0
2015-05-28,55700.0
2015-05-29,55805.0
2015-06-01,55805.0
2015-06-02,55850.0
2015-06-03,55780.0
2015-06-04,55745.0
2015-06-05,55775.0
2015-06-08,55770.0
2015-06-09,55775.0
2015-06-10,55770.0
2015-06-11,55335.0
2015-06-12,55365.0
2015-06-15,55375.0
2015-06-16,55365.0
2015-06-17,55335.0
2015-06-18,55375.0
2015-06-19,55380.0
2015-06-22,55370.0
2015-06-23,55350.0
2015-06-24,55335.0
2015-06-25,55350.0
2015-06-26,55345.0
2015-06-29,55375.0
2015-06-30,55395.0
2015-07-01,55390.0
2015-07-02,55345.0
2015-07-03,55340.0
2015-07-06,55370.0
2015-07-07,55380.0
2015-07-08,55405.0
2015-07-09,55420.0
2015-07-10,55395.0
2015-07-13,55395.0
2015-07-14,55405.0
2015-07-15,55410.0
2015-07-16,55430.0
2015-07-17,55445.0
2015-07-20,55455.0
2015-07-21,55445.0
2015-07-22,55500.0
2015-07-23,55560.0
2015-07-24,55615.0
2015-07-27,55615.0
2015-07-28,55555.0
2015-07-29,55575.0
2015-07-30,55590.0
2015-07-31,55530.0
2015-08-03,55550.0
2015-08-04,55545.0
2015-08-05,55495.0
2015-08-06,55495.0
2015-08-07,55525.0
2015-08-10,55570.0
2015-08-11,55580.0
2015-08-12,55650.0
2015-08-13,55655.0
2015-08-17,55630.0
2015-08-18,55660.0
2015-08-19,55655.0
2015-08-20,55665.0
2015-08-21,55680.0
2015-08-24,55735.0
2015-08-25,55730.0
2015-08-26,55710.0
2015-08-27,55675.0
2015-08-28,55705.0
2015-08-31,55695.0
2015-09-01,55695.0
2015-09-02,55740.0
2015-09-03,55760.0
2015-09-04,55800.0
2015-09-07,55835.0
2015-09-08,55825.0
2015-09-09,55810.0
2015-09-10,55815.0
2015-09-11,55670.0
2015-09-14,55635.0
2015-09-15,55645.0
2015-09-16,55640.0
2015-09-17,55615.0
2015-09-18,55735.0
2015-09-21,55725.0
2015-09-22,55675.0
2015-09-23,55730.0
2015-09-24,55780.0
2015-09-25,55795.0
2015-09-30,55880.0
2015-10-01,55865.0
2015-10-02,55850.0
2015-10-05,55900.0
2015-10-06,55885.0
2015-10-07,55845.0
2015-10-08,55845.0
2015-10-12,55800.0
2015-10-13,55800.0
2015-10-14,55785.0
2015-10-15,55835.0
2015-10-16,55845.0
2015-10-19,55840.0
2015-10-20,55830.0
2015-10-21,55795.0
2015-10-22,55800.0
2015-10-23,55800.0
2015-10-26,55805.0
2015-10-27,55845.0
2015-10-28,55850.0
2015-10-29,55860.0
2015-10-30,55840.0
2015-11-02,55825.0
2015-11-03,55770.0
2015-11-04,55770.0
2015-11-05,55745.0
2015-11-06,55715.0
2015-11-09,55570.0
2015-11-10,55615.0
2015-11-11,55585.0
2015-11-12,55590.0
2015-11-13,55585.0
2015-11-16,55620.0
2015-11-17,55685.0
2015-11-18,55675.0
2015-11-19,55655.0
2015-11-20,55680.0
2015-11-23,55680.0
2015-11-24,55685.0
2015-11-25,55685.0
2015-11-26,55645.0
2015-11-27,55625.0
2015-11-30,55665.0
2015-12-01,55710.0
2015-12-02,55670.0
2015-12-03,55710.0
2015-12-04,55670.0
2015-12-07,55650.0
2015-12-08,55705.0
2015-12-09,55690.0
2015-12-10,55750.0
2015-12-11,55460.0
2015-12-14,55490.0
2015-12-15,55470.0
2015-12-16,55430.0
2015-12-17,55475.0
2015-12-18,55530.0
2015-12-21,55630.0
2015-12-22,55605.0
2015-12-23,55625.0
2015-12-24,55625.0
2015-12-28,55620.0
2015-12-29,55650.0
2015-12-30,55660.0
2016-01-04,55700.0
2016-01-05,55675.0
2016-01-06,55685.0
2016-01-07,55700.0
2016-01-08,55660.0
2016-01-11,55700.0
2016-01-12,55705.0
2016-01-13,55730.0
2016-01-14,55720.0
2016-01-15,55715.0
2016-01-18,55710.0
2016-01-19,55710.0
2016-01-20,55725.0
2016-01-21,55760.0
2016-01-22,55775.0
2016-01-25,55780.0
2016-01-26,55805.0
2016-01-27,55810.0
2016-01-28,55785.0
2016-01-29,55850.0
2016-02-01,55955.0
2016-02-02,55995.0
2016-02-03,55985.0
2016-02-04,56020.0
2016-02-05,56015.0
2016-02-11,56080.0
2016-02-12,56040.0
2016-02-15,56055.0
2016-02-16,56120.0
2016-02-17,56150.0
2016-02-18,56135.0
2016-02-19,56090.0
2016-02-22,56095.0
2016-02-23,56100.0
2016-02-24,56110.0
2016-02-25,56130.0
2016-02-26,56160.0
2016-02-29,56145.0
2016-03-02,56120.0
2016-03-03,56300.0
2016-03-04,56300.0
2016-03-07,56230.0
2016-03-08,56350.0
2016-03-09,56285.0
2016-03-10,56750.0
2016-03-11,55845.0
2016-03-14,55835.0
2016-03-15,55800.0
2016-03-16,55835.0
2016-03-17,55895.0
2016-03-18,55900.0
2016-03-21,55945.0
2016-03-22,55925.0
2016-03-23,55905.0
2016-03-24,55950.0
2016-03-25,55920.0
2016-03-28,55965.0
2016-03-29,56020.0
2016-03-30,56050.0
2016-03-31,56040.0
2016-04-01,56045.0
2016-04-04,56055.0
2016-04-05,56045.0
2016-04-06,56040.0
2016-04-07,56030.0
2016-04-08,56025.0
2016-04-11,56030.0
2016-04-12,56005.0
2016-04-14,55985.0
2016-04-15,55985.0
2016-04-18,55995.0
2016-04-19,55945.0
2016-04-20,56000.0
2016-04-21,56005.0
2016-04-22,56035.0
2016-04-25,56065.0
2016-04-26,56040.0
2016-04-27,56050.0
2016-04-28,56090.0
2016-04-29,56080.0
2016-05-02,56055.0
2016-05-03,56090.0
2016-05-04,56145.0
2016-05-09,56150.0
2016-05-10,56155.0
2016-05-11,56165.0
2016-05-12,56160.0
2016-05-13,56150.0
2016-05-16,56130.0
2016-05-17,56130.0
2016-05-18,56105.0
2016-05-19,56035.0
2016-05-20,56105.0
2016-05-23,56105.0
2016-05-24,56140.0
2016-05-25,56110.0
2016-05-26,56140.0
2016-05-27,56100.0
