Date,TIGER 200 건설
2014-12-22,3115.0
2014-12-23,3125.0
2014-12-24,3160.0
2014-12-26,3145.0
2014-12-29,3145.0
2014-12-30,3130.0
2015-01-02,3105.0
2015-01-05,3050.0
2015-01-06,3015.0
2015-01-07,3020.0
2015-01-08,3045.0
2015-01-09,3090.0
2015-01-12,3080.0
2015-01-13,3085.0
2015-01-14,3070.0
2015-01-15,3040.0
2015-01-16,2940.0
2015-01-19,2995.0
2015-01-20,3010.0
2015-01-21,3000.0
2015-01-22,3040.0
2015-01-23,3045.0
2015-01-26,3010.0
2015-01-27,3010.0
2015-01-28,3135.0
2015-01-29,3130.0
2015-01-30,3140.0
2015-02-02,3170.0
2015-02-03,3205.0
2015-02-04,3220.0
2015-02-05,3205.0
2015-02-06,3205.0
2015-02-09,3230.0
2015-02-10,3195.0
2015-02-11,3215.0
2015-02-12,3175.0
2015-02-13,3195.0
2015-02-16,3215.0
2015-02-17,3280.0
2015-02-23,3310.0
2015-02-24,3330.0
2015-02-25,3400.0
2015-02-26,3520.0
2015-02-27,3495.0
2015-03-02,3585.0
2015-03-03,3535.0
2015-03-04,3520.0
2015-03-05,3520.0
2015-03-06,3510.0
2015-03-09,3465.0
2015-03-10,3420.0
2015-03-11,3365.0
2015-03-12,3350.0
2015-03-13,3350.0
2015-03-16,3285.0
2015-03-17,3400.0
2015-03-18,3365.0
2015-03-19,3415.0
2015-03-20,3415.0
2015-03-23,3445.0
2015-03-24,3450.0
2015-03-25,3460.0
2015-03-26,3420.0
2015-03-27,3415.0
2015-03-30,3435.0
2015-03-31,3450.0
2015-04-01,3390.0
2015-04-02,3360.0
2015-04-03,3425.0
2015-04-06,3505.0
2015-04-07,3525.0
2015-04-08,3540.0
2015-04-09,3530.0
2015-04-10,3550.0
2015-04-13,3685.0
2015-04-14,3685.0
2015-04-15,3750.0
2015-04-16,3755.0
2015-04-17,3735.0
2015-04-20,3735.0
2015-04-21,3725.0
2015-04-22,3720.0
2015-04-23,3705.0
2015-04-24,3610.0
2015-04-27,3655.0
2015-04-28,3610.0
2015-04-29,3510.0
2015-04-30,3490.0
2015-05-04,3450.0
2015-05-06,3420.0
2015-05-07,3425.0
2015-05-08,3425.0
2015-05-11,3455.0
2015-05-12,3460.0
2015-05-13,3460.0
2015-05-14,3480.0
2015-05-15,3405.0
2015-05-18,3375.0
2015-05-19,3360.0
2015-05-20,3365.0
2015-05-21,3335.0
2015-05-22,3415.0
2015-05-26,3475.0
2015-05-27,3480.0
2015-05-28,3430.0
2015-05-29,3430.0
2015-06-01,3455.0
2015-06-02,3425.0
2015-06-03,3415.0
2015-06-04,3485.0
2015-06-05,3545.0
2015-06-08,3510.0
2015-06-09,3495.0
2015-06-10,3550.0
2015-06-11,3485.0
2015-06-12,3435.0
2015-06-15,3400.0
2015-06-16,3300.0
2015-06-17,3335.0
2015-06-18,3315.0
2015-06-19,3315.0
2015-06-22,3345.0
2015-06-23,3405.0
2015-06-24,3470.0
2015-06-25,3445.0
2015-06-26,3430.0
2015-06-29,3345.0
2015-06-30,3365.0
2015-07-01,3440.0
2015-07-02,3455.0
2015-07-03,3470.0
2015-07-06,3395.0
2015-07-07,3385.0
2015-07-08,3385.0
2015-07-09,3360.0
2015-07-10,3390.0
2015-07-13,3490.0
2015-07-14,3560.0
2015-07-15,3655.0
2015-07-16,3725.0
2015-07-17,3725.0
2015-07-20,3650.0
2015-07-21,3635.0
2015-07-22,3630.0
2015-07-23,3450.0
2015-07-24,3340.0
2015-07-27,3310.0
2015-07-28,3330.0
2015-07-29,3320.0
2015-07-30,3290.0
2015-07-31,3310.0
2015-08-03,3275.0
2015-08-04,3245.0
2015-08-05,3265.0
2015-08-06,3220.0
2015-08-07,3195.0
2015-08-10,3055.0
2015-08-11,3010.0
2015-08-12,2970.0
2015-08-13,3070.0
2015-08-17,3060.0
2015-08-18,2955.0
2015-08-19,2865.0
2015-08-20,2790.0
2015-08-21,2745.0
2015-08-24,2685.0
2015-08-25,2780.0
2015-08-26,2840.0
2015-08-27,2840.0
2015-08-28,2940.0
2015-08-31,2940.0
2015-09-01,2860.0
2015-09-02,2845.0
2015-09-03,2870.0
2015-09-04,2790.0
2015-09-07,2765.0
2015-09-08,2795.0
2015-09-09,2895.0
2015-09-10,2965.0
2015-09-11,3020.0
2015-09-14,2955.0
2015-09-15,2965.0
2015-09-16,3070.0
2015-09-17,3090.0
2015-09-18,3140.0
2015-09-21,3070.0
2015-09-22,3115.0
2015-09-23,2990.0
2015-09-24,2985.0
2015-09-25,2985.0
2015-09-30,2930.0
2015-10-01,2975.0
2015-10-02,3000.0
2015-10-05,3015.0
2015-10-06,3070.0
2015-10-07,3100.0
2015-10-08,3110.0
2015-10-12,3180.0
2015-10-13,3225.0
2015-10-14,3150.0
2015-10-15,3195.0
2015-10-16,3180.0
2015-10-19,3180.0
2015-10-20,3180.0
2015-10-21,3210.0
2015-10-22,3075.0
2015-10-23,3075.0
2015-10-26,3010.0
2015-10-27,2915.0
2015-10-28,2875.0
2015-10-29,2875.0
2015-10-30,2795.0
2015-11-02,2855.0
2015-11-03,2900.0
2015-11-04,2905.0
2015-11-05,2860.0
2015-11-06,2790.0
2015-11-09,2690.0
2015-11-10,2655.0
2015-11-11,2645.0
2015-11-12,2645.0
2015-11-13,2640.0
2015-11-16,2575.0
2015-11-17,2635.0
2015-11-18,2610.0
2015-11-19,2695.0
2015-11-20,2735.0
2015-11-23,2760.0
2015-11-24,2795.0
2015-11-25,2760.0
2015-11-26,2760.0
2015-11-27,2740.0
2015-11-30,2685.0
2015-12-01,2695.0
2015-12-02,2655.0
2015-12-03,2650.0
2015-12-04,2630.0
2015-12-07,2570.0
2015-12-08,2530.0
2015-12-09,2500.0
2015-12-10,2470.0
2015-12-11,2470.0
2015-12-14,2430.0
2015-12-15,2425.0
2015-12-16,2490.0
2015-12-17,2515.0
2015-12-18,2510.0
2015-12-21,2495.0
2015-12-22,2520.0
2015-12-23,2525.0
2015-12-24,2530.0
2015-12-28,2520.0
2015-12-29,2600.0
2015-12-30,2650.0
2016-01-04,2525.0
2016-01-05,2540.0
2016-01-06,2495.0
2016-01-07,2470.0
2016-01-08,2500.0
2016-01-11,2515.0
2016-01-12,2550.0
2016-01-13,2680.0
2016-01-14,2610.0
2016-01-15,2635.0
2016-01-18,2615.0
2016-01-19,2575.0
2016-01-20,2470.0
2016-01-21,2535.0
2016-01-22,2555.0
2016-01-25,2620.0
2016-01-26,2530.0
2016-01-27,2640.0
2016-01-28,2685.0
2016-01-29,2780.0
2016-02-01,2790.0
2016-02-02,2775.0
2016-02-03,2740.0
2016-02-04,2775.0
2016-02-05,2775.0
2016-02-11,2680.0
2016-02-12,2670.0
2016-02-15,2725.0
2016-02-16,2720.0
2016-02-17,2730.0
2016-02-18,2825.0
2016-02-19,2800.0
2016-02-22,2765.0
2016-02-23,2765.0
2016-02-24,2680.0
2016-02-25,2670.0
2016-02-26,2680.0
2016-02-29,2660.0
2016-03-02,2700.0
2016-03-03,2755.0
2016-03-04,2765.0
2016-03-07,2785.0
2016-03-08,2815.0
2016-03-09,2805.0
2016-03-10,2840.0
2016-03-11,2775.0
2016-03-14,2755.0
2016-03-15,2775.0
2016-03-16,2720.0
2016-03-17,2785.0
2016-03-18,2800.0
2016-03-21,2790.0
2016-03-22,2845.0
2016-03-23,2900.0
2016-03-24,2905.0
2016-03-25,2900.0
2016-03-28,2920.0
2016-03-29,2930.0
2016-03-30,2945.0
2016-03-31,2945.0
2016-04-01,2880.0
2016-04-04,2850.0
2016-04-05,2835.0
2016-04-06,2890.0
2016-04-07,2875.0
2016-04-08,2885.0
2016-04-11,2875.0
2016-04-12,2960.0
2016-04-14,3000.0
2016-04-15,2960.0
2016-04-18,2910.0
2016-04-19,3020.0
2016-04-20,2985.0
2016-04-21,3020.0
2016-04-22,2955.0
2016-04-25,2990.0
2016-04-26,2990.0
2016-04-27,2985.0
2016-04-28,3010.0
2016-04-29,3060.0
2016-05-02,2970.0
2016-05-03,2950.0
2016-05-04,2855.0
2016-05-09,2780.0
2016-05-10,2795.0
2016-05-11,2755.0
2016-05-12,2765.0
2016-05-13,2780.0
2016-05-16,2755.0
2016-05-17,2720.0
2016-05-18,2700.0
2016-05-19,2600.0
2016-05-20,2645.0
2016-05-23,2610.0
2016-05-24,2565.0
2016-05-25,2640.0
2016-05-26,2610.0
2016-05-27,2640.0
2016-05-30,2675.0
2016-05-31,2690.0
2016-06-01,2660.0
2016-06-02,2640.0
2016-06-03,2635.0
2016-06-07,2675.0
2016-06-08,2680.0
2016-06-09,2700.0
2016-06-10,2725.0
2016-06-13,2670.0
2016-06-14,2635.0
2016-06-15,2605.0
2016-06-16,2590.0
2016-06-17,2570.0
2016-06-20,2600.0
2016-06-21,2600.0
2016-06-22,2625.0
2016-06-23,2620.0
2016-06-24,2510.0
2016-06-27,2485.0
2016-06-28,2530.0
2016-06-29,2550.0
2016-06-30,2580.0
2016-07-01,2615.0
2016-07-04,2610.0
2016-07-05,2595.0
2016-07-06,2565.0
2016-07-07,2585.0
2016-07-08,2545.0
2016-07-11,2575.0
2016-07-12,2610.0
2016-07-13,2625.0
2016-07-14,2625.0
2016-07-15,2610.0
2016-07-18,2630.0
2016-07-19,2605.0
2016-07-20,2620.0
2016-07-21,2645.0
2016-07-22,2695.0
2016-07-25,2675.0
2016-07-26,2685.0
2016-07-27,2715.0
2016-07-28,2780.0
2016-07-29,2755.0
2016-08-01,2760.0
2016-08-02,2715.0
2016-08-03,2695.0
2016-08-04,2720.0
2016-08-05,2760.0
2016-08-08,2775.0
2016-08-09,2785.0
2016-08-10,2760.0
2016-08-11,2750.0
2016-08-12,2800.0
2016-08-16,2785.0
2016-08-17,2780.0
2016-08-18,2775.0
2016-08-19,2815.0
2016-08-22,2820.0
2016-08-23,2820.0
2016-08-24,2765.0
2016-08-25,2790.0
2016-08-26,2795.0
2016-08-29,2740.0
2016-08-30,2740.0
2016-08-31,2720.0
2016-09-01,2740.0
2016-09-02,2730.0
2016-09-05,2770.0
2016-09-06,2745.0
2016-09-07,2740.0
2016-09-08,2735.0
2016-09-09,2715.0
2016-09-12,2665.0
2016-09-13,2635.0
2016-09-19,2630.0
2016-09-20,2615.0
2016-09-21,2650.0
2016-09-22,2710.0
2016-09-23,2720.0
2016-09-26,2725.0
2016-09-27,2775.0
2016-09-28,2740.0
2016-09-29,2800.0
2016-09-30,2770.0
2016-10-04,2795.0
2016-10-05,2780.0
2016-10-06,2830.0
2016-10-07,2845.0
2016-10-10,2855.0
2016-10-11,2905.0
2016-10-12,2905.0
2016-10-13,2840.0
2016-10-14,2850.0
2016-10-17,2795.0
2016-10-18,2855.0
2016-10-19,2835.0
2016-10-20,2820.0
2016-10-21,2810.0
2016-10-24,2865.0
2016-10-25,2890.0
2016-10-26,2830.0
2016-10-27,2840.0
2016-10-28,2765.0
2016-10-31,2710.0
2016-11-01,2695.0
2016-11-02,2665.0
2016-11-03,2685.0
2016-11-04,2685.0
2016-11-07,2670.0
2016-11-08,2720.0
2016-11-09,2640.0
2016-11-10,2705.0
2016-11-11,2760.0
2016-11-14,2755.0
2016-11-15,2720.0
2016-11-16,2755.0
2016-11-17,2725.0
2016-11-18,2665.0
2016-11-21,2655.0
2016-11-22,2640.0
2016-11-23,2640.0
2016-11-24,2575.0
2016-11-25,2525.0
2016-11-28,2540.0
2016-11-29,2535.0
2016-11-30,2510.0
2016-12-01,2530.0
2016-12-02,2540.0
2016-12-05,2525.0
2016-12-06,2545.0
2016-12-07,2535.0
2016-12-08,2540.0
2016-12-09,2540.0
2016-12-12,2605.0
2016-12-13,2615.0
2016-12-14,2600.0
2016-12-15,2605.0
2016-12-16,2590.0
2016-12-19,2550.0
2016-12-20,2575.0
2016-12-21,2610.0
2016-12-22,2620.0
2016-12-23,2605.0
2016-12-26,2595.0
2016-12-27,2605.0
2016-12-28,2640.0
2016-12-29,2640.0
2017-01-02,2660.0
2017-01-03,2660.0
2017-01-04,2715.0
2017-01-05,2695.0
2017-01-06,2690.0
2017-01-09,2635.0
2017-01-10,2625.0
2017-01-11,2655.0
2017-01-12,2675.0
2017-01-13,2700.0
2017-01-16,2665.0
2017-01-17,2650.0
2017-01-18,2650.0
2017-01-19,2600.0
2017-01-20,2565.0
2017-01-23,2575.0
2017-01-24,2590.0
2017-01-25,2545.0
2017-01-26,2595.0
2017-01-31,2610.0
2017-02-01,2690.0
2017-02-02,2645.0
2017-02-03,2630.0
2017-02-06,2625.0
2017-02-07,2650.0
2017-02-08,2615.0
2017-02-09,2695.0
2017-02-10,2715.0
2017-02-13,2750.0
2017-02-14,2750.0
2017-02-15,2740.0
2017-02-16,2745.0
2017-02-17,2755.0
2017-02-20,2700.0
2017-02-21,2740.0
2017-02-22,2755.0
2017-02-23,2730.0
2017-02-24,2725.0
2017-02-27,2760.0
2017-02-28,2760.0
2017-03-02,2755.0
2017-03-03,2745.0
2017-03-06,2745.0
2017-03-07,2795.0
2017-03-08,2790.0
2017-03-09,2740.0
2017-03-10,2740.0
