Date,KOSEF 단기자금
2014-12-22,102815.0
2014-12-23,102820.0
2014-12-24,102820.0
2014-12-26,102840.0
2014-12-29,100385.0
2014-12-30,100400.0
2015-01-02,100420.0
2015-01-05,100405.0
2015-01-06,100450.0
2015-01-07,100445.0
2015-01-08,100485.0
2015-01-09,100500.0
2015-01-12,100515.0
2015-01-13,100515.0
2015-01-14,100520.0
2015-01-15,100550.0
2015-01-16,100540.0
2015-01-19,100555.0
2015-01-20,100570.0
2015-01-21,100570.0
2015-01-22,100580.0
2015-01-23,100590.0
2015-01-26,100610.0
2015-01-27,100615.0
2015-01-28,100585.0
2015-01-29,100590.0
2015-01-30,100625.0
2015-02-02,100640.0
2015-02-03,100655.0
2015-02-04,100655.0
2015-02-05,100670.0
2015-02-06,100660.0
2015-02-09,100655.0
2015-02-10,100655.0
2015-02-11,100660.0
2015-02-12,100660.0
2015-02-13,100670.0
2015-02-16,100700.0
2015-02-17,100725.0
2015-02-23,100735.0
2015-02-24,100750.0
2015-02-25,100740.0
2015-02-26,100750.0
2015-02-27,100750.0
2015-03-02,100765.0
2015-03-03,100785.0
2015-03-04,100775.0
2015-03-05,100805.0
2015-03-06,100805.0
2015-03-09,100840.0
2015-03-10,100835.0
2015-03-11,100835.0
2015-03-12,100865.0
2015-03-13,100885.0
2015-03-16,100900.0
2015-03-17,100935.0
2015-03-18,100955.0
2015-03-19,100975.0
2015-03-20,101000.0
2015-03-23,100985.0
2015-03-24,100975.0
2015-03-25,100970.0
2015-03-26,100990.0
2015-03-27,100990.0
2015-03-30,101015.0
2015-03-31,101040.0
2015-04-01,101025.0
2015-04-02,101055.0
2015-04-03,101025.0
2015-04-06,101040.0
2015-04-07,101070.0
2015-04-08,101085.0
2015-04-09,101095.0
2015-04-10,101125.0
2015-04-13,101130.0
2015-04-14,101130.0
2015-04-15,101150.0
2015-04-16,101145.0
2015-04-17,101145.0
2015-04-20,101125.0
2015-04-21,101160.0
2015-04-22,101115.0
2015-04-23,101180.0
2015-04-24,101190.0
2015-04-27,101165.0
2015-04-28,101165.0
2015-04-29,101195.0
2015-04-30,101185.0
2015-05-04,101185.0
2015-05-06,101165.0
2015-05-07,101210.0
2015-05-08,101195.0
2015-05-11,101205.0
2015-05-12,101220.0
2015-05-13,101240.0
2015-05-14,101255.0
2015-05-15,101250.0
2015-05-18,101250.0
2015-05-19,101250.0
2015-05-20,101255.0
2015-05-21,101285.0
2015-05-22,101290.0
2015-05-26,101300.0
2015-05-27,101270.0
2015-05-28,101305.0
2015-05-29,101300.0
2015-06-01,101315.0
2015-06-02,101300.0
2015-06-03,101285.0
2015-06-04,101340.0
2015-06-05,101325.0
2015-06-08,101335.0
2015-06-09,101350.0
2015-06-10,101365.0
2015-06-11,101385.0
2015-06-12,101405.0
2015-06-15,101400.0
2015-06-16,101435.0
2015-06-17,101375.0
2015-06-18,101445.0
2015-06-19,101450.0
2015-06-22,101435.0
2015-06-23,101460.0
2015-06-24,101455.0
2015-06-25,101470.0
2015-06-26,101460.0
2015-06-29,101470.0
2015-06-30,101500.0
2015-07-01,101470.0
2015-07-02,101465.0
2015-07-03,101520.0
2015-07-06,101515.0
2015-07-07,101505.0
2015-07-08,101535.0
2015-07-09,101545.0
2015-07-10,101520.0
2015-07-13,101550.0
2015-07-14,101550.0
2015-07-15,101565.0
2015-07-16,101565.0
2015-07-17,101575.0
2015-07-20,101570.0
2015-07-21,101570.0
2015-07-22,101580.0
2015-07-23,101585.0
2015-07-24,101620.0
2015-07-27,101620.0
2015-07-28,101625.0
2015-07-29,101610.0
2015-07-30,101620.0
2015-07-31,101635.0
