Date,KINDEX 200
2014-12-22,25005.0
2014-12-23,24990.0
2014-12-24,25105.0
2014-12-26,25130.0
2014-12-29,25070.0
2014-12-30,24895.0
2015-01-02,24875.0
2015-01-05,24855.0
2015-01-06,24345.0
2015-01-07,24400.0
2015-01-08,24720.0
2015-01-09,25015.0
2015-01-12,24960.0
2015-01-13,25070.0
2015-01-14,24935.0
2015-01-15,25025.0
2015-01-16,24700.0
2015-01-19,24940.0
2015-01-20,25150.0
2015-01-21,25205.0
2015-01-22,25295.0
2015-01-23,25400.0
2015-01-26,25410.0
2015-01-27,25580.0
2015-01-28,25585.0
2015-01-29,25490.0
2015-01-30,25465.0
2015-02-02,25420.0
2015-02-03,25420.0
2015-02-04,25570.0
2015-02-05,25345.0
2015-02-06,25385.0
2015-02-09,25355.0
2015-02-10,25225.0
2015-02-11,25250.0
2015-02-12,25120.0
2015-02-13,25335.0
2015-02-16,25370.0
2015-02-17,25445.0
2015-02-23,25535.0
2015-02-24,25540.0
2015-02-25,25640.0
2015-02-26,25625.0
2015-02-27,25565.0
2015-03-02,25705.0
2015-03-03,25790.0
2015-03-04,25800.0
2015-03-05,25790.0
2015-03-06,25940.0
2015-03-09,25680.0
2015-03-10,25575.0
2015-03-11,25600.0
2015-03-12,25520.0
2015-03-13,25625.0
2015-03-16,25655.0
2015-03-17,26180.0
2015-03-18,26225.0
2015-03-19,26320.0
2015-03-20,26225.0
2015-03-23,26255.0
2015-03-24,26275.0
2015-03-25,26290.0
2015-03-26,26045.0
2015-03-27,25965.0
2015-03-30,26045.0
2015-03-31,26150.0
2015-04-01,25850.0
2015-04-02,25880.0
2015-04-03,26055.0
2015-04-06,26075.0
2015-04-07,26010.0
2015-04-08,26190.0
2015-04-09,26170.0
2015-04-10,26520.0
2015-04-13,26700.0
2015-04-14,26865.0
2015-04-15,26945.0
2015-04-16,27170.0
2015-04-17,27200.0
2015-04-20,27145.0
2015-04-21,27150.0
2015-04-22,27235.0
2015-04-23,27630.0
2015-04-24,27480.0
2015-04-27,27420.0
2015-04-28,27300.0
2015-04-29,26795.0
2015-04-30,26720.0
2015-05-04,26805.0
2015-05-06,26375.0
2015-05-07,26240.0
