Date,파워 코스피100
2014-12-22,19005.0
2014-12-23,18960.0
2014-12-24,19020.0
2014-12-26,19020.0
2014-12-29,18985.0
2014-12-30,18845.0
2015-01-02,18880.0
2015-01-05,18855.0
2015-01-06,18495.0
2015-01-07,18490.0
2015-01-08,18775.0
2015-01-09,18950.0
2015-01-12,18910.0
2015-01-13,18980.0
2015-01-14,18905.0
2015-01-15,18930.0
2015-01-16,18655.0
2015-01-19,18840.0
2015-01-20,19025.0
2015-01-21,19120.0
2015-01-22,19105.0
2015-01-23,19255.0
2015-01-26,19250.0
2015-01-27,19405.0
2015-01-28,19385.0
2015-01-29,19270.0
2015-01-30,19225.0
2015-02-02,19275.0
2015-02-03,19245.0
2015-02-04,19355.0
2015-02-05,19195.0
2015-02-06,19220.0
2015-02-09,19170.0
2015-02-10,19045.0
2015-02-11,19080.0
2015-02-12,19015.0
2015-02-13,19170.0
2015-02-16,19150.0
2015-02-17,19230.0
2015-02-23,19255.0
2015-02-24,19290.0
2015-02-25,19430.0
2015-02-26,19435.0
2015-02-27,19320.0
2015-03-02,19505.0
2015-03-03,19565.0
2015-03-04,19550.0
2015-03-05,19505.0
2015-03-06,19620.0
2015-03-09,19390.0
2015-03-10,19360.0
2015-03-11,19400.0
2015-03-12,19240.0
2015-03-13,19365.0
2015-03-16,19380.0
2015-03-17,19825.0
2015-03-18,19840.0
2015-03-19,19885.0
2015-03-20,19830.0
2015-03-23,19865.0
2015-03-24,19865.0
2015-03-25,19840.0
2015-03-26,19610.0
2015-03-27,19565.0
2015-03-30,19600.0
2015-03-31,19695.0
2015-04-01,19430.0
2015-04-02,19495.0
2015-04-03,19575.0
2015-04-06,19645.0
2015-04-07,19585.0
2015-04-08,19710.0
2015-04-09,19750.0
2015-04-10,19965.0
2015-04-13,20125.0
2015-04-14,20295.0
2015-04-15,20235.0
2015-04-16,20490.0
2015-04-17,20470.0
2015-04-20,20485.0
2015-04-21,20455.0
2015-04-22,20495.0
2015-04-23,20750.0
2015-04-24,20695.0
2015-04-27,20605.0
2015-04-28,20480.0
2015-04-29,20150.0
2015-04-30,20045.0
2015-05-04,20130.0
2015-05-06,19895.0
2015-05-07,19770.0
2015-05-08,19610.0
2015-05-11,19640.0
2015-05-12,19640.0
2015-05-13,19760.0
2015-05-14,19800.0
