Date,TIGER 현대차그룹+펀더멘털
2014-12-19,19150.0
2014-12-22,19335.0
2014-12-23,19230.0
2014-12-24,19340.0
2014-12-26,19430.0
2014-12-29,19320.0
2014-12-30,19000.0
2015-01-02,19080.0
2015-01-05,18965.0
2015-01-06,18360.0
2015-01-07,18585.0
2015-01-08,18830.0
2015-01-09,19190.0
2015-01-12,19035.0
2015-01-13,19405.0
2015-01-14,19080.0
2015-01-15,18870.0
2015-01-16,18530.0
2015-01-19,18900.0
2015-01-20,18950.0
2015-01-21,18550.0
2015-01-22,18655.0
2015-01-23,18675.0
2015-01-26,18330.0
2015-01-27,18345.0
2015-01-28,18765.0
2015-01-29,18815.0
2015-01-30,18860.0
2015-02-02,19050.0
2015-02-03,18860.0
2015-02-04,18900.0
2015-02-05,18855.0
2015-02-06,18630.0
2015-02-09,18430.0
2015-02-10,18275.0
2015-02-11,18380.0
2015-02-12,18480.0
2015-02-13,18405.0
2015-02-16,18405.0
2015-02-17,18660.0
2015-02-23,18685.0
2015-02-24,18505.0
2015-02-25,18800.0
2015-02-26,19055.0
2015-02-27,18855.0
2015-03-02,19285.0
2015-03-03,19570.0
2015-03-04,19570.0
2015-03-05,19675.0
2015-03-06,19915.0
2015-03-09,19750.0
2015-03-10,19900.0
2015-03-11,19805.0
2015-03-12,19390.0
2015-03-13,19330.0
2015-03-16,19240.0
2015-03-17,19830.0
2015-03-18,19730.0
2015-03-19,20085.0
2015-03-20,19785.0
2015-03-23,19730.0
2015-03-24,19510.0
2015-03-25,19215.0
2015-03-26,19285.0
2015-03-27,19145.0
2015-03-30,19205.0
2015-03-31,19235.0
2015-04-01,18820.0
2015-04-02,18770.0
2015-04-03,19160.0
2015-04-06,19080.0
2015-04-07,19225.0
2015-04-08,19610.0
2015-04-09,19645.0
2015-04-10,19950.0
2015-04-13,20140.0
2015-04-14,20450.0
2015-04-15,20385.0
2015-04-16,20350.0
2015-04-17,20400.0
2015-04-20,20530.0
2015-04-21,20440.0
2015-04-22,20455.0
2015-04-23,20790.0
2015-04-24,20985.0
2015-04-27,20865.0
2015-04-28,20870.0
2015-04-29,20250.0
2015-04-30,20110.0
2015-05-04,20330.0
2015-05-06,20330.0
2015-05-07,20195.0
2015-05-08,20310.0
2015-05-11,20080.0
2015-05-12,19990.0
2015-05-13,19925.0
2015-05-14,19730.0
2015-05-15,19405.0
2015-05-18,19180.0
2015-05-19,19400.0
2015-05-20,19475.0
2015-05-21,19185.0
2015-05-22,19630.0
2015-05-26,19265.0
2015-05-27,19055.0
2015-05-28,18825.0
2015-05-29,18835.0
2015-06-01,18605.0
2015-06-02,17590.0
2015-06-03,17500.0
2015-06-04,17560.0
2015-06-05,17450.0
2015-06-08,17305.0
2015-06-09,17340.0
2015-06-10,17320.0
2015-06-11,17610.0
2015-06-12,17290.0
2015-06-15,17385.0
2015-06-16,17130.0
2015-06-17,17070.0
2015-06-18,16865.0
2015-06-19,16855.0
2015-06-22,17060.0
2015-06-23,17080.0
2015-06-24,17155.0
2015-06-25,17080.0
2015-06-26,17070.0
2015-06-29,16785.0
2015-06-30,16880.0
2015-07-01,17050.0
2015-07-02,16760.0
2015-07-03,16830.0
2015-07-06,16410.0
2015-07-07,16390.0
2015-07-08,16305.0
2015-07-09,16280.0
2015-07-10,15975.0
2015-07-13,15980.0
2015-07-14,16020.0
2015-07-15,16020.0
2015-07-16,15920.0
2015-07-17,15370.0
2015-07-20,15310.0
2015-07-21,15880.0
2015-07-22,15835.0
2015-07-23,16055.0
2015-07-24,15920.0
2015-07-27,16470.0
2015-07-28,16390.0
2015-07-29,16245.0
2015-07-30,16555.0
2015-07-31,16425.0
2015-08-03,16050.0
2015-08-04,15985.0
2015-08-05,16205.0
2015-08-06,15840.0
2015-08-07,15760.0
2015-08-10,15750.0
2015-08-11,15620.0
2015-08-12,16090.0
2015-08-13,16120.0
2015-08-17,15955.0
2015-08-18,16265.0
2015-08-19,16350.0
2015-08-20,16225.0
2015-08-21,15820.0
2015-08-24,15425.0
2015-08-25,15930.0
2015-08-26,16315.0
2015-08-27,16010.0
2015-08-28,16095.0
2015-08-31,16425.0
2015-09-01,16340.0
2015-09-02,16640.0
2015-09-03,16535.0
2015-09-04,16340.0
2015-09-07,16590.0
2015-09-08,16835.0
2015-09-09,17105.0
2015-09-10,17300.0
2015-09-11,17300.0
2015-09-14,17145.0
2015-09-15,17400.0
2015-09-16,17935.0
2015-09-17,17840.0
2015-09-18,17850.0
2015-09-21,17375.0
2015-09-22,17865.0
2015-09-23,17330.0
2015-09-24,17315.0
2015-09-25,17700.0
2015-09-30,17920.0
2015-10-01,18210.0
2015-10-02,18080.0
2015-10-05,17845.0
2015-10-06,17400.0
2015-10-07,17635.0
2015-10-08,18000.0
2015-10-12,18060.0
2015-10-13,18470.0
2015-10-14,18500.0
2015-10-15,18540.0
2015-10-16,18235.0
2015-10-19,18325.0
2015-10-20,18355.0
2015-10-21,18335.0
2015-10-22,18300.0
2015-10-23,18145.0
2015-10-26,18245.0
2015-10-27,18425.0
2015-10-28,18000.0
2015-10-29,17950.0
2015-10-30,17975.0
2015-11-02,18000.0
2015-11-03,18630.0
2015-11-04,18745.0
2015-11-05,18605.0
2015-11-06,18415.0
2015-11-09,18500.0
2015-11-10,18405.0
2015-11-11,18230.0
2015-11-12,18325.0
2015-11-13,18040.0
2015-11-16,17850.0
2015-11-17,17925.0
2015-11-18,17940.0
2015-11-19,18045.0
2015-11-20,18060.0
2015-11-23,17875.0
2015-11-24,17705.0
2015-11-25,17500.0
2015-11-26,17665.0
2015-11-27,17685.0
2015-11-30,17355.0
2015-12-01,17785.0
2015-12-02,17700.0
2015-12-03,17570.0
2015-12-04,17400.0
2015-12-07,17295.0
2015-12-08,17200.0
2015-12-09,16980.0
2015-12-10,17145.0
2015-12-11,16845.0
2015-12-14,17100.0
2015-12-15,17080.0
2015-12-16,17510.0
2015-12-17,17545.0
2015-12-18,17460.0
2015-12-21,17265.0
2015-12-22,17400.0
2015-12-23,17515.0
2015-12-24,17600.0
2015-12-28,17210.0
2015-12-29,17385.0
2015-12-30,17275.0
2016-01-04,16745.0
2016-01-05,16635.0
2016-01-06,16500.0
2016-01-07,16370.0
2016-01-08,16360.0
2016-01-11,16500.0
2016-01-12,16485.0
2016-01-13,16830.0
2016-01-14,16610.0
2016-01-15,16500.0
2016-01-18,16600.0
2016-01-19,16525.0
2016-01-20,16085.0
2016-01-21,16075.0
2016-01-22,16350.0
2016-01-25,16590.0
2016-01-26,16465.0
2016-01-27,16970.0
2016-01-28,17065.0
2016-01-29,16800.0
2016-02-01,16610.0
2016-02-02,16320.0
2016-02-03,15975.0
2016-02-04,16680.0
2016-02-05,16710.0
2016-02-11,16465.0
2016-02-12,16860.0
2016-02-15,17400.0
2016-02-16,17550.0
2016-02-17,17790.0
2016-02-18,17880.0
2016-02-19,18085.0
2016-02-22,17845.0
2016-02-23,17960.0
2016-02-24,18040.0
2016-02-25,17865.0
2016-02-26,17865.0
2016-02-29,17720.0
2016-03-02,18020.0
2016-03-03,18140.0
2016-03-04,18195.0
2016-03-07,18345.0
2016-03-08,18410.0
2016-03-09,18430.0
2016-03-10,18535.0
2016-03-11,18355.0
2016-03-14,18255.0
2016-03-15,18040.0
2016-03-16,17710.0
2016-03-17,17955.0
2016-03-18,18115.0
2016-03-21,18225.0
2016-03-22,18795.0
2016-03-23,18660.0
2016-03-24,18325.0
2016-03-25,18220.0
2016-03-28,18255.0
2016-03-29,18340.0
2016-03-30,18495.0
2016-03-31,18185.0
2016-04-01,17725.0
2016-04-04,17350.0
2016-04-05,17235.0
2016-04-06,17365.0
2016-04-07,17490.0
2016-04-08,17665.0
2016-04-11,17670.0
2016-04-12,18150.0
2016-04-14,18490.0
2016-04-15,18415.0
2016-04-18,18285.0
2016-04-19,18625.0
2016-04-20,18425.0
2016-04-21,18790.0
2016-04-22,18670.0
2016-04-25,18395.0
2016-04-26,18590.0
2016-04-27,18585.0
2016-04-28,18235.0
2016-04-29,18195.0
2016-05-02,18005.0
2016-05-03,18005.0
2016-05-04,17385.0
2016-05-09,17015.0
2016-05-10,17320.0
2016-05-11,17225.0
2016-05-12,17220.0
2016-05-13,17055.0
2016-05-16,16950.0
2016-05-17,16800.0
2016-05-18,16600.0
2016-05-19,16540.0
2016-05-20,16615.0
2016-05-23,16600.0
2016-05-24,16450.0
2016-05-25,16530.0
2016-05-26,16740.0
2016-05-27,16890.0
2016-05-30,16760.0
2016-05-31,17030.0
2016-06-01,16995.0
2016-06-02,16955.0
2016-06-03,16900.0
2016-06-07,17145.0
2016-06-08,17300.0
2016-06-09,17250.0
2016-06-10,17240.0
2016-06-13,16960.0
2016-06-14,16850.0
2016-06-15,16940.0
2016-06-16,16630.0
2016-06-17,16630.0
2016-06-20,17055.0
2016-06-21,16880.0
2016-06-22,17090.0
2016-06-23,17085.0
2016-06-24,16595.0
2016-06-27,16775.0
2016-06-28,16730.0
2016-06-29,16805.0
2016-06-30,16490.0
2016-07-01,16670.0
2016-07-04,16770.0
2016-07-05,16590.0
2016-07-06,15980.0
2016-07-07,16160.0
2016-07-08,15945.0
2016-07-11,16180.0
2016-07-12,16395.0
2016-07-13,16625.0
2016-07-14,16515.0
2016-07-15,16610.0
2016-07-18,16600.0
2016-07-19,16475.0
2016-07-20,16415.0
2016-07-21,16435.0
2016-07-22,16480.0
2016-07-25,16745.0
2016-07-26,17000.0
2016-07-27,17120.0
2016-07-28,17295.0
2016-07-29,17110.0
2016-08-01,17155.0
2016-08-02,16955.0
2016-08-03,16690.0
2016-08-04,16615.0
2016-08-05,16920.0
2016-08-08,16930.0
2016-08-09,17280.0
2016-08-10,17130.0
2016-08-11,17105.0
2016-08-12,17360.0
2016-08-16,17360.0
2016-08-17,17135.0
2016-08-18,17210.0
2016-08-19,17185.0
2016-08-22,17075.0
2016-08-23,17075.0
2016-08-24,17350.0
2016-08-25,17355.0
2016-08-26,17300.0
2016-08-29,17215.0
2016-08-30,17200.0
2016-08-31,17260.0
2016-09-01,17260.0
2016-09-02,17380.0
2016-09-05,17895.0
2016-09-06,18120.0
2016-09-07,18175.0
2016-09-08,18245.0
2016-09-09,18190.0
2016-09-12,18000.0
2016-09-13,17890.0
2016-09-19,17860.0
2016-09-20,17860.0
2016-09-21,17755.0
2016-09-22,18035.0
2016-09-23,18125.0
2016-09-26,17940.0
2016-09-27,18080.0
2016-09-28,17870.0
2016-09-29,17880.0
2016-09-30,17545.0
2016-10-04,17785.0
2016-10-05,17770.0
2016-10-06,17760.0
2016-10-07,17820.0
2016-10-10,17825.0
2016-10-11,17960.0
2016-10-12,17955.0
2016-10-13,17685.0
2016-10-14,17510.0
2016-10-17,17625.0
2016-10-18,17670.0
2016-10-19,17560.0
2016-10-20,17550.0
2016-10-21,17610.0
2016-10-24,17625.0
2016-10-25,18100.0
2016-10-26,17575.0
2016-10-27,17715.0
2016-10-28,17650.0
2016-10-31,17610.0
2016-11-01,17555.0
2016-11-02,17430.0
2016-11-03,17240.0
2016-11-04,17230.0
2016-11-07,17340.0
2016-11-08,17590.0
2016-11-09,16935.0
2016-11-10,16725.0
2016-11-11,16830.0
2016-11-14,16850.0
2016-11-15,16765.0
2016-11-16,16795.0
2016-11-17,16960.0
2016-11-18,16785.0
2016-11-21,16830.0
2016-11-22,16880.0
2016-11-23,17100.0
2016-11-24,17080.0
2016-11-25,16880.0
2016-11-28,16995.0
2016-11-29,16780.0
2016-11-30,16590.0
2016-12-01,16905.0
2016-12-02,16950.0
2016-12-05,17045.0
2016-12-06,17190.0
2016-12-07,17140.0
2016-12-08,17600.0
2016-12-09,17665.0
2016-12-12,17800.0
2016-12-13,17900.0
2016-12-14,17900.0
2016-12-15,17735.0
2016-12-16,17550.0
2016-12-19,17590.0
2016-12-20,17750.0
2016-12-21,17900.0
2016-12-22,17835.0
2016-12-23,17900.0
2016-12-26,17710.0
2016-12-27,17900.0
2016-12-28,18040.0
2016-12-29,18065.0
2017-01-02,18485.0
2017-01-03,18705.0
2017-01-04,18760.0
2017-01-05,18675.0
2017-01-06,18415.0
2017-01-09,18325.0
2017-01-10,18390.0
2017-01-11,18515.0
2017-01-12,18605.0
2017-01-13,18685.0
2017-01-16,18685.0
2017-01-17,18790.0
2017-01-18,18910.0
2017-01-19,18740.0
2017-01-20,18545.0
2017-01-23,18565.0
2017-01-24,18165.0
2017-01-25,17665.0
2017-01-26,17820.0
2017-01-31,17175.0
2017-02-01,17445.0
2017-02-02,17220.0
2017-02-03,17320.0
2017-02-06,17280.0
2017-02-07,17400.0
2017-02-08,17400.0
2017-02-09,17555.0
2017-02-10,17600.0
2017-02-13,17595.0
2017-02-14,17735.0
2017-02-15,18020.0
2017-02-16,18300.0
2017-02-17,18370.0
2017-02-20,18350.0
2017-02-21,18525.0
2017-02-22,18515.0
2017-02-23,18325.0
2017-02-24,18410.0
2017-02-27,18495.0
2017-02-28,18575.0
2017-03-02,18395.0
2017-03-03,18025.0
2017-03-06,18100.0
2017-03-07,18115.0
2017-03-08,18075.0
2017-03-09,18060.0
2017-03-10,18040.0
2017-03-13,18105.0
2017-03-14,18165.0
2017-03-15,18095.0
2017-03-16,18575.0
2017-03-17,18535.0
2017-03-20,18755.0
2017-03-21,19520.0
2017-03-22,19220.0
2017-03-23,19220.0
2017-03-24,19030.0
2017-03-27,18690.0
2017-03-28,18600.0
2017-03-29,18255.0
2017-03-30,18265.0
2017-03-31,18410.0
2017-04-03,18200.0
2017-04-04,17990.0
2017-04-05,17850.0
2017-04-06,17700.0
2017-04-07,17600.0
2017-04-10,17595.0
2017-04-11,17350.0
2017-04-12,17400.0
2017-04-13,17250.0
2017-04-14,17250.0
2017-04-17,17345.0
2017-04-18,17155.0
2017-04-19,16905.0
2017-04-20,17170.0
2017-04-21,17245.0
2017-04-24,17395.0
2017-04-25,17480.0
2017-04-26,17895.0
2017-04-27,17325.0
2017-04-28,17110.0
2017-05-02,17440.0
2017-05-04,17465.0
2017-05-08,17925.0
2017-05-10,17900.0
2017-05-11,18800.0
2017-05-12,18615.0
2017-05-15,18475.0
2017-05-16,18705.0
2017-05-17,18795.0
2017-05-18,19210.0
2017-05-19,19585.0
2017-05-22,19825.0
2017-05-23,19890.0
2017-05-24,19765.0
2017-05-25,19970.0
2017-05-26,20005.0
2017-05-29,19900.0
2017-05-30,19895.0
2017-05-31,19785.0
2017-06-01,19860.0
2017-06-02,19675.0
2017-06-05,19650.0
2017-06-07,19325.0
2017-06-08,19560.0
2017-06-09,19625.0
2017-06-12,19630.0
2017-06-13,19735.0
2017-06-14,20060.0
2017-06-15,19690.0
2017-06-16,19685.0
2017-06-19,19665.0
2017-06-20,19595.0
2017-06-21,19215.0
2017-06-22,19230.0
2017-06-23,19470.0
2017-06-26,19435.0
2017-06-27,19215.0
2017-06-28,19250.0
2017-06-29,19435.0
2017-06-30,19425.0
2017-07-03,19755.0
2017-07-04,19305.0
2017-07-05,19205.0
2017-07-06,19110.0
2017-07-07,18800.0
2017-07-10,18530.0
2017-07-11,18660.0
2017-07-12,18705.0
2017-07-13,18810.0
2017-07-14,19000.0
2017-07-17,18975.0
2017-07-18,18770.0
2017-07-19,18850.0
2017-07-20,18795.0
2017-07-21,18800.0
2017-07-24,18660.0
2017-07-25,18705.0
2017-07-26,18870.0
