Date,KODEX 인버스
2014-01-13,7780.0
2014-01-14,7785.0
2014-01-15,7760.0
2014-01-16,7730.0
2014-01-17,7805.0
2014-01-20,7750.0
2014-01-21,7690.0
2014-01-22,7695.0
2014-01-23,7790.0
2014-01-24,7820.0
2014-01-27,7915.0
2014-01-28,7890.0
2014-01-29,7805.0
2014-02-03,7910.0
2014-02-04,8075.0
2014-02-05,8035.0
2014-02-06,7965.0
2014-02-07,7905.0
2014-02-10,7905.0
2014-02-11,7865.0
2014-02-12,7845.0
2014-02-13,7915.0
2014-02-14,7815.0
2014-02-17,7810.0
2014-02-18,7805.0
2014-02-19,7850.0
2014-02-20,7895.0
2014-02-21,7770.0
2014-02-24,7800.0
2014-02-25,7740.0
2014-02-26,7710.0
2014-02-27,7695.0
2014-02-28,7695.0
2014-03-03,7750.0
2014-03-04,7775.0
2014-03-05,7695.0
2014-03-06,7695.0
2014-03-07,7715.0
2014-03-10,7815.0
2014-03-11,7780.0
2014-03-12,7905.0
2014-03-13,7870.0
2014-03-14,7965.0
2014-03-17,7930.0
2014-03-18,7880.0
2014-03-19,7880.0
2014-03-20,7980.0
2014-03-21,7910.0
2014-03-24,7870.0
2014-03-25,7885.0
2014-03-26,7775.0
2014-03-27,7725.0
2014-03-28,7725.0
2014-03-31,7715.0
2014-04-01,7680.0
2014-04-02,7660.0
2014-04-03,7660.0
2014-04-04,7630.0
2014-04-07,7655.0
2014-04-08,7605.0
2014-04-09,7600.0
2014-04-10,7580.0
2014-04-11,7640.0
2014-04-14,7620.0
2014-04-15,7670.0
2014-04-16,7635.0
2014-04-17,7650.0
2014-04-18,7590.0
2014-04-21,7605.0
2014-04-22,7605.0
2014-04-23,7615.0
2014-04-24,7625.0
2014-04-25,7745.0
2014-04-28,7735.0
2014-04-29,7775.0
2014-04-30,7805.0
2014-05-02,7815.0
2014-05-07,7895.0
2014-05-08,7855.0
2014-05-09,7850.0
2014-05-12,7805.0
2014-05-13,7690.0
2014-05-14,7590.0
2014-05-15,7590.0
2014-05-16,7600.0
2014-05-19,7590.0
2014-05-20,7590.0
2014-05-21,7585.0
2014-05-22,7550.0
2014-05-23,7565.0
2014-05-26,7580.0
2014-05-27,7660.0
2014-05-28,7580.0
2014-05-29,7590.0
2014-05-30,7645.0
2014-06-02,7630.0
2014-06-03,7630.0
2014-06-05,7675.0
2014-06-09,7670.0
2014-06-10,7600.0
2014-06-11,7610.0
2014-06-12,7630.0
2014-06-13,7735.0
2014-06-16,7690.0
2014-06-17,7685.0
2014-06-18,7725.0
2014-06-19,7705.0
2014-06-20,7820.0
2014-06-23,7780.0
2014-06-24,7690.0
2014-06-25,7750.0
2014-06-26,7685.0
2014-06-27,7705.0
2014-06-30,7695.0
2014-07-01,7695.0
2014-07-02,7640.0
2014-07-03,7650.0
2014-07-04,7665.0
2014-07-07,7705.0
2014-07-08,7705.0
2014-07-09,7745.0
2014-07-10,7730.0
2014-07-11,7800.0
2014-07-14,7765.0
2014-07-15,7690.0
2014-07-16,7680.0
2014-07-17,7655.0
2014-07-18,7665.0
2014-07-21,7670.0
2014-07-22,7620.0
2014-07-23,7625.0
2014-07-24,7625.0
2014-07-25,7605.0
2014-07-28,7540.0
2014-07-29,7465.0
2014-07-30,7375.0
2014-07-31,7420.0
2014-08-01,7430.0
2014-08-04,7440.0
2014-08-05,7495.0
2014-08-06,7515.0
2014-08-07,7550.0
2014-08-08,7645.0
2014-08-11,7605.0
2014-08-12,7600.0
2014-08-13,7565.0
2014-08-14,7535.0
2014-08-18,7580.0
2014-08-19,7520.0
2014-08-20,7530.0
2014-08-21,7650.0
2014-08-22,7605.0
2014-08-25,7580.0
2014-08-26,7550.0
2014-08-27,7540.0
2014-08-28,7545.0
2014-08-29,7575.0
2014-09-01,7580.0
2014-09-02,7655.0
2014-09-03,7660.0
2014-09-04,7640.0
2014-09-05,7660.0
2014-09-11,7705.0
2014-09-12,7690.0
2014-09-15,7725.0
2014-09-16,7695.0
2014-09-17,7620.0
2014-09-18,7665.0
2014-09-19,7640.0
2014-09-22,7740.0
2014-09-23,7750.0
2014-09-24,7760.0
2014-09-25,7770.0
2014-09-26,7790.0
2014-09-29,7810.0
2014-09-30,7850.0
2014-10-01,7950.0
2014-10-02,8050.0
2014-10-06,8070.0
2014-10-07,8065.0
2014-10-08,8085.0
2014-10-10,8210.0
2014-10-13,8240.0
2014-10-14,8235.0
2014-10-15,8260.0
2014-10-16,8295.0
2014-10-17,8380.0
2014-10-20,8280.0
2014-10-21,8345.0
2014-10-22,8280.0
2014-10-23,8265.0
2014-10-24,8305.0
2014-10-27,8265.0
2014-10-28,8275.0
2014-10-29,8115.0
2014-10-30,8120.0
2014-10-31,8075.0
2014-11-03,8120.0
2014-11-04,8180.0
2014-11-05,8205.0
2014-11-06,8155.0
2014-11-07,8150.0
2014-11-10,8065.0
2014-11-11,8075.0
2014-11-12,8040.0
2014-11-13,8070.0
2014-11-14,8140.0
2014-11-17,8120.0
2014-11-18,8055.0
2014-11-19,8070.0
2014-11-20,8095.0
2014-11-21,8075.0
2014-11-24,7995.0
2014-11-25,8000.0
2014-11-26,8015.0
2014-11-27,7965.0
2014-11-28,7975.0
2014-12-01,8050.0
2014-12-02,8050.0
2014-12-03,8035.0
2014-12-04,7940.0
2014-12-05,7940.0
2014-12-08,7955.0
2014-12-09,7980.0
2014-12-10,8110.0
2014-12-11,8220.0
2014-12-12,8200.0
2014-12-15,8195.0
2014-12-16,8250.0
2014-12-17,8270.0
2014-12-18,8280.0
2014-12-19,8150.0
2014-12-22,8090.0
2014-12-23,8105.0
2014-12-24,8085.0
2014-12-26,8075.0
2014-12-29,8110.0
2014-12-30,8220.0
2015-01-02,8180.0
2015-01-05,8190.0
2015-01-06,8355.0
2015-01-07,8340.0
2015-01-08,8230.0
2015-01-09,8135.0
2015-01-12,8160.0
2015-01-13,8130.0
2015-01-14,8165.0
2015-01-15,8145.0
2015-01-16,8265.0
2015-01-19,8165.0
2015-01-20,8095.0
2015-01-21,8080.0
2015-01-22,8055.0
2015-01-23,8010.0
2015-01-26,8010.0
2015-01-27,7960.0
2015-01-28,7950.0
2015-01-29,7990.0
2015-01-30,8000.0
2015-02-02,8010.0
2015-02-03,8025.0
2015-02-04,7965.0
2015-02-05,8040.0
2015-02-06,8025.0
2015-02-09,8040.0
2015-02-10,8085.0
2015-02-11,8065.0
2015-02-12,8100.0
2015-02-13,8035.0
2015-02-16,8025.0
2015-02-17,8010.0
2015-02-23,7995.0
2015-02-24,7980.0
2015-02-25,7955.0
2015-02-26,7955.0
2015-02-27,7985.0
2015-03-02,7935.0
2015-03-03,7910.0
2015-03-04,7915.0
2015-03-05,7905.0
2015-03-06,7865.0
2015-03-09,7950.0
2015-03-10,7980.0
2015-03-11,7975.0
2015-03-12,7990.0
2015-03-13,7965.0
2015-03-16,7955.0
2015-03-17,7780.0
2015-03-18,7775.0
2015-03-19,7755.0
2015-03-20,7775.0
2015-03-23,7775.0
2015-03-24,7755.0
2015-03-25,7760.0
2015-03-26,7830.0
2015-03-27,7845.0
2015-03-30,7830.0
2015-03-31,7825.0
2015-04-01,7890.0
2015-04-02,7875.0
2015-04-03,7825.0
2015-04-06,7830.0
2015-04-07,7845.0
2015-04-08,7785.0
2015-04-09,7795.0
2015-04-10,7690.0
2015-04-13,7645.0
2015-04-14,7595.0
2015-04-15,7570.0
2015-04-16,7515.0
2015-04-17,7505.0
2015-04-20,7520.0
2015-04-21,7525.0
2015-04-22,7490.0
2015-04-23,7380.0
2015-04-24,7425.0
2015-04-27,7450.0
2015-04-28,7475.0
2015-04-29,7505.0
2015-04-30,7540.0
2015-05-04,7515.0
2015-05-06,7630.0
2015-05-07,7665.0
2015-05-08,7695.0
2015-05-11,7690.0
2015-05-12,7700.0
2015-05-13,7645.0
2015-05-14,7635.0
2015-05-15,7720.0
2015-05-18,7700.0
2015-05-19,7665.0
2015-05-20,7595.0
2015-05-21,7685.0
2015-05-22,7580.0
2015-05-26,7600.0
2015-05-27,7755.0
2015-05-28,7755.0
2015-05-29,7725.0
2015-06-01,7780.0
2015-06-02,7860.0
2015-06-03,7930.0
2015-06-04,7905.0
2015-06-05,7915.0
2015-06-08,7930.0
2015-06-09,7940.0
2015-06-10,7980.0
2015-06-11,7960.0
2015-06-12,8025.0
2015-06-15,8045.0
2015-06-16,8120.0
2015-06-17,8105.0
2015-06-18,8095.0
2015-06-19,8060.0
2015-06-22,8030.0
2015-06-23,7920.0
2015-06-24,7925.0
2015-06-25,7930.0
2015-06-26,7925.0
2015-06-29,8045.0
2015-06-30,8005.0
2015-07-01,7910.0
2015-07-02,7900.0
2015-07-03,7920.0
2015-07-06,8120.0
2015-07-07,8100.0
2015-07-08,8210.0
2015-07-09,8150.0
2015-07-10,8145.0
2015-07-13,8065.0
2015-07-14,8110.0
2015-07-15,8085.0
2015-07-16,8030.0
2015-07-17,8070.0
2015-07-20,8085.0
2015-07-21,8065.0
2015-07-22,8150.0
2015-07-23,8145.0
2015-07-24,8245.0
2015-07-27,8225.0
2015-07-28,8215.0
2015-07-29,8185.0
2015-07-30,8260.0
2015-07-31,8285.0
2015-08-03,8335.0
2015-08-04,8290.0
2015-08-05,8290.0
2015-08-06,8385.0
2015-08-07,8400.0
2015-08-10,8420.0
2015-08-11,8465.0
2015-08-12,8520.0
2015-08-13,8470.0
2015-08-17,8545.0
2015-08-18,8555.0
2015-08-19,8625.0
2015-08-20,8725.0
2015-08-21,8865.0
2015-08-24,9095.0
2015-08-25,9050.0
2015-08-26,8860.0
2015-08-27,8830.0
2015-08-28,8705.0
2015-08-31,8725.0
2015-09-01,8865.0
2015-09-02,8795.0
2015-09-03,8775.0
2015-09-04,8870.0
2015-09-07,8870.0
2015-09-08,8835.0
2015-09-09,8570.0
2015-09-10,8545.0
2015-09-11,8620.0
2015-09-14,8665.0
2015-09-15,8640.0
2015-09-16,8440.0
2015-09-17,8415.0
2015-09-18,8355.0
2015-09-21,8500.0
2015-09-22,8450.0
2015-09-23,8580.0
2015-09-24,8580.0
2015-09-25,8580.0
2015-09-30,8520.0
2015-10-01,8425.0
2015-10-02,8475.0
2015-10-05,8470.0
2015-10-06,8390.0
2015-10-07,8280.0
2015-10-08,8215.0
2015-10-12,8150.0
2015-10-13,8170.0
2015-10-14,8210.0
2015-10-15,8100.0
2015-10-16,8115.0
2015-10-19,8130.0
2015-10-20,8100.0
2015-10-21,8070.0
2015-10-22,8120.0
2015-10-23,8055.0
2015-10-26,8030.0
2015-10-27,8040.0
2015-10-28,8045.0
2015-10-29,8060.0
2015-10-30,8035.0
2015-11-02,8045.0
2015-11-03,7965.0
2015-11-04,7965.0
2015-11-05,7970.0
2015-11-06,8030.0
2015-11-09,8065.0
2015-11-10,8180.0
2015-11-11,8185.0
2015-11-12,8185.0
2015-11-13,8285.0
2015-11-16,8395.0
2015-11-17,8310.0
2015-11-18,8340.0
2015-11-19,8215.0
2015-11-20,8210.0
2015-11-23,8160.0
2015-11-24,8135.0
2015-11-25,8140.0
2015-11-26,8040.0
2015-11-27,8055.0
2015-11-30,8215.0
2015-12-01,8085.0
2015-12-02,8135.0
2015-12-03,8210.0
2015-12-04,8295.0
2015-12-07,8335.0
2015-12-08,8370.0
2015-12-09,8365.0
2015-12-10,8320.0
2015-12-11,8345.0
2015-12-14,8405.0
2015-12-15,8385.0
2015-12-16,8215.0
2015-12-17,8225.0
2015-12-18,8230.0
2015-12-21,8210.0
2015-12-22,8190.0
2015-12-23,8125.0
2015-12-24,8160.0
2015-12-28,8270.0
2015-12-29,8210.0
2015-12-30,8240.0
2016-01-04,8440.0
2016-01-05,8395.0
2016-01-06,8440.0
2016-01-07,8535.0
2016-01-08,8465.0
2016-01-11,8560.0
2016-01-12,8595.0
2016-01-13,8470.0
2016-01-14,8555.0
2016-01-15,8650.0
2016-01-18,8655.0
2016-01-19,8610.0
2016-01-20,8810.0
2016-01-21,8820.0
2016-01-22,8615.0
2016-01-25,8585.0
2016-01-26,8690.0
2016-01-27,8585.0
2016-01-28,8560.0
2016-01-29,8535.0
2016-02-01,8495.0
2016-02-02,8540.0
2016-02-03,8645.0
2016-02-04,8480.0
2016-02-05,8460.0
2016-02-11,8690.0
2016-02-12,8765.0
2016-02-15,8645.0
2016-02-16,8520.0
2016-02-17,8515.0
2016-02-18,8435.0
2016-02-19,8425.0
2016-02-22,8400.0
2016-02-23,8410.0
2016-02-24,8410.0
2016-02-25,8400.0
2016-02-26,8395.0
2016-02-29,8410.0
2016-03-02,8275.0
2016-03-03,8260.0
2016-03-04,8250.0
2016-03-07,8230.0
2016-03-08,8295.0
2016-03-09,8260.0
2016-03-10,8200.0
2016-03-11,8175.0
2016-03-14,8175.0
2016-03-15,8185.0
2016-03-16,8160.0
2016-03-17,8125.0
2016-03-18,8110.0
2016-03-21,8115.0
2016-03-22,8085.0
2016-03-23,8090.0
2016-03-24,8105.0
2016-03-25,8115.0
2016-03-28,8105.0
2016-03-29,8065.0
2016-03-30,8030.0
2016-03-31,8075.0
2016-04-01,8170.0
2016-04-04,8155.0
2016-04-05,8220.0
2016-04-06,8185.0
2016-04-07,8185.0
2016-04-08,8200.0
2016-04-11,8190.0
2016-04-12,8135.0
2016-04-14,8015.0
2016-04-15,7995.0
2016-04-18,8015.0
2016-04-19,8000.0
2016-04-20,8030.0
2016-04-21,7965.0
2016-04-22,7995.0
2016-04-25,8010.0
2016-04-26,7975.0
2016-04-27,7980.0
2016-04-28,8060.0
2016-04-29,8095.0
2016-05-02,8140.0
2016-05-03,8120.0
2016-05-04,8170.0
2016-05-09,8180.0
2016-05-10,8145.0
2016-05-11,8160.0
2016-05-12,8175.0
2016-05-13,8240.0
2016-05-16,8235.0
2016-05-17,8235.0
2016-05-18,8295.0
2016-05-19,8310.0
2016-05-20,8305.0
2016-05-23,8285.0
2016-05-24,8345.0
2016-05-25,8230.0
2016-05-26,8235.0
2016-05-27,8205.0
2016-05-30,8220.0
2016-05-31,8160.0
