Date,TIGER 인버스
2014-12-22,8700.0
2014-12-23,8705.0
2014-12-24,8680.0
2014-12-26,8670.0
2014-12-29,8710.0
2014-12-30,8805.0
2015-01-02,8790.0
2015-01-05,8805.0
2015-01-06,8950.0
2015-01-07,8945.0
2015-01-08,8835.0
2015-01-09,8735.0
2015-01-12,8765.0
2015-01-13,8725.0
2015-01-14,8760.0
2015-01-15,8725.0
2015-01-16,8845.0
2015-01-19,8765.0
2015-01-20,8690.0
2015-01-21,8665.0
2015-01-22,8635.0
2015-01-23,8595.0
2015-01-26,8595.0
2015-01-27,8540.0
2015-01-28,8535.0
2015-01-29,8575.0
2015-01-30,8585.0
2015-02-02,8595.0
2015-02-03,8605.0
2015-02-04,8545.0
2015-02-05,8630.0
2015-02-06,8615.0
2015-02-09,8630.0
2015-02-10,8670.0
2015-02-11,8655.0
2015-02-12,8695.0
2015-02-13,8620.0
2015-02-16,8610.0
2015-02-17,8595.0
2015-02-23,8570.0
2015-02-24,8555.0
2015-02-25,8525.0
2015-02-26,8530.0
2015-02-27,8565.0
2015-03-02,8515.0
2015-03-03,8480.0
2015-03-04,8495.0
2015-03-05,8490.0
2015-03-06,8435.0
2015-03-09,8525.0
2015-03-10,8555.0
2015-03-11,8560.0
2015-03-12,8585.0
2015-03-13,8540.0
2015-03-16,8530.0
2015-03-17,8350.0
2015-03-18,8330.0
2015-03-19,8315.0
2015-03-20,8340.0
2015-03-23,8340.0
2015-03-24,8330.0
2015-03-25,8325.0
2015-03-26,8400.0
2015-03-27,8425.0
2015-03-30,8410.0
2015-03-31,8405.0
2015-04-01,8475.0
2015-04-02,8460.0
2015-04-03,8400.0
2015-04-06,8405.0
2015-04-07,8420.0
2015-04-08,8355.0
2015-04-09,8370.0
2015-04-10,8255.0
2015-04-13,8205.0
2015-04-14,8160.0
2015-04-15,8125.0
2015-04-16,8065.0
2015-04-17,8060.0
2015-04-20,8065.0
2015-04-21,8070.0
2015-04-22,8035.0
2015-04-23,7925.0
2015-04-24,7965.0
2015-04-27,7990.0
2015-04-28,8030.0
2015-04-29,8045.0
2015-04-30,8095.0
2015-05-04,8060.0
2015-05-06,8190.0
2015-05-07,8225.0
2015-05-08,8260.0
2015-05-11,8255.0
2015-05-12,8275.0
2015-05-13,8210.0
2015-05-14,8210.0
2015-05-15,8285.0
2015-05-18,8275.0
2015-05-19,8230.0
2015-05-20,8170.0
2015-05-21,8255.0
2015-05-22,8145.0
2015-05-26,8165.0
2015-05-27,8335.0
2015-05-28,8320.0
2015-05-29,8310.0
2015-06-01,8350.0
2015-06-02,8445.0
2015-06-03,8520.0
2015-06-04,8495.0
2015-06-05,8500.0
2015-06-08,8510.0
2015-06-09,8535.0
2015-06-10,8575.0
2015-06-11,8565.0
2015-06-12,8630.0
2015-06-15,8640.0
2015-06-16,8740.0
2015-06-17,8710.0
2015-06-18,8685.0
2015-06-19,8660.0
2015-06-22,8635.0
2015-06-23,8525.0
2015-06-24,8520.0
2015-06-25,8520.0
2015-06-26,8515.0
2015-06-29,8660.0
2015-06-30,8615.0
2015-07-01,8495.0
2015-07-02,8485.0
2015-07-03,8505.0
2015-07-06,8715.0
2015-07-07,8705.0
2015-07-08,8815.0
2015-07-09,8785.0
2015-07-10,8765.0
2015-07-13,8670.0
2015-07-14,8715.0
2015-07-15,8690.0
2015-07-16,8630.0
2015-07-17,8665.0
2015-07-20,8695.0
2015-07-21,8680.0
2015-07-22,8760.0
2015-07-23,8765.0
2015-07-24,8855.0
2015-07-27,8835.0
2015-07-28,8830.0
2015-07-29,8805.0
2015-07-30,8870.0
2015-07-31,8890.0
2015-08-03,8940.0
2015-08-04,8910.0
2015-08-05,8900.0
2015-08-06,9005.0
2015-08-07,9040.0
2015-08-10,9055.0
2015-08-11,9095.0
2015-08-12,9140.0
2015-08-13,9115.0
2015-08-17,9185.0
2015-08-18,9195.0
2015-08-19,9260.0
2015-08-20,9370.0
2015-08-21,9510.0
2015-08-24,9770.0
2015-08-25,9710.0
2015-08-26,9505.0
2015-08-27,9485.0
2015-08-28,9350.0
2015-08-31,9360.0
2015-09-01,9470.0
2015-09-02,9435.0
2015-09-03,9425.0
2015-09-04,9510.0
2015-09-07,9535.0
2015-09-08,9510.0
2015-09-09,9205.0
2015-09-10,9190.0
2015-09-11,9260.0
2015-09-14,9330.0
