Date,TIGER 헬스케어
2014-12-22,13910.0
2014-12-23,13870.0
2014-12-24,13910.0
2014-12-26,13910.0
2014-12-29,14165.0
2014-12-30,14205.0
2015-01-02,14200.0
2015-01-05,14280.0
2015-01-06,14195.0
2015-01-07,14200.0
2015-01-08,14140.0
2015-01-09,14300.0
2015-01-12,14400.0
2015-01-13,14525.0
2015-01-14,14545.0
2015-01-15,14680.0
2015-01-16,14580.0
2015-01-19,14660.0
2015-01-20,14735.0
2015-01-21,14750.0
2015-01-22,14600.0
2015-01-23,14765.0
2015-01-26,14810.0
2015-01-27,14705.0
2015-01-28,14745.0
2015-01-29,14800.0
2015-01-30,14930.0
2015-02-02,14750.0
2015-02-03,15075.0
2015-02-04,15060.0
2015-02-05,15255.0
2015-02-06,15605.0
2015-02-09,15850.0
2015-02-10,15610.0
2015-02-11,15650.0
2015-02-12,15890.0
2015-02-13,16650.0
2015-02-16,17345.0
2015-02-17,17290.0
2015-02-23,17950.0
2015-02-24,17890.0
2015-02-25,17400.0
2015-02-26,17275.0
2015-02-27,17315.0
2015-03-02,16965.0
2015-03-03,17205.0
2015-03-04,17180.0
2015-03-05,17200.0
2015-03-06,17725.0
2015-03-09,17435.0
2015-03-10,17330.0
2015-03-11,17300.0
2015-03-12,17655.0
2015-03-13,18035.0
2015-03-16,18320.0
2015-03-17,18420.0
2015-03-18,18255.0
2015-03-19,19120.0
2015-03-20,19625.0
2015-03-23,19205.0
2015-03-24,19215.0
2015-03-25,21000.0
2015-03-26,19350.0
2015-03-27,19445.0
2015-03-30,19350.0
2015-03-31,19395.0
2015-04-01,19460.0
2015-04-02,19770.0
2015-04-03,19675.0
2015-04-06,19630.0
2015-04-07,20095.0
2015-04-08,20140.0
2015-04-09,20555.0
2015-04-10,20740.0
2015-04-13,21645.0
2015-04-14,21650.0
2015-04-15,22165.0
2015-04-16,22245.0
2015-04-17,22760.0
2015-04-20,23025.0
2015-04-21,23070.0
2015-04-22,22760.0
2015-04-23,22160.0
2015-04-24,21955.0
2015-04-27,22395.0
2015-04-28,22450.0
2015-04-29,22460.0
2015-04-30,22530.0
2015-05-04,22320.0
2015-05-06,21800.0
2015-05-07,21895.0
2015-05-08,22300.0
2015-05-11,22745.0
2015-05-12,22375.0
2015-05-13,22745.0
2015-05-14,22930.0
2015-05-15,23025.0
2015-05-18,23860.0
2015-05-19,23995.0
2015-05-20,24920.0
2015-05-21,25080.0
2015-05-22,24570.0
2015-05-26,24125.0
2015-05-27,23710.0
2015-05-28,24105.0
2015-05-29,23835.0
2015-06-01,24240.0
2015-06-02,24475.0
2015-06-03,23515.0
2015-06-04,24000.0
2015-06-05,24700.0
2015-06-08,25285.0
2015-06-09,25445.0
2015-06-10,24800.0
2015-06-11,25555.0
2015-06-12,25785.0
2015-06-15,25950.0
2015-06-16,25705.0
2015-06-17,26220.0
2015-06-18,27420.0
2015-06-19,27540.0
2015-06-22,27655.0
2015-06-23,27425.0
2015-06-24,27920.0
2015-06-25,29285.0
2015-06-26,29420.0
2015-06-29,28800.0
2015-06-30,29090.0
2015-07-01,30285.0
2015-07-02,31420.0
2015-07-03,32045.0
2015-07-06,31760.0
2015-07-07,27950.0
2015-07-08,27505.0
2015-07-09,28780.0
2015-07-10,28600.0
2015-07-13,29045.0
2015-07-14,29620.0
2015-07-15,30260.0
2015-07-16,29765.0
2015-07-17,29880.0
2015-07-20,30320.0
2015-07-21,29965.0
2015-07-22,29600.0
2015-07-23,30100.0
2015-07-24,30590.0
2015-07-27,28905.0
2015-07-28,29580.0
2015-07-29,27300.0
2015-07-30,26315.0
2015-07-31,26985.0
2015-08-03,25900.0
2015-08-04,26955.0
2015-08-05,27930.0
2015-08-06,28400.0
2015-08-07,28110.0
2015-08-10,28030.0
2015-08-11,26850.0
2015-08-12,26150.0
2015-08-13,26815.0
2015-08-17,26500.0
2015-08-18,26100.0
2015-08-19,25045.0
2015-08-20,24650.0
2015-08-21,23980.0
2015-08-24,23260.0
2015-08-25,24750.0
2015-08-26,25835.0
2015-08-27,25750.0
2015-08-28,25955.0
2015-08-31,25940.0
2015-09-01,25300.0
2015-09-02,25245.0
2015-09-03,25015.0
2015-09-04,23455.0
2015-09-07,23640.0
2015-09-08,22300.0
2015-09-09,23560.0
2015-09-10,23840.0
2015-09-11,24230.0
2015-09-14,23790.0
2015-09-15,24065.0
2015-09-16,24585.0
2015-09-17,24290.0
2015-09-18,25570.0
2015-09-21,25585.0
2015-09-22,25600.0
2015-09-23,25080.0
2015-09-24,25255.0
2015-09-25,24860.0
2015-09-30,24190.0
2015-10-01,24200.0
2015-10-02,24470.0
2015-10-05,24930.0
2015-10-06,24725.0
2015-10-07,23760.0
2015-10-08,23595.0
2015-10-12,23265.0
2015-10-13,23300.0
2015-10-14,23100.0
2015-10-15,23400.0
2015-10-16,24290.0
2015-10-19,24395.0
2015-10-20,25120.0
2015-10-21,24995.0
2015-10-22,24730.0
2015-10-23,25565.0
2015-10-26,25810.0
2015-10-27,25500.0
2015-10-28,25820.0
2015-10-29,26270.0
2015-10-30,26125.0
2015-11-02,25600.0
2015-11-03,25635.0
2015-11-04,26300.0
2015-11-05,26910.0
2015-11-06,29900.0
2015-11-09,28850.0
2015-11-10,28250.0
2015-11-11,28840.0
2015-11-12,28955.0
2015-11-13,28555.0
2015-11-16,28150.0
2015-11-17,28980.0
2015-11-18,28500.0
2015-11-19,29060.0
2015-11-20,29145.0
2015-11-23,30000.0
2015-11-24,29760.0
2015-11-25,29600.0
2015-11-26,29685.0
2015-11-27,29555.0
2015-11-30,28860.0
2015-12-01,29045.0
2015-12-02,28940.0
2015-12-03,29015.0
2015-12-04,28600.0
2015-12-07,28330.0
2015-12-08,27595.0
2015-12-09,27395.0
2015-12-10,26900.0
2015-12-11,26105.0
2015-12-14,25450.0
2015-12-15,26095.0
2015-12-16,26425.0
2015-12-17,26670.0
2015-12-18,27345.0
2015-12-21,27350.0
2015-12-22,27210.0
2015-12-23,26925.0
2015-12-24,26515.0
2015-12-28,26300.0
2015-12-29,28570.0
2015-12-30,28725.0
2016-01-04,28850.0
2016-01-05,29500.0
2016-01-06,31050.0
2016-01-07,31030.0
2016-01-08,32100.0
2016-01-11,31465.0
2016-01-12,30745.0
2016-01-13,31705.0
2016-01-14,31350.0
2016-01-15,31070.0
2016-01-18,32615.0
2016-01-19,33475.0
2016-01-20,33545.0
2016-01-21,33340.0
2016-01-22,33000.0
2016-01-25,33320.0
2016-01-26,33440.0
2016-01-27,32570.0
2016-01-28,32965.0
2016-01-29,32775.0
2016-02-01,33900.0
2016-02-02,33800.0
2016-02-03,33985.0
2016-02-04,33485.0
2016-02-05,33320.0
2016-02-11,31445.0
2016-02-12,28745.0
2016-02-15,29075.0
2016-02-16,29845.0
2016-02-17,28500.0
2016-02-18,29620.0
2016-02-19,30000.0
2016-02-22,30485.0
2016-02-23,29760.0
2016-02-24,29505.0
2016-02-25,29850.0
2016-02-26,29900.0
2016-02-29,29700.0
2016-03-02,30730.0
2016-03-03,31330.0
2016-03-04,31275.0
2016-03-07,30355.0
2016-03-08,30315.0
2016-03-09,30550.0
2016-03-10,30780.0
2016-03-11,30550.0
2016-03-14,30450.0
2016-03-15,30215.0
2016-03-16,30595.0
2016-03-17,30585.0
2016-03-18,30900.0
2016-03-21,30835.0
2016-03-22,30735.0
2016-03-23,30680.0
2016-03-24,30355.0
2016-03-25,30845.0
2016-03-28,30540.0
2016-03-29,30900.0
2016-03-30,30950.0
2016-03-31,30920.0
2016-04-01,31500.0
2016-04-04,32050.0
2016-04-05,32230.0
2016-04-06,31330.0
2016-04-07,31740.0
2016-04-08,31605.0
2016-04-11,30775.0
2016-04-12,30595.0
2016-04-14,30520.0
2016-04-15,30650.0
2016-04-18,30295.0
2016-04-19,30515.0
2016-04-20,30260.0
2016-04-21,30105.0
2016-04-22,29890.0
2016-04-25,29950.0
2016-04-26,30165.0
2016-04-27,29510.0
2016-04-28,29300.0
2016-04-29,29165.0
2016-05-02,28285.0
2016-05-03,28895.0
2016-05-04,28685.0
2016-05-09,28810.0
2016-05-10,29515.0
2016-05-11,29440.0
2016-05-12,29575.0
2016-05-13,29490.0
2016-05-16,29495.0
2016-05-17,29090.0
2016-05-18,28430.0
2016-05-19,28405.0
2016-05-20,29020.0
2016-05-23,29675.0
2016-05-24,29500.0
2016-05-25,29755.0
2016-05-26,29670.0
2016-05-27,29800.0
2016-05-30,29915.0
2016-05-31,30310.0
2016-06-01,30500.0
2016-06-02,30650.0
2016-06-03,30680.0
2016-06-07,31355.0
2016-06-08,31485.0
2016-06-09,31605.0
2016-06-10,31830.0
2016-06-13,31210.0
2016-06-14,31000.0
2016-06-15,30975.0
2016-06-16,30075.0
2016-06-17,29870.0
2016-06-20,30430.0
2016-06-21,30750.0
2016-06-22,30660.0
2016-06-23,30320.0
2016-06-24,29180.0
2016-06-27,29220.0
2016-06-28,29860.0
2016-06-29,30370.0
2016-06-30,30440.0
2016-07-01,30900.0
2016-07-04,30990.0
2016-07-05,31120.0
2016-07-06,30645.0
2016-07-07,31300.0
2016-07-08,31180.0
2016-07-11,31105.0
2016-07-12,31060.0
2016-07-13,30785.0
2016-07-14,30735.0
2016-07-15,30465.0
2016-07-18,30300.0
2016-07-19,30310.0
2016-07-20,30530.0
2016-07-21,30630.0
2016-07-22,30490.0
2016-07-25,30210.0
2016-07-26,30380.0
2016-07-27,29650.0
2016-07-28,29800.0
2016-07-29,29970.0
2016-08-01,29095.0
2016-08-02,29200.0
2016-08-03,29070.0
2016-08-04,29475.0
2016-08-05,29165.0
2016-08-08,29555.0
2016-08-09,29880.0
2016-08-10,30580.0
2016-08-11,30615.0
2016-08-12,30685.0
2016-08-16,30595.0
2016-08-17,30320.0
2016-08-18,30100.0
2016-08-19,30100.0
2016-08-22,29630.0
2016-08-23,29840.0
2016-08-24,29880.0
2016-08-25,29710.0
2016-08-26,29850.0
2016-08-29,29240.0
2016-08-30,29255.0
2016-08-31,28880.0
2016-09-01,29175.0
2016-09-02,29215.0
2016-09-05,29350.0
2016-09-06,29300.0
2016-09-07,28910.0
2016-09-08,28600.0
2016-09-09,28575.0
2016-09-12,28085.0
2016-09-13,28095.0
2016-09-19,28200.0
2016-09-20,28800.0
2016-09-21,29000.0
2016-09-22,29190.0
2016-09-23,29550.0
2016-09-26,29470.0
2016-09-27,29680.0
2016-09-28,29625.0
2016-09-29,29645.0
2016-09-30,28290.0
2016-10-04,28035.0
2016-10-05,27620.0
2016-10-06,27340.0
2016-10-07,26380.0
2016-10-10,26755.0
2016-10-11,26560.0
2016-10-12,26675.0
2016-10-13,26195.0
2016-10-14,25980.0
2016-10-17,25465.0
2016-10-18,25875.0
2016-10-19,25970.0
2016-10-20,25570.0
2016-10-21,25555.0
2016-10-24,25280.0
2016-10-25,24700.0
2016-10-26,24870.0
2016-10-27,25460.0
2016-10-28,24410.0
2016-10-31,23810.0
2016-11-01,23950.0
2016-11-02,23230.0
2016-11-03,23675.0
2016-11-04,23630.0
2016-11-07,23870.0
2016-11-08,24115.0
2016-11-09,23130.0
2016-11-10,24940.0
2016-11-11,24750.0
2016-11-14,24540.0
2016-11-15,24150.0
2016-11-16,24505.0
2016-11-17,24370.0
2016-11-18,23865.0
2016-11-21,23405.0
2016-11-22,23400.0
2016-11-23,22745.0
2016-11-24,22595.0
2016-11-25,22775.0
2016-11-28,22595.0
2016-11-29,22700.0
2016-11-30,22855.0
2016-12-01,22670.0
2016-12-02,22310.0
2016-12-05,21970.0
2016-12-06,22185.0
2016-12-07,21695.0
2016-12-08,21815.0
2016-12-09,22205.0
2016-12-12,22630.0
2016-12-13,23285.0
2016-12-14,23200.0
2016-12-15,23495.0
2016-12-16,23485.0
2016-12-19,23330.0
2016-12-20,23100.0
2016-12-21,22970.0
2016-12-22,22720.0
2016-12-23,23080.0
2016-12-26,23300.0
2016-12-27,23305.0
2016-12-28,24185.0
2016-12-29,24135.0
2017-01-02,23910.0
2017-01-03,23900.0
2017-01-04,24180.0
2017-01-05,24475.0
2017-01-06,24355.0
2017-01-09,24035.0
2017-01-10,23715.0
2017-01-11,23790.0
2017-01-12,23435.0
2017-01-13,23600.0
2017-01-16,23595.0
2017-01-17,23365.0
2017-01-18,23385.0
2017-01-19,23265.0
2017-01-20,23170.0
2017-01-23,22880.0
2017-01-24,22610.0
2017-01-25,22340.0
2017-01-26,22470.0
2017-01-31,22460.0
2017-02-01,22885.0
2017-02-02,22875.0
2017-02-03,22775.0
2017-02-06,22975.0
2017-02-07,23155.0
2017-02-08,22980.0
2017-02-09,22830.0
2017-02-10,22885.0
2017-02-13,22930.0
2017-02-14,22925.0
2017-02-15,23500.0
2017-02-16,23425.0
2017-02-17,23540.0
2017-02-20,23300.0
2017-02-21,23470.0
2017-02-22,23325.0
2017-02-23,23400.0
2017-02-24,23555.0
2017-02-27,23630.0
2017-02-28,23540.0
2017-03-02,23305.0
2017-03-03,23005.0
2017-03-06,22955.0
2017-03-07,23025.0
2017-03-08,22785.0
2017-03-09,22795.0
2017-03-10,22930.0
2017-03-13,22955.0
2017-03-14,22695.0
2017-03-15,22375.0
2017-03-16,22560.0
2017-03-17,22405.0
2017-03-20,22245.0
2017-03-21,22395.0
2017-03-22,22335.0
2017-03-23,22250.0
2017-03-24,22340.0
2017-03-27,22550.0
2017-03-28,22690.0
2017-03-29,22710.0
2017-03-30,22710.0
2017-03-31,22950.0
2017-04-03,23410.0
2017-04-04,23490.0
2017-04-05,23515.0
2017-04-06,23505.0
2017-04-07,23625.0
2017-04-10,23160.0
2017-04-11,23330.0
2017-04-12,23200.0
2017-04-13,23315.0
2017-04-14,23250.0
2017-04-17,23695.0
2017-04-18,23800.0
2017-04-19,23855.0
2017-04-20,24040.0
2017-04-21,24000.0
2017-04-24,23630.0
2017-04-25,23795.0
2017-04-26,23720.0
2017-04-27,23640.0
2017-04-28,23600.0
2017-05-02,23525.0
2017-05-04,23725.0
2017-05-08,24640.0
2017-05-10,24685.0
2017-05-11,24915.0
2017-05-12,24830.0
2017-05-15,24855.0
2017-05-16,24475.0
2017-05-17,24440.0
2017-05-18,24210.0
2017-05-19,24375.0
2017-05-22,24185.0
2017-05-23,24425.0
2017-05-24,24800.0
2017-05-25,24675.0
2017-05-26,24830.0
2017-05-29,24750.0
2017-05-30,25050.0
2017-05-31,25695.0
2017-06-01,25815.0
2017-06-02,25950.0
2017-06-05,26360.0
2017-06-07,26470.0
2017-06-08,26525.0
2017-06-09,26715.0
2017-06-12,26310.0
2017-06-13,26875.0
2017-06-14,27050.0
2017-06-15,26865.0
2017-06-16,26455.0
2017-06-19,26885.0
2017-06-20,26650.0
2017-06-21,26695.0
2017-06-22,26755.0
2017-06-23,26940.0
2017-06-26,27025.0
2017-06-27,27125.0
2017-06-28,26700.0
2017-06-29,26945.0
2017-06-30,26995.0
2017-07-03,26630.0
2017-07-04,26585.0
2017-07-05,26570.0
2017-07-06,26820.0
2017-07-07,26850.0
2017-07-10,26595.0
2017-07-11,26450.0
2017-07-12,26010.0
2017-07-13,25890.0
2017-07-14,25810.0
2017-07-17,26210.0
2017-07-18,26175.0
2017-07-19,26530.0
2017-07-20,26850.0
2017-07-21,26710.0
