Date,TIGER 경기방어
2014-12-22,11710.0
2014-12-23,11730.0
2014-12-24,11660.0
2014-12-26,11620.0
2014-12-29,11635.0
2014-12-30,11550.0
2015-01-02,11665.0
2015-01-05,11675.0
2015-01-06,11555.0
2015-01-07,11495.0
2015-01-08,11465.0
2015-01-09,11490.0
2015-01-12,11585.0
2015-01-13,11595.0
2015-01-14,11470.0
2015-01-15,11600.0
2015-01-16,11540.0
2015-01-19,11535.0
2015-01-20,11785.0
2015-01-21,11805.0
2015-01-22,11930.0
2015-01-23,12050.0
2015-01-26,12125.0
2015-01-27,12125.0
2015-01-28,12170.0
2015-01-29,12150.0
2015-01-30,12270.0
2015-02-02,12190.0
2015-02-03,12180.0
2015-02-04,12220.0
2015-02-05,12205.0
2015-02-06,12240.0
2015-02-09,12230.0
2015-02-10,12200.0
2015-02-11,12305.0
2015-02-12,12430.0
2015-02-13,12630.0
2015-02-16,12545.0
2015-02-17,12510.0
2015-02-23,12625.0
2015-02-24,12670.0
2015-02-25,12605.0
2015-02-26,12470.0
2015-02-27,12435.0
2015-03-02,12305.0
2015-03-03,12315.0
2015-03-04,12330.0
2015-03-05,12320.0
2015-03-06,12400.0
2015-03-09,12285.0
2015-03-10,12125.0
2015-03-11,12085.0
2015-03-12,12035.0
2015-03-13,12330.0
2015-03-16,12490.0
2015-03-17,12700.0
2015-03-18,12755.0
2015-03-19,13030.0
2015-03-20,13000.0
2015-03-23,12885.0
2015-03-24,13065.0
2015-03-25,13285.0
2015-03-26,13200.0
2015-03-27,13185.0
2015-03-30,13270.0
2015-03-31,13295.0
2015-04-01,13335.0
2015-04-02,13320.0
2015-04-03,13305.0
2015-04-06,13250.0
2015-04-07,13230.0
2015-04-08,13200.0
2015-04-09,13150.0
2015-04-10,13485.0
2015-04-13,13465.0
2015-04-14,13370.0
2015-04-15,13550.0
2015-04-16,13860.0
2015-04-17,14180.0
2015-04-20,14140.0
2015-04-21,14120.0
2015-04-22,14045.0
2015-04-23,14180.0
2015-04-24,14220.0
2015-04-27,14360.0
2015-04-28,14310.0
2015-04-29,14100.0
2015-04-30,14010.0
2015-05-04,14090.0
2015-05-06,13905.0
2015-05-07,13810.0
2015-05-08,13755.0
2015-05-11,13955.0
2015-05-12,13960.0
2015-05-13,14085.0
2015-05-14,14170.0
2015-05-15,14235.0
2015-05-18,14595.0
2015-05-19,14530.0
2015-05-20,14760.0
2015-05-21,14780.0
2015-05-22,14685.0
2015-05-26,14545.0
2015-05-27,14265.0
2015-05-28,14255.0
2015-05-29,14160.0
2015-06-01,14110.0
2015-06-02,13895.0
2015-06-03,13850.0
2015-06-04,13835.0
2015-06-05,13820.0
2015-06-08,13880.0
2015-06-09,14015.0
2015-06-10,13845.0
2015-06-11,13850.0
2015-06-12,13860.0
2015-06-15,13820.0
2015-06-16,13930.0
2015-06-17,13860.0
2015-06-18,14125.0
2015-06-19,14170.0
2015-06-22,14060.0
2015-06-23,14140.0
2015-06-24,14295.0
2015-06-25,14450.0
2015-06-26,14430.0
2015-06-29,14365.0
2015-06-30,14460.0
2015-07-01,14560.0
2015-07-02,14750.0
2015-07-03,14870.0
2015-07-06,14650.0
2015-07-07,14185.0
2015-07-08,14120.0
2015-07-09,14340.0
2015-07-10,14380.0
2015-07-13,14665.0
2015-07-14,14840.0
2015-07-15,14880.0
2015-07-16,14740.0
2015-07-17,14760.0
2015-07-20,14945.0
2015-07-21,14810.0
2015-07-22,14605.0
2015-07-23,14870.0
