Date,TIGER KRX100
2014-12-22,40425.0
2014-12-23,40415.0
2014-12-24,40540.0
2014-12-26,40620.0
2014-12-29,40700.0
2014-12-30,40060.0
2015-01-02,40145.0
2015-01-05,40080.0
2015-01-06,39355.0
2015-01-07,39455.0
2015-01-08,39950.0
2015-01-09,40505.0
2015-01-12,40205.0
2015-01-13,40280.0
2015-01-14,40280.0
2015-01-15,40225.0
2015-01-16,39735.0
2015-01-19,40080.0
2015-01-20,40295.0
2015-01-21,40450.0
2015-01-22,40485.0
2015-01-23,41130.0
2015-01-26,40920.0
2015-01-27,40980.0
2015-01-28,41155.0
2015-01-29,41025.0
2015-01-30,40755.0
2015-02-02,40810.0
2015-02-03,40825.0
2015-02-04,41250.0
2015-02-05,40800.0
2015-02-06,40800.0
2015-02-09,40605.0
2015-02-10,40490.0
2015-02-11,40635.0
2015-02-12,40485.0
2015-02-13,40725.0
2015-02-16,40920.0
2015-02-17,40920.0
2015-02-23,41015.0
2015-02-24,41205.0
2015-02-25,41320.0
2015-02-26,41320.0
2015-02-27,41265.0
2015-03-02,41290.0
2015-03-03,41380.0
2015-03-04,41380.0
2015-03-05,41430.0
2015-03-06,41725.0
2015-03-09,41220.0
2015-03-10,41000.0
2015-03-11,40895.0
2015-03-12,41085.0
2015-03-13,40980.0
2015-03-16,41030.0
2015-03-17,41510.0
2015-03-18,41825.0
2015-03-19,42020.0
2015-03-20,41795.0
2015-03-23,41775.0
2015-03-24,41780.0
2015-03-25,41780.0
2015-03-26,41565.0
2015-03-27,41445.0
2015-03-30,41515.0
2015-03-31,41760.0
2015-04-01,41250.0
2015-04-02,41220.0
2015-04-03,41475.0
2015-04-06,41425.0
2015-04-07,41420.0
2015-04-08,41650.0
2015-04-09,41660.0
2015-04-10,42215.0
2015-04-13,42350.0
2015-04-14,42880.0
2015-04-15,43080.0
2015-04-16,43195.0
2015-04-17,43345.0
2015-04-20,43330.0
2015-04-21,43475.0
2015-04-22,43500.0
2015-04-23,44205.0
2015-04-24,43905.0
2015-04-27,43870.0
2015-04-28,43650.0
2015-04-29,42915.0
2015-04-30,42655.0
2015-05-04,42775.0
2015-05-06,42490.0
2015-05-07,41980.0
2015-05-08,42075.0
2015-05-11,41950.0
2015-05-12,41800.0
2015-05-13,42080.0
2015-05-14,42050.0
2015-05-15,41760.0
2015-05-18,41765.0
2015-05-19,42020.0
2015-05-20,42240.0
2015-05-21,41925.0
2015-05-22,42365.0
2015-05-26,42255.0
2015-05-27,41625.0
2015-05-28,41640.0
2015-05-29,41650.0
2015-06-01,41425.0
2015-06-02,40850.0
2015-06-03,40475.0
2015-06-04,40550.0
2015-06-05,40550.0
2015-06-08,40390.0
2015-06-09,40390.0
2015-06-10,40205.0
2015-06-11,40405.0
2015-06-12,40145.0
2015-06-15,39815.0
2015-06-16,39595.0
2015-06-17,39675.0
2015-06-18,39675.0
2015-06-19,39675.0
2015-06-22,40020.0
2015-06-23,40500.0
2015-06-24,40500.0
2015-06-25,40355.0
2015-06-26,40570.0
2015-06-29,40140.0
2015-06-30,40355.0
2015-07-01,40500.0
2015-07-02,40800.0
2015-07-03,40455.0
2015-07-06,39585.0
2015-07-07,39345.0
2015-07-08,39020.0
2015-07-09,39120.0
2015-07-10,39195.0
2015-07-13,39495.0
2015-07-14,39560.0
2015-07-15,39560.0
2015-07-16,39740.0
2015-07-17,39630.0
2015-07-20,39460.0
2015-07-21,39450.0
2015-07-22,39185.0
2015-07-23,39245.0
2015-07-24,39080.0
2015-07-27,39305.0
2015-07-28,39225.0
2015-07-29,39225.0
2015-07-30,39025.0
2015-07-31,39055.0
2015-08-03,38805.0
2015-08-04,38865.0
2015-08-05,38915.0
