Date,KBSTAR 채권혼합
2014-12-22,50320.0
2014-12-23,50270.0
2014-12-24,50255.0
2014-12-26,50330.0
2014-12-29,50305.0
2014-12-30,50230.0
2015-01-02,50205.0
2015-01-05,50110.0
2015-01-06,49960.0
2015-01-07,50015.0
2015-01-08,50190.0
2015-01-09,50410.0
2015-01-12,50410.0
2015-01-13,50395.0
2015-01-14,50465.0
2015-01-15,50355.0
2015-01-16,50240.0
2015-01-19,50390.0
2015-01-20,50500.0
2015-01-21,50545.0
2015-01-22,50575.0
2015-01-23,50700.0
2015-01-26,50700.0
2015-01-27,50905.0
2015-01-28,50915.0
2015-01-29,50815.0
2015-01-30,50870.0
2015-02-02,50785.0
2015-02-03,50935.0
2015-02-04,50915.0
2015-02-05,50785.0
2015-02-06,50755.0
2015-02-09,50760.0
2015-02-10,50605.0
2015-02-11,50715.0
2015-02-12,50545.0
2015-02-13,50765.0
2015-02-16,50680.0
2015-02-17,50750.0
2015-02-23,50790.0
2015-02-24,50845.0
2015-02-25,50945.0
2015-02-26,50910.0
2015-02-27,50960.0
2015-03-02,51105.0
2015-03-03,51100.0
2015-03-04,51075.0
2015-03-05,51110.0
2015-03-06,51315.0
2015-03-09,51215.0
2015-03-10,51040.0
2015-03-11,51030.0
2015-03-12,51060.0
2015-03-13,51100.0
2015-03-16,51130.0
2015-03-17,51395.0
2015-03-18,51455.0
2015-03-19,51600.0
2015-03-20,51575.0
2015-03-23,51630.0
2015-03-24,51620.0
2015-03-25,51595.0
2015-03-26,51500.0
2015-03-27,51490.0
2015-03-30,51510.0
2015-03-31,51625.0
2015-04-01,51515.0
2015-04-02,51485.0
2015-04-03,51535.0
2015-04-06,51590.0
2015-04-07,51595.0
2015-04-08,51640.0
2015-04-09,51705.0
2015-04-10,51895.0
2015-04-13,51960.0
2015-04-14,52110.0
2015-04-15,52170.0
2015-04-16,52165.0
2015-04-17,52265.0
2015-04-20,52280.0
2015-04-21,52225.0
2015-04-22,52275.0
2015-04-23,52395.0
2015-04-24,52415.0
2015-04-27,52345.0
2015-04-28,52235.0
2015-04-29,52165.0
2015-04-30,52090.0
2015-05-04,52035.0
2015-05-06,51720.0
2015-05-07,51540.0
2015-05-08,51640.0
2015-05-11,51770.0
2015-05-12,51575.0
2015-05-13,51755.0
2015-05-14,51780.0
2015-05-15,51695.0
2015-05-18,51715.0
2015-05-19,51845.0
2015-05-20,52010.0
2015-05-21,51780.0
2015-05-22,51905.0
2015-05-26,51985.0
2015-05-27,51775.0
2015-05-28,51785.0
2015-05-29,51905.0
2015-06-01,51655.0
2015-06-02,51685.0
2015-06-03,51585.0
2015-06-04,51510.0
2015-06-05,51545.0
2015-06-08,51135.0
2015-06-09,51270.0
2015-06-10,51155.0
2015-06-11,50985.0
2015-06-12,51095.0
2015-06-15,50915.0
2015-06-16,50730.0
2015-06-17,50745.0
2015-06-18,50905.0
2015-06-19,50905.0
2015-06-22,50920.0
2015-06-23,51210.0
2015-06-24,51180.0
2015-06-25,51160.0
2015-06-26,51130.0
2015-06-29,50935.0
2015-06-30,51080.0
2015-07-01,51165.0
2015-07-02,51195.0
2015-07-03,51135.0
2015-07-06,50820.0
2015-07-07,50695.0
2015-07-08,50690.0
2015-07-09,50735.0
2015-07-10,50715.0
2015-07-13,50870.0
2015-07-14,50815.0
2015-07-15,50835.0
2015-07-16,50945.0
2015-07-17,50940.0
2015-07-20,50850.0
2015-07-21,50940.0
2015-07-22,50805.0
2015-07-23,50870.0
2015-07-24,50710.0
2015-07-27,50765.0
2015-07-28,50720.0
2015-07-29,50825.0
2015-07-30,50670.0
2015-07-31,50640.0
2015-08-03,50490.0
2015-08-04,50510.0
2015-08-05,50555.0
2015-08-06,50385.0
2015-08-07,50350.0
2015-08-10,50355.0
2015-08-11,50330.0
2015-08-12,50185.0
2015-08-13,50365.0
2015-08-17,50175.0
2015-08-18,50175.0
2015-08-19,50125.0
2015-08-20,50000.0
2015-08-21,49660.0
2015-08-24,49255.0
2015-08-25,49220.0
2015-08-26,49515.0
2015-08-27,49755.0
2015-08-28,49945.0
2015-08-31,50025.0
2015-09-01,49865.0
2015-09-02,49945.0
2015-09-03,49950.0
2015-09-04,49825.0
2015-09-07,49830.0
2015-09-08,49745.0
2015-09-09,50085.0
2015-09-10,50300.0
2015-09-11,50255.0
2015-09-14,50115.0
2015-09-15,50205.0
2015-09-16,50465.0
2015-09-17,50565.0
2015-09-18,50660.0
2015-09-21,50470.0
2015-09-22,50480.0
2015-09-23,50430.0
2015-09-24,50305.0
2015-09-25,50280.0
2015-09-30,50560.0
2015-10-01,50485.0
2015-10-02,50595.0
2015-10-05,50725.0
2015-10-06,50765.0
2015-10-07,50925.0
2015-10-08,50995.0
2015-10-12,51115.0
2015-10-13,51060.0
2015-10-14,51035.0
2015-10-15,51125.0
2015-10-16,51170.0
2015-10-19,51215.0
2015-10-20,51230.0
2015-10-21,51290.0
2015-10-22,51220.0
2015-10-23,51265.0
2015-10-26,51315.0
2015-10-27,51295.0
2015-10-28,51315.0
2015-10-29,51315.0
2015-10-30,51395.0
2015-11-02,51320.0
2015-11-03,51475.0
2015-11-04,51430.0
2015-11-05,51390.0
2015-11-06,51280.0
2015-11-09,51110.0
2015-11-10,50925.0
2015-11-11,50825.0
2015-11-12,50905.0
2015-11-13,50775.0
2015-11-16,50670.0
2015-11-17,50810.0
2015-11-18,50725.0
2015-11-19,50895.0
2015-11-20,50920.0
2015-11-23,50985.0
2015-11-24,51080.0
2015-11-25,51040.0
2015-11-26,51200.0
2015-11-27,51200.0
2015-11-30,50995.0
2015-12-01,51185.0
2015-12-02,51055.0
2015-12-03,50865.0
2015-12-04,50760.0
2015-12-07,50735.0
2015-12-08,50530.0
2015-12-09,50565.0
2015-12-10,50590.0
2015-12-11,50585.0
2015-12-14,50470.0
2015-12-15,50510.0
2015-12-16,50785.0
2015-12-17,50835.0
2015-12-18,50940.0
2015-12-21,50920.0
2015-12-22,51010.0
2015-12-23,51085.0
2015-12-24,51135.0
2015-12-28,50840.0
2015-12-29,51030.0
2015-12-30,51055.0
2016-01-04,50680.0
2016-01-05,50705.0
2016-01-06,50625.0
2016-01-07,50525.0
2016-01-08,50565.0
2016-01-11,50440.0
2016-01-12,50380.0
2016-01-13,50615.0
2016-01-14,50385.0
2016-01-15,50240.0
2016-01-18,50275.0
2016-01-19,50410.0
2016-01-20,50020.0
2016-01-21,50015.0
2016-01-22,50250.0
2016-01-25,50415.0
2016-01-26,50225.0
2016-01-27,50395.0
2016-01-28,50435.0
2016-01-29,50600.0
2016-02-01,50715.0
2016-02-02,50620.0
2016-02-03,50470.0
2016-02-04,50715.0
2016-02-05,50775.0
2016-02-11,50410.0
2016-02-12,50270.0
2016-02-15,50450.0
2016-02-16,50740.0
2016-02-17,50740.0
2016-02-18,50890.0
2016-02-19,50875.0
2016-02-22,50900.0
2016-02-23,50905.0
2016-02-24,50915.0
2016-02-25,50950.0
2016-02-26,50980.0
2016-02-29,51050.0
2016-03-02,51210.0
2016-03-03,51210.0
2016-03-04,51215.0
2016-03-07,51265.0
2016-03-08,51140.0
2016-03-09,51205.0
2016-03-10,51330.0
2016-03-11,51350.0
2016-03-14,51370.0
2016-03-15,51330.0
2016-03-16,51340.0
2016-03-17,51565.0
2016-03-18,51545.0
2016-03-21,51550.0
2016-03-22,51570.0
2016-03-23,51545.0
2016-03-24,51560.0
2016-03-25,51510.0
2016-03-28,51540.0
2016-03-29,51645.0
2016-03-30,51735.0
2016-03-31,51745.0
2016-04-01,51550.0
2016-04-04,51500.0
2016-04-05,51385.0
2016-04-06,51470.0
2016-04-07,51420.0
2016-04-08,51415.0
2016-04-11,51415.0
2016-04-12,51540.0
2016-04-14,51815.0
2016-04-15,51795.0
2016-04-18,51785.0
2016-04-19,51775.0
2016-04-20,51795.0
2016-04-21,51870.0
2016-04-22,51845.0
2016-04-25,51820.0
2016-04-26,51890.0
2016-04-27,51870.0
2016-04-28,51725.0
2016-04-29,51755.0
2016-05-02,51565.0
2016-05-03,51630.0
2016-05-04,51540.0
2016-05-09,51515.0
2016-05-10,51580.0
2016-05-11,51600.0
2016-05-12,51570.0
2016-05-13,51390.0
2016-05-16,51415.0
2016-05-17,51430.0
2016-05-18,51320.0
2016-05-19,51230.0
2016-05-20,51260.0
2016-05-23,51335.0
2016-05-24,51255.0
2016-05-25,51400.0
2016-05-26,51420.0
2016-05-27,51490.0
2016-05-30,51430.0
2016-05-31,51600.0
2016-06-01,51645.0
2016-06-02,51685.0
2016-06-03,51660.0
2016-06-07,51910.0
2016-06-08,51885.0
2016-06-09,51940.0
2016-06-10,51935.0
2016-06-13,51665.0
2016-06-14,51490.0
2016-06-15,51520.0
2016-06-16,51445.0
2016-06-17,51475.0
2016-06-20,51675.0
2016-06-21,51665.0
2016-06-22,51745.0
2016-06-23,51755.0
2016-06-24,51385.0
2016-06-27,51385.0
2016-06-28,51475.0
2016-06-29,51660.0
2016-06-30,51860.0
2016-07-01,51985.0
2016-07-04,51955.0
2016-07-05,51980.0
2016-07-06,51655.0
2016-07-07,51910.0
2016-07-08,51765.0
2016-07-11,51865.0
2016-07-12,51995.0
2016-07-13,52085.0
