Date,KODEX 200
2018-03-30,31960.0
2018-04-02,31885.0
2018-04-03,31820.0
2018-04-04,31330.0
2018-04-05,31765.0
2018-04-06,31610.0
2018-04-09,31830.0
2018-04-10,31860.0
2018-04-11,31760.0
2018-04-12,31755.0
2018-04-13,31965.0
2018-04-16,31990.0
2018-04-17,31945.0
2018-04-18,32300.0
2018-04-19,32480.0
2018-04-20,32265.0
2018-04-23,32245.0
2018-04-24,32065.0
2018-04-25,31860.0
2018-04-26,32260.0
2018-04-27,32090.0
2018-04-30,32300.0
2018-05-02,32070.0
2018-05-03,31960.0
2018-05-04,31705.0
2018-05-08,31560.0
2018-05-09,31455.0
2018-05-10,31670.0
2018-05-11,31865.0
2018-05-14,31800.0
2018-05-15,31510.0
2018-05-16,31610.0
2018-05-17,31495.0
2018-05-18,31595.0
2018-05-21,31645.0
2018-05-23,31860.0
2018-05-24,31760.0
2018-05-25,31810.0
2018-05-28,31945.0
2018-05-29,31650.0
2018-05-30,30975.0
2018-05-31,31100.0
2018-06-01,31290.0
2018-06-04,31455.0
2018-06-05,31525.0
2018-06-07,31800.0
2018-06-08,31490.0
2018-06-11,31765.0
2018-06-12,31725.0
2018-06-14,31145.0
2018-06-15,30990.0
2018-06-18,30620.0
2018-06-19,30225.0
2018-06-20,30440.0
2018-06-21,30180.0
2018-06-22,30410.0
2018-06-25,30395.0
2018-06-26,30360.0
2018-06-27,30250.0
2018-06-28,29980.0
2018-06-29,30045.0
2018-07-02,29375.0
2018-07-03,29415.0
2018-07-04,29330.0
2018-07-05,29260.0
2018-07-06,29470.0
2018-07-09,29690.0
2018-07-10,29730.0
2018-07-11,29560.0
2018-07-12,29650.0
2018-07-13,29945.0
2018-07-16,29855.0
2018-07-17,29820.0
2018-07-18,29750.0
2018-07-19,29670.0
2018-07-20,29815.0
2018-07-23,29575.0
2018-07-24,29665.0
2018-07-25,29610.0
2018-07-26,29810.0
2018-07-27,29900.0
2018-07-30,29765.0
2018-07-31,29805.0
2018-08-01,29910.0
2018-08-02,29375.0
2018-08-03,29605.0
2018-08-06,29560.0
2018-08-07,29760.0
2018-08-08,29765.0
2018-08-09,29750.0
2018-08-10,29425.0
2018-08-13,29035.0
2018-08-14,29165.0
2018-08-16,28880.0
2018-08-17,28890.0
2018-08-20,28915.0
2018-08-21,29230.0
2018-08-22,29335.0
2018-08-23,29455.0
2018-08-24,29570.0
2018-08-27,29720.0
2018-08-28,29740.0
2018-08-29,29825.0
2018-08-30,29840.0
2018-08-31,29960.0
2018-09-03,29785.0
2018-09-04,29915.0
2018-09-05,29530.0
2018-09-06,29485.0
2018-09-07,29320.0
2018-09-10,29385.0
2018-09-11,29290.0
2018-09-12,29260.0
2018-09-13,29300.0
2018-09-14,29765.0
2018-09-17,29530.0
2018-09-18,29660.0
