Date,KBSTAR 주식혼합
2014-12-22,29020.0
2014-12-23,28990.0
2014-12-24,29040.0
2014-12-26,29070.0
2014-12-29,29040.0
2014-12-30,28835.0
2015-01-02,28800.0
2015-01-05,28855.0
2015-01-06,28480.0
2015-01-07,28565.0
2015-01-08,28810.0
2015-01-09,29050.0
2015-01-12,29015.0
2015-01-13,29075.0
2015-01-14,29005.0
2015-01-15,29020.0
2015-01-16,28745.0
2015-01-19,28920.0
2015-01-20,29145.0
2015-01-21,29155.0
2015-01-22,29235.0
2015-01-23,29345.0
2015-01-26,29360.0
2015-01-27,29520.0
2015-01-28,29565.0
2015-01-29,29460.0
2015-01-30,29420.0
2015-02-02,29400.0
2015-02-03,29425.0
2015-02-04,29555.0
2015-02-05,29380.0
2015-02-06,29360.0
2015-02-09,29305.0
2015-02-10,29210.0
2015-02-11,29220.0
2015-02-12,29100.0
2015-02-13,29310.0
2015-02-16,29390.0
2015-02-17,29380.0
2015-02-23,29445.0
2015-02-24,29530.0
2015-02-25,29595.0
2015-02-26,29585.0
2015-02-27,29535.0
2015-03-02,29695.0
2015-03-03,29755.0
2015-03-04,29700.0
2015-03-05,29775.0
2015-03-06,29905.0
2015-03-09,29710.0
2015-03-10,29595.0
2015-03-11,29590.0
2015-03-12,29600.0
2015-03-13,29630.0
2015-03-16,29610.0
2015-03-17,29985.0
2015-03-18,30085.0
2015-03-19,30205.0
2015-03-20,30065.0
2015-03-23,30240.0
2015-03-24,30135.0
2015-03-25,30190.0
2015-03-26,29950.0
2015-03-27,29915.0
2015-03-30,29910.0
2015-03-31,30025.0
2015-04-01,29845.0
2015-04-02,29905.0
2015-04-03,30020.0
2015-04-06,30135.0
2015-04-07,30050.0
2015-04-08,30160.0
2015-04-09,30105.0
2015-04-10,30420.0
2015-04-13,30545.0
2015-04-14,30645.0
2015-04-15,30655.0
2015-04-16,30870.0
2015-04-17,30975.0
2015-04-20,30975.0
2015-04-21,30940.0
2015-04-22,30950.0
2015-04-23,31285.0
2015-04-24,31155.0
2015-04-27,31070.0
2015-04-28,30895.0
2015-04-29,30915.0
