Date,TIGER 소프트웨어
2014-12-22,7230.0
2014-12-23,7100.0
2014-12-24,7145.0
2014-12-26,7020.0
2014-12-29,7145.0
2014-12-30,7100.0
2015-01-02,7480.0
2015-01-05,7700.0
2015-01-06,7695.0
2015-01-07,7740.0
2015-01-08,7790.0
2015-01-09,7905.0
2015-01-12,7905.0
2015-01-13,7655.0
2015-01-14,7675.0
2015-01-15,7930.0
2015-01-16,7990.0
2015-01-19,7905.0
2015-01-20,7975.0
2015-01-21,7975.0
2015-01-22,7835.0
2015-01-23,8080.0
2015-01-26,8215.0
2015-01-27,8165.0
2015-01-28,8390.0
2015-01-29,8175.0
2015-01-30,8050.0
2015-02-02,8000.0
2015-02-03,8005.0
2015-02-04,8065.0
2015-02-05,7990.0
2015-02-06,7960.0
2015-02-09,7760.0
2015-02-10,7675.0
2015-02-11,7735.0
2015-02-12,7650.0
2015-02-13,7575.0
2015-02-16,7455.0
2015-02-17,7400.0
2015-02-23,7340.0
2015-02-24,7360.0
2015-02-25,7245.0
2015-02-26,7125.0
2015-02-27,7285.0
2015-03-02,7115.0
2015-03-03,7145.0
2015-03-04,7235.0
2015-03-05,7325.0
2015-03-06,7310.0
2015-03-09,7185.0
2015-03-10,7075.0
2015-03-11,6995.0
2015-03-12,7015.0
2015-03-13,7130.0
2015-03-16,7175.0
2015-03-17,7230.0
2015-03-18,6990.0
2015-03-19,6990.0
2015-03-20,7160.0
2015-03-23,7295.0
2015-03-24,7235.0
2015-03-25,7260.0
2015-03-26,7185.0
2015-03-27,7130.0
2015-03-30,7205.0
2015-03-31,7290.0
2015-04-01,7315.0
2015-04-02,7180.0
2015-04-03,7355.0
2015-04-06,7275.0
2015-04-07,7190.0
2015-04-08,7310.0
2015-04-09,7340.0
2015-04-10,7300.0
2015-04-13,7155.0
2015-04-14,7235.0
2015-04-15,7300.0
2015-04-16,7320.0
2015-04-17,7360.0
2015-04-20,7350.0
2015-04-21,7480.0
2015-04-22,7495.0
2015-04-23,7540.0
2015-04-24,7460.0
2015-04-27,7620.0
2015-04-28,7655.0
2015-04-29,7535.0
2015-04-30,7430.0
2015-05-04,7275.0
2015-05-06,7160.0
2015-05-07,7240.0
2015-05-08,7215.0
2015-05-11,7170.0
2015-05-12,7120.0
2015-05-13,7120.0
2015-05-14,7200.0
2015-05-15,7175.0
2015-05-18,7245.0
2015-05-19,7235.0
2015-05-20,7390.0
2015-05-21,7300.0
2015-05-22,7265.0
2015-05-26,7215.0
2015-05-27,6980.0
2015-05-28,7015.0
2015-05-29,7170.0
2015-06-01,7425.0
2015-06-02,7265.0
2015-06-03,7235.0
2015-06-04,7165.0
2015-06-05,7155.0
2015-06-08,7270.0
2015-06-09,7250.0
2015-06-10,7070.0
2015-06-11,6995.0
2015-06-12,7125.0
2015-06-15,7100.0
2015-06-16,7045.0
2015-06-17,7095.0
2015-06-18,7050.0
2015-06-19,7200.0
2015-06-22,7175.0
