Date,TIGER 200 IT
2014-12-22,15955.0
2014-12-23,15835.0
2014-12-24,15835.0
2014-12-26,15830.0
2014-12-29,15885.0
2014-12-30,15675.0
2015-01-02,15800.0
2015-01-05,15955.0
2015-01-06,15780.0
2015-01-07,15780.0
2015-01-08,16190.0
2015-01-09,16235.0
2015-01-12,16335.0
2015-01-13,16200.0
2015-01-14,16250.0
2015-01-15,16405.0
2015-01-16,16140.0
2015-01-19,16160.0
2015-01-20,16310.0
2015-01-21,16450.0
2015-01-22,16275.0
2015-01-23,16395.0
2015-01-26,16525.0
2015-01-27,16670.0
2015-01-28,16710.0
2015-01-29,16330.0
2015-01-30,16285.0
2015-02-02,16105.0
2015-02-03,16105.0
2015-02-04,16315.0
2015-02-05,16130.0
2015-02-06,16125.0
2015-02-09,16065.0
2015-02-10,15820.0
2015-02-11,15985.0
2015-02-12,15965.0
2015-02-13,15995.0
2015-02-16,15985.0
2015-02-17,15925.0
2015-02-23,15810.0
2015-02-24,15915.0
2015-02-25,15840.0
2015-02-26,15810.0
2015-02-27,15850.0
2015-03-02,15955.0
2015-03-03,15955.0
2015-03-04,16000.0
2015-03-05,16000.0
2015-03-06,16030.0
2015-03-09,15725.0
2015-03-10,15570.0
2015-03-11,15650.0
2015-03-12,15550.0
2015-03-13,15630.0
2015-03-16,15850.0
2015-03-17,16145.0
2015-03-18,16140.0
2015-03-19,15975.0
2015-03-20,16070.0
2015-03-23,16335.0
2015-03-24,16335.0
2015-03-25,16345.0
2015-03-26,15955.0
2015-03-27,15935.0
2015-03-30,16015.0
2015-03-31,15900.0
2015-04-01,15775.0
2015-04-02,15735.0
2015-04-03,15695.0
2015-04-06,15745.0
2015-04-07,15695.0
2015-04-08,15625.0
2015-04-09,15690.0
2015-04-10,15815.0
2015-04-13,15775.0
2015-04-14,15835.0
2015-04-15,15895.0
2015-04-16,16015.0
2015-04-17,15950.0
2015-04-20,15820.0
2015-04-21,15900.0
2015-04-22,16005.0
2015-04-23,16250.0
2015-04-24,16010.0
2015-04-27,15930.0
2015-04-28,15950.0
2015-04-29,15810.0
2015-04-30,15645.0
2015-05-04,15445.0
2015-05-06,15155.0
2015-05-07,15230.0
2015-05-08,15180.0
2015-05-11,15185.0
2015-05-12,15120.0
2015-05-13,15095.0
2015-05-14,15280.0
2015-05-15,15200.0
2015-05-18,15190.0
2015-05-19,15325.0
2015-05-20,15450.0
2015-05-21,15235.0
2015-05-22,15455.0
2015-05-26,15605.0
2015-05-27,15415.0
2015-05-28,15510.0
2015-05-29,15600.0
2015-06-01,15570.0
2015-06-02,15710.0
2015-06-03,15395.0
2015-06-04,15265.0
2015-06-05,15130.0
2015-06-08,15095.0
2015-06-09,14945.0
2015-06-10,14705.0
2015-06-11,14695.0
2015-06-12,14780.0
2015-06-15,14795.0
2015-06-16,14520.0
2015-06-17,14655.0
2015-06-18,14620.0
2015-06-19,14635.0
2015-06-22,14665.0
2015-06-23,14765.0
2015-06-24,14760.0
2015-06-25,14655.0
2015-06-26,14580.0
2015-06-29,14470.0
2015-06-30,14440.0
2015-07-01,14505.0
2015-07-02,14435.0
2015-07-03,14410.0
2015-07-06,14020.0
2015-07-07,14125.0
2015-07-08,14065.0
2015-07-09,14075.0
2015-07-10,14110.0
2015-07-13,14175.0
2015-07-14,13795.0
2015-07-15,14010.0
2015-07-16,14300.0
2015-07-17,14295.0
2015-07-20,14170.0
2015-07-21,14250.0
2015-07-22,14045.0
2015-07-23,13985.0
2015-07-24,13865.0
2015-07-27,13875.0
2015-07-28,13770.0
2015-07-29,13820.0
2015-07-30,13185.0
2015-07-31,13135.0
2015-08-03,13125.0
2015-08-04,13300.0
2015-08-05,13200.0
2015-08-06,13015.0
2015-08-07,12870.0
2015-08-10,12815.0
2015-08-11,12895.0
2015-08-12,12860.0
2015-08-13,13035.0
2015-08-17,12780.0
2015-08-18,12635.0
2015-08-19,12435.0
2015-08-20,12400.0
2015-08-21,12090.0
2015-08-24,11825.0
2015-08-25,11980.0
2015-08-26,12165.0
2015-08-27,12330.0
2015-08-28,12625.0
2015-08-31,12560.0
2015-09-01,12455.0
2015-09-02,12370.0
2015-09-03,12600.0
2015-09-04,12570.0
2015-09-07,12570.0
2015-09-08,12610.0
2015-09-09,12800.0
2015-09-10,12830.0
2015-09-11,12750.0
2015-09-14,12560.0
2015-09-15,12580.0
2015-09-16,12895.0
2015-09-17,13045.0
2015-09-18,13120.0
2015-09-21,12925.0
2015-09-22,12845.0
2015-09-23,12815.0
2015-09-24,12690.0
2015-09-25,12625.0
2015-09-30,12785.0
2015-10-01,12980.0
2015-10-02,12945.0
2015-10-05,13005.0
2015-10-06,13215.0
2015-10-07,13580.0
2015-10-08,13640.0
2015-10-12,13725.0
2015-10-13,13605.0
2015-10-14,13580.0
2015-10-15,13810.0
2015-10-16,13795.0
2015-10-19,13725.0
2015-10-20,13775.0
2015-10-21,13835.0
2015-10-22,13630.0
2015-10-23,13715.0
