Date,KODEX 미국S&P바이오(합성)
2014-12-19,15550.0
2014-12-22,15630.0
2014-12-23,15570.0
2014-12-24,14765.0
2014-12-26,15015.0
2014-12-29,15330.0
2014-12-30,15405.0
2015-01-02,15365.0
2015-01-05,15650.0
2015-01-06,15510.0
2015-01-07,15150.0
2015-01-08,15715.0
2015-01-09,15950.0
2015-01-12,15825.0
2015-01-13,15990.0
2015-01-14,15865.0
2015-01-15,16130.0
2015-01-16,15460.0
2015-01-19,15930.0
2015-01-20,16095.0
2015-01-21,16155.0
2015-01-22,15760.0
2015-01-23,15900.0
2015-01-26,16020.0
2015-01-27,16440.0
2015-01-28,16555.0
2015-01-29,16265.0
2015-01-30,16475.0
2015-02-02,16445.0
2015-02-03,16110.0
2015-02-04,15880.0
2015-02-05,15655.0
2015-02-06,16095.0
2015-02-09,15945.0
2015-02-10,15805.0
2015-02-11,16225.0
2015-02-12,16375.0
2015-02-13,16485.0
2015-02-16,16735.0
2015-02-17,16725.0
2015-02-23,17605.0
2015-02-24,17770.0
2015-02-25,17330.0
2015-02-26,17715.0
2015-02-27,17845.0
2015-03-02,17630.0
2015-03-03,17780.0
2015-03-04,17815.0
2015-03-05,18215.0
2015-03-06,18595.0
2015-03-09,18625.0
2015-03-10,18800.0
2015-03-11,18925.0
2015-03-12,19035.0
2015-03-13,19055.0
2015-03-16,19280.0
2015-03-17,19500.0
2015-03-18,19620.0
2015-03-19,19280.0
2015-03-20,19915.0
2015-03-23,19455.0
2015-03-24,18915.0
2015-03-25,18705.0
2015-03-26,17780.0
2015-03-27,17650.0
2015-03-30,18115.0
2015-03-31,18625.0
2015-04-01,18150.0
2015-04-02,18130.0
2015-04-03,17965.0
2015-04-06,17875.0
2015-04-07,17830.0
2015-04-08,17975.0
2015-04-09,18505.0
2015-04-10,18440.0
2015-04-13,18800.0
2015-04-14,18905.0
2015-04-15,18985.0
2015-04-16,18925.0
2015-04-17,18935.0
2015-04-20,18560.0
2015-04-21,18660.0
2015-04-22,18740.0
2015-04-23,18750.0
2015-04-24,19015.0
2015-04-27,18700.0
2015-04-28,17650.0
2015-04-29,17315.0
2015-04-30,17275.0
2015-05-04,17180.0
2015-05-06,16910.0
2015-05-07,17470.0
2015-05-08,17655.0
2015-05-11,18220.0
2015-05-12,18420.0
2015-05-13,18495.0
2015-05-14,18245.0
2015-05-15,18310.0
2015-05-18,18310.0
2015-05-19,18695.0
2015-05-20,18830.0
2015-05-21,19115.0
2015-05-22,18930.0
2015-05-26,19200.0
2015-05-27,19140.0
2015-05-28,19525.0
2015-05-29,19480.0
2015-06-01,19685.0
2015-06-02,19815.0
2015-06-03,19580.0
2015-06-04,19990.0
2015-06-05,19820.0
2015-06-08,20340.0
2015-06-09,20310.0
2015-06-10,19820.0
2015-06-11,19985.0
2015-06-12,20170.0
2015-06-15,19980.0
2015-06-16,20005.0
2015-06-17,20065.0
2015-06-18,20105.0
2015-06-19,20690.0
2015-06-22,20690.0
2015-06-23,21385.0
2015-06-24,21430.0
2015-06-25,20970.0
2015-06-26,20935.0
2015-06-29,20890.0
2015-06-30,20080.0
2015-07-01,21040.0
2015-07-02,20835.0
2015-07-03,20675.0
2015-07-06,20650.0
2015-07-07,21140.0
2015-07-08,21175.0
2015-07-09,20500.0
2015-07-10,20835.0
2015-07-13,21240.0
2015-07-14,21895.0
2015-07-15,22585.0
2015-07-16,22585.0
2015-07-17,22905.0
2015-07-20,23295.0
2015-07-21,23400.0
2015-07-22,22760.0
2015-07-23,23160.0
2015-07-24,23105.0
2015-07-27,22255.0
2015-07-28,21905.0
2015-07-29,22370.0
2015-07-30,22070.0
2015-07-31,22040.0
2015-08-03,22220.0
