Date,TIGER 차이나항셍25
2014-12-22,13830.0
2014-12-23,13920.0
2014-12-24,13830.0
2014-12-26,13830.0
2014-12-29,13985.0
2014-12-30,14120.0
2015-01-02,14335.0
2015-01-05,14710.0
2015-01-06,14180.0
2015-01-07,14185.0
2015-01-08,14290.0
2015-01-09,14430.0
2015-01-12,14130.0
2015-01-13,14170.0
2015-01-14,14340.0
2015-01-15,14175.0
2015-01-16,14130.0
2015-01-19,13800.0
2015-01-20,14000.0
2015-01-21,14270.0
2015-01-22,14530.0
2015-01-23,14675.0
2015-01-26,14580.0
2015-01-27,14340.0
2015-01-28,14465.0
2015-01-29,14300.0
2015-01-30,14410.0
2015-02-02,14275.0
2015-02-03,14215.0
2015-02-04,14535.0
2015-02-05,14580.0
2015-02-06,14440.0
2015-02-09,14410.0
2015-02-10,14410.0
2015-02-11,14440.0
2015-02-12,14625.0
2015-02-13,14730.0
2015-02-16,14650.0
2015-02-17,14775.0
2015-02-23,14860.0
2015-02-24,14925.0
2015-02-25,14880.0
2015-02-26,14895.0
2015-02-27,14995.0
2015-03-02,14970.0
2015-03-03,14740.0
2015-03-04,14575.0
2015-03-05,14290.0
2015-03-06,14250.0
2015-03-09,14335.0
2015-03-10,14390.0
2015-03-11,14425.0
2015-03-12,14595.0
2015-03-13,14640.0
2015-03-16,14785.0
2015-03-17,14765.0
2015-03-18,14875.0
2015-03-19,14820.0
2015-03-20,15090.0
2015-03-23,14950.0
2015-03-24,14700.0
2015-03-25,14630.0
2015-03-26,14740.0
2015-03-27,14620.0
2015-03-30,14925.0
2015-03-31,15220.0
2015-04-01,15055.0
2015-04-02,15125.0
2015-04-03,15350.0
2015-04-06,14980.0
2015-04-07,15300.0
2015-04-08,15615.0
2015-04-09,16415.0
2015-04-10,16360.0
2015-04-13,16990.0
2015-04-14,16965.0
2015-04-15,17040.0
2015-04-16,17070.0
2015-04-17,17150.0
2015-04-20,16515.0
2015-04-21,16785.0
2015-04-22,17060.0
2015-04-23,17245.0
2015-04-24,16800.0
2015-04-27,17110.0
2015-04-28,17085.0
2015-04-29,17025.0
2015-04-30,16800.0
2015-05-04,16950.0
2015-05-06,16730.0
2015-05-07,16515.0
2015-05-08,16360.0
2015-05-11,16845.0
2015-05-12,16800.0
2015-05-13,16790.0
2015-05-14,16505.0
2015-05-15,16430.0
2015-05-18,16430.0
2015-05-19,16660.0
2015-05-20,16700.0
2015-05-21,16660.0
2015-05-22,16845.0
2015-05-26,17480.0
2015-05-27,17305.0
2015-05-28,16950.0
2015-05-29,16955.0
2015-06-01,16985.0
2015-06-02,16925.0
2015-06-03,16720.0
2015-06-04,16740.0
2015-06-05,16875.0
2015-06-08,17100.0
2015-06-09,16825.0
2015-06-10,16700.0
2015-06-11,16460.0
2015-06-12,16695.0
2015-06-15,16560.0
2015-06-16,16445.0
2015-06-17,16290.0
2015-06-18,16200.0
2015-06-19,16265.0
2015-06-22,16180.0
2015-06-23,16570.0
2015-06-24,16670.0
2015-06-25,16750.0
2015-06-26,16495.0
2015-06-29,16110.0
2015-06-30,16400.0
2015-07-01,16400.0
2015-07-02,16345.0
2015-07-03,16285.0
2015-07-06,15555.0
2015-07-07,15475.0
2015-07-08,14685.0
2015-07-09,15185.0
2015-07-10,15420.0
2015-07-13,15510.0
2015-07-14,15470.0
2015-07-15,15435.0
2015-07-16,15525.0
2015-07-17,15915.0
2015-07-20,15815.0
2015-07-21,16065.0
2015-07-22,15680.0
2015-07-23,16015.0
2015-07-24,15940.0
2015-07-27,15400.0
2015-07-28,15505.0
2015-07-29,15165.0
2015-07-30,15475.0
2015-07-31,15350.0
2015-08-03,15105.0
2015-08-04,15230.0
2015-08-05,15380.0
2015-08-06,15295.0
2015-08-07,15360.0
2015-08-10,15350.0
2015-08-11,15735.0
2015-08-12,15270.0
2015-08-13,15305.0
2015-08-17,15025.0
2015-08-18,15055.0
2015-08-19,14755.0
2015-08-20,14685.0
2015-08-21,14350.0
2015-08-24,13705.0
2015-08-25,13350.0
2015-08-26,13695.0
2015-08-27,13770.0
2015-08-28,13855.0
2015-08-31,13650.0
2015-09-01,13640.0
2015-09-02,13405.0
2015-09-03,13290.0
2015-09-04,13125.0
2015-09-07,13240.0
2015-09-08,13265.0
2015-09-09,14075.0
2015-09-10,13945.0
2015-09-11,13850.0
2015-09-14,13700.0
2015-09-15,13780.0
2015-09-16,13850.0
2015-09-17,14075.0
2015-09-18,13845.0
2015-09-21,13750.0
2015-09-22,14015.0
2015-09-23,13585.0
2015-09-24,13555.0
2015-09-25,13675.0
2015-09-30,13390.0
2015-10-01,13435.0
2015-10-02,13470.0
2015-10-05,13845.0
2015-10-06,13745.0
2015-10-07,14095.0
2015-10-08,14000.0
2015-10-12,14255.0
2015-10-13,14210.0
2015-10-14,14040.0
2015-10-15,14140.0
2015-10-16,14050.0
2015-10-19,14055.0
2015-10-20,14000.0
2015-10-21,14060.0
2015-10-22,14070.0
2015-10-23,14125.0
2015-10-26,14300.0
2015-10-27,14200.0
2015-10-28,14165.0
2015-10-29,14155.0
2015-10-30,14010.0
2015-11-02,13940.0
2015-11-03,13940.0
2015-11-04,14240.0
2015-11-05,14255.0
2015-11-06,14145.0
2015-11-09,14400.0
2015-11-10,14040.0
2015-11-11,13945.0
2015-11-12,14275.0
2015-11-13,14040.0
2015-11-16,13870.0
2015-11-17,14065.0
2015-11-18,13985.0
2015-11-19,14045.0
2015-11-20,13980.0
2015-11-23,14100.0
2015-11-24,13845.0
2015-11-25,13925.0
2015-11-26,13925.0
2015-11-27,13720.0
2015-11-30,13580.0
2015-12-01,14000.0
2015-12-02,13950.0
2015-12-03,13925.0
2015-12-04,13730.0
2015-12-07,13910.0
