Date,TIGER 미국나스닥100
2014-12-22,21035.0
2014-12-23,21105.0
2014-12-24,21140.0
2014-12-26,21130.0
2014-12-29,21160.0
2014-12-30,21190.0
2015-01-02,21015.0
2015-01-05,20985.0
2015-01-06,20580.0
2015-01-07,20195.0
2015-01-08,20645.0
2015-01-09,20645.0
2015-01-12,20335.0
2015-01-13,20225.0
2015-01-14,20055.0
2015-01-15,20175.0
2015-01-16,19495.0
2015-01-19,19920.0
2015-01-20,20150.0
2015-01-21,20210.0
2015-01-22,20290.0
2015-01-23,20650.0
2015-01-26,20545.0
2015-01-27,20610.0
2015-01-28,20415.0
2015-01-29,20155.0
2015-01-30,20435.0
2015-02-02,20445.0
2015-02-03,20460.0
2015-02-04,20450.0
2015-02-05,20470.0
2015-02-06,20690.0
2015-02-09,20590.0
2015-02-10,20535.0
2015-02-11,20960.0
2015-02-12,21240.0
2015-02-13,21315.0
2015-02-16,21550.0
2015-02-17,21565.0
2015-02-23,22000.0
2015-02-24,22040.0
2015-02-25,21795.0
2015-02-26,21795.0
2015-02-27,21885.0
2015-03-02,21860.0
2015-03-03,21955.0
2015-03-04,21845.0
2015-03-05,21855.0
2015-03-06,21850.0
2015-03-09,21820.0
2015-03-10,22045.0
2015-03-11,21840.0
2015-03-12,21730.0
2015-03-13,21925.0
2015-03-16,21865.0
2015-03-17,21985.0
2015-03-18,22125.0
2015-03-19,22100.0
2015-03-20,22245.0
2015-03-23,22250.0
2015-03-24,21980.0
2015-03-25,21820.0
2015-03-26,21420.0
2015-03-27,21305.0
2015-03-30,21490.0
2015-03-31,21685.0
2015-04-01,21205.0
2015-04-02,21090.0
2015-04-03,21085.0
2015-04-06,20775.0
2015-04-07,21160.0
2015-04-08,21175.0
2015-04-09,21285.0
2015-04-10,21510.0
2015-04-13,21655.0
2015-04-14,21595.0
2015-04-15,21530.0
2015-04-16,21565.0
2015-04-17,21385.0
2015-04-20,21035.0
2015-04-21,21420.0
2015-04-22,21430.0
2015-04-23,21560.0
2015-04-24,21650.0
2015-04-27,21760.0
2015-04-28,21640.0
2015-04-29,21520.0
2015-04-30,21420.0
2015-05-04,21575.0
2015-05-06,21260.0
2015-05-07,21310.0
2015-05-08,21400.0
2015-05-11,21785.0
2015-05-12,21695.0
2015-05-13,21725.0
2015-05-14,21590.0
2015-05-15,21820.0
2015-05-18,21800.0
2015-05-19,21985.0
2015-05-20,22055.0
2015-05-21,21955.0
2015-05-22,22100.0
2015-05-26,22250.0
2015-05-27,22110.0
2015-05-28,22480.0
2015-05-29,22485.0
2015-06-01,22440.0
2015-06-02,22475.0
2015-06-03,22300.0
2015-06-04,22415.0
2015-06-05,22250.0
2015-06-08,22435.0
2015-06-09,22200.0
2015-06-10,21985.0
2015-06-11,22220.0
2015-06-12,22355.0
2015-06-15,22200.0
2015-06-16,22140.0
2015-06-17,22300.0
2015-06-18,22085.0
2015-06-19,22395.0
2015-06-22,22185.0
2015-06-23,22540.0
2015-06-24,22560.0
2015-06-25,22495.0
2015-06-26,22470.0
2015-06-29,22260.0
2015-06-30,21925.0
2015-07-01,22035.0
2015-07-02,22240.0
2015-07-03,22255.0
2015-07-06,22080.0
2015-07-07,22385.0
2015-07-08,22360.0
2015-07-09,22255.0
2015-07-10,22240.0
2015-07-13,22330.0
2015-07-14,22985.0
2015-07-15,23130.0
2015-07-16,23290.0
2015-07-17,23605.0
2015-07-20,24050.0
2015-07-21,24295.0
2015-07-22,23795.0
