Date,KOSEF 미국달러선물
2014-12-22,11640.0
2014-12-23,11700.0
2014-12-24,11705.0
2014-12-26,11680.0
2014-12-29,11480.0
2014-12-30,11500.0
2015-01-02,11490.0
2015-01-05,11545.0
2015-01-06,11470.0
2015-01-07,11465.0
2015-01-08,11440.0
2015-01-09,11400.0
2015-01-12,11285.0
2015-01-13,11275.0
2015-01-14,11285.0
2015-01-15,11290.0
2015-01-16,11240.0
2015-01-19,11250.0
2015-01-20,11330.0
2015-01-21,11300.0
2015-01-22,11305.0
2015-01-23,11305.0
2015-01-26,11250.0
2015-01-27,11270.0
2015-01-28,11300.0
2015-01-29,11385.0
2015-01-30,11395.0
2015-02-02,11490.0
2015-02-03,11450.0
2015-02-04,11305.0
2015-02-05,11375.0
2015-02-06,11380.0
2015-02-09,11425.0
2015-02-10,11360.0
2015-02-11,11425.0
2015-02-12,11565.0
2015-02-13,11440.0
2015-02-16,11480.0
2015-02-17,11470.0
2015-02-23,11550.0
2015-02-24,11560.0
2015-02-25,11455.0
2015-02-26,11450.0
2015-02-27,11445.0
2015-03-02,11470.0
2015-03-03,11435.0
2015-03-04,11425.0
2015-03-05,11460.0
2015-03-06,11455.0
2015-03-09,11580.0
2015-03-10,11690.0
2015-03-11,11735.0
2015-03-12,11790.0
2015-03-13,11770.0
2015-03-16,11805.0
2015-03-17,11765.0
2015-03-18,11770.0
2015-03-19,11630.0
2015-03-20,11695.0
2015-03-23,11625.0
2015-03-24,11530.0
2015-03-25,11490.0
2015-03-26,11550.0
2015-03-27,11515.0
2015-03-30,11525.0
2015-03-31,11555.0
2015-04-01,11495.0
2015-04-02,11435.0
2015-04-03,11400.0
2015-04-06,11320.0
2015-04-07,11360.0
2015-04-08,11375.0
2015-04-09,11405.0
2015-04-10,11390.0
2015-04-13,11450.0
2015-04-14,11410.0
2015-04-15,11420.0
2015-04-16,11360.0
2015-04-17,11305.0
2015-04-20,11270.0
2015-04-21,11305.0
2015-04-22,11265.0
2015-04-23,11275.0
2015-04-24,11250.0
2015-04-27,11200.0
2015-04-28,11160.0
2015-04-29,11140.0
2015-04-30,11160.0
2015-05-04,11255.0
2015-05-06,11270.0
2015-05-07,11365.0
2015-05-08,11350.0
2015-05-11,11390.0
2015-05-12,11425.0
2015-05-13,11450.0
2015-05-14,11380.0
2015-05-15,11330.0
2015-05-18,11325.0
2015-05-19,11340.0
2015-05-20,11415.0
2015-05-21,11395.0
2015-05-22,11370.0
2015-05-26,11485.0
2015-05-27,11540.0
2015-05-28,11540.0
2015-05-29,11540.0
2015-06-01,11570.0
2015-06-02,11600.0
2015-06-03,11535.0
2015-06-04,11610.0
2015-06-05,11600.0
2015-06-08,11715.0
2015-06-09,11675.0
2015-06-10,11565.0
2015-06-11,11565.0
2015-06-12,11620.0
2015-06-15,11655.0
2015-06-16,11655.0
2015-06-17,11655.0
2015-06-18,11545.0
2015-06-19,11530.0
2015-06-22,11470.0
2015-06-23,11520.0
2015-06-24,11540.0
2015-06-25,11555.0
2015-06-26,11630.0
2015-06-29,11740.0
2015-06-30,11660.0
2015-07-01,11650.0
2015-07-02,11720.0
2015-07-03,11700.0
2015-07-06,11755.0
2015-07-07,11775.0
2015-07-08,11855.0
2015-07-09,11815.0
2015-07-10,11785.0
2015-07-13,11785.0
2015-07-14,11900.0
2015-07-15,11915.0
2015-07-16,11980.0
2015-07-17,11965.0
2015-07-20,12025.0
2015-07-21,12065.0
2015-07-22,12035.0
2015-07-23,12160.0
2015-07-24,12170.0
2015-07-27,12165.0
2015-07-28,12140.0
2015-07-29,12070.0
2015-07-30,12170.0
2015-07-31,12190.0
2015-08-03,12145.0
2015-08-04,12145.0
2015-08-05,12235.0
2015-08-06,12175.0
2015-08-07,12165.0
2015-08-10,12115.0
2015-08-11,12290.0
2015-08-12,12400.0
2015-08-13,12210.0
2015-08-17,12315.0
2015-08-18,12340.0
2015-08-19,12325.0
2015-08-20,12340.0
2015-08-21,12450.0
2015-08-24,12480.0
2015-08-25,12450.0
2015-08-26,12325.0
2015-08-27,12310.0
2015-08-28,12225.0
2015-08-31,12305.0
2015-09-01,12190.0
2015-09-02,12285.0
2015-09-03,12385.0
2015-09-04,12485.0
2015-09-07,12530.0
2015-09-08,12485.0
2015-09-09,12380.0
2015-09-10,12430.0
2015-09-11,12335.0
2015-09-14,12315.0
2015-09-15,12325.0
2015-09-16,12260.0
2015-09-17,12140.0
