Date,TIGER 반도체
2014-12-22,18375.0
2014-12-23,18565.0
2014-12-24,18530.0
2014-12-26,18520.0
2014-12-29,18940.0
2014-12-30,18940.0
2015-01-02,19115.0
2015-01-05,19050.0
2015-01-06,18765.0
2015-01-07,18965.0
2015-01-08,19270.0
2015-01-09,19655.0
2015-01-12,19575.0
2015-01-13,19345.0
2015-01-14,19380.0
2015-01-15,19350.0
2015-01-16,19125.0
2015-01-19,19120.0
2015-01-20,19190.0
2015-01-21,19535.0
2015-01-22,19450.0
2015-01-23,19560.0
2015-01-26,19635.0
2015-01-27,19635.0
2015-01-28,19500.0
2015-01-29,19390.0
2015-01-30,19355.0
2015-02-02,19115.0
2015-02-03,19090.0
2015-02-04,19235.0
2015-02-05,18935.0
2015-02-06,18985.0
2015-02-09,19005.0
2015-02-10,19065.0
2015-02-11,19335.0
2015-02-12,19390.0
2015-02-13,19500.0
2015-02-16,19450.0
2015-02-17,19485.0
2015-02-23,19585.0
2015-02-24,19780.0
2015-02-25,19640.0
2015-02-26,19615.0
2015-02-27,19735.0
2015-03-02,20025.0
2015-03-03,20060.0
2015-03-04,20200.0
2015-03-05,20255.0
2015-03-06,20490.0
2015-03-09,20120.0
2015-03-10,19915.0
2015-03-11,19965.0
2015-03-12,19925.0
2015-03-13,20020.0
2015-03-16,20060.0
2015-03-17,20215.0
2015-03-18,20205.0
2015-03-19,19910.0
2015-03-20,20015.0
2015-03-23,20260.0
2015-03-24,20280.0
2015-03-25,20430.0
2015-03-26,19870.0
2015-03-27,19645.0
2015-03-30,19990.0
2015-03-31,19910.0
2015-04-01,19735.0
2015-04-02,19500.0
2015-04-03,19540.0
2015-04-06,19770.0
2015-04-07,19560.0
2015-04-08,19475.0
2015-04-09,19485.0
2015-04-10,19815.0
2015-04-13,19775.0
2015-04-14,19560.0
2015-04-15,19540.0
2015-04-16,19570.0
2015-04-17,19535.0
2015-04-20,19380.0
2015-04-21,19620.0
2015-04-22,19495.0
2015-04-23,19995.0
2015-04-24,19800.0
2015-04-27,19875.0
2015-04-28,19960.0
2015-04-29,19895.0
2015-04-30,19800.0
2015-05-04,19395.0
2015-05-06,18900.0
2015-05-07,19225.0
2015-05-08,19455.0
2015-05-11,19390.0
2015-05-12,19035.0
2015-05-13,19500.0
2015-05-14,19730.0
2015-05-15,20180.0
2015-05-18,19945.0
2015-05-19,20200.0
2015-05-20,20210.0
2015-05-21,19935.0
2015-05-22,20050.0
2015-05-26,19885.0
2015-05-27,19780.0
2015-05-28,19940.0
2015-05-29,20330.0
2015-06-01,20200.0
2015-06-02,20125.0
2015-06-03,19840.0
2015-06-04,19910.0
2015-06-05,20210.0
2015-06-08,20120.0
2015-06-09,19940.0
2015-06-10,19650.0
2015-06-11,19695.0
2015-06-12,19560.0
2015-06-15,19185.0
2015-06-16,18915.0
2015-06-17,19240.0
2015-06-18,19165.0
2015-06-19,19255.0
2015-06-22,19570.0
2015-06-23,19675.0
2015-06-24,19370.0
2015-06-25,19330.0
2015-06-26,19020.0
2015-06-29,18815.0
2015-06-30,18930.0
2015-07-01,19080.0
2015-07-02,19125.0
2015-07-03,19105.0
2015-07-06,18565.0
2015-07-07,18775.0
2015-07-08,18625.0
2015-07-09,18505.0
2015-07-10,18585.0
2015-07-13,18975.0
2015-07-14,18600.0
2015-07-15,18795.0
2015-07-16,19345.0
2015-07-17,19485.0
2015-07-20,19350.0
2015-07-21,19115.0
2015-07-22,18975.0
2015-07-23,18690.0
2015-07-24,18605.0
2015-07-27,18275.0
2015-07-28,18165.0
2015-07-29,18160.0
2015-07-30,17585.0
2015-07-31,17795.0
2015-08-03,17420.0
2015-08-04,17745.0
2015-08-05,17700.0
2015-08-06,17665.0
2015-08-07,17610.0
2015-08-10,17460.0
2015-08-11,17805.0
2015-08-12,17150.0
2015-08-13,17350.0
2015-08-17,17070.0
2015-08-18,16840.0
2015-08-19,16520.0
2015-08-20,16400.0
2015-08-21,15625.0
2015-08-24,15095.0
2015-08-25,15935.0
2015-08-26,16080.0
2015-08-27,16350.0
2015-08-28,16725.0
2015-08-31,16520.0
2015-09-01,16260.0
2015-09-02,16215.0
2015-09-03,16595.0
2015-09-04,16200.0
2015-09-07,16050.0
2015-09-08,15970.0
2015-09-09,16520.0
2015-09-10,16370.0
2015-09-11,16565.0
2015-09-14,16340.0
2015-09-15,16360.0
2015-09-16,16575.0
2015-09-17,16745.0
2015-09-18,16845.0
2015-09-21,16490.0
2015-09-22,16490.0
2015-09-23,16225.0
2015-09-24,15985.0
2015-09-25,15820.0
2015-09-30,15760.0
2015-10-01,16070.0
2015-10-02,15895.0
2015-10-05,16140.0
2015-10-06,16390.0
2015-10-07,16955.0
2015-10-08,16975.0
2015-10-12,16795.0
2015-10-13,16640.0
2015-10-14,16695.0
2015-10-15,16770.0
2015-10-16,16915.0
2015-10-19,16740.0
2015-10-20,16855.0
2015-10-21,16505.0
2015-10-22,16350.0
2015-10-23,16320.0
2015-10-26,16320.0
2015-10-27,16335.0
2015-10-28,16375.0
2015-10-29,16580.0
2015-10-30,16500.0
2015-11-02,16895.0
2015-11-03,16705.0
2015-11-04,16655.0
2015-11-05,16705.0
2015-11-06,16515.0
2015-11-09,16370.0
2015-11-10,15880.0
2015-11-11,16130.0
2015-11-12,16090.0
2015-11-13,16060.0
2015-11-16,15825.0
2015-11-17,16025.0
2015-11-18,16035.0
2015-11-19,16245.0
2015-11-20,16435.0
2015-11-23,16565.0
2015-11-24,16370.0
2015-11-25,16560.0
2015-11-26,17285.0
2015-11-27,16870.0
2015-11-30,16500.0
2015-12-01,16620.0
2015-12-02,16620.0
2015-12-03,16440.0
2015-12-04,16440.0
