Date,KBSTAR 5대그룹주
2014-12-19,4790.0
2014-12-22,4830.0
2014-12-23,4810.0
2014-12-24,4805.0
2014-12-26,4820.0
2014-12-29,4835.0
2014-12-30,4800.0
2015-01-02,4810.0
2015-01-05,4795.0
2015-01-06,4715.0
2015-01-07,4750.0
2015-01-08,4840.0
2015-01-09,4890.0
2015-01-12,4870.0
2015-01-13,4910.0
2015-01-14,4885.0
2015-01-15,4855.0
2015-01-16,4760.0
2015-01-19,4765.0
2015-01-20,4815.0
2015-01-21,4800.0
2015-01-22,4830.0
2015-01-23,4860.0
2015-01-26,4840.0
2015-01-27,4870.0
2015-01-28,4910.0
2015-01-29,4890.0
2015-01-30,4875.0
2015-02-02,4860.0
2015-02-03,4840.0
2015-02-04,4880.0
2015-02-05,4825.0
2015-02-06,4805.0
2015-02-09,4815.0
2015-02-10,4785.0
2015-02-11,4800.0
2015-02-12,4795.0
2015-02-13,4805.0
2015-02-16,4805.0
2015-02-17,4830.0
2015-02-23,4840.0
2015-02-24,4835.0
2015-02-25,4875.0
2015-02-26,4870.0
2015-02-27,4855.0
2015-03-02,4845.0
2015-03-03,4890.0
2015-03-04,4875.0
2015-03-05,4870.0
2015-03-06,4890.0
2015-03-09,4865.0
2015-03-10,4855.0
2015-03-11,4815.0
2015-03-12,4815.0
2015-03-13,4830.0
2015-03-16,4835.0
2015-03-17,4910.0
2015-03-18,4910.0
2015-03-19,4930.0
2015-03-20,4915.0
2015-03-23,4910.0
2015-03-24,4900.0
2015-03-25,4885.0
2015-03-26,4865.0
2015-03-27,4845.0
2015-03-30,4815.0
2015-03-31,4845.0
2015-04-01,4780.0
2015-04-02,4770.0
2015-04-03,4765.0
2015-04-06,4760.0
2015-04-07,4785.0
2015-04-08,4780.0
2015-04-09,4790.0
2015-04-10,4840.0
2015-04-13,4855.0
2015-04-14,4895.0
2015-04-15,4925.0
2015-04-16,4940.0
2015-04-17,4955.0
2015-04-20,4980.0
2015-04-21,4965.0
2015-04-22,4950.0
2015-04-23,5055.0
2015-04-24,5075.0
2015-04-27,5040.0
2015-04-28,5020.0
2015-04-29,4955.0
2015-04-30,4915.0
2015-05-04,4930.0
2015-05-06,4890.0
2015-05-07,4890.0
2015-05-08,4875.0
2015-05-11,4830.0
2015-05-12,4815.0
2015-05-13,4850.0
2015-05-14,4865.0
2015-05-15,4815.0
2015-05-18,4800.0
2015-05-19,4800.0
2015-05-20,4830.0
2015-05-21,4790.0
2015-05-22,4845.0
2015-05-26,4870.0
2015-05-27,4815.0
2015-05-28,4815.0
2015-05-29,4840.0
2015-06-01,4820.0
2015-06-02,4750.0
2015-06-03,4695.0
2015-06-04,4710.0
2015-06-05,4700.0
2015-06-08,4655.0
2015-06-09,4650.0
2015-06-10,4640.0
2015-06-11,4640.0
2015-06-12,4600.0
2015-06-15,4610.0
2015-06-16,4555.0
2015-06-17,4550.0
2015-06-18,4560.0
2015-06-19,4550.0
2015-06-22,4555.0
2015-06-23,4585.0
2015-06-24,4585.0
2015-06-25,4570.0
2015-06-26,4585.0
2015-06-29,4530.0
2015-06-30,4580.0
2015-07-01,4575.0
2015-07-02,4580.0
2015-07-03,4570.0
2015-07-06,4450.0
2015-07-07,4470.0
2015-07-08,4415.0
2015-07-09,4420.0
2015-07-10,4410.0
2015-07-13,4410.0
2015-07-14,4390.0
2015-07-15,4410.0
2015-07-16,4445.0
2015-07-17,4380.0
2015-07-20,4380.0
2015-07-21,4410.0
2015-07-22,4385.0
2015-07-23,4385.0
2015-07-24,4360.0
2015-07-27,4400.0
2015-07-28,4375.0
2015-07-29,4395.0
2015-07-30,4365.0
2015-07-31,4420.0
2015-08-03,4345.0
2015-08-04,4380.0
2015-08-05,4355.0
2015-08-06,4295.0
2015-08-07,4260.0
2015-08-10,4230.0
2015-08-11,4195.0
2015-08-12,4210.0
2015-08-13,4265.0
2015-08-17,4240.0
2015-08-18,4235.0
2015-08-19,4210.0
2015-08-20,4170.0
2015-08-21,4105.0
2015-08-24,3965.0
2015-08-25,4040.0
2015-08-26,4140.0
2015-08-27,4185.0
2015-08-28,4240.0
2015-08-31,4260.0
2015-09-01,4210.0
2015-09-02,4250.0
2015-09-03,4245.0
2015-09-04,4195.0
2015-09-07,4210.0
