Date,TIGER 200커버드콜5%OTM
2015-02-10,10315.0
2015-02-11,10315.0
2015-02-12,10285.0
2015-02-13,10335.0
2015-02-16,10390.0
2015-02-17,10390.0
2015-02-23,10420.0
2015-02-24,10440.0
2015-02-25,10470.0
2015-02-26,10480.0
2015-02-27,10460.0
2015-03-02,10510.0
2015-03-03,10540.0
2015-03-04,10545.0
2015-03-05,10555.0
2015-03-06,10580.0
2015-03-09,10510.0
2015-03-10,10470.0
2015-03-11,10435.0
2015-03-12,10440.0
2015-03-13,10490.0
2015-03-16,10490.0
2015-03-17,10685.0
2015-03-18,10710.0
2015-03-19,10755.0
2015-03-20,10710.0
2015-03-23,10710.0
2015-03-24,10710.0
2015-03-25,10715.0
2015-03-26,10640.0
2015-03-27,10630.0
2015-03-30,10640.0
2015-03-31,10645.0
2015-04-01,10580.0
2015-04-02,10580.0
2015-04-03,10665.0
2015-04-06,10670.0
2015-04-07,10650.0
2015-04-08,10720.0
2015-04-09,10725.0
2015-04-10,10850.0
2015-04-13,10885.0
2015-04-14,10950.0
2015-04-15,10990.0
2015-04-16,11020.0
2015-04-17,11040.0
2015-04-20,11020.0
2015-04-21,11045.0
2015-04-22,11065.0
2015-04-23,11140.0
2015-04-24,11120.0
2015-04-27,11120.0
2015-04-28,11115.0
2015-04-29,11100.0
2015-04-30,11060.0
2015-05-04,11105.0
2015-05-06,10955.0
2015-05-07,10910.0
2015-05-08,10855.0
2015-05-11,10885.0
2015-05-12,10865.0
2015-05-13,10940.0
2015-05-14,10965.0
2015-05-15,10855.0
2015-05-18,10880.0
2015-05-19,10920.0
2015-05-20,11025.0
2015-05-21,10910.0
2015-05-22,11040.0
2015-05-26,11025.0
2015-05-27,10815.0
2015-05-28,10810.0
2015-05-29,10860.0
2015-06-01,10775.0
2015-06-02,10670.0
2015-06-03,10570.0
2015-06-04,10595.0
2015-06-05,10590.0
2015-06-08,10565.0
2015-06-09,10595.0
2015-06-10,10495.0
2015-06-11,10510.0
2015-06-12,10440.0
2015-06-15,10405.0
2015-06-16,10345.0
2015-06-17,10310.0
2015-06-18,10370.0
2015-06-19,10415.0
2015-06-22,10470.0
2015-06-23,10585.0
2015-06-24,10660.0
2015-06-25,10595.0
2015-06-26,10570.0
2015-06-29,10475.0
2015-06-30,10490.0
2015-07-01,10620.0
2015-07-02,10635.0
2015-07-03,10625.0
2015-07-06,10495.0
2015-07-07,10370.0
2015-07-08,10235.0
2015-07-09,10290.0
2015-07-10,10300.0
2015-07-13,10395.0
2015-07-14,10335.0
2015-07-15,10395.0
2015-07-16,10425.0
2015-07-17,10485.0
2015-07-20,10350.0
2015-07-21,10415.0
2015-07-22,10330.0
2015-07-23,10330.0
2015-07-24,10210.0
2015-07-27,10215.0
2015-07-28,10200.0
2015-07-29,10290.0
2015-07-30,10200.0
2015-07-31,10180.0
2015-08-03,10120.0
2015-08-04,10160.0
2015-08-05,10170.0
2015-08-06,10170.0
2015-08-07,10030.0
2015-08-10,9965.0
2015-08-11,10005.0
2015-08-12,9915.0
2015-08-13,9915.0
2015-08-17,9885.0
2015-08-18,9865.0
2015-08-19,9800.0
2015-08-20,9775.0
2015-08-21,9530.0
2015-08-24,9275.0
2015-08-25,9330.0
2015-08-26,9515.0
2015-08-27,9565.0
2015-08-28,9695.0
2015-08-31,9705.0
2015-09-01,9705.0
2015-09-02,9640.0
2015-09-03,9660.0
2015-09-04,9590.0
2015-09-07,9555.0
2015-09-08,9570.0
2015-09-09,9795.0
