Date,파워 중기국고채
2014-12-22,104455.0
2014-12-23,104550.0
2014-12-24,104495.0
2014-12-26,104510.0
2014-12-29,104600.0
2014-12-30,104720.0
2015-01-02,104665.0
2015-01-05,104695.0
2015-01-06,104855.0
2015-01-07,104890.0
2015-01-08,104865.0
2015-01-09,104915.0
2015-01-12,105085.0
2015-01-13,105085.0
2015-01-14,105210.0
2015-01-15,105065.0
2015-01-16,105265.0
2015-01-19,105140.0
2015-01-20,105125.0
2015-01-21,105125.0
2015-01-22,105040.0
2015-01-23,105165.0
2015-01-26,105180.0
2015-01-27,105205.0
2015-01-28,105275.0
2015-01-29,105330.0
2015-01-30,105395.0
2015-02-02,105375.0
2015-02-03,105525.0
2015-02-04,105515.0
2015-02-05,105480.0
2015-02-06,105440.0
2015-02-09,105380.0
2015-02-10,105285.0
2015-02-11,105255.0
2015-02-12,105220.0
2015-02-13,105240.0
2015-02-16,105130.0
2015-02-17,105260.0
2015-02-23,105240.0
2015-02-24,105260.0
2015-02-25,105315.0
2015-02-26,105355.0
2015-02-27,105405.0
2015-03-02,105480.0
2015-03-03,105500.0
2015-03-04,105525.0
2015-03-05,105550.0
2015-03-06,105175.0
2015-03-09,105145.0
2015-03-10,105165.0
2015-03-11,105305.0
2015-03-12,105430.0
2015-03-13,105310.0
2015-03-16,105360.0
2015-03-17,105360.0
2015-03-18,105390.0
2015-03-19,105565.0
2015-03-20,105650.0
2015-03-23,105685.0
2015-03-24,105660.0
2015-03-25,105700.0
2015-03-26,105745.0
2015-03-27,105740.0
2015-03-30,105760.0
2015-03-31,105935.0
2015-04-01,105925.0
2015-04-02,105900.0
2015-04-03,105945.0
2015-04-06,106000.0
2015-04-07,105995.0
2015-04-08,105925.0
2015-04-09,106035.0
2015-04-10,106050.0
2015-04-13,105955.0
2015-04-14,105920.0
2015-04-15,105975.0
2015-04-16,105990.0
2015-04-17,106070.0
2015-04-20,106080.0
2015-04-21,106030.0
2015-04-22,106035.0
2015-04-23,105940.0
2015-04-24,105835.0
2015-04-27,105830.0
2015-04-28,105640.0
2015-04-29,105585.0
2015-04-30,105705.0
2015-05-04,105490.0
2015-05-06,105355.0
2015-05-07,105260.0
2015-05-08,105385.0
2015-05-11,105605.0
2015-05-12,105385.0
2015-05-13,105475.0
2015-05-14,105550.0
2015-05-15,105450.0
2015-05-18,105520.0
2015-05-19,105460.0
2015-05-20,105610.0
2015-05-21,105630.0
2015-05-22,105625.0
2015-05-26,105715.0
2015-05-27,105820.0
2015-05-28,105785.0
2015-05-29,106055.0
2015-06-01,106070.0
2015-06-02,106185.0
2015-06-03,106055.0
2015-06-04,105945.0
2015-06-05,106060.0
2015-06-08,105210.0
2015-06-09,105280.0
2015-06-10,105265.0
2015-06-11,105145.0
2015-06-12,105230.0
2015-06-15,105155.0
2015-06-16,105210.0
2015-06-17,105175.0
2015-06-18,105220.0
2015-06-19,105290.0
2015-06-22,105170.0
2015-06-23,105170.0
2015-06-24,105125.0
2015-06-25,105205.0
2015-06-26,105170.0
2015-06-29,105225.0
2015-06-30,105230.0
2015-07-01,105205.0
2015-07-02,105135.0
2015-07-03,105150.0
2015-07-06,105205.0
2015-07-07,105200.0
2015-07-08,105265.0
2015-07-09,105330.0
2015-07-10,105215.0
2015-07-13,105220.0
2015-07-14,105250.0
2015-07-15,105240.0
2015-07-16,105325.0
2015-07-17,105340.0
2015-07-20,105365.0
2015-07-21,105420.0
2015-07-22,105445.0
2015-07-23,105610.0
2015-07-24,105675.0
2015-07-27,105660.0
2015-07-28,105630.0
2015-07-29,105585.0
2015-07-30,105580.0
2015-07-31,105595.0
