Date,TIGER 국채3년
2014-12-22,108130.0
2014-12-23,108235.0
2014-12-24,108175.0
2014-12-26,108305.0
2014-12-29,108305.0
2014-12-30,108460.0
2015-01-02,108440.0
2015-01-05,108270.0
2015-01-06,108660.0
2015-01-07,108665.0
2015-01-08,108570.0
2015-01-09,108735.0
2015-01-12,108910.0
2015-01-13,108905.0
2015-01-14,109025.0
2015-01-15,108875.0
2015-01-16,109040.0
2015-01-19,108885.0
2015-01-20,108930.0
2015-01-21,108925.0
2015-01-22,108825.0
2015-01-23,108940.0
2015-01-26,109060.0
2015-01-27,108960.0
2015-01-28,109055.0
2015-01-29,109100.0
2015-01-30,109130.0
2015-02-02,109160.0
2015-02-03,109355.0
2015-02-04,109240.0
2015-02-05,109295.0
2015-02-06,109230.0
2015-02-09,109190.0
2015-02-10,109010.0
2015-02-11,109030.0
2015-02-12,108955.0
2015-02-13,108980.0
2015-02-16,108865.0
2015-02-17,109030.0
2015-02-23,109020.0
2015-02-24,109005.0
2015-02-25,109080.0
2015-02-26,109075.0
2015-02-27,109185.0
2015-03-02,109225.0
2015-03-03,109270.0
2015-03-04,109250.0
2015-03-05,109270.0
2015-03-06,108960.0
2015-03-09,108990.0
2015-03-10,109015.0
2015-03-11,109150.0
2015-03-12,109110.0
2015-03-13,109120.0
2015-03-16,109230.0
2015-03-17,109255.0
2015-03-18,109305.0
2015-03-19,109435.0
2015-03-20,109490.0
2015-03-23,109550.0
2015-03-24,109525.0
2015-03-25,109610.0
2015-03-26,109660.0
2015-03-27,109675.0
2015-03-30,109650.0
2015-03-31,109845.0
2015-04-01,109840.0
2015-04-02,109820.0
2015-04-03,109875.0
2015-04-06,109910.0
2015-04-07,109900.0
2015-04-08,109775.0
2015-04-09,109920.0
2015-04-10,109930.0
2015-04-13,109825.0
2015-04-14,109790.0
2015-04-15,109840.0
2015-04-16,109900.0
2015-04-17,109990.0
2015-04-20,110010.0
2015-04-21,109955.0
2015-04-22,109970.0
2015-04-23,109865.0
2015-04-24,109750.0
2015-04-27,109675.0
2015-04-28,109550.0
2015-04-29,109435.0
2015-04-30,109520.0
2015-05-04,109385.0
2015-05-06,109160.0
2015-05-07,109090.0
2015-05-08,109270.0
2015-05-11,109510.0
2015-05-12,109190.0
2015-05-13,109325.0
2015-05-14,109445.0
2015-05-15,109370.0
2015-05-18,109370.0
2015-05-19,109270.0
2015-05-20,109405.0
2015-05-21,109470.0
2015-05-22,109430.0
2015-05-26,109605.0
2015-05-27,109715.0
2015-05-28,109775.0
2015-05-29,109960.0
2015-06-01,109975.0
2015-06-02,110080.0
2015-06-03,109900.0
2015-06-04,109790.0
2015-06-05,109845.0
2015-06-08,109130.0
2015-06-09,109150.0
2015-06-10,109085.0
2015-06-11,109010.0
2015-06-12,109115.0
2015-06-15,109085.0
2015-06-16,109100.0
2015-06-17,109035.0
2015-06-18,109025.0
2015-06-19,109185.0
2015-06-22,109075.0
2015-06-23,109095.0
2015-06-24,108995.0
2015-06-25,109030.0
2015-06-26,109055.0
2015-06-29,109135.0
2015-06-30,109145.0
2015-07-01,109130.0
2015-07-02,108970.0
2015-07-03,109035.0
2015-07-06,109095.0
2015-07-07,109045.0
2015-07-08,109095.0
2015-07-09,109165.0
2015-07-10,109130.0
2015-07-13,109100.0
2015-07-14,109175.0
2015-07-15,109170.0
2015-07-16,109240.0
2015-07-17,109265.0
2015-07-20,109305.0
2015-07-21,109255.0
2015-07-22,109300.0
2015-07-23,109550.0
2015-07-24,109600.0
2015-07-27,109590.0
2015-07-28,109520.0
2015-07-29,109445.0
2015-07-30,109460.0
2015-07-31,109430.0
2015-08-03,109380.0
2015-08-04,109410.0
2015-08-05,109265.0
2015-08-06,109345.0
2015-08-07,109340.0
2015-08-10,109455.0
2015-08-11,109600.0
2015-08-12,109710.0
2015-08-13,109615.0
2015-08-17,109630.0
2015-08-18,109675.0
2015-08-19,109675.0
2015-08-20,109745.0
2015-08-21,109760.0
2015-08-24,109850.0
2015-08-25,109780.0
2015-08-26,109765.0
2015-08-27,109785.0
2015-08-28,109785.0
2015-08-31,109740.0
2015-09-01,109675.0
2015-09-02,109870.0
2015-09-03,109915.0
2015-09-04,110020.0
2015-09-07,110035.0
2015-09-08,109630.0
2015-09-09,109560.0
2015-09-10,109710.0
2015-09-11,109585.0
2015-09-14,109605.0
2015-09-15,109630.0
2015-09-16,109555.0
2015-09-17,109545.0
2015-09-18,109825.0
2015-09-21,109805.0
2015-09-22,109755.0
2015-09-23,109905.0
2015-09-24,109850.0
2015-09-25,109960.0
2015-09-30,110105.0
2015-10-01,110060.0
2015-10-02,110085.0
2015-10-05,110085.0
2015-10-06,110045.0
2015-10-07,109970.0
2015-10-08,109945.0
2015-10-12,109895.0
2015-10-13,109895.0
2015-10-14,109825.0
2015-10-15,110020.0
2015-10-16,110055.0
2015-10-19,109945.0
2015-10-20,109990.0
2015-10-21,109935.0
2015-10-22,109910.0
2015-10-23,109940.0
2015-10-26,109935.0
2015-10-27,110010.0
2015-10-28,110090.0
2015-10-29,110005.0
2015-10-30,110005.0
2015-11-02,109995.0
2015-11-03,109975.0
2015-11-04,109920.0
2015-11-05,109895.0
2015-11-06,109795.0
2015-11-09,109510.0
2015-11-10,109495.0
2015-11-11,109435.0
2015-11-12,109540.0
2015-11-13,109580.0
2015-11-16,109645.0
2015-11-17,109625.0
2015-11-18,109635.0
2015-11-19,109685.0
2015-11-20,109665.0
2015-11-23,109665.0
2015-11-24,109675.0
2015-11-25,109695.0
2015-11-26,109720.0
2015-11-27,109600.0
2015-11-30,109605.0
2015-12-01,109690.0
2015-12-02,109645.0
2015-12-03,109765.0
2015-12-04,109680.0
2015-12-07,109635.0
2015-12-08,109185.0
2015-12-09,109215.0
2015-12-10,109205.0
2015-12-11,109245.0
2015-12-14,109335.0
2015-12-15,109265.0
2015-12-16,109215.0
2015-12-17,109365.0
2015-12-18,109430.0
2015-12-21,109595.0
2015-12-22,109535.0
2015-12-23,109600.0
2015-12-24,109600.0
2015-12-28,109590.0
2015-12-29,109650.0
2015-12-30,109665.0
2016-01-04,109725.0
2016-01-05,109715.0
2016-01-06,109765.0
2016-01-07,109805.0
2016-01-08,109740.0
2016-01-11,109800.0
2016-01-12,109800.0
2016-01-13,109825.0
2016-01-14,109810.0
2016-01-15,109790.0
2016-01-18,109730.0
2016-01-19,109760.0
2016-01-20,109875.0
2016-01-21,109880.0
2016-01-22,109905.0
2016-01-25,109850.0
2016-01-26,109975.0
2016-01-27,109980.0
2016-01-28,109940.0
2016-01-29,110080.0
2016-02-01,110255.0
2016-02-02,110285.0
2016-02-03,110380.0
2016-02-04,110390.0
2016-02-05,110375.0
2016-02-11,110595.0
2016-02-12,110410.0
2016-02-15,110405.0
2016-02-16,110540.0
2016-02-17,110640.0
2016-02-18,110535.0
2016-02-19,110575.0
2016-02-22,110555.0
2016-02-23,110480.0
2016-02-24,110550.0
2016-02-25,110590.0
2016-02-26,110645.0
2016-02-29,110650.0
2016-03-02,110600.0
2016-03-03,110490.0
2016-03-04,110395.0
2016-03-07,110435.0
2016-03-08,110160.0
2016-03-09,110250.0
2016-03-10,110120.0
2016-03-11,110055.0
2016-03-14,109980.0
2016-03-15,110105.0
2016-03-16,110040.0
2016-03-17,110175.0
2016-03-18,110230.0
2016-03-21,110200.0
2016-03-22,110235.0
2016-03-23,110180.0
2016-03-24,110275.0
2016-03-25,110240.0
2016-03-28,110245.0
2016-03-29,110400.0
2016-03-30,110405.0
2016-03-31,110450.0
2016-04-01,110480.0
2016-04-04,110440.0
2016-04-05,110420.0
2016-04-06,110465.0
2016-04-07,110440.0
2016-04-08,110445.0
2016-04-11,110445.0
2016-04-12,110440.0
2016-04-14,110345.0
2016-04-15,110350.0
2016-04-18,110350.0
2016-04-19,110320.0
2016-04-20,110440.0
2016-04-21,110445.0
2016-04-22,110510.0
2016-04-25,110460.0
2016-04-26,110475.0
2016-04-27,110500.0
2016-04-28,110555.0
2016-04-29,110575.0
2016-05-02,110495.0
2016-05-03,110615.0
2016-05-04,110685.0
2016-05-09,110730.0
2016-05-10,110670.0
2016-05-11,110740.0
2016-05-12,110670.0
2016-05-13,110695.0
2016-05-16,110690.0
2016-05-17,110660.0
2016-05-18,110610.0
2016-05-19,110455.0
2016-05-20,110595.0
2016-05-23,110550.0
2016-05-24,110685.0
2016-05-25,110670.0
2016-05-26,110675.0
2016-05-27,110595.0
2016-05-30,110540.0
2016-05-31,110525.0
2016-06-01,110725.0
