Date,KINDEX 단기통안채
2014-12-22,102465.0
2014-12-23,102475.0
2014-12-24,102490.0
2014-12-26,102500.0
2014-12-29,100115.0
2014-12-30,100130.0
2015-01-02,100140.0
2015-01-05,100150.0
2015-01-06,100155.0
2015-01-07,100165.0
2015-01-08,100190.0
2015-01-09,100195.0
2015-01-12,100200.0
2015-01-13,100215.0
2015-01-14,100220.0
2015-01-15,100235.0
2015-01-16,100240.0
2015-01-19,100245.0
2015-01-20,100250.0
2015-01-21,100255.0
2015-01-22,100265.0
2015-01-23,100270.0
2015-01-26,100270.0
2015-01-27,100280.0
2015-01-28,100280.0
2015-01-29,100300.0
2015-01-30,100305.0
2015-02-02,100315.0
2015-02-03,100320.0
2015-02-04,100335.0
2015-02-05,100340.0
2015-02-06,100350.0
2015-02-09,100350.0
2015-02-10,100355.0
2015-02-11,100345.0
2015-02-12,100365.0
2015-02-13,100375.0
2015-02-16,100405.0
2015-02-17,100410.0
2015-02-23,100415.0
2015-02-24,100420.0
2015-02-25,100420.0
2015-02-26,100445.0
2015-02-27,100440.0
2015-03-02,100450.0
2015-03-03,100455.0
2015-03-04,100465.0
2015-03-05,100480.0
2015-03-06,100495.0
2015-03-09,100500.0
2015-03-10,100510.0
2015-03-11,100530.0
2015-03-12,100550.0
2015-03-13,100570.0
2015-03-16,100580.0
2015-03-17,100590.0
2015-03-18,100600.0
2015-03-19,100610.0
2015-03-20,100610.0
2015-03-23,100615.0
2015-03-24,100625.0
2015-03-25,100625.0
2015-03-26,100640.0
2015-03-27,100645.0
2015-03-30,100655.0
2015-03-31,100665.0
2015-04-01,100675.0
2015-04-02,100685.0
2015-04-03,100690.0
2015-04-06,100695.0
2015-04-07,100700.0
2015-04-08,100700.0
2015-04-09,100720.0
2015-04-10,100730.0
2015-04-13,100730.0
2015-04-14,100730.0
2015-04-15,100740.0
2015-04-16,100755.0
2015-04-17,100755.0
2015-04-20,100765.0
2015-04-21,100770.0
2015-04-22,100775.0
2015-04-23,100785.0
2015-04-24,100790.0
2015-04-27,100790.0
2015-04-28,100785.0
2015-04-29,100800.0
2015-04-30,100810.0
2015-05-04,100815.0
2015-05-06,100820.0
2015-05-07,100835.0
2015-05-08,100840.0
2015-05-11,100850.0
2015-05-12,100855.0
2015-05-13,100850.0
2015-05-14,100870.0
2015-05-15,100875.0
2015-05-18,100875.0
2015-05-19,100880.0
2015-05-20,100890.0
2015-05-21,100905.0
2015-05-22,100905.0
2015-05-26,100905.0
2015-05-27,100915.0
2015-05-28,100930.0
2015-05-29,100940.0
2015-06-01,100945.0
2015-06-02,100955.0
2015-06-03,100955.0
2015-06-04,100965.0
2015-06-05,100975.0
2015-06-08,100980.0
2015-06-09,100985.0
2015-06-10,100990.0
2015-06-11,101005.0
2015-06-12,101015.0
2015-06-15,101020.0
2015-06-16,101025.0
2015-06-17,101025.0
2015-06-18,101035.0
2015-06-19,101040.0
2015-06-22,101050.0
2015-06-23,101050.0
2015-06-24,101050.0
2015-06-25,101060.0
2015-06-26,101070.0
2015-06-29,101075.0
2015-06-30,101080.0
2015-07-01,101085.0
2015-07-02,101095.0
2015-07-03,101105.0
2015-07-06,101100.0
2015-07-07,101110.0
2015-07-08,101115.0
2015-07-09,101130.0
2015-07-10,101135.0
2015-07-13,101140.0
2015-07-14,101140.0
2015-07-15,101145.0
2015-07-16,101160.0
2015-07-17,101165.0
2015-07-20,101165.0
2015-07-21,101170.0
2015-07-22,101175.0
2015-07-23,101185.0
2015-07-24,101190.0
2015-07-27,101190.0
2015-07-28,101195.0
2015-07-29,101200.0
2015-07-30,101210.0
2015-07-31,101215.0
2015-08-03,101220.0
2015-08-04,101225.0
2015-08-05,101230.0
2015-08-06,101235.0
2015-08-07,101240.0
2015-08-10,101245.0
2015-08-11,101250.0
2015-08-12,101270.0
2015-08-13,101270.0
2015-08-17,101275.0
2015-08-18,101280.0
2015-08-19,101285.0
2015-08-20,101290.0
2015-08-21,101295.0
2015-08-24,101300.0
2015-08-25,101305.0
2015-08-26,101305.0
2015-08-27,101320.0
2015-08-28,101325.0
2015-08-31,101325.0
2015-09-01,101330.0
2015-09-02,101335.0
2015-09-03,101350.0
2015-09-04,101355.0
2015-09-07,101360.0
2015-09-08,101365.0
2015-09-09,101365.0
2015-09-10,101380.0
2015-09-11,101380.0
2015-09-14,101385.0
2015-09-15,101390.0
2015-09-16,101390.0
2015-09-17,101405.0
2015-09-18,101405.0
2015-09-21,101410.0
2015-09-22,101410.0
2015-09-23,101420.0
2015-09-24,101435.0
2015-09-25,101440.0
2015-09-30,101445.0
2015-10-01,101455.0
2015-10-02,101460.0
2015-10-05,101465.0
2015-10-06,101470.0
2015-10-07,101485.0
2015-10-08,101485.0
2015-10-12,101490.0
2015-10-13,101495.0
2015-10-14,101495.0
2015-10-15,101510.0
2015-10-16,101515.0
2015-10-19,101520.0
2015-10-20,101525.0
2015-10-21,101525.0
2015-10-22,101535.0
2015-10-23,101535.0
2015-10-26,101545.0
2015-10-27,101540.0
2015-10-28,101545.0
2015-10-29,101565.0
2015-10-30,101560.0
2015-11-02,101570.0
2015-11-03,101575.0
2015-11-04,101570.0
2015-11-05,101590.0
2015-11-06,101590.0
2015-11-09,101590.0
2015-11-10,101590.0
2015-11-11,101590.0
2015-11-12,101605.0
2015-11-13,101605.0
2015-11-16,101615.0
2015-11-17,101620.0
2015-11-18,101625.0
2015-11-19,101635.0
2015-11-20,101635.0
2015-11-23,101635.0
2015-11-24,101640.0
2015-11-25,101645.0
2015-11-26,101650.0
2015-11-27,101650.0
2015-11-30,101610.0
2015-12-01,101660.0
2015-12-02,101675.0
2015-12-03,101690.0
2015-12-04,101695.0
2015-12-07,101705.0
2015-12-08,101710.0
2015-12-09,101710.0
2015-12-10,101725.0
2015-12-11,101730.0
2015-12-14,101735.0
2015-12-15,101735.0
2015-12-16,101740.0
2015-12-17,101745.0
2015-12-18,101760.0
2015-12-21,101760.0
2015-12-22,101765.0
2015-12-23,101780.0
2015-12-24,101785.0
2015-12-28,101785.0
2015-12-29,100025.0
2015-12-30,100025.0
2016-01-04,100070.0
2016-01-05,100080.0
2016-01-06,100090.0
2016-01-07,100100.0
2016-01-08,100100.0
2016-01-11,100100.0
2016-01-12,100110.0
2016-01-13,100115.0
2016-01-14,100130.0
2016-01-15,100130.0
2016-01-18,100130.0
2016-01-19,100140.0
2016-01-20,100145.0
2016-01-21,100155.0
2016-01-22,100160.0
2016-01-25,100165.0
2016-01-26,100165.0
2016-01-27,100170.0
2016-01-28,100180.0
2016-01-29,100180.0
2016-02-01,100195.0
2016-02-02,100200.0
2016-02-03,100205.0
2016-02-04,100230.0
2016-02-05,100230.0
2016-02-11,100250.0
2016-02-12,100255.0
2016-02-15,100260.0
2016-02-16,100265.0
2016-02-17,100275.0
2016-02-18,100285.0
2016-02-19,100285.0
2016-02-22,100285.0
2016-02-23,100285.0
2016-02-24,100290.0
2016-02-25,100300.0
2016-02-26,100310.0
2016-02-29,100315.0
2016-03-02,100320.0
2016-03-03,100330.0
2016-03-04,100335.0
2016-03-07,100335.0
2016-03-08,100335.0
2016-03-09,100345.0
2016-03-10,100355.0
2016-03-11,100355.0
2016-03-14,100355.0
2016-03-15,100360.0
2016-03-16,100360.0
2016-03-17,100370.0
2016-03-18,100375.0
2016-03-21,100375.0
2016-03-22,100380.0
2016-03-23,100380.0
2016-03-24,100395.0
2016-03-25,100395.0
2016-03-28,100400.0
2016-03-29,100410.0
2016-03-30,100415.0
2016-03-31,100425.0
2016-04-01,100430.0
2016-04-04,100435.0
2016-04-05,100440.0
2016-04-06,100445.0
2016-04-07,100455.0
2016-04-08,100460.0
2016-04-11,100470.0
2016-04-12,100470.0
2016-04-14,100485.0
2016-04-15,100485.0
2016-04-18,100490.0
2016-04-19,100490.0
2016-04-20,100485.0
2016-04-21,100505.0
2016-04-22,100510.0
2016-04-25,100515.0
2016-04-26,100515.0
2016-04-27,100525.0
2016-04-28,100530.0
2016-04-29,100540.0
2016-05-02,100540.0
2016-05-03,100565.0
2016-05-04,100570.0
2016-05-09,100575.0
2016-05-10,100585.0
2016-05-11,100590.0
2016-05-12,100600.0
2016-05-13,100600.0
2016-05-16,100605.0
2016-05-17,100605.0
2016-05-18,100605.0
2016-05-19,100615.0
2016-05-20,100620.0
2016-05-23,100625.0
2016-05-24,100625.0
2016-05-25,100630.0
2016-05-26,100635.0
2016-05-27,100640.0
2016-05-30,100645.0
2016-05-31,100650.0
2016-06-01,100655.0
2016-06-02,100680.0
2016-06-03,100680.0
2016-06-07,100690.0
2016-06-08,100695.0
2016-06-09,100705.0
2016-06-10,100735.0
2016-06-13,100740.0
2016-06-14,100745.0
2016-06-15,100750.0
2016-06-16,100755.0
2016-06-17,100760.0
2016-06-20,100755.0
2016-06-21,100760.0
2016-06-22,100760.0
2016-06-23,100770.0
2016-06-24,100780.0
2016-06-27,100800.0
2016-06-28,100800.0
2016-06-29,100800.0
2016-06-30,100810.0
2016-07-01,100820.0
2016-07-04,100825.0
2016-07-05,100830.0
2016-07-06,100835.0
2016-07-07,100850.0
2016-07-08,100850.0
2016-07-11,100850.0
2016-07-12,100855.0
2016-07-13,100860.0
2016-07-14,100865.0
2016-07-15,100870.0
2016-07-18,100875.0
2016-07-19,100875.0
2016-07-20,100875.0
2016-07-21,100885.0
2016-07-22,100890.0
2016-07-25,100895.0
2016-07-26,100895.0
2016-07-27,100895.0
2016-07-28,100905.0
2016-07-29,100915.0
2016-08-01,100915.0
2016-08-02,100915.0
2016-08-03,100920.0
2016-08-04,100930.0
2016-08-05,100930.0
2016-08-08,100930.0
2016-08-09,100935.0
2016-08-10,100940.0
2016-08-11,100950.0
2016-08-12,100955.0
2016-08-16,100955.0
2016-08-17,100955.0
2016-08-18,100965.0
2016-08-19,100970.0
2016-08-22,100975.0
2016-08-23,100975.0
2016-08-24,100975.0
2016-08-25,100980.0
2016-08-26,100995.0
2016-08-29,100990.0
2016-08-30,100990.0
2016-08-31,100995.0
2016-09-01,101005.0
2016-09-02,101000.0
2016-09-05,101010.0
2016-09-06,101015.0
2016-09-07,101020.0
2016-09-08,101030.0
2016-09-09,101030.0
2016-09-12,101045.0
2016-09-13,101050.0
2016-09-19,101050.0
2016-09-20,101055.0
2016-09-21,101060.0
2016-09-22,101070.0
2016-09-23,101075.0
2016-09-26,101070.0
2016-09-27,101075.0
2016-09-28,101075.0
2016-09-29,101090.0
2016-09-30,101095.0
2016-10-04,101100.0
2016-10-05,101095.0
2016-10-06,101110.0
2016-10-07,101110.0
2016-10-10,101115.0
2016-10-11,101110.0
2016-10-12,101115.0
2016-10-13,101130.0
2016-10-14,101135.0
2016-10-17,101135.0
2016-10-18,101135.0
2016-10-19,101140.0
2016-10-20,101150.0
2016-10-21,101150.0
2016-10-24,101150.0
2016-10-25,101150.0
2016-10-26,101150.0
2016-10-27,101160.0
2016-10-28,101170.0
2016-10-31,101170.0
2016-11-01,101175.0
2016-11-02,101180.0
2016-11-03,101190.0
2016-11-04,101190.0
2016-11-07,101195.0
2016-11-08,101200.0
2016-11-09,101205.0
2016-11-10,101220.0
2016-11-11,101215.0
2016-11-14,101205.0
2016-11-15,101210.0
2016-11-16,101205.0
2016-11-17,101210.0
2016-11-18,101215.0
2016-11-21,101205.0
2016-11-22,101210.0
2016-11-23,101210.0
2016-11-24,101215.0
2016-11-25,101205.0
2016-11-28,101215.0
2016-11-29,101225.0
2016-11-30,101235.0
2016-12-01,101245.0
2016-12-02,101255.0
2016-12-05,101275.0
2016-12-06,101280.0
2016-12-07,101290.0
2016-12-08,101305.0
2016-12-09,101310.0
2016-12-12,101315.0
2016-12-13,101320.0
2016-12-14,101325.0
2016-12-15,101340.0
2016-12-16,101340.0
2016-12-19,101345.0
2016-12-20,101350.0
2016-12-21,101350.0
2016-12-22,101360.0
2016-12-23,101365.0
2016-12-26,101365.0
2016-12-27,101365.0
2016-12-28,100085.0
2016-12-29,100090.0
2017-01-02,100095.0
2017-01-03,100100.0
2017-01-04,100110.0
2017-01-05,100120.0
2017-01-06,100125.0
2017-01-09,100130.0
2017-01-10,100135.0
2017-01-11,100130.0
2017-01-12,100150.0
2017-01-13,100145.0
2017-01-16,100155.0
2017-01-17,100165.0
2017-01-18,100165.0
2017-01-19,100175.0
2017-01-20,100180.0
2017-01-23,100180.0
2017-01-24,100185.0
2017-01-25,100200.0
2017-01-26,100195.0
2017-01-31,100200.0
2017-02-01,100210.0
2017-02-02,100225.0
2017-02-03,100225.0
