Date,KODEX 반도체
2014-12-22,18100.0
2014-12-23,18320.0
2014-12-24,18310.0
2014-12-26,18260.0
2014-12-29,18715.0
2014-12-30,18700.0
2015-01-02,18900.0
2015-01-05,18890.0
2015-01-06,18640.0
2015-01-07,18750.0
2015-01-08,19100.0
2015-01-09,19330.0
2015-01-12,19325.0
2015-01-13,19105.0
2015-01-14,19065.0
2015-01-15,19065.0
2015-01-16,18730.0
2015-01-19,18910.0
2015-01-20,18935.0
2015-01-21,19320.0
2015-01-22,19200.0
2015-01-23,19295.0
2015-01-26,19305.0
2015-01-27,19425.0
2015-01-28,19225.0
2015-01-29,19095.0
2015-01-30,19115.0
2015-02-02,18860.0
2015-02-03,18855.0
2015-02-04,18920.0
2015-02-05,18755.0
2015-02-06,18795.0
2015-02-09,18780.0
2015-02-10,18855.0
2015-02-11,19190.0
2015-02-12,19150.0
2015-02-13,19300.0
2015-02-16,19300.0
2015-02-17,19240.0
2015-02-23,19410.0
2015-02-24,19555.0
2015-02-25,19400.0
2015-02-26,19400.0
2015-02-27,19575.0
2015-03-02,19820.0
2015-03-03,19960.0
2015-03-04,19950.0
2015-03-05,20015.0
2015-03-06,20260.0
2015-03-09,19905.0
2015-03-10,19640.0
2015-03-11,19740.0
2015-03-12,19685.0
2015-03-13,19835.0
2015-03-16,19890.0
2015-03-17,19960.0
2015-03-18,19980.0
2015-03-19,19665.0
2015-03-20,19705.0
2015-03-23,20035.0
2015-03-24,20060.0
2015-03-25,20190.0
2015-03-26,19570.0
2015-03-27,19525.0
2015-03-30,19815.0
2015-03-31,19800.0
2015-04-01,19510.0
2015-04-02,19345.0
2015-04-03,19410.0
2015-04-06,19630.0
2015-04-07,19405.0
2015-04-08,19205.0
2015-04-09,19345.0
2015-04-10,19685.0
2015-04-13,19575.0
2015-04-14,19295.0
2015-04-15,19300.0
2015-04-16,19480.0
2015-04-17,19400.0
2015-04-20,19225.0
2015-04-21,19460.0
2015-04-22,19275.0
2015-04-23,19860.0
2015-04-24,19675.0
2015-04-27,19645.0
2015-04-28,19700.0
2015-04-29,19905.0
2015-04-30,19765.0
2015-05-04,19430.0
2015-05-06,18895.0
2015-05-07,19195.0
2015-05-08,19345.0
2015-05-11,19290.0
2015-05-12,19080.0
2015-05-13,19440.0
2015-05-14,19685.0
2015-05-15,20065.0
2015-05-18,19990.0
2015-05-19,20120.0
2015-05-20,20160.0
2015-05-21,19950.0
2015-05-22,20100.0
2015-05-26,19890.0
2015-05-27,19755.0
2015-05-28,19920.0
2015-05-29,20275.0
2015-06-01,20175.0
2015-06-02,20060.0
2015-06-03,19815.0
2015-06-04,19895.0
2015-06-05,20200.0
2015-06-08,20040.0
2015-06-09,19965.0
2015-06-10,19680.0
2015-06-11,19540.0
2015-06-12,19485.0
2015-06-15,19085.0
2015-06-16,18820.0
2015-06-17,19115.0
2015-06-18,19170.0
2015-06-19,19230.0
2015-06-22,19440.0
2015-06-23,19560.0
2015-06-24,19265.0
2015-06-25,19270.0
2015-06-26,19070.0
2015-06-29,18860.0
2015-06-30,18920.0
2015-07-01,19060.0
2015-07-02,18930.0
2015-07-03,19180.0
2015-07-06,18610.0
2015-07-07,18695.0
2015-07-08,18630.0
2015-07-09,18535.0
2015-07-10,18690.0
2015-07-13,18960.0
2015-07-14,18620.0
2015-07-15,18770.0
2015-07-16,19420.0
2015-07-17,19550.0
2015-07-20,19285.0
2015-07-21,19200.0
2015-07-22,18965.0
2015-07-23,18670.0
2015-07-24,18565.0
2015-07-27,18220.0
2015-07-28,18065.0
2015-07-29,18110.0
2015-07-30,17440.0
2015-07-31,17610.0
2015-08-03,17395.0
2015-08-04,17585.0
2015-08-05,17685.0
2015-08-06,17575.0
2015-08-07,17635.0
2015-08-10,17445.0
2015-08-11,17555.0
2015-08-12,17165.0
2015-08-13,17380.0
2015-08-17,17050.0
2015-08-18,16975.0
2015-08-19,16570.0
2015-08-20,16305.0
2015-08-21,15630.0
2015-08-24,15075.0
2015-08-25,15940.0
2015-08-26,16095.0
2015-08-27,16350.0
2015-08-28,16650.0
2015-08-31,16575.0
2015-09-01,16250.0
2015-09-02,16235.0
2015-09-03,16495.0
2015-09-04,16220.0
2015-09-07,16060.0
2015-09-08,15995.0
2015-09-09,16465.0
2015-09-10,16335.0
2015-09-11,16485.0
2015-09-14,16355.0
2015-09-15,16265.0
2015-09-16,16620.0
2015-09-17,16610.0
2015-09-18,16800.0
2015-09-21,16445.0
2015-09-22,16500.0
2015-09-23,16150.0
2015-09-24,15985.0
2015-09-25,15735.0
2015-09-30,15830.0
2015-10-01,16000.0
2015-10-02,15880.0
2015-10-05,16075.0
2015-10-06,16315.0
2015-10-07,16900.0
2015-10-08,16840.0
2015-10-12,16705.0
2015-10-13,16650.0
2015-10-14,16650.0
2015-10-15,16900.0
2015-10-16,16835.0
2015-10-19,16750.0
2015-10-20,16770.0
2015-10-21,16515.0
2015-10-22,16230.0
2015-10-23,16200.0
2015-10-26,16250.0
2015-10-27,16265.0
2015-10-28,16305.0
2015-10-29,16490.0
2015-10-30,16530.0
2015-11-02,16765.0
2015-11-03,16735.0
2015-11-04,16675.0
2015-11-05,16750.0
2015-11-06,16455.0
2015-11-09,16310.0
2015-11-10,15880.0
2015-11-11,16110.0
2015-11-12,16155.0
2015-11-13,15985.0
2015-11-16,15775.0
2015-11-17,16045.0
2015-11-18,16105.0
2015-11-19,16255.0
2015-11-20,16450.0
2015-11-23,16360.0
2015-11-24,16300.0
2015-11-25,16515.0
2015-11-26,17060.0
2015-11-27,16730.0
2015-11-30,16455.0
2015-12-01,16550.0
2015-12-02,16540.0
2015-12-03,16450.0
2015-12-04,16400.0
2015-12-07,16400.0
2015-12-08,16240.0
2015-12-09,16235.0
2015-12-10,16290.0
2015-12-11,16115.0
2015-12-14,15770.0
2015-12-15,15905.0
2015-12-16,16250.0
2015-12-17,16300.0
2015-12-18,16500.0
2015-12-21,16670.0
2015-12-22,16700.0
2015-12-23,16950.0
2015-12-24,16760.0
2015-12-28,16665.0
2015-12-29,17025.0
2015-12-30,17215.0
2016-01-04,16590.0
2016-01-05,16705.0
2016-01-06,16645.0
2016-01-07,16410.0
2016-01-08,16430.0
2016-01-11,16015.0
2016-01-12,15810.0
2016-01-13,16010.0
2016-01-14,16065.0
2016-01-15,16050.0
2016-01-18,15910.0
2016-01-19,16165.0
2016-01-20,15760.0
2016-01-21,15685.0
2016-01-22,15800.0
2016-01-25,16085.0
2016-01-26,15865.0
2016-01-27,16000.0
2016-01-28,15940.0
2016-01-29,15900.0
2016-02-01,16190.0
2016-02-02,16235.0
2016-02-03,15965.0
2016-02-04,15970.0
2016-02-05,16000.0
2016-02-11,15165.0
2016-02-12,14910.0
2016-02-15,15305.0
2016-02-16,15615.0
2016-02-17,15700.0
2016-02-18,16050.0
2016-02-19,16155.0
2016-02-22,16205.0
2016-02-23,16160.0
2016-02-24,16450.0
2016-02-25,16560.0
2016-02-26,16575.0
2016-02-29,16590.0
2016-03-02,16985.0
2016-03-03,17000.0
2016-03-04,17000.0
2016-03-07,16850.0
2016-03-08,16700.0
2016-03-09,16600.0
2016-03-10,16900.0
2016-03-11,16910.0
2016-03-14,16800.0
