Date,KOSEF 200
2014-12-22,24955.0
2014-12-23,24930.0
2014-12-24,25050.0
2014-12-26,25035.0
2014-12-29,24975.0
2014-12-30,24775.0
2015-01-02,24760.0
2015-01-05,24760.0
2015-01-06,24285.0
2015-01-07,24320.0
2015-01-08,24655.0
2015-01-09,24935.0
2015-01-12,24875.0
2015-01-13,24975.0
2015-01-14,24855.0
2015-01-15,24920.0
2015-01-16,24590.0
2015-01-19,24840.0
2015-01-20,25035.0
2015-01-21,25100.0
2015-01-22,25195.0
2015-01-23,25310.0
2015-01-26,25335.0
2015-01-27,25500.0
2015-01-28,25500.0
2015-01-29,25405.0
2015-01-30,25375.0
2015-02-02,25355.0
2015-02-03,25335.0
2015-02-04,25480.0
2015-02-05,25260.0
2015-02-06,25290.0
2015-02-09,25245.0
2015-02-10,25130.0
2015-02-11,25165.0
2015-02-12,25085.0
2015-02-13,25280.0
2015-02-16,25290.0
2015-02-17,25360.0
2015-02-23,25420.0
2015-02-24,25450.0
2015-02-25,25570.0
2015-02-26,25540.0
2015-02-27,25500.0
2015-03-02,25580.0
2015-03-03,25710.0
2015-03-04,25700.0
2015-03-05,25690.0
2015-03-06,25835.0
2015-03-09,25600.0
2015-03-10,25480.0
2015-03-11,25520.0
2015-03-12,25540.0
2015-03-13,25525.0
2015-03-16,25560.0
2015-03-17,26105.0
2015-03-18,26115.0
2015-03-19,26210.0
2015-03-20,26160.0
2015-03-23,26135.0
2015-03-24,26175.0
2015-03-25,26105.0
2015-03-26,25950.0
2015-03-27,25905.0
2015-03-30,25950.0
2015-03-31,26050.0
2015-04-01,25770.0
2015-04-02,25785.0
2015-04-03,25970.0
2015-04-06,25970.0
2015-04-07,25915.0
2015-04-08,26100.0
2015-04-09,26075.0
2015-04-10,26415.0
2015-04-13,26605.0
2015-04-14,26760.0
2015-04-15,26850.0
2015-04-16,27060.0
2015-04-17,27065.0
2015-04-20,27050.0
2015-04-21,27045.0
2015-04-22,27150.0
2015-04-23,27535.0
2015-04-24,27395.0
2015-04-27,27340.0
2015-04-28,27190.0
2015-04-29,26750.0
2015-04-30,26630.0
2015-05-04,26755.0
2015-05-06,26370.0
2015-05-07,26235.0
2015-05-08,26100.0
2015-05-11,26135.0
2015-05-12,26120.0
2015-05-13,26290.0
2015-05-14,26350.0
2015-05-15,26045.0
2015-05-18,26150.0
2015-05-19,26255.0
2015-05-20,26485.0
2015-05-21,26210.0
2015-05-22,26550.0
2015-05-26,26485.0
2015-05-27,25950.0
2015-05-28,25915.0
2015-05-29,26065.0
2015-06-01,25830.0
2015-06-02,25605.0
2015-06-03,25360.0
2015-06-04,25435.0
2015-06-05,25395.0
2015-06-08,25340.0
2015-06-09,25315.0
2015-06-10,25195.0
2015-06-11,25235.0
2015-06-12,25080.0
2015-06-15,24995.0
2015-06-16,24730.0
2015-06-17,24780.0
2015-06-18,24855.0
2015-06-19,24965.0
2015-06-22,25055.0
2015-06-23,25390.0
2015-06-24,25405.0
2015-06-25,25365.0
2015-06-26,25395.0
2015-06-29,25065.0
2015-06-30,25250.0
2015-07-01,25450.0
2015-07-02,25500.0
2015-07-03,25445.0
2015-07-06,24805.0
2015-07-07,24820.0
2015-07-08,24515.0
2015-07-09,24630.0
2015-07-10,24680.0
2015-07-13,24905.0
2015-07-14,24815.0
2015-07-15,24910.0
2015-07-16,25060.0
2015-07-17,24945.0
2015-07-20,24835.0
2015-07-21,24920.0
2015-07-22,24705.0
2015-07-23,24705.0
2015-07-24,24430.0
