Date,ARIRANG 바벨 채권
2014-12-19,105305.0
2014-12-22,105545.0
2014-12-23,105480.0
2014-12-24,105525.0
2014-12-26,105550.0
2014-12-29,105765.0
2014-12-30,105805.0
2015-01-02,105545.0
2015-01-05,105780.0
2015-01-06,106015.0
2015-01-07,105960.0
2015-01-08,105990.0
2015-01-09,106050.0
2015-01-12,106330.0
2015-01-13,106400.0
2015-01-14,106655.0
2015-01-15,106325.0
2015-01-16,106815.0
2015-01-19,106515.0
2015-01-20,106615.0
2015-01-21,106595.0
2015-01-22,106520.0
2015-01-23,106810.0
2015-01-26,106800.0
2015-01-27,106815.0
2015-01-28,106955.0
2015-01-29,107095.0
2015-01-30,107050.0
2015-02-02,107010.0
2015-02-03,107140.0
2015-02-04,106895.0
2015-02-05,106940.0
2015-02-06,106910.0
2015-02-09,106930.0
2015-02-10,106665.0
2015-02-11,106820.0
2015-02-12,106600.0
2015-02-13,106660.0
2015-02-16,106480.0
2015-02-17,106805.0
2015-02-23,106635.0
2015-02-24,106715.0
2015-02-25,106845.0
2015-02-26,106825.0
2015-02-27,106910.0
2015-03-02,106970.0
2015-03-03,106885.0
2015-03-04,106855.0
2015-03-05,106920.0
2015-03-06,107020.0
2015-03-09,106855.0
2015-03-10,106870.0
2015-03-11,107130.0
2015-03-12,106940.0
2015-03-13,107010.0
2015-03-16,107110.0
2015-03-17,107075.0
2015-03-18,107210.0
2015-03-19,107485.0
2015-03-20,107440.0
2015-03-23,107465.0
2015-03-24,107470.0
2015-03-25,107530.0
2015-03-26,107540.0
2015-03-27,107495.0
2015-03-30,107530.0
2015-03-31,107620.0
2015-04-01,107650.0
2015-04-02,107740.0
2015-04-03,107835.0
2015-04-06,108035.0
2015-04-07,107955.0
2015-04-08,107800.0
2015-04-09,107955.0
2015-04-10,108020.0
2015-04-13,107900.0
2015-04-14,107810.0
2015-04-15,107810.0
2015-04-16,107740.0
2015-04-17,107935.0
2015-04-20,107830.0
2015-04-21,107720.0
2015-04-22,107755.0
2015-04-23,107380.0
2015-04-24,107435.0
2015-04-27,107390.0
2015-04-28,107085.0
2015-04-29,107045.0
2015-04-30,107230.0
2015-05-04,106835.0
2015-05-06,106640.0
2015-05-07,106750.0
2015-05-08,107060.0
2015-05-11,107150.0
2015-05-12,106645.0
2015-05-13,106705.0
2015-05-14,106905.0
2015-05-15,106740.0
2015-05-18,106760.0
2015-05-19,106735.0
2015-05-20,107015.0
2015-05-21,107105.0
2015-05-22,106960.0
2015-05-26,107010.0
2015-05-27,107115.0
2015-05-28,107165.0
2015-05-29,107620.0
2015-06-01,107425.0
2015-06-02,107535.0
2015-06-03,107220.0
2015-06-04,107065.0
2015-06-05,107215.0
2015-06-08,107015.0
2015-06-09,107190.0
2015-06-10,107160.0
2015-06-11,106985.0
2015-06-12,107280.0
2015-06-15,107065.0
2015-06-16,107050.0
2015-06-17,106885.0
2015-06-18,107100.0
2015-06-19,107330.0
2015-06-22,107085.0
2015-06-23,107205.0
2015-06-24,107165.0
2015-06-25,107230.0
2015-06-26,107200.0
2015-06-29,107320.0
2015-06-30,107395.0
2015-07-01,107280.0
2015-07-02,107110.0
2015-07-03,107175.0
2015-07-06,107340.0
2015-07-07,107225.0
2015-07-08,107310.0
2015-07-09,107260.0
2015-07-10,107160.0
2015-07-13,107170.0
2015-07-14,107160.0
2015-07-15,107260.0
2015-07-16,107315.0
2015-07-17,107330.0
2015-07-20,107325.0
2015-07-21,107325.0
2015-07-22,107460.0
2015-07-23,107735.0
2015-07-24,107885.0
2015-07-27,107805.0
2015-07-28,107710.0
2015-07-29,107685.0
2015-07-30,107670.0
2015-07-31,107550.0
2015-08-03,107700.0
2015-08-04,107590.0
2015-08-05,107520.0
2015-08-06,107615.0
2015-08-07,107585.0
2015-08-10,107800.0
2015-08-11,107865.0
2015-08-12,108155.0
2015-08-13,108035.0
2015-08-17,108030.0
2015-08-18,108110.0
2015-08-19,108080.0
2015-08-20,108065.0
2015-08-21,108180.0
2015-08-24,108335.0
2015-08-25,108260.0
2015-08-26,108315.0
2015-08-27,108115.0
2015-08-28,108120.0
2015-08-31,108110.0
2015-09-01,108000.0
2015-09-02,108195.0
2015-09-03,108195.0
2015-09-04,108280.0
2015-09-07,108310.0
2015-09-08,108315.0
2015-09-09,108225.0
2015-09-10,108315.0
2015-09-11,108295.0
2015-09-14,108225.0
2015-09-15,108280.0
2015-09-16,108165.0
2015-09-17,108220.0
2015-09-18,108220.0
2015-09-21,108675.0
2015-09-22,108575.0
2015-09-23,108675.0
2015-09-24,108730.0
2015-09-25,108645.0
2015-09-30,108790.0
2015-10-01,108800.0
2015-10-02,108800.0
2015-10-05,109035.0
2015-10-06,109010.0
2015-10-07,109025.0
2015-10-08,108890.0
2015-10-12,108780.0
2015-10-13,108795.0
2015-10-14,108795.0
2015-10-15,109090.0
2015-10-16,109010.0
2015-10-19,108965.0
2015-10-20,109000.0
2015-10-21,108785.0
2015-10-22,108945.0
2015-10-23,108930.0
2015-10-26,108960.0
2015-10-27,109095.0
2015-10-28,109180.0
2015-10-29,109115.0
2015-10-30,108870.0
2015-11-02,108830.0
2015-11-03,108820.0
2015-11-04,108745.0
2015-11-05,108820.0
2015-11-06,108695.0
2015-11-09,108415.0
2015-11-10,108495.0
2015-11-11,108280.0
2015-11-12,108425.0
2015-11-13,108270.0
2015-11-16,108535.0
2015-11-17,108440.0
2015-11-18,108450.0
2015-11-19,108545.0
2015-11-20,108615.0
2015-11-23,108535.0
2015-11-24,108555.0
2015-11-25,108595.0
2015-11-26,108650.0
2015-11-27,108595.0
2015-11-30,108630.0
2015-12-01,108610.0
2015-12-02,108735.0
2015-12-03,108650.0
2015-12-04,108440.0
2015-12-07,108515.0
2015-12-08,108715.0
2015-12-09,108805.0
2015-12-10,108765.0
2015-12-11,108735.0
2015-12-14,108860.0
2015-12-15,108775.0
2015-12-16,108845.0
2015-12-17,109040.0
2015-12-18,109220.0
2015-12-21,109230.0
2015-12-22,109200.0
2015-12-23,109220.0
2015-12-24,109195.0
2015-12-28,109195.0
2015-12-29,109425.0
2015-12-30,109360.0
2016-01-04,109545.0
2016-01-05,109395.0
2016-01-06,109480.0
2016-01-07,109600.0
2016-01-08,109450.0
2016-01-11,109525.0
2016-01-12,109570.0
2016-01-13,109520.0
2016-01-14,109695.0
2016-01-15,109580.0
2016-01-18,109630.0
2016-01-19,109485.0
2016-01-20,109650.0
2016-01-21,109610.0
2016-01-22,109690.0
2016-01-25,109600.0
2016-01-26,109730.0
2016-01-27,109680.0
2016-01-28,109650.0
2016-01-29,109810.0
2016-02-01,110010.0
2016-02-02,110030.0
2016-02-03,110230.0
2016-02-04,110150.0
2016-02-05,110200.0
2016-02-11,110705.0
2016-02-12,110370.0
2016-02-15,110355.0
2016-02-16,110620.0
2016-02-17,110510.0
2016-02-18,110450.0
2016-02-19,110430.0
2016-02-22,110305.0
2016-02-23,110470.0
2016-02-24,110405.0
2016-02-25,110490.0
2016-02-26,110580.0
2016-02-29,110535.0
2016-03-02,110375.0
2016-03-03,110310.0
2016-03-04,110215.0
2016-03-07,110340.0
2016-03-08,110365.0
2016-03-09,110380.0
2016-03-10,110330.0
2016-03-11,110110.0
2016-03-14,110170.0
2016-03-15,110205.0
2016-03-16,110170.0
2016-03-17,110385.0
2016-03-18,110460.0
2016-03-21,110510.0
2016-03-22,110480.0
2016-03-23,110320.0
2016-03-24,110450.0
2016-03-25,110445.0
2016-03-28,110490.0
2016-03-29,110595.0
2016-03-30,110725.0
2016-03-31,110650.0
2016-04-01,110665.0
2016-04-04,110715.0
2016-04-05,110750.0
2016-04-06,110710.0
2016-04-07,110690.0
2016-04-08,110720.0
2016-04-11,110700.0
2016-04-12,110695.0
2016-04-14,110695.0
2016-04-15,110565.0
2016-04-18,110620.0
2016-04-19,110610.0
2016-04-20,110700.0
2016-04-21,110660.0
2016-04-22,110660.0
2016-04-25,110645.0
2016-04-26,110640.0
2016-04-27,110710.0
2016-04-28,110755.0
2016-04-29,110770.0
2016-05-02,110745.0
2016-05-03,110790.0
2016-05-04,110890.0
2016-05-09,110915.0
2016-05-10,110945.0
2016-05-11,110910.0
2016-05-12,110930.0
2016-05-13,110935.0
2016-05-16,110925.0
2016-05-17,110890.0
2016-05-18,110815.0
2016-05-19,110735.0
2016-05-20,110830.0
2016-05-23,110855.0
2016-05-24,110955.0
2016-05-25,110920.0
2016-05-26,110940.0
2016-05-27,110940.0
2016-05-30,110855.0
2016-05-31,110900.0
2016-06-01,111065.0
2016-06-02,111075.0
2016-06-03,111105.0
2016-06-07,111210.0
2016-06-08,111275.0
2016-06-09,111425.0
2016-06-10,111400.0
2016-06-13,111535.0
2016-06-14,111545.0
2016-06-15,111530.0
2016-06-16,111700.0
2016-06-17,111655.0
2016-06-20,111510.0
2016-06-21,111550.0
2016-06-22,111545.0
2016-06-23,111555.0
2016-06-24,112220.0
2016-06-27,112060.0
2016-06-28,112050.0
2016-06-29,112095.0
2016-06-30,112125.0
2016-07-01,112290.0
2016-07-04,112200.0
2016-07-05,112320.0
2016-07-06,112450.0
2016-07-07,112400.0
2016-07-08,112450.0
2016-07-11,112450.0
2016-07-12,112375.0
2016-07-13,112385.0
2016-07-14,112535.0
2016-07-15,112345.0
2016-07-18,112315.0
2016-07-19,112370.0
2016-07-20,112265.0
2016-07-21,112250.0
2016-07-22,112250.0
2016-07-25,112305.0
2016-07-26,112390.0
2016-07-27,112395.0
2016-07-28,112570.0
2016-07-29,112425.0
2016-08-01,112545.0
2016-08-02,112490.0
2016-08-03,112315.0
2016-08-04,112335.0
2016-08-05,112465.0
2016-08-08,112390.0
2016-08-09,112335.0
2016-08-10,112440.0
2016-08-11,112465.0
2016-08-12,112420.0
2016-08-16,112460.0
2016-08-17,112340.0
2016-08-18,112435.0
2016-08-19,112415.0
2016-08-22,112355.0
2016-08-23,112410.0
2016-08-24,112440.0
2016-08-25,112425.0
2016-08-26,112415.0
2016-08-29,112360.0
2016-08-30,112370.0
2016-08-31,112265.0
2016-09-01,112090.0
2016-09-02,112115.0
2016-09-05,112140.0
2016-09-06,112175.0
2016-09-07,112335.0
2016-09-08,112350.0
2016-09-09,112160.0
2016-09-12,112000.0
2016-09-13,112035.0
2016-09-19,111980.0
2016-09-20,111995.0
2016-09-21,111945.0
2016-09-22,112200.0
2016-09-23,112275.0
2016-09-26,112320.0
2016-09-27,112285.0
2016-09-28,112390.0
2016-09-29,112430.0
2016-09-30,112655.0
2016-10-04,112455.0
2016-10-05,112255.0
2016-10-06,112215.0
2016-10-07,112215.0
2016-10-10,112265.0
2016-10-11,111960.0
2016-10-12,112035.0
2016-10-13,112245.0
2016-10-14,112140.0
2016-10-17,111905.0
2016-10-18,111965.0
2016-10-19,112045.0
2016-10-20,111955.0
2016-10-21,112060.0
2016-10-24,111970.0
2016-10-25,111955.0
2016-10-26,111955.0
2016-10-27,111815.0
2016-10-28,111630.0
2016-10-31,111815.0
2016-11-01,111630.0
2016-11-02,111780.0
2016-11-03,111860.0
2016-11-04,111765.0
2016-11-07,111725.0
2016-11-08,111805.0
2016-11-09,112000.0
2016-11-10,111455.0
2016-11-11,110950.0
2016-11-14,110545.0
2016-11-15,110650.0
2016-11-16,110555.0
2016-11-17,110530.0
2016-11-18,110350.0
2016-11-21,110390.0
2016-11-22,110375.0
2016-11-23,110375.0
2016-11-24,110205.0
2016-11-25,110170.0
2016-11-28,110365.0
2016-11-29,110380.0
2016-11-30,110440.0
2016-12-01,110075.0
2016-12-02,109990.0
2016-12-05,110135.0
2016-12-06,110250.0
2016-12-07,110240.0
2016-12-08,110350.0
2016-12-09,110180.0
2016-12-12,110020.0
2016-12-13,110195.0
2016-12-14,110475.0
2016-12-15,110130.0
2016-12-16,110355.0
2016-12-19,110355.0
2016-12-20,110370.0
2016-12-21,110485.0
2016-12-22,110550.0
2016-12-23,110550.0
2016-12-26,110540.0
2016-12-27,110520.0
2016-12-28,110635.0
2016-12-29,110810.0
2017-01-02,110810.0
2017-01-03,110775.0
2017-01-04,110705.0
2017-01-05,110705.0
2017-01-06,110735.0
2017-01-09,110515.0
2017-01-10,110655.0
2017-01-11,110615.0
2017-01-12,110675.0
2017-01-13,110675.0
2017-01-16,110625.0
2017-01-17,110685.0
2017-01-18,110635.0
2017-01-19,110410.0
2017-01-20,110435.0
2017-01-23,110560.0
2017-01-24,110665.0
2017-01-25,110630.0
2017-01-26,110380.0
2017-01-31,110555.0
2017-02-01,110485.0
2017-02-02,110570.0
2017-02-03,110480.0
2017-02-06,110545.0
2017-02-07,110650.0
2017-02-08,110645.0
2017-02-09,110795.0
2017-02-10,110585.0
2017-02-13,110590.0
2017-02-14,110570.0
2017-02-15,110570.0
2017-02-16,110610.0
2017-02-17,110650.0
2017-02-20,110555.0
2017-02-21,110515.0
2017-02-22,110410.0
2017-02-23,110440.0
2017-02-24,110550.0
2017-02-27,110645.0
2017-02-28,110645.0
2017-03-02,110420.0
2017-03-03,110400.0
2017-03-06,110425.0
2017-03-07,110225.0
2017-03-08,110225.0
2017-03-09,110175.0
2017-03-10,110160.0
2017-03-13,110225.0
2017-03-14,110265.0
2017-03-15,110330.0
2017-03-16,110560.0
2017-03-17,110640.0
2017-03-20,110645.0
2017-03-21,110645.0
2017-03-22,110715.0
2017-03-23,110750.0
2017-03-24,110745.0
2017-03-27,110760.0
2017-03-28,110760.0
2017-03-29,110715.0
2017-03-30,110715.0
2017-03-31,110750.0
2017-04-03,110750.0
2017-04-04,110855.0
2017-04-05,110855.0
2017-04-06,110965.0
2017-04-07,110750.0
2017-04-10,110580.0
2017-04-11,110670.0
2017-04-12,110670.0
2017-04-13,110850.0
2017-04-14,110770.0
2017-04-17,110795.0
2017-04-18,110795.0
2017-04-19,110980.0
2017-04-20,110940.0
2017-04-21,110895.0
2017-04-24,110765.0
2017-04-25,110785.0
2017-04-26,110765.0
2017-04-27,110765.0
2017-04-28,110830.0
2017-05-02,110750.0
2017-05-04,110750.0
2017-05-08,110725.0
2017-05-10,110575.0
2017-05-11,110550.0
2017-05-12,110550.0
2017-05-15,110550.0
2017-05-16,110550.0
2017-05-17,110655.0
2017-05-18,110670.0
2017-05-19,110700.0
2017-05-22,110680.0
2017-05-23,110680.0
2017-05-24,110610.0
2017-05-25,110675.0
2017-05-26,110675.0
2017-05-29,110695.0
2017-05-30,110805.0
2017-05-31,110885.0
2017-06-01,110890.0
2017-06-02,110915.0
2017-06-05,110935.0
2017-06-07,111060.0
2017-06-08,111060.0
2017-06-09,111075.0
2017-06-12,110865.0
2017-06-13,110975.0
2017-06-14,111065.0
2017-06-15,111155.0
2017-06-16,111125.0
2017-06-19,111125.0
2017-06-20,111125.0
2017-06-21,111140.0
2017-06-22,111145.0
2017-06-23,111150.0
2017-06-26,111210.0
2017-06-27,111220.0
2017-06-28,111125.0
2017-06-29,111120.0
2017-06-30,111015.0
2017-07-03,110940.0
2017-07-04,110890.0
2017-07-05,110810.0
2017-07-06,110810.0
2017-07-07,110685.0
2017-07-10,110710.0
2017-07-11,110770.0
2017-07-12,110885.0
2017-07-13,110935.0
2017-07-14,110935.0
2017-07-17,110870.0
2017-07-18,110880.0
2017-07-19,110885.0
2017-07-20,110945.0
2017-07-21,111030.0
2017-07-24,111030.0
2017-07-25,111070.0
2017-07-26,110995.0
2017-07-27,111140.0
2017-07-28,111065.0
2017-07-31,111070.0
2017-08-01,110985.0
2017-08-02,110985.0
2017-08-03,111020.0
2017-08-04,111020.0
2017-08-07,110955.0
2017-08-08,110865.0
2017-08-09,110770.0
2017-08-10,110770.0
2017-08-11,110835.0
2017-08-14,110860.0
2017-08-16,110815.0
2017-08-17,110815.0
2017-08-18,110845.0
2017-08-21,110865.0
2017-08-22,110870.0
2017-08-23,110870.0
2017-08-24,110950.0
2017-08-25,111070.0
2017-08-28,111095.0
2017-08-29,111055.0
2017-08-30,111135.0
2017-08-31,111145.0
2017-09-01,111100.0
2017-09-04,110990.0
2017-09-05,110990.0
