Date,KINDEX 중기국고채
2014-12-22,104575.0
2014-12-23,104635.0
2014-12-24,104600.0
2014-12-26,104605.0
2014-12-29,104675.0
2014-12-30,104810.0
2015-01-02,104780.0
2015-01-05,104790.0
2015-01-06,104985.0
2015-01-07,105015.0
2015-01-08,105005.0
2015-01-09,105045.0
2015-01-12,105145.0
2015-01-13,105135.0
2015-01-14,105365.0
2015-01-15,105205.0
2015-01-16,105390.0
2015-01-19,105245.0
2015-01-20,105290.0
2015-01-21,105225.0
2015-01-22,105185.0
2015-01-23,105245.0
2015-01-26,105380.0
2015-01-27,105330.0
2015-01-28,105345.0
2015-01-29,105420.0
2015-01-30,105435.0
2015-02-02,105500.0
2015-02-03,105540.0
2015-02-04,105575.0
2015-02-05,105565.0
2015-02-06,105555.0
2015-02-09,105510.0
2015-02-10,105315.0
2015-02-11,105305.0
2015-02-12,105280.0
2015-02-13,105300.0
2015-02-16,105250.0
2015-02-17,105370.0
2015-02-23,105360.0
2015-02-24,105360.0
2015-02-25,105435.0
2015-02-26,105465.0
2015-02-27,105500.0
2015-03-02,105610.0
2015-03-03,105615.0
2015-03-04,105630.0
2015-03-05,105670.0
2015-03-06,105310.0
2015-03-09,105330.0
2015-03-10,105350.0
2015-03-11,105440.0
2015-03-12,105470.0
2015-03-13,105480.0
2015-03-16,105550.0
2015-03-17,105560.0
2015-03-18,105570.0
2015-03-19,105725.0
2015-03-20,105845.0
2015-03-23,105840.0
2015-03-24,105825.0
2015-03-25,105905.0
2015-03-26,105950.0
2015-03-27,105915.0
2015-03-30,105975.0
2015-03-31,106150.0
2015-04-01,106125.0
2015-04-02,106110.0
2015-04-03,106150.0
2015-04-06,106185.0
2015-04-07,106205.0
2015-04-08,106070.0
2015-04-09,106190.0
2015-04-10,106205.0
2015-04-13,106160.0
2015-04-14,106115.0
2015-04-15,106125.0
2015-04-16,106200.0
2015-04-17,106265.0
2015-04-20,106285.0
2015-04-21,106235.0
2015-04-22,106260.0
2015-04-23,106135.0
2015-04-24,106035.0
2015-04-27,106030.0
2015-04-28,105860.0
2015-04-29,105750.0
2015-04-30,105835.0
2015-05-04,105685.0
2015-05-06,105450.0
2015-05-07,105380.0
2015-05-08,105575.0
2015-05-11,105780.0
