Date,KTOP 코스피50
2014-12-22,16280.0
2014-12-23,16290.0
2014-12-24,16395.0
2014-12-26,16385.0
2014-12-29,16415.0
2014-12-30,16185.0
2015-01-02,16185.0
2015-01-05,16185.0
2015-01-06,15895.0
2015-01-07,15895.0
2015-01-08,16055.0
2015-01-09,16235.0
2015-01-12,16260.0
2015-01-13,16260.0
2015-01-14,16260.0
2015-01-15,16260.0
2015-01-16,16045.0
2015-01-19,16180.0
2015-01-20,16245.0
2015-01-21,16305.0
2015-01-22,16340.0
2015-01-23,16425.0
2015-01-26,16425.0
2015-01-27,16590.0
2015-01-28,16590.0
2015-01-29,16535.0
2015-01-30,16520.0
2015-02-02,16505.0
2015-02-03,16495.0
2015-02-04,16650.0
2015-02-05,16400.0
2015-02-06,16310.0
2015-02-09,16315.0
2015-02-10,16315.0
2015-02-11,16315.0
2015-02-12,16245.0
2015-02-13,16350.0
2015-02-16,16350.0
2015-02-17,16350.0
2015-02-23,16350.0
2015-02-24,16355.0
2015-02-25,16470.0
2015-02-26,16470.0
2015-02-27,16490.0
2015-03-02,16540.0
2015-03-03,16595.0
2015-03-04,16605.0
2015-03-05,16605.0
2015-03-06,16770.0
2015-03-09,16570.0
2015-03-10,16570.0
2015-03-11,16515.0
2015-03-12,16515.0
2015-03-13,16630.0
2015-03-16,16635.0
2015-03-17,16710.0
2015-03-18,16960.0
2015-03-19,16960.0
2015-03-20,16925.0
2015-03-23,16925.0
2015-03-24,16925.0
2015-03-25,16905.0
2015-03-26,16715.0
2015-03-27,16665.0
2015-03-30,16665.0
2015-03-31,16690.0
2015-04-01,16430.0
2015-04-02,16440.0
2015-04-03,16510.0
2015-04-06,16540.0
2015-04-07,16540.0
2015-04-08,16635.0
2015-04-09,16635.0
2015-04-10,16840.0
2015-04-13,16885.0
2015-04-14,17120.0
2015-04-15,17050.0
2015-04-16,17200.0
2015-04-17,17230.0
2015-04-20,17230.0
2015-04-21,17195.0
2015-04-22,17195.0
2015-04-23,17385.0
2015-04-24,17420.0
2015-04-27,17475.0
2015-04-28,17215.0
2015-04-29,17050.0
2015-04-30,16970.0
2015-05-04,16925.0
2015-05-06,16805.0
2015-05-07,16770.0
2015-05-08,16630.0
2015-05-11,16580.0
2015-05-12,16575.0
2015-05-13,16575.0
2015-05-14,16575.0
2015-05-15,16485.0
2015-05-18,16455.0
2015-05-19,16455.0
2015-05-20,16555.0
2015-05-21,16500.0
2015-05-22,16545.0
2015-05-26,16545.0
2015-05-27,16310.0
2015-05-28,16310.0
2015-05-29,16370.0
2015-06-01,16120.0
2015-06-02,16195.0
2015-06-03,15955.0
2015-06-04,16100.0
2015-06-05,16100.0
2015-06-08,16015.0
2015-06-09,15915.0
2015-06-10,15885.0
2015-06-11,15730.0
2015-06-12,15710.0
2015-06-15,15690.0
2015-06-16,15570.0
2015-06-17,16070.0
2015-06-18,15615.0
2015-06-19,15685.0
2015-06-22,15705.0
2015-06-23,15930.0
2015-06-24,16430.0
2015-06-25,15790.0
2015-06-26,15830.0
2015-06-29,15585.0
2015-06-30,15690.0
2015-07-01,15810.0
2015-07-02,15810.0
2015-07-03,15720.0
2015-07-06,16115.0
2015-07-07,15270.0
2015-07-08,15225.0
2015-07-09,15225.0
2015-07-10,15225.0
2015-07-13,15445.0
2015-07-14,15275.0
2015-07-15,15275.0
2015-07-16,15410.0
2015-07-17,15420.0
2015-07-20,15325.0
2015-07-21,15320.0
2015-07-22,15135.0
2015-07-23,15185.0
2015-07-24,15080.0
2015-07-27,15215.0
2015-07-28,15240.0
2015-07-29,15330.0
2015-07-30,15170.0
2015-07-31,15115.0
2015-08-03,14900.0
2015-08-04,14995.0
2015-08-05,14985.0
2015-08-06,14735.0
2015-08-07,14715.0
2015-08-10,14700.0
2015-08-11,14695.0
2015-08-12,14580.0
2015-08-13,14625.0
2015-08-17,14510.0
2015-08-18,14560.0
2015-08-19,14560.0
2015-08-20,14440.0
2015-08-21,14205.0
2015-08-24,13760.0
2015-08-25,13865.0
2015-08-26,13810.0
2015-08-27,14085.0
2015-08-28,14255.0
2015-08-31,14355.0
2015-09-01,14130.0
2015-09-02,14205.0
2015-09-03,14265.0
2015-09-04,14210.0
2015-09-07,14140.0
2015-09-08,14225.0
2015-09-09,14565.0
2015-09-10,14570.0
2015-09-11,14570.0
2015-09-14,14455.0
2015-09-15,14475.0
2015-09-16,14805.0
2015-09-17,14930.0
2015-09-18,15015.0
2015-09-21,14705.0
2015-09-22,14770.0
2015-09-23,14630.0
2015-09-24,14600.0
2015-09-25,14600.0
2015-09-30,14800.0
2015-10-01,14885.0
2015-10-02,14875.0
2015-10-05,14845.0
2015-10-06,14935.0
2015-10-07,15345.0
2015-10-08,15390.0
2015-10-12,15470.0
2015-10-13,15470.0
2015-10-14,15470.0
2015-10-15,15600.0
2015-10-16,15630.0
2015-10-19,15610.0
2015-10-20,15650.0
2015-10-21,15720.0
2015-10-22,15675.0
2015-10-23,15855.0
2015-10-26,15855.0
2015-10-27,15785.0
2015-10-28,15785.0
2015-10-29,15890.0
2015-10-30,15910.0
2015-11-02,15915.0
2015-11-03,16045.0
2015-11-04,15995.0
2015-11-05,15985.0
2015-11-06,15880.0
2015-11-09,15855.0
2015-11-10,15650.0
2015-11-11,15535.0
2015-11-12,15575.0
2015-11-13,15490.0
2015-11-16,15300.0
2015-11-17,15380.0
2015-11-18,15380.0
2015-11-19,15510.0
2015-11-20,15510.0
2015-11-23,15545.0
2015-11-24,15695.0
2015-11-25,15695.0
2015-11-26,15780.0
2015-11-27,15775.0
2015-11-30,15575.0
2015-12-01,15775.0
2015-12-02,15715.0
2015-12-03,15560.0
2015-12-04,15405.0
2015-12-07,15400.0
2015-12-08,15280.0
2015-12-09,15280.0
2015-12-10,15410.0
2015-12-11,15355.0
2015-12-14,15230.0
2015-12-15,15230.0
2015-12-16,15555.0
2015-12-17,15475.0
2015-12-18,15475.0
2015-12-21,15475.0
2015-12-22,15410.0
2015-12-23,15750.0
2015-12-24,15710.0
2015-12-28,15395.0
2015-12-29,15510.0
2015-12-30,15510.0
2016-01-04,15175.0
2016-01-05,15195.0
2016-01-06,15060.0
2016-01-07,14935.0
2016-01-08,14935.0
2016-01-11,14850.0
2016-01-12,14820.0
2016-01-13,15010.0
2016-01-14,14835.0
2016-01-15,14665.0
2016-01-18,14700.0
2016-01-19,14715.0
2016-01-20,14440.0
2016-01-21,14425.0
2016-01-22,14675.0
2016-01-25,14755.0
2016-01-26,14565.0
2016-01-27,14800.0
2016-01-28,14845.0
2016-01-29,14800.0
2016-02-01,14855.0
2016-02-02,14820.0
2016-02-03,14595.0
2016-02-04,14890.0
2016-02-05,14920.0
2016-02-11,14580.0
2016-02-12,14575.0
2016-02-15,14725.0
2016-02-16,14925.0
2016-02-17,15055.0
2016-02-18,15115.0
2016-02-19,15240.0
2016-02-22,15155.0
2016-02-23,15135.0
2016-02-24,15185.0
2016-02-25,15205.0
2016-02-26,15205.0
2016-02-29,15225.0
2016-03-02,15435.0
2016-03-03,15525.0
2016-03-04,15520.0
2016-03-07,15490.0
2016-03-08,15375.0
2016-03-09,15420.0
2016-03-10,15580.0
2016-03-11,15620.0
