Date,마이티 코스피100
2014-12-22,18800.0
2014-12-23,18800.0
2014-12-24,18800.0
2014-12-26,18810.0
2014-12-29,18830.0
2014-12-30,18685.0
2015-01-02,18660.0
2015-01-05,18660.0
2015-01-06,18300.0
2015-01-07,18300.0
2015-01-08,18505.0
2015-01-09,18730.0
2015-01-12,18730.0
2015-01-13,18770.0
2015-01-14,18765.0
2015-01-15,18765.0
2015-01-16,18400.0
2015-01-19,18645.0
2015-01-20,18790.0
2015-01-21,18840.0
2015-01-22,18890.0
2015-01-23,18990.0
2015-01-26,19000.0
2015-01-27,19110.0
2015-01-28,19140.0
2015-01-29,19130.0
2015-01-30,19100.0
2015-02-02,19065.0
2015-02-03,19045.0
2015-02-04,19100.0
2015-02-05,18985.0
2015-02-06,18985.0
2015-02-09,18980.0
2015-02-10,18880.0
2015-02-11,18880.0
2015-02-12,18735.0
2015-02-13,18920.0
2015-02-16,18925.0
2015-02-17,18965.0
2015-02-23,19030.0
2015-02-24,19045.0
2015-02-25,19190.0
2015-02-26,19115.0
2015-02-27,19110.0
2015-03-02,19190.0
2015-03-03,19295.0
2015-03-04,19280.0
2015-03-05,19295.0
2015-03-06,19380.0
2015-03-09,19335.0
2015-03-10,19100.0
2015-03-11,19100.0
2015-03-12,19075.0
2015-03-13,19195.0
2015-03-16,19185.0
2015-03-17,19555.0
2015-03-18,19565.0
2015-03-19,19645.0
2015-03-20,19620.0
2015-03-23,19610.0
2015-03-24,19610.0
2015-03-25,19610.0
2015-03-26,19475.0
2015-03-27,19370.0
2015-03-30,19445.0
2015-03-31,19455.0
2015-04-01,19300.0
2015-04-02,19300.0
2015-04-03,19405.0
2015-04-06,19405.0
2015-04-07,19405.0
2015-04-08,19565.0
2015-04-09,19525.0
2015-04-10,19800.0
2015-04-13,19865.0
2015-04-14,19970.0
2015-04-15,20110.0
2015-04-16,20275.0
2015-04-17,20285.0
2015-04-20,20260.0
2015-04-21,20215.0
2015-04-22,20235.0
2015-04-23,20600.0
2015-04-24,20470.0
2015-04-27,20360.0
2015-04-28,20345.0
2015-04-29,20250.0
2015-04-30,19915.0
2015-05-04,20055.0
2015-05-06,19660.0
2015-05-07,19615.0
2015-05-08,19525.0
2015-05-11,19545.0
2015-05-12,19525.0
2015-05-13,19595.0
2015-05-14,19685.0
2015-05-15,19480.0
2015-05-18,19530.0
2015-05-19,19590.0
2015-05-20,19790.0
2015-05-21,19530.0
2015-05-22,19790.0
2015-05-26,19750.0
2015-05-27,19310.0
2015-05-28,19305.0
2015-05-29,19375.0
2015-06-01,19240.0
2015-06-02,19050.0
2015-06-03,18870.0
2015-06-04,18875.0
2015-06-05,18895.0
2015-06-08,18870.0
2015-06-09,18840.0
2015-06-10,18725.0
2015-06-11,18725.0
2015-06-12,18640.0
2015-06-15,18545.0
2015-06-16,18390.0
2015-06-17,18390.0
2015-06-18,18410.0
2015-06-19,18485.0
2015-06-22,18590.0
2015-06-23,18840.0
2015-06-24,18845.0
2015-06-25,18810.0
2015-06-26,18735.0
2015-06-29,18570.0
2015-06-30,18550.0
2015-07-01,18800.0
2015-07-02,18830.0
2015-07-03,18805.0
2015-07-06,18360.0
2015-07-07,18295.0
2015-07-08,18110.0
2015-07-09,18130.0
2015-07-10,18195.0
2015-07-13,18530.0
2015-07-14,18355.0
2015-07-15,18375.0
2015-07-16,18505.0
2015-07-17,18405.0
2015-07-20,18320.0
2015-07-21,18335.0
2015-07-22,18205.0
2015-07-23,18205.0
2015-07-24,18000.0
2015-07-27,18000.0
2015-07-28,18015.0
2015-07-29,18080.0
2015-07-30,17980.0
2015-07-31,17955.0
2015-08-03,17860.0
2015-08-04,17880.0
2015-08-05,17895.0
2015-08-06,17700.0
2015-08-07,17685.0
2015-08-10,17635.0
2015-08-11,17710.0
2015-08-12,17460.0
2015-08-13,17470.0
2015-08-17,17400.0
2015-08-18,17360.0
2015-08-19,17220.0
2015-08-20,17025.0
2015-08-21,16770.0
2015-08-24,16400.0
2015-08-25,16435.0
2015-08-26,16760.0
2015-08-27,16820.0
2015-08-28,17060.0
2015-08-31,17060.0
2015-09-01,16920.0
2015-09-02,16925.0
2015-09-03,16985.0
2015-09-04,16885.0
2015-09-07,16845.0
2015-09-08,16845.0
2015-09-09,17340.0
2015-09-10,17485.0
2015-09-11,17385.0
2015-09-14,17200.0
2015-09-15,17275.0
2015-09-16,17660.0
2015-09-17,17760.0
2015-09-18,17580.0
2015-09-21,17580.0
2015-09-22,17650.0
2015-09-23,17455.0
2015-09-24,17425.0
2015-09-25,17400.0
2015-09-30,17480.0
2015-10-01,17690.0
2015-10-02,17630.0
2015-10-05,17710.0
2015-10-06,17755.0
2015-10-07,18035.0
2015-10-08,18170.0
2015-10-12,18300.0
2015-10-13,18300.0
2015-10-14,18255.0
2015-10-15,18420.0
2015-10-16,18420.0
2015-10-19,18420.0
2015-10-20,18460.0
2015-10-21,18515.0
2015-10-22,18515.0
2015-10-23,18605.0
2015-10-26,18615.0
2015-10-27,18615.0
2015-10-28,18615.0
2015-10-29,18625.0
2015-10-30,18625.0
2015-11-02,18650.0
2015-11-03,18770.0
2015-11-04,18770.0
2015-11-05,18750.0
2015-11-06,18685.0
2015-11-09,18605.0
2015-11-10,18340.0
2015-11-11,18340.0
2015-11-12,18325.0
2015-11-13,18175.0
2015-11-16,17950.0
2015-11-17,18020.0
2015-11-18,18020.0
2015-11-19,18205.0
2015-11-20,18215.0
2015-11-23,18285.0
2015-11-24,18440.0
2015-11-25,18385.0
2015-11-26,18565.0
2015-11-27,18525.0
2015-11-30,18280.0
2015-12-01,18495.0
2015-12-02,18410.0
2015-12-03,18235.0
2015-12-04,18045.0
2015-12-07,18020.0
2015-12-08,17820.0
2015-12-09,17820.0
2015-12-10,17935.0
2015-12-11,17910.0
2015-12-14,17760.0
2015-12-15,17780.0
2015-12-16,18220.0
2015-12-17,18220.0
2015-12-18,18145.0
2015-12-21,18185.0
2015-12-22,18180.0
2015-12-23,18380.0
2015-12-24,18365.0
2015-12-28,18130.0
2015-12-29,18180.0
2015-12-30,18180.0
2016-01-04,17780.0
2016-01-05,17855.0
2016-01-06,17745.0
2016-01-07,17515.0
2016-01-08,17545.0
2016-01-11,17425.0
2016-01-12,17385.0
2016-01-13,17590.0
2016-01-14,17440.0
2016-01-15,17380.0
2016-01-18,17250.0
2016-01-19,17285.0
2016-01-20,16930.0
2016-01-21,16910.0
2016-01-22,17160.0
2016-01-25,17310.0
2016-01-26,17100.0
2016-01-27,17345.0
2016-01-28,17410.0
2016-01-29,17410.0
2016-02-01,17510.0
