Date,TIGER 라틴35
2014-12-22,3530.0
2014-12-23,3550.0
2014-12-24,3560.0
2014-12-26,3530.0
2014-12-29,3500.0
2014-12-30,3575.0
2015-01-02,3525.0
2015-01-05,3515.0
2015-01-06,3390.0
2015-01-07,3440.0
2015-01-08,3445.0
2015-01-09,3475.0
2015-01-12,3470.0
2015-01-13,3400.0
2015-01-14,3465.0
2015-01-15,3465.0
2015-01-16,3400.0
2015-01-19,3455.0
2015-01-20,3470.0
2015-01-21,3455.0
2015-01-22,3510.0
2015-01-23,3590.0
2015-01-26,3510.0
2015-01-27,3500.0
2015-01-28,3490.0
2015-01-29,3465.0
2015-01-30,3450.0
2015-02-02,3415.0
2015-02-03,3420.0
2015-02-04,3520.0
2015-02-05,3475.0
2015-02-06,3505.0
2015-02-09,3460.0
2015-02-10,3500.0
2015-02-11,3430.0
2015-02-12,3410.0
2015-02-13,3465.0
2015-02-16,3510.0
2015-02-17,3520.0
2015-02-23,3525.0
2015-02-24,3515.0
2015-02-25,3555.0
2015-02-26,3515.0
2015-02-27,3505.0
2015-03-02,3530.0
2015-03-03,3440.0
2015-03-04,3430.0
2015-03-05,3375.0
2015-03-06,3335.0
2015-03-09,3300.0
2015-03-10,3255.0
2015-03-11,3220.0
2015-03-12,3240.0
2015-03-13,3250.0
2015-03-16,3180.0
2015-03-17,3190.0
2015-03-18,3240.0
2015-03-19,3275.0
2015-03-20,3215.0
2015-03-23,3290.0
2015-03-24,3300.0
2015-03-25,3290.0
2015-03-26,3280.0
2015-03-27,3205.0
2015-03-30,3185.0
2015-03-31,3240.0
2015-04-01,3225.0
2015-04-02,3240.0
2015-04-03,3275.0
2015-04-06,3300.0
2015-04-07,3315.0
2015-04-08,3340.0
2015-04-09,3370.0
2015-04-10,3395.0
2015-04-13,3445.0
2015-04-14,3395.0
2015-04-15,3435.0
2015-04-16,3455.0
2015-04-17,3450.0
2015-04-20,3385.0
2015-04-21,3380.0
2015-04-22,3375.0
2015-04-23,3425.0
2015-04-24,3465.0
2015-04-27,3555.0
2015-04-28,3535.0
2015-04-29,3525.0
2015-04-30,3505.0
2015-05-04,3535.0
2015-05-06,3550.0
2015-05-07,3570.0
2015-05-08,3565.0
2015-05-11,3615.0
2015-05-12,3585.0
2015-05-13,3590.0
2015-05-14,3540.0
2015-05-15,3570.0
2015-05-18,3580.0
2015-05-19,3560.0
2015-05-20,3520.0
2015-05-21,3520.0
2015-05-22,3475.0
2015-05-26,3460.0
2015-05-27,3370.0
2015-05-28,3410.0
2015-05-29,3350.0
2015-06-01,3330.0
2015-06-02,3360.0
2015-06-03,3370.0
2015-06-04,3385.0
2015-06-05,3345.0
2015-06-08,3385.0
2015-06-09,3385.0
2015-06-10,3345.0
2015-06-11,3405.0
2015-06-12,3385.0
2015-06-15,3420.0
2015-06-16,3340.0
2015-06-17,3390.0
2015-06-18,3415.0
2015-06-19,3385.0
2015-06-22,3330.0
2015-06-23,3415.0
2015-06-24,3425.0
2015-06-25,3405.0
2015-06-26,3380.0
2015-06-29,3425.0
2015-06-30,3335.0
2015-07-01,3315.0
2015-07-02,3320.0
2015-07-03,3320.0
2015-07-06,3390.0
2015-07-07,3285.0
2015-07-08,3265.0
2015-07-09,3220.0
2015-07-10,3250.0
2015-07-13,3325.0
2015-07-14,3395.0
2015-07-15,3400.0
2015-07-16,3400.0
2015-07-17,3360.0
2015-07-20,3370.0
2015-07-21,3330.0
2015-07-22,3295.0
2015-07-23,3250.0
2015-07-24,3240.0
2015-07-27,3170.0
2015-07-28,3115.0
2015-07-29,3140.0
2015-07-30,3205.0
2015-07-31,3175.0
2015-08-03,3215.0
2015-08-04,3170.0
2015-08-05,3170.0
2015-08-06,3155.0
2015-08-07,3130.0
2015-08-10,3085.0
2015-08-11,3215.0
2015-08-12,3165.0
2015-08-13,3105.0
2015-08-17,3065.0
2015-08-18,3060.0
2015-08-19,3070.0
2015-08-20,2995.0
2015-08-21,3010.0
2015-08-24,2910.0
2015-08-25,2735.0
2015-08-26,2755.0
2015-08-27,2840.0
2015-08-28,2930.0
2015-08-31,2945.0
2015-09-01,2915.0
2015-09-02,2830.0
2015-09-03,2880.0
2015-09-04,2910.0
2015-09-07,2860.0
2015-09-08,2850.0
2015-09-09,2875.0
2015-09-10,2850.0
2015-09-11,2820.0
2015-09-14,2790.0
2015-09-15,2835.0
2015-09-16,2810.0
2015-09-17,2855.0
2015-09-18,2840.0
2015-09-21,2755.0
2015-09-22,2750.0
2015-09-23,2710.0
2015-09-24,2625.0
2015-09-25,2670.0
2015-09-30,2565.0
2015-10-01,2610.0
2015-10-02,2630.0
2015-10-05,2685.0
2015-10-06,2745.0
2015-10-07,2770.0
2015-10-08,2805.0
2015-10-12,2850.0
2015-10-13,2815.0
2015-10-14,2700.0
2015-10-15,2685.0
2015-10-16,2715.0
2015-10-19,2680.0
2015-10-20,2680.0
2015-10-21,2660.0
2015-10-22,2640.0
2015-10-23,2670.0
2015-10-26,2700.0
2015-10-27,2685.0
2015-10-28,2655.0
2015-10-29,2690.0
2015-10-30,2685.0
2015-11-02,2695.0
2015-11-03,2710.0
2015-11-04,2770.0
2015-11-05,2750.0
2015-11-06,2715.0
2015-11-09,2750.0
2015-11-10,2670.0
2015-11-11,2710.0
2015-11-12,2705.0
2015-11-13,2705.0
2015-11-16,2685.0
2015-11-17,2725.0
2015-11-18,2730.0
2015-11-19,2745.0
2015-11-20,2775.0
2015-11-23,2820.0
2015-11-24,2775.0
2015-11-25,2765.0
2015-11-26,2695.0
2015-11-27,2705.0
2015-11-30,2665.0
2015-12-01,2605.0
2015-12-02,2605.0
2015-12-03,2620.0
2015-12-04,2635.0
2015-12-07,2635.0
2015-12-08,2615.0
2015-12-09,2590.0
2015-12-10,2635.0
2015-12-11,2580.0
2015-12-14,2520.0
2015-12-15,2510.0
2015-12-16,2545.0
2015-12-17,2575.0
2015-12-18,2575.0
2015-12-21,2490.0
2015-12-22,2455.0
2015-12-23,2475.0
2015-12-24,2525.0
2015-12-28,2515.0
2015-12-29,2515.0
2015-12-30,2530.0
2016-01-04,2440.0
2016-01-05,2435.0
2016-01-06,2455.0
2016-01-07,2405.0
2016-01-08,2305.0
2016-01-11,2305.0
2016-01-12,2295.0
2016-01-13,2295.0
2016-01-14,2250.0
2016-01-15,2300.0
2016-01-18,2240.0
2016-01-19,2230.0
2016-01-20,2225.0
2016-01-21,2190.0
2016-01-22,2145.0
2016-01-25,2235.0
2016-01-26,2195.0
2016-01-27,2230.0
2016-01-28,2280.0
2016-01-29,2285.0
2016-02-01,2385.0
2016-02-02,2420.0
2016-02-03,2420.0
2016-02-04,2395.0
2016-02-05,2430.0
