Date,TIGER LG그룹+펀더멘털
2014-12-19,5845.0
2014-12-22,5885.0
2014-12-23,5850.0
2014-12-24,5860.0
2014-12-26,5835.0
2014-12-29,5885.0
2014-12-30,5835.0
2015-01-02,5765.0
2015-01-05,5690.0
2015-01-06,5700.0
2015-01-07,5690.0
2015-01-08,5785.0
2015-01-09,5865.0
2015-01-12,5930.0
2015-01-13,5910.0
2015-01-14,5895.0
2015-01-15,5885.0
2015-01-16,5825.0
2015-01-19,5885.0
2015-01-20,5925.0
2015-01-21,5950.0
2015-01-22,5995.0
2015-01-23,6030.0
2015-01-26,6010.0
2015-01-27,6170.0
2015-01-28,6210.0
2015-01-29,6215.0
2015-01-30,6210.0
2015-02-02,6175.0
2015-02-03,6215.0
2015-02-04,6325.0
2015-02-05,6205.0
2015-02-06,6225.0
2015-02-09,6300.0
2015-02-10,6270.0
2015-02-11,6285.0
2015-02-12,6300.0
2015-02-13,6350.0
2015-02-16,6320.0
2015-02-17,6300.0
2015-02-23,6340.0
2015-02-24,6350.0
2015-02-25,6440.0
2015-02-26,6485.0
2015-02-27,6465.0
2015-03-02,6470.0
2015-03-03,6415.0
2015-03-04,6390.0
2015-03-05,6375.0
2015-03-06,6390.0
2015-03-09,6350.0
2015-03-10,6350.0
2015-03-11,6310.0
2015-03-12,6305.0
2015-03-13,6285.0
2015-03-16,6240.0
2015-03-17,6365.0
2015-03-18,6380.0
2015-03-19,6435.0
2015-03-20,6390.0
2015-03-23,6370.0
2015-03-24,6395.0
2015-03-25,6350.0
2015-03-26,6330.0
2015-03-27,6300.0
2015-03-30,6290.0
2015-03-31,6320.0
2015-04-01,6280.0
2015-04-02,6325.0
2015-04-03,6305.0
2015-04-06,6310.0
2015-04-07,6305.0
2015-04-08,6370.0
2015-04-09,6500.0
2015-04-10,6525.0
2015-04-13,6675.0
2015-04-14,6725.0
2015-04-15,6770.0
2015-04-16,6720.0
2015-04-17,6730.0
2015-04-20,6870.0
2015-04-21,6785.0
2015-04-22,6815.0
2015-04-23,6925.0
2015-04-24,6880.0
2015-04-27,6835.0
2015-04-28,6855.0
2015-04-29,6715.0
2015-04-30,6665.0
2015-05-04,6660.0
2015-05-06,6590.0
2015-05-07,6580.0
2015-05-08,6530.0
2015-05-11,6575.0
2015-05-12,6585.0
2015-05-13,6630.0
2015-05-14,6625.0
2015-05-15,6540.0
2015-05-18,6525.0
2015-05-19,6545.0
2015-05-20,6485.0
2015-05-21,6430.0
2015-05-22,6540.0
2015-05-26,6490.0
2015-05-27,6370.0
2015-05-28,6330.0
2015-05-29,6235.0
2015-06-01,6235.0
2015-06-02,6245.0
2015-06-03,6305.0
2015-06-04,6285.0
2015-06-05,6215.0
2015-06-08,6215.0
2015-06-09,6230.0
2015-06-10,6225.0
2015-06-11,6225.0
2015-06-12,6120.0
2015-06-15,6100.0
2015-06-16,6045.0
2015-06-17,6115.0
2015-06-18,6230.0
2015-06-19,6295.0
2015-06-22,6185.0
2015-06-23,6135.0
2015-06-24,6160.0
2015-06-25,6170.0
2015-06-26,6155.0
2015-06-29,6030.0
2015-06-30,6100.0
2015-07-01,6190.0
2015-07-02,6140.0
2015-07-03,6170.0
2015-07-06,6005.0
2015-07-07,6005.0
2015-07-08,5840.0
2015-07-09,5800.0
2015-07-10,5920.0
2015-07-13,5920.0
2015-07-14,5875.0
2015-07-15,5995.0
2015-07-16,6000.0
2015-07-17,5860.0
2015-07-20,5820.0
2015-07-21,5980.0
2015-07-22,5950.0
2015-07-23,5850.0
2015-07-24,5795.0
2015-07-27,5840.0
2015-07-28,5740.0
2015-07-29,5740.0
2015-07-30,5715.0
2015-07-31,5695.0
2015-08-03,5670.0
2015-08-04,5715.0
2015-08-05,5850.0
2015-08-06,5815.0
2015-08-07,5735.0
2015-08-10,5645.0
2015-08-11,5580.0
2015-08-12,5470.0
2015-08-13,5610.0
2015-08-17,5635.0
2015-08-18,5615.0
2015-08-19,5580.0
2015-08-20,5500.0
2015-08-21,5400.0
2015-08-24,5310.0
2015-08-25,5370.0
2015-08-26,5545.0
2015-08-27,5570.0
2015-08-28,5700.0
2015-08-31,5685.0
2015-09-01,5675.0
2015-09-02,5620.0
2015-09-03,5695.0
2015-09-04,5640.0
2015-09-07,5660.0
2015-09-08,5645.0
2015-09-09,5825.0
2015-09-10,5830.0
2015-09-11,5915.0
