Date,TIGER 구리실물
2014-12-22,7100.0
2014-12-23,7115.0
2014-12-24,7020.0
2014-12-26,7060.0
2014-12-29,6975.0
2014-12-30,7045.0
2015-01-02,7055.0
2015-01-05,7085.0
2015-01-06,6905.0
2015-01-07,6820.0
2015-01-08,6830.0
2015-01-09,6875.0
2015-01-12,6740.0
2015-01-13,6685.0
2015-01-14,6425.0
2015-01-15,6240.0
2015-01-16,6265.0
2015-01-19,6230.0
2015-01-20,6255.0
2015-01-21,6290.0
2015-01-22,6185.0
2015-01-23,6300.0
2015-01-26,6045.0
2015-01-27,6040.0
2015-01-28,6145.0
2015-01-29,6080.0
2015-01-30,5990.0
2015-02-02,6115.0
2015-02-03,6205.0
2015-02-04,6290.0
2015-02-05,6295.0
2015-02-06,6205.0
2015-02-09,6310.0
2015-02-10,6270.0
2015-02-11,6205.0
2015-02-12,6340.0
2015-02-13,6365.0
2015-02-16,6380.0
2015-02-17,6375.0
2015-02-23,6430.0
2015-02-24,6345.0
2015-02-25,6385.0
2015-02-26,6450.0
2015-02-27,6585.0
2015-03-02,6515.0
2015-03-03,6550.0
2015-03-04,6485.0
2015-03-05,6525.0
2015-03-06,6480.0
2015-03-09,6545.0
2015-03-10,6560.0
2015-03-11,6560.0
2015-03-12,6570.0
2015-03-13,6670.0
2015-03-16,6700.0
2015-03-17,6640.0
2015-03-18,6590.0
2015-03-19,6440.0
2015-03-20,6610.0
2015-03-23,6685.0
2015-03-24,6865.0
2015-03-25,6825.0
2015-03-26,6810.0
2015-03-27,6920.0
2015-03-30,6855.0
2015-03-31,6845.0
2015-04-01,6740.0
2015-04-02,6675.0
2015-04-03,6640.0
2015-04-06,6565.0
2015-04-07,6595.0
2015-04-08,6620.0
2015-04-09,6680.0
2015-04-10,6665.0
2015-04-13,6675.0
2015-04-14,6640.0
2015-04-15,6555.0
2015-04-16,6510.0
2015-04-17,6610.0
2015-04-20,6625.0
2015-04-21,6555.0
2015-04-22,6515.0
2015-04-23,6470.0
2015-04-24,6460.0
2015-04-27,6525.0
2015-04-28,6580.0
2015-04-29,6560.0
2015-04-30,6545.0
2015-05-04,6925.0
2015-05-06,6970.0
2015-05-07,7010.0
2015-05-08,7060.0
2015-05-11,7010.0
2015-05-12,7025.0
2015-05-13,7145.0
2015-05-14,7030.0
2015-05-15,7000.0
2015-05-18,6950.0
2015-05-19,6995.0
2015-05-20,6900.0
2015-05-21,6810.0
2015-05-22,6855.0
2015-05-26,6845.0
2015-05-27,6835.0
2015-05-28,6785.0
2015-05-29,6800.0
2015-06-01,6810.0
2015-06-02,6695.0
2015-06-03,6675.0
2015-06-04,6685.0
2015-06-05,6665.0
2015-06-08,6670.0
2015-06-09,6670.0
2015-06-10,6690.0
2015-06-11,6750.0
2015-06-12,6635.0
2015-06-15,6625.0
2015-06-16,6460.0
2015-06-17,6480.0
2015-06-18,6420.0
2015-06-19,6400.0
2015-06-22,6275.0
2015-06-23,6275.0
2015-06-24,6390.0
2015-06-25,6435.0
2015-06-26,6415.0
2015-06-29,6475.0
2015-06-30,6500.0
2015-07-01,6445.0
2015-07-02,6510.0
2015-07-03,6445.0
2015-07-06,6490.0
2015-07-07,6310.0
2015-07-08,6210.0
2015-07-09,6135.0
2015-07-10,6325.0
2015-07-13,6305.0
2015-07-14,6405.0
2015-07-15,6315.0
2015-07-16,6450.0
2015-07-17,6360.0
2015-07-20,6315.0
2015-07-21,6285.0
2015-07-22,6335.0
2015-07-23,6240.0
2015-07-24,6255.0
2015-07-27,6095.0
2015-07-28,6050.0
2015-07-29,6090.0
2015-07-30,6185.0
2015-07-31,6140.0
2015-08-03,6095.0
2015-08-04,6050.0
2015-08-05,6100.0
2015-08-06,6050.0
2015-08-07,6015.0
2015-08-10,5975.0
2015-08-11,6090.0
2015-08-12,6125.0
2015-08-13,6010.0
2015-08-17,6100.0
2015-08-18,6050.0
2015-08-19,5945.0
2015-08-20,5950.0
2015-08-21,6050.0
2015-08-24,6070.0
2015-08-25,5860.0
2015-08-26,5990.0
2015-08-27,5895.0
2015-08-28,5915.0
2015-08-31,6020.0
2015-09-01,5985.0
2015-09-02,6030.0
2015-09-03,6075.0
2015-09-04,6245.0
2015-09-07,6220.0
2015-09-08,6230.0
2015-09-09,6290.0
2015-09-10,6390.0
2015-09-11,6400.0
2015-09-14,6340.0
2015-09-15,6295.0
2015-09-16,6230.0
2015-09-17,6250.0
2015-09-18,6245.0
2015-09-21,6285.0
2015-09-22,6185.0
2015-09-23,6120.0
2015-09-24,6105.0
2015-09-25,6010.0
2015-09-30,5955.0
2015-10-01,6000.0
2015-10-02,6110.0
2015-10-05,5980.0
2015-10-06,6005.0
2015-10-07,6015.0
2015-10-08,6080.0
2015-10-12,6090.0
2015-10-13,6115.0
2015-10-14,6035.0
2015-10-15,5970.0
2015-10-16,6025.0
2015-10-19,5895.0
2015-10-20,5905.0
2015-10-21,5875.0
2015-10-22,5885.0
2015-10-23,5935.0
2015-10-26,5995.0
2015-10-27,5915.0
2015-10-28,5905.0
2015-10-29,5915.0
2015-10-30,5885.0
2015-11-02,5840.0
2015-11-03,5815.0
2015-11-04,5820.0
2015-11-05,5855.0
2015-11-06,5770.0
2015-11-09,5755.0
2015-11-10,5770.0
2015-11-11,5695.0
2015-11-12,5680.0
2015-11-13,5640.0
2015-11-16,5635.0
2015-11-17,5575.0
2015-11-18,5500.0
2015-11-19,5420.0
2015-11-20,5320.0
2015-11-23,5410.0
2015-11-24,5205.0
2015-11-25,5170.0
2015-11-26,5215.0
2015-11-27,5355.0
2015-11-30,5360.0
2015-12-01,5320.0
2015-12-02,5380.0
2015-12-03,5345.0
2015-12-04,5230.0
2015-12-07,5390.0
2015-12-08,5375.0
2015-12-09,5385.0
2015-12-10,5450.0
2015-12-11,5380.0
2015-12-14,5495.0
2015-12-15,5470.0
2015-12-16,5385.0
2015-12-17,5405.0
2015-12-18,5385.0
2015-12-21,5470.0
2015-12-22,5500.0
2015-12-23,5480.0
2015-12-24,5480.0
2015-12-28,5420.0
2015-12-29,5500.0
2015-12-30,5505.0
2016-01-04,5555.0
2016-01-05,5485.0
2016-01-06,5550.0
2016-01-07,5430.0
2016-01-08,5390.0
2016-01-11,5415.0
2016-01-12,5315.0
2016-01-13,5245.0
2016-01-14,5265.0
2016-01-15,5295.0
2016-01-18,5170.0
2016-01-19,5260.0
2016-01-20,5340.0
2016-01-21,5285.0
2016-01-22,5205.0
2016-01-25,5350.0
2016-01-26,5330.0
2016-01-27,5400.0
2016-01-28,5430.0
2016-01-29,5485.0
2016-02-01,5420.0
2016-02-02,5485.0
2016-02-03,5555.0
2016-02-04,5530.0
2016-02-05,5625.0
2016-02-11,5365.0
2016-02-12,5410.0
2016-02-15,5455.0
2016-02-16,5565.0
2016-02-17,5620.0
2016-02-18,5600.0
2016-02-19,5660.0
2016-02-22,5670.0
2016-02-23,5720.0
2016-02-24,5760.0
2016-02-25,5700.0
2016-02-26,5750.0
2016-02-29,5790.0
2016-03-02,5815.0
2016-03-03,5815.0
2016-03-04,5820.0
2016-03-07,5850.0
2016-03-08,5995.0
2016-03-09,5995.0
2016-03-10,5890.0
2016-03-11,5880.0
2016-03-14,5855.0
2016-03-15,5845.0
2016-03-16,5850.0
2016-03-17,5805.0
2016-03-18,5850.0
2016-03-21,5875.0
2016-03-22,5855.0
2016-03-23,5865.0
2016-03-24,5830.0
2016-03-25,5745.0
2016-03-28,5750.0
2016-03-29,5690.0
2016-03-30,5690.0
2016-03-31,5650.0
2016-04-01,5600.0
2016-04-04,5495.0
2016-04-05,5565.0
2016-04-06,5525.0
2016-04-07,5505.0
2016-04-08,5440.0
2016-04-11,5340.0
2016-04-12,5330.0
2016-04-14,5540.0
2016-04-15,5540.0
2016-04-18,5530.0
2016-04-19,5455.0
2016-04-20,5455.0
2016-04-21,5585.0
2016-04-22,5650.0
2016-04-25,5730.0
2016-04-26,5725.0
2016-04-27,5655.0
2016-04-28,5615.0
2016-04-29,5590.0
2016-05-02,5690.0
2016-05-03,5700.0
2016-05-04,5650.0
2016-05-09,5570.0
2016-05-10,5545.0
2016-05-11,5500.0
2016-05-12,5520.0
2016-05-13,5520.0
2016-05-16,5495.0
2016-05-17,5445.0
2016-05-18,5480.0
2016-05-19,5475.0
2016-05-20,5455.0
2016-05-23,5445.0
2016-05-24,5415.0
2016-05-25,5455.0
2016-05-26,5445.0
2016-05-27,5495.0
2016-05-30,5560.0
2016-05-31,5575.0
2016-06-01,5510.0
2016-06-02,5400.0
2016-06-03,5440.0
2016-06-07,5420.0
2016-06-08,5305.0
2016-06-09,5305.0
2016-06-10,5300.0
2016-06-13,5285.0
2016-06-14,5285.0
2016-06-15,5245.0
2016-06-16,5335.0
2016-06-17,5275.0
2016-06-20,5245.0
2016-06-21,5295.0
2016-06-22,5295.0
2016-06-23,5320.0
2016-06-24,5245.0
2016-06-27,5375.0
2016-06-28,5435.0
2016-06-29,5480.0
2016-06-30,5470.0
2016-07-01,5470.0
2016-07-04,5475.0
2016-07-05,5560.0
2016-07-06,5490.0
2016-07-07,5435.0
2016-07-08,5420.0
2016-07-11,5390.0
2016-07-12,5450.0
2016-07-13,5565.0
2016-07-14,5520.0
2016-07-15,5500.0
2016-07-18,5540.0
2016-07-19,5445.0
2016-07-20,5525.0
2016-07-21,5555.0
2016-07-22,5565.0
2016-07-25,5575.0
2016-07-26,5530.0
2016-07-27,5470.0
2016-07-28,5490.0
2016-07-29,5390.0
2016-08-01,5365.0
2016-08-02,5370.0
2016-08-03,5330.0
2016-08-04,5310.0
2016-08-05,5285.0
2016-08-08,5275.0
2016-08-09,5240.0
2016-08-10,5245.0
2016-08-11,5320.0
2016-08-12,5270.0
2016-08-16,5195.0
2016-08-17,5260.0
2016-08-18,5255.0
2016-08-19,5300.0
2016-08-22,5285.0
2016-08-23,5235.0
2016-08-24,5235.0
2016-08-25,5180.0
2016-08-26,5155.0
2016-08-29,5165.0
2016-08-30,5130.0
2016-08-31,5100.0
2016-09-01,5155.0
2016-09-02,5155.0
2016-09-05,5065.0
2016-09-06,5085.0
2016-09-07,5035.0
2016-09-08,5080.0
2016-09-09,5030.0
2016-09-12,5055.0
2016-09-13,5060.0
2016-09-19,5160.0
2016-09-20,5170.0
2016-09-21,5175.0
2016-09-22,5195.0
2016-09-23,5215.0
2016-09-26,5245.0
2016-09-27,5165.0
2016-09-28,5165.0
2016-09-29,5240.0
2016-09-30,5220.0
2016-10-04,5245.0
2016-10-05,5260.0
2016-10-06,5220.0
2016-10-07,5195.0
2016-10-10,5210.0
2016-10-11,5265.0
2016-10-12,5300.0
2016-10-13,5315.0
2016-10-14,5325.0
2016-10-17,5240.0
2016-10-18,5240.0
2016-10-19,5170.0
2016-10-20,5175.0
2016-10-21,5200.0
2016-10-24,5210.0
2016-10-25,5245.0
2016-10-26,5240.0
2016-10-27,5285.0
2016-10-28,5390.0
2016-10-31,5365.0
2016-11-01,5435.0
2016-11-02,5380.0
2016-11-03,5440.0
2016-11-04,5505.0
2016-11-07,5635.0
2016-11-08,5590.0
2016-11-09,5670.0
2016-11-10,6205.0
2016-11-11,6560.0
2016-11-14,6890.0
2016-11-15,6325.0
2016-11-16,6245.0
2016-11-17,6285.0
2016-11-18,6250.0
2016-11-21,6470.0
2016-11-22,6530.0
2016-11-23,6480.0
2016-11-24,6620.0
2016-11-25,6755.0
2016-11-28,6800.0
2016-11-29,6660.0
2016-11-30,6535.0
2016-12-01,6605.0
2016-12-02,6560.0
2016-12-05,6690.0
2016-12-06,6680.0
2016-12-07,6745.0
2016-12-08,6720.0
2016-12-09,6735.0
2016-12-12,6710.0
2016-12-13,6555.0
2016-12-14,6600.0
2016-12-15,6645.0
2016-12-16,6595.0
2016-12-19,6535.0
2016-12-20,6465.0
2016-12-21,6440.0
2016-12-22,6365.0
2016-12-23,6400.0
2016-12-26,6440.0
2016-12-27,6455.0
2016-12-28,6515.0
2016-12-29,6545.0
2017-01-02,6530.0
2017-01-03,6585.0
2017-01-04,6625.0
2017-01-05,6445.0
2017-01-06,6530.0
2017-01-09,6560.0
2017-01-10,6530.0
2017-01-11,6625.0
2017-01-12,6625.0
2017-01-13,6560.0
2017-01-16,6675.0
2017-01-17,6590.0
2017-01-18,6565.0
2017-01-19,6635.0
2017-01-20,6520.0
2017-01-23,6585.0
2017-01-24,6590.0
2017-01-25,6675.0
2017-01-26,6680.0
2017-01-31,6670.0
2017-02-01,6700.0
2017-02-02,6670.0
2017-02-03,6540.0
2017-02-06,6540.0
2017-02-07,6540.0
2017-02-08,6595.0
2017-02-09,6560.0
2017-02-10,6660.0
2017-02-13,6695.0
2017-02-14,6850.0
2017-02-15,6880.0
2017-02-16,6725.0
2017-02-17,6705.0
2017-02-20,6705.0
2017-02-21,6800.0
2017-02-22,6705.0
2017-02-23,6605.0
2017-02-24,6650.0
2017-02-27,6510.0
2017-02-28,6525.0
2017-03-02,6715.0
2017-03-03,6770.0
2017-03-06,6640.0
2017-03-07,6545.0
2017-03-08,6535.0
2017-03-09,6475.0
2017-03-10,6400.0
2017-03-13,6465.0
2017-03-14,6505.0
2017-03-15,6440.0
2017-03-16,6525.0
2017-03-17,6495.0
2017-03-20,6410.0
2017-03-21,6355.0
2017-03-22,6320.0
2017-03-23,6305.0
2017-03-24,6345.0
2017-03-27,6230.0
2017-03-28,6180.0
2017-03-29,6265.0
2017-03-30,6325.0
2017-03-31,6390.0
2017-04-03,6360.0
2017-04-04,6340.0
2017-04-05,6375.0
2017-04-06,6390.0
2017-04-07,6470.0
2017-04-10,6415.0
2017-04-11,6405.0
2017-04-12,6380.0
2017-04-13,6325.0
2017-04-14,6285.0
2017-04-17,6295.0
2017-04-18,6230.0
2017-04-19,6315.0
2017-04-20,6165.0
2017-04-21,6250.0
2017-04-24,6225.0
2017-04-25,6200.0
2017-04-26,6235.0
2017-04-27,6235.0
2017-04-28,6310.0
2017-05-02,6200.0
2017-05-04,6175.0
2017-05-08,6065.0
2017-05-10,6080.0
2017-05-11,6070.0
2017-05-12,6145.0
2017-05-15,6100.0
2017-05-16,6065.0
2017-05-17,6090.0
2017-05-18,6070.0
2017-05-19,6055.0
2017-05-22,6125.0
2017-05-23,6200.0
2017-05-24,6140.0
2017-05-25,6180.0
2017-05-26,6185.0
2017-05-29,6195.0
2017-05-30,6195.0
2017-05-31,6135.0
2017-06-01,6125.0
2017-06-02,6125.0
2017-06-05,6055.0
2017-06-07,6060.0
2017-06-08,6105.0
2017-06-09,6185.0
2017-06-12,6270.0
2017-06-13,6310.0
2017-06-14,6220.0
2017-06-15,6245.0
2017-06-16,6240.0
2017-06-19,6260.0
2017-06-20,6290.0
2017-06-21,6295.0
2017-06-22,6220.0
2017-06-23,6380.0
2017-06-26,6395.0
2017-06-27,6380.0
2017-06-28,6430.0
2017-06-29,6510.0
2017-06-30,6600.0
2017-07-03,6575.0
2017-07-04,6540.0
2017-07-05,6510.0
2017-07-06,6530.0
2017-07-07,6535.0
2017-07-10,6515.0
2017-07-11,6500.0
2017-07-12,6490.0
2017-07-13,6515.0
2017-07-14,6530.0
2017-07-17,6495.0
2017-07-18,6520.0
2017-07-19,6490.0
2017-07-20,6530.0
2017-07-21,6495.0
2017-07-24,6515.0
2017-07-25,6550.0
2017-07-26,6785.0
2017-07-27,6760.0
2017-07-28,6825.0
2017-07-31,6900.0
2017-08-01,6890.0
2017-08-02,6860.0
2017-08-03,6895.0
2017-08-04,6900.0
2017-08-07,6950.0
2017-08-08,6920.0
2017-08-09,6980.0
2017-08-10,7140.0
2017-08-11,7075.0
2017-08-14,7015.0
2017-08-16,7070.0
2017-08-17,7145.0
2017-08-18,7180.0
2017-08-21,7180.0
2017-08-22,7185.0
2017-08-23,7230.0
2017-08-24,7215.0
2017-08-25,7245.0
2017-08-28,7360.0
2017-08-29,7345.0
2017-08-30,7440.0
2017-08-31,7445.0
2017-09-01,7420.0
2017-09-04,7500.0
2017-09-05,7690.0
2017-09-06,7625.0
2017-09-07,7465.0
2017-09-08,7450.0
2017-09-11,7475.0
2017-09-12,7360.0
2017-09-13,7210.0
2017-09-14,7150.0
2017-09-15,7050.0
2017-09-18,7135.0
2017-09-19,7140.0
2017-09-20,7125.0
2017-09-21,7065.0
2017-09-22,6950.0
2017-09-25,7030.0
2017-09-26,7130.0
2017-09-27,7130.0
2017-09-28,7130.0
2017-09-29,7115.0
2017-10-10,7300.0
2017-10-11,7285.0
2017-10-12,7345.0
2017-10-13,7450.0
2017-10-16,7605.0
2017-10-17,7695.0
2017-10-18,7675.0
2017-10-19,7630.0
2017-10-20,7645.0
2017-10-23,7645.0
2017-10-24,7675.0
2017-10-25,7620.0
2017-10-26,7585.0
2017-10-27,7510.0
2017-10-30,7420.0
2017-10-31,7420.0
2017-11-01,7390.0
2017-11-02,7450.0
2017-11-03,7395.0
2017-11-06,7475.0
2017-11-07,7440.0
2017-11-08,7390.0
2017-11-09,7330.0
2017-11-10,7330.0
2017-11-13,7375.0
2017-11-14,7300.0
2017-11-15,7310.0
2017-11-16,7160.0
2017-11-17,7170.0
2017-11-20,7135.0
2017-11-21,7155.0
2017-11-22,7170.0
2017-11-23,7220.0
2017-11-24,7275.0
2017-11-27,7280.0
2017-11-28,7215.0
2017-11-29,7080.0
