Date,TIGER 모멘텀
2014-12-22,20940.0
2014-12-23,21045.0
2014-12-24,21115.0
2014-12-26,21350.0
2014-12-29,21210.0
2014-12-30,21080.0
2015-01-02,21095.0
2015-01-05,21205.0
2015-01-06,21035.0
2015-01-07,20835.0
2015-01-08,20860.0
2015-01-09,21185.0
2015-01-12,21200.0
2015-01-13,21215.0
2015-01-14,21215.0
2015-01-15,21410.0
2015-01-16,21405.0
2015-01-19,21565.0
2015-01-20,21710.0
2015-01-21,21725.0
2015-01-22,21545.0
2015-01-23,21835.0
2015-01-26,22005.0
2015-01-27,22020.0
2015-01-28,22260.0
2015-01-29,22260.0
2015-01-30,22430.0
2015-02-02,22355.0
2015-02-03,22205.0
2015-02-04,22435.0
2015-02-05,22485.0
2015-02-06,22525.0
2015-02-09,22235.0
2015-02-10,22060.0
2015-02-11,22160.0
2015-02-12,22175.0
2015-02-13,22435.0
2015-02-16,22330.0
2015-02-17,22240.0
2015-02-23,22290.0
2015-02-24,22600.0
2015-02-25,22550.0
2015-02-26,22485.0
2015-02-27,22605.0
2015-03-02,22365.0
2015-03-03,22440.0
2015-03-04,22385.0
2015-03-05,22390.0
2015-03-06,22505.0
2015-03-09,22250.0
2015-03-10,22320.0
2015-03-11,22090.0
2015-03-12,22100.0
2015-03-13,22455.0
2015-03-16,22465.0
2015-03-17,22905.0
2015-03-18,22875.0
2015-03-19,23215.0
2015-03-20,23395.0
2015-03-23,23265.0
2015-03-24,23610.0
2015-03-25,23770.0
2015-03-26,23770.0
2015-03-27,23760.0
2015-03-30,24170.0
2015-03-31,24420.0
2015-04-01,24470.0
2015-04-02,24420.0
2015-04-03,24745.0
2015-04-06,24800.0
2015-04-07,24610.0
2015-04-08,24770.0
2015-04-09,24775.0
2015-04-10,25415.0
2015-04-13,25785.0
2015-04-14,25360.0
2015-04-15,25765.0
2015-04-16,25810.0
2015-04-17,26125.0
2015-04-20,26260.0
2015-04-21,26215.0
2015-04-22,26290.0
2015-04-23,26820.0
2015-04-24,26385.0
2015-04-27,26545.0
2015-04-28,26620.0
2015-04-29,26105.0
2015-04-30,25830.0
2015-05-04,25665.0
2015-05-06,25070.0
2015-05-07,25035.0
2015-05-08,25060.0
2015-05-11,25675.0
2015-05-12,25500.0
2015-05-13,25750.0
2015-05-14,26000.0
2015-05-15,25860.0
2015-05-18,26045.0
2015-05-19,26140.0
2015-05-20,26725.0
2015-05-21,26600.0
2015-05-22,26600.0
2015-05-26,26240.0
2015-05-27,25720.0
2015-05-28,25610.0
2015-05-29,25430.0
2015-06-01,25235.0
2015-06-02,24925.0
2015-06-03,25060.0
2015-06-04,25255.0
2015-06-05,24925.0
2015-06-08,25505.0
2015-06-09,25535.0
2015-06-10,25310.0
2015-06-11,25175.0
2015-06-12,25130.0
2015-06-15,25070.0
2015-06-16,25210.0
2015-06-17,25075.0
2015-06-18,25460.0
2015-06-19,25660.0
2015-06-22,25455.0
2015-06-23,25570.0
2015-06-24,25520.0
2015-06-25,25940.0
2015-06-26,25840.0
2015-06-29,25145.0
2015-06-30,25330.0
2015-07-01,25690.0
2015-07-02,25815.0
2015-07-03,25720.0
2015-07-06,24800.0
2015-07-07,24460.0
2015-07-08,23910.0
2015-07-09,24120.0
2015-07-10,24060.0
2015-07-13,24660.0
2015-07-14,24990.0
2015-07-15,25245.0
2015-07-16,24995.0
2015-07-17,25000.0
2015-07-20,25155.0
2015-07-21,25220.0
2015-07-22,24965.0
2015-07-23,25030.0
2015-07-24,24700.0
2015-07-27,24325.0
2015-07-28,24195.0
2015-07-29,23925.0
2015-07-30,23730.0
2015-07-31,24100.0
2015-08-03,23405.0
2015-08-04,23685.0
2015-08-05,24100.0
2015-08-06,24560.0
2015-08-07,24510.0
2015-08-10,24380.0
2015-08-11,23820.0
2015-08-12,23285.0
2015-08-13,23715.0
2015-08-17,23660.0
2015-08-18,23100.0
2015-08-19,22780.0
2015-08-20,22540.0
2015-08-21,22015.0
2015-08-24,21620.0
2015-08-25,21945.0
2015-08-26,22840.0
2015-08-27,23005.0
2015-08-28,23450.0
2015-08-31,23320.0
2015-09-01,22830.0
2015-09-02,22710.0
2015-09-03,22560.0
2015-09-04,21665.0
2015-09-07,21770.0
2015-09-08,21170.0
2015-09-09,22275.0
2015-09-10,22315.0
2015-09-11,22605.0
2015-09-14,22390.0
2015-09-15,22475.0
2015-09-16,22850.0
2015-09-17,22725.0
2015-09-18,23245.0
2015-09-21,23025.0
2015-09-22,23135.0
2015-09-23,22780.0
2015-09-24,22805.0
2015-09-25,22550.0
2015-09-30,22675.0
2015-10-01,22995.0
2015-10-02,22775.0
2015-10-05,23420.0
2015-10-06,23380.0
2015-10-07,22975.0
2015-10-08,22645.0
2015-10-12,22915.0
2015-10-13,22630.0
2015-10-14,22455.0
2015-10-15,22800.0
2015-10-16,22670.0
2015-10-19,22790.0
2015-10-20,22920.0
2015-10-21,22965.0
2015-10-22,22565.0
2015-10-23,22935.0
2015-10-26,22855.0
2015-10-27,22935.0
2015-10-28,23140.0
2015-10-29,22930.0
2015-10-30,22675.0
2015-11-02,22405.0
2015-11-03,22515.0
2015-11-04,22830.0
2015-11-05,22735.0
2015-11-06,22715.0
2015-11-09,22150.0
2015-11-10,21850.0
2015-11-11,21925.0
2015-11-12,21945.0
2015-11-13,21835.0
2015-11-16,21615.0
2015-11-17,22200.0
2015-11-18,21985.0
2015-11-19,22310.0
2015-11-20,22285.0
2015-11-23,22600.0
2015-11-24,22585.0
2015-11-25,22600.0
2015-11-26,22675.0
2015-11-27,22655.0
2015-11-30,22485.0
2015-12-01,22860.0
2015-12-02,22690.0
2015-12-03,22525.0
2015-12-04,22385.0
2015-12-07,22320.0
2015-12-08,22070.0
2015-12-09,22095.0
2015-12-10,21800.0
2015-12-11,21760.0
2015-12-14,21510.0
2015-12-15,21640.0
2015-12-16,22020.0
2015-12-17,22115.0
2015-12-18,22140.0
2015-12-21,22510.0
2015-12-22,22450.0
2015-12-23,22605.0
2015-12-24,22485.0
2015-12-28,22295.0
2015-12-29,22700.0
2015-12-30,22665.0
2016-01-04,22535.0
2016-01-05,22470.0
2016-01-06,22710.0
2016-01-07,22735.0
2016-01-08,23035.0
2016-01-11,22800.0
2016-01-12,22635.0
2016-01-13,22890.0
2016-01-14,22795.0
2016-01-15,22500.0
2016-01-18,22500.0
2016-01-19,22660.0
2016-01-20,22225.0
2016-01-21,22240.0
2016-01-22,22535.0
2016-01-25,22715.0
2016-01-26,22685.0
2016-01-27,22810.0
2016-01-28,22855.0
2016-01-29,23125.0
2016-02-01,23365.0
2016-02-02,23235.0
2016-02-03,23235.0
2016-02-04,23305.0
2016-02-05,23015.0
2016-02-11,22445.0
2016-02-12,21360.0
2016-02-15,21630.0
2016-02-16,21910.0
2016-02-17,21405.0
2016-02-18,21725.0
2016-02-19,22090.0
2016-02-22,22195.0
2016-02-23,22085.0
2016-02-24,21980.0
2016-02-25,22285.0
2016-02-26,22445.0
2016-02-29,22340.0
2016-03-02,22675.0
2016-03-03,22530.0
2016-03-04,22365.0
2016-03-07,22255.0
2016-03-08,22030.0
2016-03-09,22320.0
2016-03-10,22555.0
2016-03-11,22345.0
2016-03-14,22260.0
2016-03-15,22265.0
2016-03-16,22665.0
2016-03-17,22770.0
2016-03-18,22635.0
2016-03-21,22370.0
2016-03-22,22375.0
2016-03-23,22535.0
2016-03-24,22675.0
2016-03-25,22800.0
2016-03-28,22700.0
2016-03-29,22730.0
2016-03-30,22785.0
2016-03-31,22720.0
2016-04-01,22560.0
2016-04-04,22715.0
2016-04-05,22555.0
2016-04-06,22825.0
2016-04-07,22840.0
2016-04-08,22825.0
2016-04-11,22705.0
2016-04-12,22680.0
2016-04-14,22710.0
2016-04-15,22595.0
2016-04-18,22625.0
2016-04-19,22525.0
2016-04-20,22545.0
2016-04-21,22625.0
2016-04-22,22380.0
2016-04-25,22500.0
2016-04-26,22460.0
2016-04-27,22305.0
2016-04-28,21870.0
2016-04-29,21755.0
2016-05-02,21545.0
2016-05-03,21660.0
2016-05-04,21515.0
2016-05-09,21665.0
2016-05-10,21810.0
2016-05-11,21875.0
2016-05-12,21870.0
2016-05-13,21800.0
2016-05-16,21680.0
2016-05-17,21935.0
2016-05-18,21585.0
2016-05-19,21305.0
2016-05-20,21280.0
2016-05-23,21480.0
2016-05-24,21480.0
2016-05-25,21400.0
2016-05-26,21515.0
2016-05-27,21560.0
2016-05-30,21510.0
2016-05-31,21455.0
2016-06-01,21465.0
2016-06-02,21365.0
2016-06-03,21290.0
2016-06-07,21595.0
2016-06-08,21640.0
2016-06-09,21670.0
2016-06-10,21780.0
2016-06-13,21385.0
2016-06-14,21110.0
2016-06-15,21070.0
2016-06-16,20845.0
2016-06-17,20655.0
2016-06-20,20935.0
2016-06-21,20950.0
2016-06-22,21100.0
2016-06-23,20845.0
2016-06-24,20135.0
2016-06-27,20215.0
2016-06-28,20445.0
2016-06-29,20750.0
2016-06-30,20755.0
2016-07-01,20870.0
2016-07-04,21055.0
2016-07-05,21055.0
2016-07-06,20735.0
2016-07-07,20930.0
2016-07-08,20855.0
2016-07-11,21045.0
2016-07-12,21045.0
2016-07-13,21005.0
2016-07-14,20980.0
2016-07-15,20825.0
2016-07-18,20690.0
2016-07-19,20630.0
2016-07-20,20690.0
2016-07-21,20725.0
2016-07-22,20790.0
2016-07-25,20600.0
2016-07-26,20610.0
2016-07-27,20485.0
2016-07-28,20560.0
2016-07-29,20480.0
2016-08-01,20765.0
2016-08-02,20560.0
2016-08-03,20260.0
2016-08-04,20340.0
2016-08-05,20405.0
2016-08-08,20615.0
2016-08-09,20635.0
2016-08-10,20885.0
2016-08-11,20855.0
2016-08-12,20800.0
2016-08-16,20735.0
2016-08-17,20760.0
2016-08-18,20615.0
2016-08-19,20430.0
2016-08-22,20230.0
2016-08-23,20250.0
2016-08-24,20245.0
2016-08-25,20180.0
2016-08-26,20170.0
2016-08-29,20005.0
2016-08-30,20175.0
2016-08-31,20245.0
2016-09-01,20285.0
2016-09-02,20415.0
