Date,KODEX 구리선물(H)
2014-12-22,6575.0
2014-12-23,6530.0
2014-12-24,6510.0
2014-12-26,6465.0
2014-12-29,6445.0
2014-12-30,6420.0
2015-01-02,6435.0
2015-01-05,6370.0
2015-01-06,6310.0
2015-01-07,6270.0
2015-01-08,6275.0
2015-01-09,6290.0
2015-01-12,6240.0
2015-01-13,6165.0
2015-01-14,5650.0
2015-01-15,5825.0
2015-01-16,5835.0
2015-01-19,5945.0
2015-01-20,5855.0
2015-01-21,5850.0
2015-01-22,5910.0
2015-01-23,5770.0
2015-01-26,5600.0
2015-01-27,5735.0
2015-01-28,5630.0
2015-01-29,5620.0
2015-01-30,5600.0
2015-02-02,5700.0
2015-02-03,5760.0
2015-02-04,5895.0
2015-02-05,5870.0
2015-02-06,5900.0
2015-02-09,5860.0
2015-02-10,5865.0
2015-02-11,5820.0
2015-02-12,5780.0
2015-02-13,5995.0
2015-02-16,5925.0
2015-02-17,5940.0
2015-02-23,5940.0
2015-02-24,5850.0
2015-02-25,5920.0
2015-02-26,5995.0
2015-02-27,6045.0
2015-03-02,6085.0
2015-03-03,6060.0
2015-03-04,6015.0
2015-03-05,6015.0
2015-03-06,5985.0
2015-03-09,5910.0
2015-03-10,5980.0
2015-03-11,5950.0
2015-03-12,5945.0
2015-03-13,6025.0
2015-03-16,6035.0
2015-03-17,6005.0
2015-03-18,5935.0
2015-03-19,5925.0
2015-03-20,6025.0
2015-03-23,6270.0
2015-03-24,6300.0
2015-03-25,6300.0
2015-03-26,6325.0
2015-03-27,6285.0
2015-03-30,6285.0
2015-03-31,6300.0
2015-04-01,6260.0
2015-04-02,6250.0
2015-04-03,6175.0
2015-04-06,6230.0
2015-04-07,6215.0
2015-04-08,6240.0
2015-04-09,6200.0
2015-04-10,6250.0
2015-04-13,6210.0
2015-04-14,6145.0
2015-04-15,6145.0
2015-04-16,6195.0
2015-04-17,6270.0
2015-04-20,6300.0
2015-04-21,6205.0
2015-04-22,6155.0
2015-04-23,6110.0
2015-04-24,6120.0
2015-04-27,6225.0
2015-04-28,6240.0
2015-04-29,6260.0
2015-04-30,6345.0
2015-05-04,6565.0
2015-05-06,6630.0
2015-05-07,6600.0
2015-05-08,6610.0
2015-05-11,6560.0
2015-05-12,6625.0
2015-05-13,6635.0
2015-05-14,6620.0
2015-05-15,6620.0
2015-05-18,6610.0
2015-05-19,6605.0
2015-05-20,6435.0
2015-05-21,6460.0
2015-05-22,6475.0
2015-05-26,6420.0
2015-05-27,6330.0
2015-05-28,6290.0
2015-05-29,6350.0
2015-06-01,6220.0
2015-06-02,6205.0
2015-06-03,6235.0
2015-06-04,6195.0
2015-06-05,6115.0
2015-06-08,6135.0
2015-06-09,6145.0
2015-06-10,6175.0
2015-06-11,6210.0
2015-06-12,6065.0
2015-06-15,6025.0
2015-06-16,5985.0
2015-06-17,5930.0
2015-06-18,5965.0
2015-06-19,5905.0
2015-06-22,5845.0
2015-06-23,5900.0
2015-06-24,5920.0
2015-06-25,5935.0
2015-06-26,5940.0
2015-06-29,5940.0
2015-06-30,5980.0
2015-07-01,5940.0
2015-07-02,5955.0
2015-07-03,5990.0
2015-07-06,5710.0
2015-07-07,5670.0
2015-07-08,5460.0
2015-07-09,5670.0
2015-07-10,5750.0
2015-07-13,5675.0
2015-07-14,5730.0
2015-07-15,5715.0
2015-07-16,5740.0
2015-07-17,5725.0
2015-07-20,5620.0
2015-07-21,5610.0
2015-07-22,5525.0
2015-07-23,5520.0
2015-07-24,5360.0
2015-07-27,5375.0
2015-07-28,5345.0
2015-07-29,5480.0
2015-07-30,5425.0
2015-07-31,5380.0
2015-08-03,5300.0
2015-08-04,5305.0
2015-08-05,5305.0
2015-08-06,5330.0
2015-08-07,5265.0
2015-08-10,5290.0
2015-08-11,5350.0
2015-08-12,5190.0
2015-08-13,5270.0
2015-08-17,5270.0
2015-08-18,5200.0
2015-08-19,5130.0
2015-08-20,5150.0
2015-08-21,5175.0
2015-08-24,5070.0
2015-08-25,5060.0
2015-08-26,5130.0
2015-08-27,5090.0
2015-08-28,5215.0
2015-08-31,5250.0
2015-09-01,5250.0
2015-09-02,5185.0
2015-09-03,5280.0
2015-09-04,5280.0
2015-09-07,5220.0
2015-09-08,5265.0
2015-09-09,5550.0
2015-09-10,5475.0
2015-09-11,5505.0
2015-09-14,5470.0
2015-09-15,5420.0
2015-09-16,5430.0
2015-09-17,5540.0
2015-09-18,5485.0
2015-09-21,5370.0
2015-09-22,5355.0
2015-09-23,5170.0
2015-09-24,5185.0
2015-09-25,5215.0
2015-09-30,5135.0
2015-10-01,5305.0
2015-10-02,5190.0
2015-10-05,5260.0
2015-10-06,5250.0
2015-10-07,5305.0
2015-10-08,5275.0
2015-10-12,5435.0
2015-10-13,5390.0
2015-10-14,5385.0
2015-10-15,5435.0
2015-10-16,5400.0
2015-10-19,5350.0
2015-10-20,5275.0
2015-10-21,5280.0
2015-10-22,5285.0
2015-10-23,5340.0
2015-10-26,5285.0
2015-10-27,5295.0
2015-10-28,5280.0
2015-10-29,5270.0
2015-10-30,5270.0
2015-11-02,5210.0
2015-11-03,5205.0
2015-11-04,5235.0
2015-11-05,5180.0
2015-11-06,5090.0
2015-11-09,5035.0
2015-11-10,4975.0
2015-11-11,4965.0
2015-11-12,4980.0
2015-11-13,4855.0
2015-11-16,4840.0
2015-11-17,4660.0
2015-11-18,4655.0
2015-11-19,4650.0
2015-11-20,4680.0
2015-11-23,4480.0
2015-11-24,4520.0
2015-11-25,4605.0
2015-11-26,4670.0
2015-11-27,4655.0
2015-11-30,4595.0
2015-12-01,4615.0
2015-12-02,4610.0
2015-12-03,4530.0
2015-12-04,4580.0
2015-12-07,4635.0
2015-12-08,4560.0
2015-12-09,4585.0
2015-12-10,4600.0
2015-12-11,4690.0
2015-12-14,4690.0
2015-12-15,4675.0
2015-12-16,4590.0
2015-12-17,4590.0
2015-12-18,4590.0
2015-12-21,4685.0
2015-12-22,4730.0
2015-12-23,4715.0
2015-12-24,4725.0
2015-12-28,4675.0
2015-12-29,4690.0
2015-12-30,4745.0
2016-01-04,4690.0
2016-01-05,4650.0
2016-01-06,4650.0
2016-01-07,4600.0
2016-01-08,4515.0
2016-01-11,4440.0
2016-01-12,4385.0
2016-01-13,4395.0
2016-01-14,4375.0
2016-01-15,4380.0
2016-01-18,4365.0
2016-01-19,4430.0
2016-01-20,4375.0
2016-01-21,4395.0
2016-01-22,4440.0
2016-01-25,4440.0
2016-01-26,4440.0
2016-01-27,4525.0
2016-01-28,4565.0
2016-01-29,4575.0
2016-02-01,4545.0
2016-02-02,4575.0
2016-02-03,4580.0
2016-02-04,4690.0
2016-02-05,4695.0
2016-02-11,4475.0
2016-02-12,4470.0
2016-02-15,4630.0
2016-02-16,4620.0
2016-02-17,4565.0
2016-02-18,4600.0
2016-02-19,4610.0
2016-02-22,4690.0
2016-02-23,4670.0
2016-02-24,4620.0
2016-02-25,4675.0
2016-02-26,4645.0
2016-02-29,4675.0
2016-03-02,4800.0
2016-03-03,4845.0
2016-03-04,4925.0
2016-03-07,5000.0
2016-03-08,4980.0
2016-03-09,4935.0
2016-03-10,4955.0
2016-03-11,4970.0
2016-03-14,4995.0
2016-03-15,4935.0
2016-03-16,4980.0
2016-03-17,5020.0
2016-03-18,5125.0
2016-03-21,5060.0
2016-03-22,5080.0
2016-03-23,5055.0
2016-03-24,4960.0
2016-03-25,4930.0
2016-03-28,4945.0
2016-03-29,4950.0
2016-03-30,4880.0
2016-03-31,4845.0
2016-04-01,4845.0
2016-04-04,4800.0
2016-04-05,4785.0
2016-04-06,4770.0
2016-04-07,4770.0
2016-04-08,4625.0
2016-04-11,4660.0
2016-04-12,4645.0
2016-04-14,4785.0
2016-04-15,4790.0
2016-04-18,4745.0
2016-04-19,4790.0
2016-04-20,4850.0
2016-04-21,4980.0
2016-04-22,4965.0
2016-04-25,4995.0
2016-04-26,4935.0
2016-04-27,4930.0
2016-04-28,4895.0
2016-04-29,4960.0
2016-05-02,5005.0
2016-05-03,4955.0
2016-05-04,4910.0
2016-05-09,4685.0
2016-05-10,4675.0
2016-05-11,4670.0
2016-05-12,4690.0
2016-05-13,4605.0
2016-05-16,4595.0
2016-05-17,4620.0
2016-05-18,4570.0
2016-05-19,4530.0
2016-05-20,4565.0
2016-05-23,4510.0
2016-05-24,4520.0
2016-05-25,4595.0
2016-05-26,4660.0
2016-05-27,4650.0
2016-05-30,4620.0
2016-05-31,4645.0
2016-06-01,4570.0
