Date,TIGER 원유선물Enhanced(H)
2015-02-09,5800.0
2015-02-10,5790.0
2015-02-11,5705.0
2015-02-12,5695.0
2015-02-13,5865.0
2015-02-16,5905.0
2015-02-17,5930.0
2015-02-23,5725.0
2015-02-24,5625.0
2015-02-25,5595.0
2015-02-26,5740.0
2015-02-27,5670.0
2015-03-02,5740.0
2015-03-03,5705.0
2015-03-04,5720.0
2015-03-05,5725.0
2015-03-06,5720.0
2015-03-09,5620.0
2015-03-10,5605.0
2015-03-11,5500.0
2015-03-12,5545.0
2015-03-13,5475.0
2015-03-16,5240.0
2015-03-17,5165.0
2015-03-18,5040.0
2015-03-19,5160.0
2015-03-20,5120.0
2015-03-23,5145.0
2015-03-24,5180.0
2015-03-25,5190.0
2015-03-26,5485.0
2015-03-27,5435.0
2015-03-30,5275.0
2015-03-31,5295.0
2015-04-01,5230.0
2015-04-02,5360.0
2015-04-03,5275.0
2015-04-06,5360.0
2015-04-07,5520.0
2015-04-08,5555.0
2015-04-09,5430.0
2015-04-10,5455.0
2015-04-13,5545.0
2015-04-14,5595.0
2015-04-15,5675.0
2015-04-16,5855.0
2015-04-17,5850.0
2015-04-20,5945.0
2015-04-21,5915.0
2015-04-22,5760.0
2015-04-23,5835.0
2015-04-24,5955.0
2015-04-27,5950.0
2015-04-28,5870.0
2015-04-29,5890.0
2015-04-30,5970.0
2015-05-04,6055.0
2015-05-06,6245.0
2015-05-07,6155.0
2015-05-08,5985.0
2015-05-11,6025.0
2015-05-12,6020.0
2015-05-13,6200.0
2015-05-14,6120.0
2015-05-15,6050.0
2015-05-18,6045.0
2015-05-19,5990.0
2015-05-20,5870.0
2015-05-21,5890.0
2015-05-22,5990.0
2015-05-26,5930.0
2015-05-27,5830.0
2015-05-28,5745.0
2015-05-29,5780.0
2015-06-01,5900.0
2015-06-02,5910.0
2015-06-03,5980.0
2015-06-04,5890.0
2015-06-05,5795.0
2015-06-08,5830.0
2015-06-09,5810.0
2015-06-10,6050.0
2015-06-11,6020.0
2015-06-12,5990.0
2015-06-15,5915.0
2015-06-16,5970.0
2015-06-17,5965.0
2015-06-18,5965.0
2015-06-19,6000.0
2015-06-22,5930.0
2015-06-23,5970.0
2015-06-24,6015.0
2015-06-25,5955.0
2015-06-26,5925.0
2015-06-29,5815.0
2015-06-30,5795.0
2015-07-01,5825.0
2015-07-02,5705.0
2015-07-03,5650.0
2015-07-06,5475.0
2015-07-07,5330.0
2015-07-08,5225.0
2015-07-09,5325.0
2015-07-10,5380.0
2015-07-13,5240.0
2015-07-14,5265.0
2015-07-15,5290.0
2015-07-16,5215.0
2015-07-17,5155.0
2015-07-20,5120.0
2015-07-21,5105.0
2015-07-22,5115.0
2015-07-23,5065.0
2015-07-24,4990.0
2015-07-27,4950.0
2015-07-28,4925.0
2015-07-29,4910.0
2015-07-30,4965.0
