Date,KODEX 은행
2014-12-22,7275.0
2014-12-23,7290.0
2014-12-24,7365.0
2014-12-26,7385.0
2014-12-29,7340.0
2014-12-30,7135.0
2015-01-02,7065.0
2015-01-05,6970.0
2015-01-06,6885.0
2015-01-07,6815.0
2015-01-08,7055.0
2015-01-09,7150.0
2015-01-12,6960.0
2015-01-13,6970.0
2015-01-14,7025.0
2015-01-15,6980.0
2015-01-16,6870.0
2015-01-19,6995.0
2015-01-20,7025.0
2015-01-21,7035.0
2015-01-22,7060.0
2015-01-23,7180.0
2015-01-26,7215.0
2015-01-27,7200.0
2015-01-28,7005.0
2015-01-29,7070.0
2015-01-30,7030.0
2015-02-02,7020.0
2015-02-03,7145.0
2015-02-04,7175.0
2015-02-05,6850.0
2015-02-06,6905.0
2015-02-09,6805.0
2015-02-10,6830.0
2015-02-11,6915.0
2015-02-12,6820.0
2015-02-13,6960.0
2015-02-16,6935.0
2015-02-17,7075.0
2015-02-23,7085.0
2015-02-24,7115.0
2015-02-25,7160.0
2015-02-26,7165.0
2015-02-27,7145.0
2015-03-02,6960.0
2015-03-03,7010.0
2015-03-04,6990.0
2015-03-05,6935.0
2015-03-06,6860.0
2015-03-09,6830.0
2015-03-10,6850.0
2015-03-11,6750.0
2015-03-12,6945.0
2015-03-13,6885.0
2015-03-16,6930.0
2015-03-17,7105.0
2015-03-18,7125.0
2015-03-19,7200.0
2015-03-20,7205.0
2015-03-23,7165.0
2015-03-24,7015.0
2015-03-25,6870.0
2015-03-26,6990.0
2015-03-27,6955.0
2015-03-30,6925.0
2015-03-31,7035.0
2015-04-01,6910.0
2015-04-02,6935.0
2015-04-03,6985.0
2015-04-06,6870.0
2015-04-07,6810.0
2015-04-08,6750.0
2015-04-09,6675.0
2015-04-10,6820.0
2015-04-13,6885.0
2015-04-14,7340.0
2015-04-15,7235.0
2015-04-16,7305.0
2015-04-17,7360.0
2015-04-20,7380.0
2015-04-21,7305.0
2015-04-22,7225.0
2015-04-23,7550.0
2015-04-24,7630.0
2015-04-27,7565.0
2015-04-28,7485.0
2015-04-29,7445.0
2015-04-30,7375.0
2015-05-04,7590.0
2015-05-06,7555.0
2015-05-07,7365.0
2015-05-08,7325.0
2015-05-11,7330.0
2015-05-12,7430.0
2015-05-13,7450.0
2015-05-14,7405.0
2015-05-15,7315.0
2015-05-18,7235.0
2015-05-19,7250.0
2015-05-20,7320.0
2015-05-21,7150.0
2015-05-22,7295.0
2015-05-26,7190.0
2015-05-27,7000.0
2015-05-28,7095.0
2015-05-29,7170.0
2015-06-01,7030.0
2015-06-02,7005.0
2015-06-03,7045.0
2015-06-04,6890.0
2015-06-05,6795.0
2015-06-08,6880.0
2015-06-09,6870.0
2015-06-10,7030.0
2015-06-11,7030.0
2015-06-12,6920.0
2015-06-15,6800.0
2015-06-16,6645.0
2015-06-17,6695.0
2015-06-18,6615.0
2015-06-19,6565.0
2015-06-22,6625.0
2015-06-23,6760.0
2015-06-24,6795.0
2015-06-25,6770.0
2015-06-26,6850.0
2015-06-29,6820.0
2015-06-30,6830.0
2015-07-01,6815.0
2015-07-02,6730.0
2015-07-03,6715.0
2015-07-06,6580.0
2015-07-07,6675.0
2015-07-08,6560.0
2015-07-09,6535.0
2015-07-10,6520.0
2015-07-13,6700.0
2015-07-14,6800.0
2015-07-15,6480.0
2015-07-16,6595.0
2015-07-17,6430.0
2015-07-20,6425.0
2015-07-21,6490.0
2015-07-22,6435.0
2015-07-23,6460.0
2015-07-24,6320.0
2015-07-27,6440.0
2015-07-28,6485.0
2015-07-29,6470.0
2015-07-30,6655.0
2015-07-31,6755.0
2015-08-03,6720.0
2015-08-04,6835.0
2015-08-05,6775.0
2015-08-06,6785.0
2015-08-07,6795.0
2015-08-10,6935.0
2015-08-11,6855.0
2015-08-12,6855.0
2015-08-13,6630.0
2015-08-17,6660.0
2015-08-18,6785.0
2015-08-19,6790.0
2015-08-20,6705.0
2015-08-21,6595.0
2015-08-24,6345.0
2015-08-25,6335.0
2015-08-26,6345.0
2015-08-27,6355.0
2015-08-28,6510.0
2015-08-31,6460.0
2015-09-01,6355.0
2015-09-02,6400.0
2015-09-03,6315.0
2015-09-04,6275.0
2015-09-07,6265.0
2015-09-08,6275.0
2015-09-09,6400.0
2015-09-10,6510.0
2015-09-11,6470.0
2015-09-14,6470.0
2015-09-15,6495.0
2015-09-16,6600.0
2015-09-17,6645.0
2015-09-18,6460.0
2015-09-21,6445.0
2015-09-22,6490.0
2015-09-23,6400.0
2015-09-24,6395.0
2015-09-25,6395.0
2015-09-30,6495.0
2015-10-01,6490.0
2015-10-02,6420.0
2015-10-05,6380.0
2015-10-06,6420.0
2015-10-07,6375.0
2015-10-08,6435.0
2015-10-12,6595.0
2015-10-13,6600.0
2015-10-14,6555.0
2015-10-15,6635.0
2015-10-16,6660.0
2015-10-19,6685.0
2015-10-20,6770.0
2015-10-21,6820.0
2015-10-22,6810.0
2015-10-23,6855.0
2015-10-26,6815.0
2015-10-27,6800.0
2015-10-28,6735.0
2015-10-29,6645.0
2015-10-30,6740.0
2015-11-02,6740.0
2015-11-03,6795.0
2015-11-04,6795.0
2015-11-05,6750.0
2015-11-06,6720.0
2015-11-09,6775.0
2015-11-10,6655.0
2015-11-11,6580.0
2015-11-12,6610.0
2015-11-13,6505.0
2015-11-16,6370.0
2015-11-17,6420.0
2015-11-18,6310.0
2015-11-19,6405.0
2015-11-20,6400.0
2015-11-23,6390.0
2015-11-24,6390.0
2015-11-25,6335.0
2015-11-26,6330.0
2015-11-27,6350.0
2015-11-30,6280.0
2015-12-01,6315.0
2015-12-02,6255.0
2015-12-03,6180.0
2015-12-04,6135.0
2015-12-07,6105.0
2015-12-08,6065.0
2015-12-09,6040.0
2015-12-10,6135.0
2015-12-11,6110.0
2015-12-14,6085.0
2015-12-15,6075.0
2015-12-16,6170.0
2015-12-17,6110.0
2015-12-18,6055.0
2015-12-21,6095.0
2015-12-22,6055.0
2015-12-23,6095.0
2015-12-24,6110.0
2015-12-28,6055.0
2015-12-29,6110.0
2015-12-30,6085.0
2016-01-04,5940.0
2016-01-05,6010.0
2016-01-06,5970.0
2016-01-07,5885.0
2016-01-08,5915.0
2016-01-11,5785.0
2016-01-12,5790.0
2016-01-13,5870.0
2016-01-14,5770.0
2016-01-15,5575.0
2016-01-18,5620.0
2016-01-19,5550.0
2016-01-20,5365.0
2016-01-21,5420.0
2016-01-22,5525.0
2016-01-25,5600.0
2016-01-26,5480.0
2016-01-27,5570.0
2016-01-28,5700.0
2016-01-29,5765.0
2016-02-01,5730.0
2016-02-02,5650.0
2016-02-03,5500.0
2016-02-04,5590.0
2016-02-05,5780.0
2016-02-11,5565.0
2016-02-12,5535.0
2016-02-15,5730.0
2016-02-16,5740.0
2016-02-17,5945.0
2016-02-18,5880.0
2016-02-19,5815.0
2016-02-22,5780.0
2016-02-23,5785.0
2016-02-24,5750.0
2016-02-25,5715.0
2016-02-26,5715.0
2016-02-29,5660.0
2016-03-02,5705.0
2016-03-03,5785.0
2016-03-04,5935.0
2016-03-07,6000.0
2016-03-08,5960.0
2016-03-09,5965.0
2016-03-10,5980.0
2016-03-11,6050.0
2016-03-14,6140.0
2016-03-15,6120.0
2016-03-16,6155.0
2016-03-17,6175.0
2016-03-18,6180.0
2016-03-21,6200.0
2016-03-22,6160.0
2016-03-23,6130.0
2016-03-24,6080.0
2016-03-25,6025.0
2016-03-28,6060.0
2016-03-29,6170.0
2016-03-30,6090.0
2016-03-31,6150.0
2016-04-01,6045.0
2016-04-04,6000.0
2016-04-05,6025.0
2016-04-06,6000.0
2016-04-07,6050.0
2016-04-08,5985.0
2016-04-11,5950.0
2016-04-12,5985.0
2016-04-14,6285.0
