Date,KBSTAR 중기우량회사채
2014-12-19,102830.0
2014-12-22,102965.0
2014-12-23,103010.0
2014-12-24,103000.0
2014-12-26,102975.0
2014-12-29,103030.0
2014-12-30,103170.0
2015-01-02,103145.0
2015-01-05,103140.0
2015-01-06,103215.0
2015-01-07,103330.0
2015-01-08,103310.0
2015-01-09,103400.0
2015-01-12,103455.0
2015-01-13,103430.0
2015-01-14,103540.0
2015-01-15,103575.0
2015-01-16,103660.0
2015-01-19,103550.0
2015-01-20,103570.0
2015-01-21,103545.0
2015-01-22,103520.0
2015-01-23,103620.0
2015-01-26,103680.0
2015-01-27,103620.0
2015-01-28,103700.0
2015-01-29,103690.0
2015-01-30,103785.0
2015-02-02,103730.0
2015-02-03,103880.0
2015-02-04,103840.0
2015-02-05,103880.0
2015-02-06,103850.0
2015-02-09,103765.0
2015-02-10,103670.0
2015-02-11,103650.0
2015-02-12,103640.0
2015-02-13,103655.0
2015-02-16,103690.0
2015-02-17,103720.0
2015-02-23,103715.0
2015-02-24,103775.0
2015-02-25,103840.0
2015-02-26,103865.0
2015-02-27,103915.0
2015-03-02,103985.0
2015-03-03,103925.0
2015-03-04,103980.0
2015-03-05,104075.0
2015-03-06,104175.0
2015-03-09,104085.0
2015-03-10,104140.0
2015-03-11,104220.0
2015-03-12,104295.0
2015-03-13,104355.0
2015-03-16,104340.0
2015-03-17,104385.0
2015-03-18,104380.0
2015-03-19,104520.0
2015-03-20,104605.0
2015-03-23,104620.0
2015-03-24,104625.0
2015-03-25,104595.0
2015-03-26,104655.0
2015-03-27,104710.0
2015-03-30,104655.0
2015-03-31,104860.0
2015-04-01,104855.0
2015-04-02,104840.0
2015-04-03,104795.0
2015-04-06,104850.0
2015-04-07,104965.0
2015-04-08,104870.0
2015-04-09,104880.0
2015-04-10,104970.0
2015-04-13,104915.0
2015-04-14,104895.0
2015-04-15,104865.0
2015-04-16,104945.0
2015-04-17,105005.0
2015-04-20,105005.0
2015-04-21,104980.0
2015-04-22,104955.0
2015-04-23,104885.0
2015-04-24,104815.0
2015-04-27,104790.0
2015-04-28,104640.0
2015-04-29,104570.0
2015-04-30,104690.0
2015-05-04,104575.0
2015-05-06,104450.0
2015-05-07,104335.0
2015-05-08,104490.0
2015-05-11,104605.0
2015-05-12,104460.0
2015-05-13,104465.0
2015-05-14,104525.0
2015-05-15,104435.0
2015-05-18,104565.0
2015-05-19,104500.0
2015-05-20,104560.0
2015-05-21,104625.0
2015-05-22,104580.0
2015-05-26,104680.0
2015-05-27,104690.0
2015-05-28,104735.0
2015-05-29,104925.0
2015-06-01,104845.0
2015-06-02,104975.0
2015-06-03,104800.0
2015-06-04,104795.0
2015-06-05,104910.0
2015-06-08,103200.0
2015-06-09,103170.0
2015-06-10,103180.0
2015-06-11,103105.0
2015-06-12,103195.0
2015-06-15,103160.0
2015-06-16,103125.0
2015-06-17,103120.0
2015-06-18,103200.0
2015-06-19,103235.0
2015-06-22,103165.0
2015-06-23,103145.0
2015-06-24,103135.0
2015-06-25,103135.0
2015-06-26,103120.0
2015-06-29,103170.0
2015-06-30,103185.0
2015-07-01,103205.0
2015-07-02,103170.0
2015-07-03,103165.0
2015-07-06,103175.0
2015-07-07,103200.0
2015-07-08,103210.0
2015-07-09,103300.0
2015-07-10,103280.0
2015-07-13,103275.0
2015-07-14,103245.0
2015-07-15,103260.0
2015-07-16,103305.0
2015-07-17,103320.0
2015-07-20,103345.0
2015-07-21,103435.0
2015-07-22,103410.0
2015-07-23,103585.0
2015-07-24,103595.0
2015-07-27,103650.0
2015-07-28,103600.0
2015-07-29,103555.0
2015-07-30,103590.0
2015-07-31,103550.0
2015-08-03,103575.0
2015-08-04,103540.0
2015-08-05,103450.0
2015-08-06,103470.0
2015-08-07,103540.0
2015-08-10,103580.0
2015-08-11,103685.0
2015-08-12,103785.0
2015-08-13,103740.0
2015-08-17,103690.0
2015-08-18,103730.0
2015-08-19,103730.0
2015-08-20,103725.0
2015-08-21,103810.0
2015-08-24,103815.0
2015-08-25,103770.0
2015-08-26,103745.0
2015-08-27,103790.0
2015-08-28,103800.0
2015-08-31,103775.0
2015-09-01,103725.0
2015-09-02,103810.0
2015-09-03,103910.0
2015-09-04,103965.0
2015-09-07,104000.0
2015-09-08,103900.0
2015-09-09,103925.0
2015-09-10,104020.0
2015-09-11,103920.0
2015-09-14,103905.0
2015-09-15,103875.0
2015-09-16,103870.0
2015-09-17,103790.0
2015-09-18,103915.0
2015-09-21,103965.0
2015-09-22,103980.0
2015-09-23,103930.0
2015-09-24,103920.0
2015-09-25,103905.0
2015-09-30,104040.0
2015-10-01,104035.0
2015-10-02,104025.0
2015-10-05,104030.0
2015-10-06,104030.0
2015-10-07,103970.0
2015-10-08,103930.0
2015-10-12,103925.0
2015-10-13,103925.0
2015-10-14,103915.0
2015-10-15,104010.0
2015-10-16,103950.0
2015-10-19,103975.0
2015-10-20,103975.0
2015-10-21,103975.0
2015-10-22,103975.0
2015-10-23,103985.0
2015-10-26,103765.0
2015-10-27,104055.0
2015-10-28,104040.0
2015-10-29,103910.0
2015-10-30,104025.0
2015-11-02,103900.0
2015-11-03,103910.0
2015-11-04,103910.0
2015-11-05,103980.0
2015-11-06,103940.0
2015-11-09,103700.0
2015-11-10,103500.0
2015-11-11,103700.0
2015-11-12,103470.0
2015-11-13,103515.0
2015-11-16,103605.0
2015-11-17,103680.0
2015-11-18,103700.0
2015-11-19,103605.0
2015-11-20,103645.0
2015-11-23,103550.0
2015-11-24,103545.0
2015-11-25,103515.0
2015-11-26,103500.0
2015-11-27,103465.0
2015-11-30,103460.0
2015-12-01,103515.0
2015-12-02,103500.0
2015-12-03,103505.0
2015-12-04,103465.0
2015-12-07,103460.0
2015-12-08,102225.0
2015-12-09,102280.0
2015-12-10,102385.0
2015-12-11,102300.0
2015-12-14,102325.0
2015-12-15,102335.0
2015-12-16,102340.0
2015-12-17,102385.0
2015-12-18,102400.0
2015-12-21,102585.0
2015-12-22,102585.0
2015-12-23,102790.0
2015-12-24,102800.0
2015-12-28,102605.0
2015-12-29,102875.0
2015-12-30,102865.0
2016-01-04,102830.0
2016-01-05,102850.0
2016-01-06,102890.0
2016-01-07,102850.0
2016-01-08,102545.0
2016-01-11,102615.0
2016-01-12,102730.0
2016-01-13,102760.0
2016-01-14,102785.0
2016-01-15,102890.0
2016-01-18,102850.0
2016-01-19,102880.0
2016-01-20,102935.0
2016-01-21,102955.0
2016-01-22,103270.0
2016-01-25,103270.0
2016-01-26,103270.0
2016-01-27,103270.0
2016-01-28,103270.0
2016-01-29,103450.0
2016-02-01,103300.0
2016-02-02,103345.0
2016-02-03,103675.0
2016-02-04,103400.0
2016-02-05,103460.0
2016-02-11,103860.0
2016-02-12,103800.0
2016-02-15,103785.0
2016-02-16,103565.0
2016-02-17,103620.0
2016-02-18,103915.0
2016-02-19,103900.0
2016-02-22,103855.0
2016-02-23,103860.0
2016-02-24,103860.0
2016-02-25,103895.0
2016-02-26,103920.0
2016-02-29,103920.0
2016-03-02,103955.0
2016-03-03,103880.0
2016-03-04,103670.0
2016-03-07,103850.0
2016-03-08,103850.0
2016-03-09,103700.0
2016-03-10,103895.0
2016-03-11,103790.0
2016-03-14,103770.0
2016-03-15,103795.0
2016-03-16,103780.0
2016-03-17,103860.0
2016-03-18,103870.0
2016-03-21,103930.0
2016-03-22,103920.0
2016-03-23,103650.0
2016-03-24,103975.0
2016-03-25,103965.0
2016-03-28,103920.0
2016-03-29,104070.0
2016-03-30,104085.0
2016-03-31,104115.0
2016-04-01,104190.0
2016-04-04,104190.0
2016-04-05,104210.0
2016-04-06,104205.0
2016-04-07,104225.0
2016-04-08,104205.0
2016-04-11,104220.0
2016-04-12,104230.0
2016-04-14,104175.0
2016-04-15,104175.0
2016-04-18,104205.0
2016-04-19,103895.0
2016-04-20,104230.0
2016-04-21,104230.0
2016-04-22,104280.0
2016-04-25,104300.0
2016-04-26,104325.0
2016-04-27,104260.0
2016-04-28,104375.0
2016-04-29,104355.0
2016-05-02,104280.0
2016-05-03,104365.0
2016-05-04,104450.0
2016-05-09,104500.0
2016-05-10,104515.0
2016-05-11,104505.0
2016-05-12,104505.0
2016-05-13,104480.0
2016-05-16,104470.0
2016-05-17,104435.0
2016-05-18,104395.0
2016-05-19,104345.0
2016-05-20,104400.0
2016-05-23,104400.0
2016-05-24,104475.0
2016-05-25,104475.0
2016-05-26,104485.0
2016-05-27,104475.0
2016-05-30,104410.0
2016-05-31,104435.0
2016-06-01,104580.0
2016-06-02,104590.0
2016-06-03,104630.0
2016-06-07,104690.0
2016-06-08,103410.0
2016-06-09,103530.0
2016-06-10,103590.0
2016-06-13,103620.0
2016-06-14,103580.0
2016-06-15,103575.0
2016-06-16,103615.0
2016-06-17,103605.0
2016-06-20,103565.0
2016-06-21,103565.0
2016-06-22,103570.0
2016-06-23,103620.0
2016-06-24,103835.0
2016-06-27,103950.0
2016-06-28,103815.0
2016-06-29,103915.0
2016-06-30,103960.0
2016-07-01,103990.0
2016-07-04,104020.0
2016-07-05,104050.0
2016-07-06,104075.0
2016-07-07,104025.0
2016-07-08,104025.0
2016-07-11,104080.0
2016-07-12,104010.0
2016-07-13,104115.0
2016-07-14,104120.0
2016-07-15,104060.0
2016-07-18,104125.0
2016-07-19,104090.0
2016-07-20,104160.0
2016-07-21,104145.0
2016-07-22,104165.0
2016-07-25,104195.0
2016-07-26,104125.0
2016-07-27,104210.0
2016-07-28,104280.0
2016-07-29,104255.0
2016-08-01,104260.0
2016-08-02,104320.0
2016-08-03,104265.0
2016-08-04,104255.0
2016-08-05,104305.0
2016-08-08,104270.0
2016-08-09,104260.0
2016-08-10,104345.0
2016-08-11,104365.0
2016-08-12,104335.0
