Date,TIGER 베타플러스
2014-12-22,11185.0
2014-12-23,11225.0
2014-12-24,11220.0
2014-12-26,11280.0
2014-12-29,11255.0
2014-12-30,11185.0
2015-01-02,11185.0
2015-01-05,11185.0
2015-01-06,11040.0
2015-01-07,11025.0
2015-01-08,11210.0
2015-01-09,11320.0
2015-01-12,11320.0
2015-01-13,11285.0
2015-01-14,11285.0
2015-01-15,11260.0
2015-01-16,11075.0
2015-01-19,11145.0
2015-01-20,11220.0
2015-01-21,11245.0
2015-01-22,11295.0
2015-01-23,11360.0
2015-01-26,11300.0
2015-01-27,11445.0
2015-01-28,11480.0
2015-01-29,11415.0
2015-01-30,11330.0
2015-02-02,11320.0
2015-02-03,11220.0
2015-02-04,11370.0
2015-02-05,11325.0
2015-02-06,11265.0
2015-02-09,11285.0
2015-02-10,11220.0
2015-02-11,11225.0
2015-02-12,11225.0
2015-02-13,11195.0
2015-02-16,11235.0
2015-02-17,11250.0
2015-02-23,11250.0
2015-02-24,11250.0
2015-02-25,11280.0
2015-02-26,11255.0
2015-02-27,11270.0
2015-03-02,11310.0
2015-03-03,11355.0
2015-03-04,11355.0
2015-03-05,11355.0
2015-03-06,11430.0
2015-03-09,11265.0
2015-03-10,11220.0
2015-03-11,11200.0
2015-03-12,11095.0
2015-03-13,11180.0
2015-03-16,11215.0
2015-03-17,11420.0
2015-03-18,11435.0
2015-03-19,11455.0
2015-03-20,11410.0
2015-03-23,11480.0
2015-03-24,11550.0
2015-03-25,11540.0
2015-03-26,11405.0
2015-03-27,11380.0
2015-03-30,11425.0
2015-03-31,11425.0
2015-04-01,11365.0
2015-04-02,11350.0
2015-04-03,11390.0
2015-04-06,11375.0
2015-04-07,11400.0
2015-04-08,11440.0
2015-04-09,11425.0
2015-04-10,11640.0
2015-04-13,11695.0
2015-04-14,11735.0
2015-04-15,11745.0
2015-04-16,11870.0
2015-04-17,11855.0
2015-04-20,11780.0
2015-04-21,11865.0
2015-04-22,11925.0
2015-04-23,12070.0
2015-04-24,11995.0
2015-04-27,12000.0
2015-04-28,11945.0
2015-04-29,11790.0
2015-04-30,11755.0
2015-05-04,11755.0
2015-05-06,11610.0
2015-05-07,11610.0
2015-05-08,11560.0
2015-05-11,11560.0
2015-05-12,11595.0
2015-05-13,11655.0
2015-05-14,11695.0
2015-05-15,11575.0
2015-05-18,11580.0
2015-05-19,11660.0
2015-05-20,11730.0
2015-05-21,11640.0
2015-05-22,11825.0
