Date,KODEX 국채선물10년
2014-12-22,60480.0
2014-12-23,60520.0
2014-12-24,60540.0
2014-12-26,60675.0
2014-12-29,60870.0
2014-12-30,60895.0
2015-01-02,60710.0
2015-01-05,60870.0
2015-01-06,61205.0
2015-01-07,61175.0
2015-01-08,61095.0
2015-01-09,61295.0
2015-01-12,61660.0
2015-01-13,61775.0
2015-01-14,62125.0
2015-01-15,61720.0
2015-01-16,62370.0
2015-01-19,62100.0
2015-01-20,62165.0
2015-01-21,62165.0
2015-01-22,61990.0
2015-01-23,62380.0
2015-01-26,62465.0
2015-01-27,62505.0
2015-01-28,62660.0
2015-01-29,62915.0
2015-01-30,62810.0
2015-02-02,62805.0
2015-02-03,63010.0
2015-02-04,62760.0
2015-02-05,62665.0
2015-02-06,62625.0
2015-02-09,62545.0
2015-02-10,62205.0
2015-02-11,62300.0
2015-02-12,62120.0
2015-02-13,62060.0
2015-02-16,61680.0
2015-02-17,62170.0
2015-02-23,61995.0
2015-02-24,61970.0
2015-02-25,62245.0
2015-02-26,62255.0
2015-02-27,62365.0
2015-03-02,62495.0
2015-03-03,62350.0
2015-03-04,62345.0
2015-03-05,62360.0
2015-03-06,62560.0
2015-03-09,62300.0
2015-03-10,62285.0
2015-03-11,62555.0
2015-03-12,62520.0
2015-03-13,62360.0
2015-03-16,62610.0
2015-03-17,62615.0
2015-03-18,62750.0
2015-03-19,63105.0
2015-03-20,63210.0
2015-03-23,63340.0
2015-03-24,63225.0
2015-03-25,63335.0
2015-03-26,63380.0
2015-03-27,63260.0
2015-03-30,63365.0
2015-03-31,63500.0
2015-04-01,63550.0
2015-04-02,63640.0
2015-04-03,63790.0
2015-04-06,63950.0
2015-04-07,63770.0
2015-04-08,63665.0
2015-04-09,63885.0
2015-04-10,64020.0
2015-04-13,63780.0
2015-04-14,63700.0
2015-04-15,63705.0
2015-04-16,63485.0
2015-04-17,63785.0
2015-04-20,63655.0
2015-04-21,63470.0
2015-04-22,63470.0
2015-04-23,63020.0
2015-04-24,62940.0
2015-04-27,62935.0
2015-04-28,62540.0
2015-04-29,62340.0
2015-04-30,62300.0
2015-05-04,62005.0
2015-05-06,61680.0
2015-05-07,61575.0
2015-05-08,62155.0
2015-05-11,62190.0
2015-05-12,61470.0
2015-05-13,61695.0
2015-05-14,61965.0
2015-05-15,61700.0
2015-05-18,61870.0
2015-05-19,61675.0
2015-05-20,61995.0
2015-05-21,61905.0
2015-05-22,61975.0
2015-05-26,62065.0
2015-05-27,62275.0
2015-05-28,62405.0
2015-05-29,62910.0
2015-06-01,62780.0
2015-06-02,62940.0
2015-06-03,62420.0
2015-06-04,62015.0
2015-06-05,62165.0
2015-06-08,62060.0
2015-06-09,62275.0
2015-06-10,62110.0
2015-06-11,61865.0
2015-06-12,62240.0
2015-06-15,62065.0
2015-06-16,62020.0
2015-06-17,61875.0
2015-06-18,62020.0
2015-06-19,62400.0
2015-06-22,62050.0
2015-06-23,62130.0
2015-06-24,62210.0
2015-06-25,62225.0
2015-06-26,62255.0
2015-06-29,62350.0
2015-06-30,62390.0
2015-07-01,62315.0
2015-07-02,62000.0
2015-07-03,62010.0
2015-07-06,62305.0
2015-07-07,62160.0
2015-07-08,62210.0
2015-07-09,62295.0
2015-07-10,62050.0
2015-07-13,62080.0
2015-07-14,62125.0
2015-07-15,62115.0
2015-07-16,62290.0
2015-07-17,62340.0
2015-07-20,62340.0
2015-07-21,62420.0
2015-07-22,62540.0
2015-07-23,62915.0
2015-07-24,63065.0
2015-07-27,63020.0
2015-07-28,62770.0
2015-07-29,62865.0
2015-07-30,62810.0
2015-07-31,62705.0
2015-08-03,62760.0
2015-08-04,62810.0
2015-08-05,62555.0
2015-08-06,62675.0
2015-08-07,62725.0
2015-08-10,62970.0
2015-08-11,63190.0
2015-08-12,63470.0
2015-08-13,63300.0
2015-08-17,63410.0
2015-08-18,63495.0
2015-08-19,63275.0
2015-08-20,63420.0
2015-08-21,63575.0
2015-08-24,63840.0
2015-08-25,63770.0
2015-08-26,63650.0
2015-08-27,63445.0
2015-08-28,63365.0
2015-08-31,63435.0
2015-09-01,63280.0
2015-09-02,63590.0
2015-09-03,63570.0
2015-09-04,63710.0
2015-09-07,63760.0
2015-09-08,63675.0
2015-09-09,63655.0
2015-09-10,63740.0
2015-09-11,63700.0
2015-09-14,63550.0
2015-09-15,63635.0
2015-09-16,63530.0
2015-09-17,63600.0
2015-09-18,63985.0
2015-09-21,64150.0
2015-09-22,64125.0
2015-09-23,64305.0
2015-09-24,64235.0
2015-09-25,64185.0
2015-09-30,64715.0
2015-10-01,64410.0
2015-10-02,64475.0
2015-10-05,64770.0
2015-10-06,64760.0
2015-10-07,64685.0
2015-10-08,64490.0
2015-10-12,64350.0
2015-10-13,64350.0
2015-10-14,64320.0
2015-10-15,64680.0
2015-10-16,64690.0
2015-10-19,64635.0
2015-10-20,64545.0
2015-10-21,64360.0
2015-10-22,64460.0
2015-10-23,64425.0
2015-10-26,64535.0
2015-10-27,64770.0
2015-10-28,64875.0
2015-10-29,64755.0
2015-10-30,64505.0
2015-11-02,64470.0
2015-11-03,64330.0
2015-11-04,64150.0
2015-11-05,64270.0
2015-11-06,64055.0
2015-11-09,63655.0
2015-11-10,63680.0
2015-11-11,63430.0
2015-11-12,63455.0
2015-11-13,63390.0
2015-11-16,63695.0
2015-11-17,63615.0
2015-11-18,63600.0
2015-11-19,63740.0
2015-11-20,63885.0
2015-11-23,63675.0
2015-11-24,63695.0
2015-11-25,63770.0
2015-11-26,63935.0
2015-11-27,63755.0
2015-11-30,63810.0
2015-12-01,63885.0
2015-12-02,63880.0
2015-12-03,63750.0
2015-12-04,63480.0
2015-12-07,63545.0
2015-12-08,63940.0
2015-12-09,64025.0
2015-12-10,64025.0
2015-12-11,63970.0
2015-12-14,64150.0
2015-12-15,64020.0
2015-12-16,64040.0
2015-12-17,64315.0
2015-12-18,64540.0
2015-12-21,64720.0
2015-12-22,64670.0
2015-12-23,64655.0
2015-12-24,64680.0
2015-12-28,64695.0
2015-12-29,64855.0
2015-12-30,64765.0
2016-01-04,65050.0
2016-01-05,64915.0
2016-01-06,65015.0
2016-01-07,65140.0
2016-01-08,64975.0
2016-01-11,65130.0
2016-01-12,65010.0
2016-01-13,65085.0
2016-01-14,65125.0
2016-01-15,65120.0
2016-01-18,65050.0
2016-01-19,64985.0
2016-01-20,65225.0
2016-01-21,65215.0
2016-01-22,65085.0
2016-01-25,65195.0
2016-01-26,65340.0
2016-01-27,65185.0
2016-01-28,65220.0
2016-01-29,65355.0
2016-02-01,65705.0
2016-02-02,65715.0
2016-02-03,66050.0
2016-02-04,65970.0
2016-02-05,65900.0
2016-02-11,66600.0
2016-02-12,66340.0
2016-02-15,66280.0
2016-02-16,66525.0
2016-02-17,66455.0
2016-02-18,66365.0
2016-02-19,66350.0
2016-02-22,66285.0
2016-02-23,66245.0
2016-02-24,66290.0
2016-02-25,66365.0
2016-02-26,66540.0
2016-02-29,66480.0
2016-03-02,66285.0
2016-03-03,66100.0
2016-03-04,66005.0
2016-03-07,66025.0
2016-03-08,66205.0
2016-03-09,66185.0
2016-03-10,66115.0
2016-03-11,65860.0
2016-03-14,65855.0
2016-03-15,65800.0
2016-03-16,65780.0
2016-03-17,66110.0
2016-03-18,66265.0
2016-03-21,66355.0
2016-03-22,66240.0
2016-03-23,66040.0
2016-03-24,66225.0
2016-03-25,66325.0
2016-03-28,66300.0
2016-03-29,66475.0
2016-03-30,66665.0
2016-03-31,66590.0
2016-04-01,66545.0
2016-04-04,66710.0
2016-04-05,66560.0
2016-04-06,66615.0
2016-04-07,66510.0
2016-04-08,66515.0
2016-04-11,66535.0
2016-04-12,66595.0
2016-04-14,66300.0
2016-04-15,66345.0
2016-04-18,66350.0
2016-04-19,66330.0
2016-04-20,66550.0
2016-04-21,66480.0
2016-04-22,66510.0
2016-04-25,66490.0
2016-04-26,66515.0
2016-04-27,66605.0
2016-04-28,66665.0
2016-04-29,66690.0
2016-05-02,66610.0
2016-05-03,66695.0
2016-05-04,66825.0
2016-05-09,66900.0
2016-05-10,66855.0
2016-05-11,66870.0
2016-05-12,66865.0
2016-05-13,66850.0
2016-05-16,66865.0
2016-05-17,66745.0
2016-05-18,66645.0
2016-05-19,66455.0
2016-05-20,66655.0
2016-05-23,66670.0
2016-05-24,66875.0
2016-05-25,66795.0
2016-05-26,66760.0
2016-05-27,66810.0
2016-05-30,66640.0
2016-05-31,66635.0
2016-06-01,66925.0
2016-06-02,66895.0
2016-06-03,67050.0
2016-06-07,67215.0
2016-06-08,67265.0
2016-06-09,67500.0
2016-06-10,67595.0
2016-06-13,67700.0
2016-06-14,67615.0
2016-06-15,67615.0
2016-06-16,67855.0
2016-06-17,67755.0
2016-06-20,67560.0
2016-06-21,67605.0
2016-06-22,67525.0
2016-06-23,67595.0
2016-06-24,68340.0
2016-06-27,68405.0
2016-06-28,68415.0
2016-06-29,68525.0
2016-06-30,68475.0
2016-07-01,68825.0
2016-07-04,68810.0
2016-07-05,68765.0
2016-07-06,68945.0
2016-07-07,68990.0
2016-07-08,68995.0
2016-07-11,69005.0
2016-07-12,68940.0
2016-07-13,68910.0
2016-07-14,69080.0
2016-07-15,68910.0
2016-07-18,68840.0
2016-07-19,68770.0
2016-07-20,68795.0
2016-07-21,68700.0
2016-07-22,68810.0
2016-07-25,68800.0
2016-07-26,68860.0
2016-07-27,68900.0
2016-07-28,69150.0
2016-07-29,68970.0
2016-08-01,69130.0
2016-08-02,69035.0
2016-08-03,68760.0
2016-08-04,68865.0
2016-08-05,68995.0
2016-08-08,68740.0
2016-08-09,68785.0
2016-08-10,68975.0
2016-08-11,68945.0
2016-08-12,68900.0
2016-08-16,68970.0
2016-08-17,68750.0
2016-08-18,68900.0
2016-08-19,68815.0
2016-08-22,68765.0
2016-08-23,68855.0
2016-08-24,68840.0
2016-08-25,68810.0
2016-08-26,68845.0
2016-08-29,68700.0
2016-08-30,68685.0
2016-08-31,68505.0
2016-09-01,68245.0
2016-09-02,68220.0
2016-09-05,68340.0
2016-09-06,68390.0
