,Mom
1988-04-01,-0.019880074301249093
1988-04-02,0.0014894644575121486
1988-04-04,-0.02218068977635779
1988-04-06,-0.009574020472871595
1988-04-07,-0.0003766349772050242
1988-04-08,-0.015355354254967785
1988-04-09,0.009989663223595211
1988-04-11,0.006755162679354804
1988-04-12,0.015054733319028025
1988-04-13,0.015573724433832523
1988-04-14,-0.011727694406172776
1988-04-15,0.0015097018672437436
1988-04-16,-0.007224884889207068
1988-04-18,-0.01628905172672772
1988-04-19,-0.010265581661010412
1988-04-20,-0.004944863882158602
1988-04-21,-0.013046209993462305
1988-04-22,0.005314098717959485
1988-04-23,0.023423156287496954
1988-04-25,0.006618394027544262
1988-04-27,-0.003738736399634894
1988-04-28,0.012383378223210645
1988-04-29,0.011147478192891587
1988-04-30,0.004346152145667789
1988-05-02,0.006070776292640358
1988-05-03,0.005920546200147633
1988-05-04,-0.0057441335222341156
1988-05-06,-0.018544962910394786
1988-05-07,0.004199470579060687
1988-05-09,-0.007168734024025348
1988-05-10,0.006753659192812473
1988-05-11,0.008049897336164305
1988-05-12,0.01710738438690868
1988-05-13,0.016905742990309065
1988-05-14,0.001314426720626019
1988-05-16,0.0024377172266742916
1988-05-17,-0.000239796057067327
1988-05-18,0.006529985804461484
1988-05-19,0.005290830093174307
1988-05-20,0.008774618662456466
1988-05-21,0.0029380879884205848
1988-05-24,0.0192802792854937
1988-05-25,-0.0016265403016817506
1988-05-26,0.008478073093639876
1988-05-27,0.0010376254978075217
1988-05-28,0.0008689050873696216
1988-05-30,-0.023736517490448233
1988-05-31,0.0022966326746440362
1988-06-01,0.005188551919811651
1988-06-02,-0.007439541441431786
1988-06-03,-0.015546256614586813
1988-06-04,-0.0029829629145606334
1988-06-07,-0.01593865581978192
1988-06-08,-0.0008719996389617932
1988-06-09,0.011109944137326987
1988-06-10,-0.005510070249537747
1988-06-11,0.010490778253229235
1988-06-13,0.0012892312638496327
1988-06-14,-0.0028242534875473537
1988-06-15,0.0006205066704703319
1988-06-16,5.704983186284596e-06
1988-06-17,0.0031551387732656503
1988-06-18,0.000550338188487238
1988-06-20,-0.006189037109870699
1988-06-21,0.0012179033524861718
1988-06-22,0.00035390791002701
1988-06-23,-0.0011453358020027862
1988-06-24,-0.001182637028029875
1988-06-25,0.0016564559228441113
1988-06-27,0.006541312244532065
1988-06-28,0.0006802024348389645
1988-06-29,-0.002988861781543033
1988-06-30,0.003575732994604632
1988-07-01,-0.012120984536494456
1988-07-02,-0.001231455422663941
1988-07-04,-0.0069689751570362266
1988-07-05,0.005538945153648149
1988-07-06,0.0016917234855608337
1988-07-07,-0.004710428893598894
1988-07-08,0.007475269816643158
1988-07-09,-0.00349259912194931
1988-07-11,-0.005894633246863762
1988-07-12,-0.0028906311020480933
1988-07-13,-0.0032360634409882077
1988-07-14,0.004320347299012772
1988-07-15,-0.00396577410429152
1988-07-16,-0.003331716854651415
1988-07-18,-0.005684094874540149
1988-07-19,0.02358468911780479
1988-07-20,0.0070259877407967825
1988-07-21,0.0023032157483843085
1988-07-22,0.0171524491894707
1988-07-23,0.01977885449596111
1988-07-25,0.0114457885163948
1988-07-26,0.0053707889266961335
1988-07-27,-0.004674981434785664
1988-07-28,-0.004149388662509527
1988-07-29,0.017575653790008416
1988-07-30,0.005059830177898084
1988-08-01,0.005751962469788728
1988-08-02,-0.006545702412636968
1988-08-03,-0.0024254086851535715
1988-08-04,-0.007536531278840446
1988-08-05,0.003963946602340134
1988-08-06,0.006309573815690616
1988-08-08,0.005971202995303759
1988-08-09,0.003958208096133381
1988-08-10,0.0012562003479525373
1988-08-11,0.0185720480545248
1988-08-12,0.005655520885328928
1988-08-13,-0.0006911297983587554
1988-08-16,0.011636255762510829
1988-08-17,-0.003718637094894172
1988-08-18,0.005551470400678451
1988-08-19,-0.014836232304562963
1988-08-20,-0.0012998135260741672
1988-08-22,-0.014263165618103615
1988-08-23,0.00204053374673203
1988-08-24,0.0006014212177298654
1988-08-25,0.00031640039950874693
1988-08-26,0.0033842992521605922
1988-08-27,-0.0031987150508281936
1988-08-29,-0.0031037999064573735
1988-08-30,0.004563665519836344
1988-08-31,-0.007826856002856677
1988-09-01,0.0037228786121716916
1988-09-02,-0.008285699017122939
1988-09-03,0.008753862581059993
1988-09-05,-0.005336256312541192
1988-09-06,-0.004081459079651425
1988-09-07,-0.013200583361304655
1988-09-08,0.006064751085577796
1988-09-09,0.0005240110532900924
1988-09-10,-0.013624996288280821
1988-09-12,-0.006628439058980864
1988-09-13,-0.007013117788616164
1988-09-14,0.005648709698747903
1988-09-15,-0.009314103507225292
1988-09-16,-0.003855815901461914
1988-09-19,0.0005895167672045048
1988-09-20,-0.0010864820241453348
1988-09-21,-0.0032734276639965025
1988-09-22,0.015644971095091963
1988-09-23,-0.011186020945876982
1988-09-24,-0.0022252292674969443
1988-09-27,-0.006996342318763116
1988-09-28,-0.0041040835373416735
1988-09-29,0.003362730384535664
1988-09-30,0.011244044032274919
1988-10-04,0.005763498326614948
1988-10-05,0.0006899359408004506
1988-10-06,0.008790959894646148
1988-10-07,0.005401428736599462
1988-10-08,0.0006443768500774599
1988-10-10,0.005073596571842774
1988-10-11,-0.005202076838619405
1988-10-12,0.005045961553589596
1988-10-13,-0.0005089386463150063
1988-10-14,0.0009264174458513096
1988-10-15,0.001332456778028063
1988-10-17,0.00045645693440731633
1988-10-18,0.016154959745515552
1988-10-19,0.004186306692619619
1988-10-20,-0.006845592146457875
1988-10-21,-0.0019110748890998886
1988-10-22,0.0012104723112195404
