,Mkt-Rf,SMB,HML,RMW,CMA,Rf
1989-04-01,0.003914891766992264,0.0002105397031676823,-0.0015945602497985196,0.00037235507483688885,-0.0012752728032597986,0.0004851082330077361
1989-04-03,-0.0021061332815283757,-0.0020505250070258826,-0.001078140427825773,0.0001950972731658597,0.00916148124379185,0.0005061332815283759
1989-04-04,-0.0055851082330077365,0.013125511964477738,0.00046196992164786676,-0.0018489115236161725,0.0002183801532645922,0.0004851082330077361
1989-04-06,-0.018785108233007736,0.013770385877518837,0.004797523855524254,-0.0033131853856326974,0.001603907799448948,0.0004851082330077361
1989-04-07,-0.005085108233007736,0.017720028549124165,0.004956818706407675,-0.007158992628781721,0.003016466508340583,0.0004851082330077361
1989-04-08,0.004114891766992264,0.00740094215799146,-0.00025221866641361376,-0.005780179984718294,0.0012635923837844495,0.0004851082330077361
1989-04-10,-0.020085108233007735,0.007207825770689023,0.001537331652105997,-0.0010293018471522822,3.1468725727797076e-05,0.0004851082330077361
1989-04-11,-0.008685108233007735,0.011077585555546025,0.0024066235791265524,-0.004548546239626619,0.0038823657537802566,0.0004851082330077361
1989-04-12,-0.029285108233007735,0.00715346293145842,0.004429252594966879,0.0013689218762296118,0.002805400076598727,0.0004851082330077361
1989-04-13,0.024814891766992263,-0.004062518284469363,-0.009274571488485664,-1.5960251983852813e-05,-0.0020837869591489866,0.0004851082330077361
1989-04-14,-0.007685108233007736,-0.0002400824166616869,-0.002238539493083112,0.0015755265686024974,0.0022062756778750913,0.0004851082330077361
1989-04-15,0.005614891766992263,-0.0019495179114389003,-0.000636446910013906,-0.00021092838345143118,0.000773633328151088,0.0004851082330077361
1989-04-17,0.012514891766992265,-0.010378426144103165,-0.004414083962346946,0.0028148665262322714,-0.008429433868209263,0.0004851082330077361
1989-04-18,-0.0032851082330077365,0.002768877352380426,-0.0007638832096386945,-0.00046520282085628047,-0.00044328433740164477,0.0004851082330077361
1989-04-19,-0.002285108233007736,0.004856068691648236,-0.00017636420485044003,0.0037517274541710105,-0.0016447978008791693,0.0004851082330077361
1989-04-20,-0.004985108233007737,0.0028312046669147217,-0.00171958893247131,0.0007295119032170354,0.0016805482867738092,0.0004851082330077361
1989-04-21,-0.006985108233007737,0.002604177616407478,-0.0045673582698140015,-0.0007818659181501801,0.001750355574226205,0.0004851082330077361
1989-04-22,-0.006685108233007736,0.002247690672672716,0.0008801738037021922,0.0032683723694766744,0.003480571271276201,0.0004851082330077361
1989-04-24,0.007214891766992264,-0.019924074273030612,-0.0027389118096559006,-0.000853606005060804,0.0001069881748524109,0.0004851082330077361
1989-04-25,-0.006085108233007737,0.0013214185064171003,-0.003261587647326713,-0.003767316089070321,0.0008540593919561792,0.0004851082330077361
1989-04-26,-0.010085108233007735,-0.0023143107462562586,0.00045930357594434895,0.0010941903751112494,-0.0022638929664111056,0.0004851082330077361
1989-04-27,0.0043148917669922635,-0.009629590239124712,-0.0016853174207551772,0.005962013887895823,-0.0007791717762566722,0.0004851082330077361
1989-04-28,-0.004485108233007736,-0.0006824762443444051,-0.0009761364795426433,0.001131898727605456,-0.003676308678855959,0.0004851082330077361
